event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
51,284500,6591278,361101,11458.2,11500.5,4.46508e+11,0.934886,1.01425,0.998569,1,1,0.999991,0.984315,1,0,1,0,2,"[1,0]","[1,0]","[68203.8,8500.3]","[0.852317,0.367298]","[2.45482,2.02127]","[94513.5,9080.15]","[-0.00350189,-54.0862]","[1,-1]","[13,11]","[1,1]","[0,0]","[-647.962,-400.23]","[-0.00349154,-0.018695]","[0.515007,0.76162]",71832.3,0.243861,2,"[75090.2,74170.6]","[-1.32675,-0.568534]","[-0.657922,-2.84601]","[151875,87018.2]","[0.992478,0]","[0,0]","[0,0]","[-0.956903,-0.85521]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[314.953,43.8163]",9651.26,"[6948.68,3198.02]","[]","[]","[]"
94,284500,6314511,361101,11462.4,11500.5,4.46508e+11,1.74563,1.09758,0.985938,1,1,1,1.00414,1,0,1,0,2,"[1,0]","[1,0]","[42196.2,7992.05]","[-1.6427,-1.91461]","[1.75991,0.58503]","[113140,27699.2]","[0.00477839,-44.0244]","[1,-1]","[13,11]","[1,1]","[0,0]","[-86.7482,-81.6553]","[-0.0149296,0.0130079]","[1.97557,0.361967]",23920,-0.552597,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[476.372,53.9853]",23.7051,"[]","[]","[]","[]"
99,284500,6077846,361101,11463.8,11500.5,4.46508e+11,1.32095,1.09758,0.997938,1,1,1,0.979445,1,0,1,0,2,"[1,0]","[1,0]","[41320.4,9805.14]","[-1.42924,-1.64536]","[-2.84774,-2.25289]","[91215,26355.3]","[-0.0220457,-0.26364]","[1,-1]","[13,11]","[1,0]","[0,1768.48]","[-364.136,628.536]","[-0.0104468,0.0628735]","[1.22873,2.60231]",24813.8,1.16909,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[64.0669,282.601]",16618.8,"[]","[]","[]","[]"
180,284500,6554939,361101,11459,11500.5,4.46508e+11,1.25133,1,0.998301,1,1,1,0.988807,1,0,1,0,2,"[1,0]","[1,0]","[43317.2,8778.71]","[2.04266,2.39377]","[-1.54324,1.70273]","[169821,48484.9]","[0.031868,-0.229828]","[1,-1]","[13,11]","[1,0]","[0,0]","[1925.08,1601.56]","[0.00331907,-0.0683077]","[0.331122,1.78841]",32313.6,1.52279,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[965.29,347.398]",0,"[]","[]","[]","[]"
182,284500,6900701,361101,11459.6,11500.5,4.46508e+11,0,1,0.994263,1,1,1,0.987017,1,0,1,0,2,"[1,0]","[1,0]","[32334.5,9234.1]","[-2.06533,0.94989]","[2.23852,1.42804]","[129575,13723.2]","[0.00368404,-51.865]","[1,-1]","[13,13]","[1,1]","[0,0]","[-975.197,3652.82]","[0.0331668,0.0221151]","[3.12281,1.50091]",73081.4,-0.377612,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[164.822,33.223]",3114.23,"[]","[]","[]","[]"
184,284500,6984500,361101,11454.8,11500.5,4.46508e+11,1.08735,1,0.994352,1,1,0.992267,0.986771,1,0,1,0,2,"[1,0]","[1,0]","[65646.2,7587.51]","[-0.502588,-1.19823]","[-0.486309,-1.13727]","[74113.2,13718.1]","[0.082016,0.00199509]","[1,-1]","[13,11]","[1,0]","[0,0]","[-109.071,1366.86]","[0.0265074,0.0166182]","[4.08787,0.755053]",14548.6,2.62714,1,"[44549.8]","[-0.311952]","[2.65671]","[46926.3]","[0.8997]","[4]","[0]","[-0.639078]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[558.742,184.421]",1863.88,"[2181.77]","[]","[]","[]"
189,284500,6554610,361101,11459,11500.5,4.46508e+11,0.187531,1,0.993595,1,1,1,0.945822,1,0,1,0,2,"[1,0]","[1,0]","[35216.9,8065.01]","[0.682593,-0.892504]","[2.89181,-2.83997]","[43744.9,11496.1]","[0.0373154,115.568]","[1,-1]","[13,11]","[1,0]","[0,0]","[65.816,2129.69]","[-0.00926677,0.0380956]","[1.08115,1.95822]",81057.9,-0.523202,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[154.941,84.5811]",3187.79,"[]","[]","[]","[]"
205,284500,7078367,361101,11454.7,11500.5,4.46508e+11,0,1,0.981798,1,1,1,1.0152,1,0,1,0,2,"[1,0]","[1,0]","[40049.3,8563.45]","[-0.436669,1.47696]","[-1.65207,3.00017]","[43928.8,19730.2]","[-0.0440044,49.1832]","[1,-1]","[13,13]","[1,1]","[0,1523.92]","[-285.207,-912.468]","[-0.011023,0.0240138]","[1.38105,1.41153]",21545.1,2.268,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[387.461,26.616]",3334.32,"[]","[]","[]","[]"
208,284500,6725129,361101,11458.1,11500.5,4.46508e+11,0.934886,1,0.980858,1,1,1.00002,0.941229,1,0,1,0,2,"[1,0]","[1,0]","[105051,10187.9]","[0.101053,1.91364]","[2.69582,2.68383]","[105588,35277]","[-0.0710011,0.0894871]","[1,1]","[13,13]","[1,1]","[1224.24,0]","[-400.157,1539.09]","[-0.00538555,0.00360763]","[1.07429,0.197187]",53565.2,-1.36923,2,"[81023.8,54590.8]","[0.796436,0.706361]","[-0.470235,1.07007]","[108455,69622.7]","[0.985699,0.990773]","[0,0]","[0,0]","[-0.892919,-0.9569]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[617.451,36.7632]",9865.93,"[8024.73,6971.2]","[]","[]","[]"
213,284500,6549940,361101,11458.2,11500.5,4.46508e+11,1.08735,1.09758,0.995111,1,1,1,0.953995,1,0,1,0,2,"[1,0]","[1,0]","[41392.2,8457.26]","[2.38164,-1.84177]","[0.939726,-1.52823]","[225900,27343.3]","[-0.14727,-0.384697]","[1,-1]","[13,11]","[1,1]","[0,0]","[46.8625,16.4339]","[-0.0224663,-0.100141]","[2.50255,3.16057]",40316.5,-2.88891,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[676.414,99.2741]",8177.89,"[]","[]","[]","[]"
222,284500,6703615,361101,11459,11500.5,4.46508e+11,1.08735,1,0.981571,1,1,1,1.00372,1,0,1,0,2,"[1,0]","[1,0]","[47748.5,7100.5]","[-1.88892,0.0649805]","[0.443678,-0.629862]","[161472,7115.5]","[-0.0181046,120.281]","[1,-1]","[13,11]","[1,0]","[0,0]","[-64.1057,-1173.36]","[0.00691269,-0.0256007]","[0.798337,0.285095]",78814.6,-1.16437,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[394.205,104.392]",9408.76,"[]","[]","[]","[]"
