event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
6,284500,1963,361103,8433.27,8579.63,2.47539e+11,0.596562,0.94602,1,1,1,1,0.99829,1,1,0,0,2,"[1,0]","[1,0]","[35585.7,7487.52]","[-1.6695,1.00669]","[-1.89308,2.53898]","[97822.9,11613]","[-0.0851974,0.166153]","[-1,-1]","[11,11]","[1,0]","[1655.61,0]","[317.288,4062.86]","[0.0301032,0.00693308]","[0.801996,0.152015]",52357.1,1.17807,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[120.691,91.4502]",0,"[]","[]","[]","[]"
13,284500,5689,361103,8443.12,8579.63,2.47539e+11,1.08735,0.912511,1,1,1,0.99947,0.97785,1,1,0,0,2,"[1,0]","[1,0]","[42698.4,9872.78]","[0.0219868,-2.27047]","[2.12115,1.67592]","[42708.7,48313.4]","[-0.0255155,46.3383]","[-1,1]","[11,11]","[1,1]","[0,1494.5]","[-144.752,4457.83]","[0.00695313,0.0312442]","[0.775694,1.10715]",25237.6,-1.59386,1,"[21074.9]","[-0.228574]","[-1.49697]","[21959.7]","[0.728104]","[0]","[0]","[-0.677278]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[112.704,128.577]",5064.1,"[1175.39]","[]","[]","[]"
23,284500,27042,361103,8431.82,8579.63,2.47539e+11,0.934886,0.95061,0.996048,1,1,0.999523,0.95105,1,1,0,0,2,"[1,0]","[1,0]","[30814.7,7013.74]","[-0.635992,2.07684]","[-2.4822,1.15561]","[37259.7,28421.8]","[-0.00187302,-1.03353]","[-1,1]","[11,13]","[1,1]","[0,1561.06]","[1076.48,-268.411]","[0.0352395,0.000273636]","[1.6631,0.0101169]",14285.3,1.71218,1,"[21638]","[0.55445]","[0.11481]","[25340.8]","[0.969456]","[0]","[0]","[-0.792401]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[55.7081,22.0123]",2133.78,"[5291.98]","[]","[]","[]"
28,284500,84082,361103,8437.24,8579.63,2.47539e+11,0.596562,0.961434,1,1,1,1,0.93731,1,1,0,0,2,"[1,0]","[1,0]","[27720.7,10188.1]","[-0.0352451,-2.35908]","[-1.78395,1.26536]","[27737.9,54382.7]","[0.115974,83.1346]","[-1,-1]","[11,11]","[1,0]","[0,0]","[90.2837,3298.12]","[-0.000135394,0.0218778]","[0.0119863,0.855957]",49814.5,1.48163,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[135.208,74.8241]",15267.9,"[]","[]","[]","[]"
43,284500,39163,361103,8437.11,8579.63,2.47539e+11,0.506784,0.95098,1,1,1,1,0.94612,1,1,0,0,2,"[1,0]","[1,0]","[28277.5,10512.3]","[0.737385,1.5759]","[0.528678,1.55259]","[36320,26501]","[-0.0510225,-49.8516]","[-1,1]","[11,11]","[1,0]","[0,1025.19]","[224.35,3977.56]","[0.0379564,-0.0753183]","[2.78718,1.77119]",14255.2,-2.36286,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[239.557,498.107]",443.929,"[]","[]","[]","[]"
47,284500,38210,361103,8436.23,8579.63,2.47539e+11,1.21412,0.94914,1.01008,1,1,1,0.98122,1,1,0,0,2,"[0,1]","[0,1]","[35429.7,30451.1]","[0.0390659,0.0702386]","[0.628415,2.88479]","[35456.9,30526.3]","[-127.675,-0.216923]","[1,-1]","[13,11]","[0,1]","[0,0]","[-570.256,573.343]","[-1.13571,0.0211161]","[44.5564,1.79115]",28415,-1.60494,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[100.657,293.64]",0,"[]","[]","[]","[]"
50,284500,123956,361103,8434.38,8579.63,2.47539e+11,1.55465,0.9655,0.999319,1,1,0.999512,1.00002,1,1,0,0,2,"[1,0]","[1,0]","[30314.7,7131.83]","[0.354712,-0.164096]","[1.70321,-2.19609]","[32241.9,7228.84]","[22.9506,74.7801]","[-1,-1]","[11,13]","[1,1]","[0,1222.39]","[822.451,252.013]","[0.0970817,-0.0582277]","[1.75549,3.72053]",22213.2,-0.717237,1,"[23440.5]","[-1.17745]","[3.03047]","[41896.9]","[0.960329]","[0]","[0]","[-0.918413]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[349.889,35.3191]",8526.98,"[1647.45]","[]","[]","[]"
63,284500,676175,361103,8435.65,8579.63,2.47539e+11,1.08735,0.963526,1,1,1,1,0.96932,1,1,0,0,2,"[1,0]","[1,0]","[31142,7437.7]","[0.785116,-1.00183]","[0.268386,-0.967052]","[41243.4,11492.9]","[-0.0220308,-0.131631]","[-1,1]","[11,11]","[1,1]","[0,0]","[-148.546,-1281.49]","[-0.0204242,-0.0024363]","[1.69195,0.0496431]",39661.7,3.02488,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[89.2789,319.476]",0,"[]","[]","[]","[]"
80,284500,868158,361103,8438.4,8579.63,2.47539e+11,1.25133,0.934063,1,1,1,1,0.99737,1,1,0,0,2,"[1,0]","[1,0]","[36536.5,14705.3]","[0.521383,1.14729]","[2.53646,1.72505]","[41616.1,25492.6]","[0.01577,95.3467]","[-1,-1]","[11,11]","[1,1]","[0,0]","[-175.033,772.77]","[-0.00851559,-0.0136918]","[0.891449,0.500987]",37041.8,-1.6788,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[138.594,113.664]",678.41,"[]","[]","[]","[]"
103,284500,884239,361103,8434.72,8579.63,2.47539e+11,0.596562,0.96228,1.00567,1,1,1,0.95211,1,1,0,0,2,"[1,0]","[1,0]","[37285.4,24735.7]","[-0.855915,-0.0392071]","[-0.644766,0.951598]","[51797.3,24754.9]","[-0.000526428,-88.3233]","[-1,1]","[11,13]","[1,0]","[0,0]","[218.788,812.534]","[0.00092623,1.91055]","[0.0558886,27.9184]",40815.9,3.07968,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[171.278,112.447]",0,"[]","[]","[]","[]"
113,284500,904481,361103,8438.1,8579.63,2.47539e+11,0.596562,0.95734,0.983783,1,1,1,0.97256,1,1,0,0,2,"[1,0]","[1,0]","[31850.5,7964.44]","[0.875479,1.6082]","[0.351292,1.06205]","[44856.5,20684.2]","[0.087687,-71.0359]","[-1,1]","[11,13]","[1,1]","[0,0]","[770.26,2017.41]","[0.02345,-0.0131203]","[1.96353,0.531225]",43401.1,-2.66575,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[116.07,52.8167]",0,"[]","[]","[]","[]"
120,284500,1125918,361103,8432.87,8579.63,2.47539e+11,0.164755,0.94157,0.997954,1,1,1,0.99746,1,1,0,0,2,"[1,0]","[1,0]","[37787.5,10623.4]","[-1.9,-0.329013]","[2.69734,-0.334802]","[129148,11204.1]","[0.0312157,0.017128]","[-1,1]","[11,13]","[1,1]","[0,3739.72]","[28.9787,3695.93]","[-0.000277759,0.0488472]","[0.0209878,4.4517]",27044.1,-0.97031,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[79.0406,17.121]",0,"[]","[]","[]","[]"
126,284500,904033,361103,8438.1,8579.63,2.47539e+11,0.596562,0.9549,1,1,1,1,1,1,1,0,0,2,"[0,0]","[1,0]","[40208.1,7520.87]","[-2.10639,-0.884211]","[-0.793979,2.84243]","[167672,10657.5]","[0.0934677,-0.22538]","[1,-1]","[11,11]","[0,0]","[0,2640.21]","[2307.88,-447.636]","[-0.073222,0.109401]","[0.767644,1.91555]",30924.2,2.27591,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[233.385,188.769]",0,"[]","[]","[]","[]"
142,284500,1106860,361103,8433.95,8579.63,2.47539e+11,0.00292683,0.97361,0.998337,1,1,1,0.98448,1,1,0,0,2,"[1,0]","[1,0]","[47701.6,12793.4]","[-0.509293,-0.272902]","[-2.47194,-0.199116]","[54022.9,13273.2]","[0.017643,0.00950241]","[-1,1]","[11,13]","[1,1]","[0,5433.85]","[-107.023,464.354]","[0.0462546,-0.0204527]","[4.27876,1.60492]",34684,1.11007,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[68.1657,68.5666]",0,"[]","[]","[]","[]"
