event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
6490,284500,33128288,361107,1941,1950.63,1.47335e+11,1.08735,1,0.989611,1,1,1,0.881445,1,0,1,0,2,"[1,1]","[1,1]","[53601.9,33455.9]","[-0.221195,0.487822]","[-1.62265,1.45106]","[54918.6,37516.4]","[0.0399323,-0.00526428]","[-1,1]","[13,13]","[1,1]","[0,0]","[-242.46,899.783]","[-0.00390522,0.0115949]","[0.662971,1.92061]",7201.02,-1.7734,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[753.475,224.723]",7304.99,"[]","[]","[]","[]"
48710,284500,38837797,361107,1941.78,1950.63,1.47335e+11,1.08735,1,0.996936,1,1,1,0.920816,1,0,1,0,2,"[1,1]","[1,1]","[58529.3,40520.6]","[-0.724137,-1.36635]","[-2.36667,1.1179]","[74557.5,84608.3]","[0.0360451,0.0387535]","[-1,1]","[13,13]","[1,1]","[0,0]","[-21.3743,-254.359]","[-0.017699,0.0214052]","[1.92218,2.42363]",20757.7,0.413104,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[470.274,207.916]",17079.5,"[]","[]","[]","[]"
56160,284500,29970355,361107,1940.39,1950.63,1.47335e+11,1.26459,1,0.993657,1,1,0.999581,1.00459,1,0,1,0,2,"[1,1]","[1,0]","[42667.8,21821.1]","[0.883258,-1.08708]","[-0.928834,2.4418]","[60422,36035.4]","[0.000543594,0.0385208]","[1,-1]","[13,13]","[1,1]","[0,1360.14]","[-328.383,-78.6369]","[0.0225145,-0.00136826]","[2.48666,0.0984678]",40579.6,-0.143597,1,"[27285.3]","[-1.03619]","[2.03589]","[43588.8]","[0.980571]","[0]","[0]","[-0.856261]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[236.034,147.477]",696.598,"[1787.24]","[]","[]","[]"
68188,284500,37044840,361107,1941.04,1950.63,1.47335e+11,0.696077,1,0.991752,1,1,0.999209,0.815837,1,0,1,0,2,"[1,1]","[1,1]","[58666.7,49740.7]","[1.41726,0.308636]","[2.89731,1.70781]","[128133,52128.7]","[0.0260277,-0.00704575]","[1,-1]","[13,13]","[1,1]","[0,0]","[-903.605,283.615]","[0.00993535,0.0108446]","[1.3897,1.19344]",28510.4,-0.915878,2,"[48527,28504]","[1.28099,0.540029]","[-0.918869,-0.754229]","[94513.8,33354.9]","[0.997155,1]","[0,0]","[0,0]","[-0.921863,-0.717061]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[307.527,76.6402]",3097.41,"[6876.83,1940.99]","[]","[]","[]"
68243,284500,38228285,361107,1941.08,1950.63,1.47335e+11,0.923924,1,0.992647,1,1,0.99921,0.997579,1,0,1,0,2,"[1,1]","[1,1]","[37493.2,31951.9]","[-2.10932,-0.358441]","[0.568281,2.57495]","[156796,34026.7]","[0.0104532,0.01719]","[1,-1]","[13,13]","[1,1]","[0,0]","[643.288,-458.501]","[-0.00919018,0.0189001]","[1.11585,2.21707]",49643.6,0.946962,2,"[53434.7,24261.7]","[-1.36515,0.591832]","[-1.78063,-2.58349]","[111663,29027.3]","[0.992776,0.629501]","[0,0]","[0,0]","[-0.747803,-0.77796]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[357.169,86.5772]",23000.8,"[3173.68,1780.13]","[]","[]","[]"
82086,284500,39165463,361107,1940.94,1950.63,1.47335e+11,0.934886,1,0.985374,1,1,1,1.01222,1,0,1,0,2,"[1,1]","[1,1]","[42621.2,39854.5]","[1.69973,1.34852]","[-1.44145,1.64835]","[120516,81927.8]","[0.0639267,-0.0222168]","[1,-1]","[13,13]","[1,1]","[0,0]","[0,-387.435]","[0.00477872,-0.0174384]","[0.462363,2.11479]",22063.3,2.96506,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[195.12,449.457]",18851.8,"[]","[]","[]","[]"
97641,284500,37125526,361107,1941.95,1950.63,1.47335e+11,0.696077,1,0.983403,1,1,1,0.978669,1,0,1,0,2,"[1,1]","[1,1]","[49107.8,44965.3]","[2.25259,1.81197]","[1.82142,-1.58142]","[236145,141322]","[-0.0331955,-0.0418167]","[-1,1]","[13,13]","[1,1]","[0,0]","[-356.035,1458.96]","[0.00932182,0.0127197]","[0.889172,1.19179]",15594,-0.163237,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[602.571,306.983]",0,"[]","[]","[]","[]"
98615,284500,33137412,361107,1941.24,1950.63,1.47335e+11,1.26459,1,0.997493,1,1,0.99951,0.944578,1,0,1,0,2,"[1,1]","[1,1]","[62278.3,39528.1]","[-1.06409,-1.46101]","[1.04324,-1.42396]","[100992,89774.7]","[0.0155182,0.00069046]","[-1,1]","[13,13]","[1,1]","[0,0]","[-946.927,-946.927]","[-0.00411574,0.000463154]","[0.495486,0.0498198]",21995.3,-2.34395,1,"[25093.3]","[-1.16171]","[-2.56093]","[44495.1]","[0.928642]","[0]","[0]","[-0.59741]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[153.434,178.245]",5443.74,"[4125.19]","[]","[]","[]"
99024,284500,33773274,361107,1941.5,1950.63,1.47335e+11,0.619412,1,0.993737,1,1,1,0.716555,1,0,1,0,2,"[1,1]","[1,1]","[39790.6,31029.1]","[-0.729274,-2.32787]","[-1.92926,1.8246]","[50849.2,160632]","[-0.0491333,-0.555756]","[1,-1]","[13,13]","[1,1]","[0,1002.85]","[-672.942,652.6]","[0.0122662,-0.00605584]","[1.58337,0.526674]",22520.5,-0.165862,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[197.4,323.105]",0,"[]","[]","[]","[]"
106199,284500,37344038,361107,1940.66,1950.63,1.47335e+11,1.25133,1,0.997806,1,1,0.998054,0.811599,1,0,1,0,2,"[1,1]","[1,1]","[71572.9,54928.5]","[1.35227,0.970522]","[-0.125163,-1.60125]","[147613,82892.8]","[-0.0136871,-0.00201416]","[1,-1]","[13,13]","[1,1]","[0,0]","[-341.122,503.835]","[-0.0125004,0.00133338]","[1.48254,0.212443]",27052.7,2.32574,2,"[44203.2,30144]","[1.2429,1.80447]","[2.4434,1.87304]","[83163.2,94146.2]","[1,1]","[0,0]","[0,0]","[-0.492979,-0.880283]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1105.12,150.787]",330.91,"[2625.58,2237.63]","[]","[]","[]"
