event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
113,284500,1018020,361108,1941.6,1950.63,5.61717e+10,0.351687,0.96179,0.982255,1,1,1.45737,0.93731,1,1,0,0,2,"[0,0]","[1,0]","[27375.9,17921.9]","[-0.00904171,-0.421337]","[0.156405,1.12414]","[27377,19536.7]","[0.0498991,-0.0713155]","[-1,1]","[11,13]","[1,1]","[0,0]","[-337.972,-1179.94]","[-0.0406267,0.00397082]","[4.29112,0.401756]",58732.8,0.588491,5,"[92816.5,32696.9,31161.2,23503.6,21292.3]","[0.41864,0.798404,-1.21185,0.516495,2.27045]","[-2.74709,0.329469,1.82735,-1.89991,-1.73972]","[101390,44106.2,57298,26914.1,104236]","[0.996903,0.968036,0.993035,0.998819,0.996485]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.805158,-0.725943,0.975988,-0.93395,-0.696434]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[62.6192,155.3]",17075.2,"[3278.84,2987.61,3749.54,1689.61,1959.87]","[]","[]","[]"
162,284500,1031539,361108,1940.61,1950.63,5.61717e+10,0.75088,1,0.994055,1,1,0.998459,0.874617,1,0,1,0,2,"[0,0]","[1,0]","[25411.6,11932.2]","[-0.353332,-1.21046]","[2.80823,-0.91353]","[27014.6,21794.6]","[0.0629005,0.0800858]","[-1,1]","[13,11]","[1,0]","[0,0]","[29.5081,-977.207]","[0.0565841,0.141705]","[7.76602,7.17756]",12588.3,-1.50528,1,"[28074.5]","[1.98266]","[0.714986]","[103884]","[0.962514]","[0]","[0]","[-0.950599]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[195.222,556.915]",2622.2,"[4224.5]","[]","[]","[]"
299,284500,1230370,361108,1941.88,1950.63,5.61717e+10,1.26205,0.879385,1,1,1,0.960336,0.98683,1,1,0,0,2,"[0,0]","[1,0]","[60542.9,15410.4]","[-0.84221,-1.56557]","[0.198423,3.00781]","[83314.6,38482.7]","[0.0033493,-0.00773621]","[-1,1]","[11,11]","[1,1]","[1512.23,0]","[2485.26,176.959]","[0.00279396,-0.000206678]","[0.215509,0.0090177]",10080.8,0.7697,2,"[32550.5,20825.4]","[-1.24002,-0.536733]","[-2.5318,2.97178]","[61185.5,24318.1]","[0.988807,0.992888]","[0,5]","[0,0]","[-0.921531,0.864569]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[114.031,322.753]",6120.73,"[6367.17,1190.46]","[]","[]","[]"
352,284500,1243189,361108,1941.1,1950.63,5.61717e+10,1.74563,0.974644,1,1,1,0.999443,1,1,1,0,0,2,"[0,0]","[1,0]","[56441.2,7413.61]","[1.54937,1.06237]","[1.97932,-2.69735]","[138870,12005.8]","[-0.136581,-0.185623]","[-1,1]","[11,11]","[0,0]","[0,1062.28]","[971.408,1222.48]","[-0.0405387,-0.0285935]","[3.98049,1.72547]",7526.73,3.06494,2,"[37207,27617]","[-0.14839,0.482673]","[-1.73019,-0.207926]","[38177.2,31681.1]","[0.990324,0.969759]","[0,0]","[0,0]","[-0.914287,-0.805355]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[393.523,118.759]",1652.67,"[4445.44,6924.12]","[]","[]","[]"
458,284500,17150,361108,1941.16,1950.63,5.61717e+10,0.923924,1,0.996093,1,1,1,0.981581,1,0,1,0,2,"[0,0]","[1,1]","[33917.5,28580.9]","[-1.57863,-1.50643]","[2.83696,-0.328096]","[85719.5,67626.9]","[-0.0169983,-0.0952911]","[-1,1]","[13,13]","[1,1]","[0,1728.2]","[-289.798,363.723]","[-0.0172753,0.00239708]","[1.65098,0.225459]",4749.91,-0.081728,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[580.887,392.683]",0,"[]","[]","[]","[]"
473,284500,14288,361108,1941.25,1950.63,5.61717e+10,1.26459,0.95586,0.997331,1,1,0.998446,0.97537,1,1,0,0,2,"[0,0]","[1,0]","[33819,26811.5]","[0.706306,0.710173]","[1.67194,-1.37032]","[42611.2,33861.8]","[0.291739,-0.00942802]","[-1,1]","[11,13]","[1,1]","[0,1794.33]","[-547.163,-250.335]","[0.0704968,0.0130359]","[5.72493,1.27257]",43053.5,-1.12023,1,"[27329.7]","[-2.2601]","[1.12167]","[132549]","[0.712869]","[0]","[0]","[-0.646077]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[45.5978,128.357]",4784.73,"[1840.45]","[]","[]","[]"
476,284500,4308,361108,1941.89,1950.63,5.61717e+10,1.1961,0.96126,0.993432,1,1,0.998467,0.954128,1,0,1,0,2,"[0,0]","[1,1]","[32810,26524.2]","[0.398691,0.25344]","[-0.0859379,2.12991]","[35452.6,27380.6]","[-0.254782,0.0248222]","[1,-1]","[13,11]","[1,1]","[0,0]","[-382.327,-195.454]","[0.155443,-0.0243808]","[19.2687,2.06848]",26860.9,-0.0426546,2,"[70600.5,27857.6]","[-0.233721,2.4726]","[-2.49776,1.43574]","[73028.1,166383]","[0.992327,1]","[0,0]","[0,0]","[-0.776962,-0.611573]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[185.969,328.459]",2776.89,"[4059.7,2132.97]","[]","[]","[]"
638,284500,1320791,361108,1941.6,1950.63,5.61717e+10,1.22586,1,0.989837,1,1,0.99872,1,1,1,0,0,2,"[0,0]","[1,1]","[28309.2,24821.4]","[-1.26951,-1.99302]","[2.41009,-1.39462]","[54355,92757.1]","[0.0397871,-0.0368938]","[1,-1]","[11,13]","[0,1]","[0,1430.72]","[482.219,-550.859]","[0.0351472,-0.0497737]","[1.47901,3.65958]",29472.2,-1.58101,1,"[34401.3]","[-2.28721]","[1.05172]","[171224]","[0.99]","[0]","[0]","[-0.869101]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[175.187,85.3394]",829.719,"[2268.46]","[]","[]","[]"
686,284500,1283067,361108,1941.88,1950.63,5.61717e+10,0.923924,1,0.993781,1,1,1,0.987456,1,0,1,0,2,"[0,0]","[1,0]","[32204.5,17821.5]","[2.06674,0.793058]","[-1.18085,1.97469]","[129231,23726.1]","[-0.00151443,0.0918102]","[-1,1]","[13,13]","[1,1]","[1084.86,2163.28]","[1716.12,-87.1086]","[0.0537556,0.00908466]","[4.59679,0.713434]",16193.4,-1.25802,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[523.073,22.8532]",11451.7,"[]","[]","[]","[]"
934,284500,1281556,361108,1940.09,1950.63,5.61717e+10,1.32095,0.96322,0.999368,1,1,0.999713,0.669586,1,0,1,0,2,"[0,0]","[1,0]","[29479.1,13254.9]","[0.777295,0.347545]","[0.20611,2.86435]","[38842.2,14063.5]","[0.0331135,0.0123186]","[1,-1]","[13,11]","[1,1]","[0,0]","[-595.298,1021.06]","[0.0192656,0.0418655]","[2.60735,3.10966]",17531,2.24524,1,"[32263]","[-0.16182]","[-0.971701]","[33116.7]","[0.967256]","[0]","[0]","[-0.0495933]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[71.941,86.4751]",2458.45,"[1972.66]","[]","[]","[]"
