event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
489,284500,4918626,363356,1,2.20355,3.43927e+06,0.923924,1,0.99262,1,1,0.998156,0.977623,1,0,1,0,2,"[0,0]","[1,1]","[70797.5,38905.7]","[-0.448043,-1.07834]","[0.899501,-0.761034]","[78023.3,63804.5]","[0.0241637,0.0320859]","[-1,1]","[13,13]","[0,1]","[1012.55,0]","[-625.831,10.9758]","[0.0107429,-0.000199945]","[1.96734,0.0248085]",18391,2.07982,2,"[42085.3,25756.3]","[-1.73195,-1.17549]","[-2.44782,-2.4448]","[122977,45874.7]","[0.984549,0.996514]","[0,0]","[0,0]","[-0.761145,-0.922144]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1244.73,307.167]",2720.78,"[3085.14,1757.81]","[]","[]","[]"
521,284500,4919287,363356,1,2.20355,3.43927e+06,0.75088,0.942423,1,1,1,0.996401,0.98871,1,1,0,0,2,"[0,0]","[1,1]","[64632.5,39111.2]","[-0.815204,-0.510195]","[2.12599,-0.015682]","[87324.5,44312.8]","[-0.02668,0.0119171]","[1,-1]","[11,11]","[1,1]","[0,1609.26]","[-478.571,4532.27]","[-0.0272266,0.00330843]","[2.24195,0.291494]",27009.4,-1.06659,3,"[83346.2,39393.3,24626.6]","[-0.186494,-1.53188,-1.62346]","[-2.42849,0.736001,-1.0678]","[85592.8,95654.8,64985.2]","[0.996582,0.980048,0.957601]","[0,0,0]","[0,0,0]","[-0.891422,-0.828678,-0.805476]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[131.312,106.472]",4741.27,"[3657.97,3134.81,2987.52]","[]","[]","[]"
1016,284500,4695280,363356,1,2.20355,3.43927e+06,0.351687,1.00634,0.996375,1,1,0.999193,0.964359,1,0,1,0,2,"[0,0]","[1,0]","[30523.1,8531]","[0.054494,0.0549631]","[0.46138,-1.81622]","[30568.6,8543.89]","[0.0223236,-0.0311527]","[-1,1]","[13,11]","[1,1]","[0,0]","[1507.22,744.142]","[-0.0346676,0.018574]","[4.54949,1.28247]",43214,-1.33884,1,"[46384.3]","[-1.41285]","[2.42614]","[101120]","[0.990885]","[0]","[0]","[-0.801972]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[32.4886,82.9979]",4400.2,"[6001.79]","[]","[]","[]"
1232,284500,4922914,363356,1,2.20355,3.43927e+06,0.738662,1,0.989948,1,1,1.09928,0.996734,1,0,1,0,2,"[0,0]","[1,0]","[42308.7,19233.2]","[-2.39614,-0.0790278]","[-0.053877,-1.93821]","[234217,19293.6]","[0.201395,-0.0476551]","[1,-1]","[13,13]","[1,1]","[2379.53,0]","[-737.998,-485.758]","[0.0187377,-0.037655]","[1.55633,3.65573]",57205.6,1.45209,2,"[45204.1,33928.8]","[0.0886089,-1.25981]","[1.90683,-2.12409]","[45998.9,64828.3]","[0.987072,0.979231]","[5,5]","[0,0]","[0.937997,0.977946]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[828.484,229.63]",10627,"[2440.16,7458.04]","[]","[]","[]"
2896,284500,4925410,363356,-1,2.20355,3.43927e+06,0.696077,0.950317,1,1,1,0.997429,1.00582,1,1,0,0,2,"[0,0]","[1,1]","[100504,69342.3]","[-0.460476,-1.1842]","[2.49575,1.7067]","[111349,123917]","[-0.00117588,-0.0226135]","[-1,1]","[11,11]","[1,1]","[0,0]","[622.955,-611.661]","[0.0066862,0.0269735]","[0.947387,2.56525]",9864.06,-1.11978,2,"[66286.8,21646.7]","[1.57959,-1.89949]","[-0.844478,1.72]","[167980,74060.8]","[0.994816,0.991132]","[0,0]","[0,0]","[-0.378233,-0.815105]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[322.333,326.537]",1771.32,"[2390.63,1663.61]","[]","[]","[]"
3041,284500,4930359,363356,-1,2.20355,3.43927e+06,0.923924,0.91808,1,1,1,0.996737,0.93664,1,1,0,0,2,"[0,0]","[1,1]","[52660.6,26517.1]","[-1.23792,0.094021]","[1.90257,-1.74508]","[98433.5,26634.4]","[0.022995,0.0720673]","[1,-1]","[11,11]","[1,1]","[0,5942.09]","[-364.278,1538.07]","[-0.00110492,0.00500232]","[0.105071,0.472583]",4075.68,-0.285135,3,"[28868.1,27489.7,24158.3]","[-0.7582,-1.80585,-0.585622]","[-1.12182,2.58513,-0.459553]","[37798.8,85950.7,28676.8]","[0.998511,0.987846,0.955744]","[0,0,0]","[0,0,0]","[-0.910074,-0.76173,-0.931633]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[214.492,32.5805]",3194.73,"[1839.07,2468.06,1806.92]","[]","[]","[]"
3760,284500,4919257,363356,1,2.20355,3.43927e+06,0.923924,1,0.993533,1,1,0.971533,0.611506,1,0,1,0,2,"[0,0]","[1,1]","[270385,59673.3]","[0.715479,1.47123]","[-2.04769,-2.15072]","[342594,136778]","[-0.0109053,-0.0671163]","[1,-1]","[13,13]","[1,1]","[0,0]","[-546.84,-418.882]","[-0.000874422,-0.0115188]","[0.10245,1.95144]",58972.2,0.633848,2,"[156915,23604.9]","[2.16979,1.25341]","[1.28988,2.57473]","[696096,44839.7]","[0.992689,0.891863]","[4,0]","[0,0]","[-0.911561,0.0862315]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[31536,726.733]",223.254,"[2765.4,2822.68]","[]","[]","[]"
4354,284500,4700925,363356,0.65205,2.20355,3.43927e+06,0.696077,0.950258,1,1,1,0.970708,0.96294,1,1,0,0,2,"[0,0]","[1,0]","[34995.9,11560.7]","[-0.696687,2.25235]","[-0.951957,0.0255035]","[43838,55579.3]","[-0.0175114,0.207165]","[-1,1]","[11,11]","[1,1]","[0,0]","[-374.578,1240.07]","[-0.0114436,-0.0165113]","[1.1726,0.456596]",25473.2,-2.26026,3,"[45007.4,35020.4,23314.6]","[1.44896,1.05204,2.23851]","[1.79752,-1.15287,2.878]","[101485,56679.3,110631]","[0.997902,0.975017,0.986963]","[0,4,0]","[0,0,0]","[-0.815306,-0.256738,-0.723355]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[77.3666,209.077]",7775.05,"[3747.21,5887.1,1684.81]","[]","[]","[]"
5204,284500,4909606,363356,-0.38926,2.20355,3.43927e+06,0.75088,0.952184,1,1,1,1.05056,1.00192,1,1,0,0,2,"[0,0]","[1,1]","[73676,57371.9]","[-0.114212,0.87894]","[3.0764,1.98495]","[74157,80996.7]","[-0.0489082,0.0589867]","[1,-1]","[11,11]","[1,1]","[0,0]","[1644.88,229.55]","[0.00503276,0.0574329]","[0.230306,2.68118]",37725.4,-0.737378,1,"[67284.5]","[0.304924]","[-0.254379]","[71160.3]","[0.97398]","[5]","[0]","[0.978028]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[449.551,509.784]",13103.2,"[1092.6]","[]","[]","[]"
5992,284500,4703350,363356,1.8371,2.20355,3.43927e+06,1.22586,0.941025,1,1,1,0.926276,0.99672,1,1,0,0,2,"[0,0]","[1,1]","[70672.4,32976.7]","[0.891097,-0.0248608]","[-0.0213019,-1.9909]","[100638,32986.9]","[0.0161705,-0.0253067]","[-1,1]","[11,11]","[1,1]","[0,0]","[-700.668,37.9089]","[0.0169283,0.0092176]","[1.88908,0.798546]",31005.2,-2.73839,6,"[70693.9,69966.1,37000,28734.2,28492.4,20961.9]","[-0.743265,0.215392,-0.716132,-1.73005,-0.520833,-2.48378]","[-0.416854,1.8157,2.8363,-2.42737,-2.90363,1.01918]","[91389.9,72461.3,47371.5,83660.7,32751.8,126570]","[0.99,0.988284,0.990674,0.977218,0.982106,0]","[0,0,5,5,0,0]","[0,0,0,0,0,0]","[-0.870598,-0.831667,0.193766,0.910516,-0.853572,-0.649895]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[309.787,73.8451]",3660.11,"[7073,1888.59,2779.83,4089.96,3529.38,1184.52]","[]","[]","[]"
