event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,6897737,363489,0.226922,11.42,1.11199e+06,1.26205,1,0.993815,1,1,0.999076,0.991139,1,0,1,0,2,"[1,0]","[1,0]","[67166.3,9152.73]","[1.17696,-0.940916]","[-2.03329,-1.70044]","[119311,13512.2]","[0.011528,0.0140457]","[1,-1]","[13,11]","[1,0]","[0,0]","[434.394,944.055]","[-0.00406583,-0.236287]","[0.592842,7.76233]",67530,-0.879019,1,"[114977]","[-0.916098]","[1.75897]","[168461]","[0.996145]","[0]","[0]","[-0.924728]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[966.997,75.441]",5967.83,"[7268.75]","[]","[]","[]"
14,284500,6715101,363489,0.226922,11.42,1.11199e+06,1.25133,1,1.00314,1,1,0.978252,1.03262,1,0,1,0,2,"[1,0]","[1,0]","[34476.1,25740.5]","[0.820232,0.021464]","[1.80999,-2.02377]","[46738.6,25746.6]","[0.0300732,-9.43177]","[-1,1]","[13,13]","[1,0]","[0,0]","[-501.532,-771.074]","[0.0233927,6.70698]","[2.81761,271.87]",54572.2,0.0348239,1,"[28737.2]","[1.69443]","[1.74825]","[80994.4]","[0.999678]","[4]","[0]","[-0.0501329]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[31.7351,189.769]",1779.96,"[1603.7]","[]","[]","[]"
19,284500,6905065,363489,0.226922,11.42,1.11199e+06,1.21412,0.97095,0.986954,1,1,0.989547,0.99593,1,1,0,0,2,"[1,0]","[1,0]","[35109.3,9038.92]","[-0.128652,1.372]","[-1.70183,-2.51941]","[35400.2,18967.8]","[0.0502167,0.424057]","[-1,-1]","[11,13]","[1,1]","[0,2037.84]","[-15.8224,650.408]","[0.0208054,0.020568]","[1.68312,1.08296]",54925.3,0.664957,3,"[31788.1,21784.2,21056.8]","[0.359634,0.837831,2.27519]","[2.73036,-2.59829,0.662849]","[34188.4,30151.2,103605]","[0.992635,0.933294,0.968846]","[0,0,4]","[0,0,0]","[-0.920296,-0.754335,-0.503817]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[86.3308,64.8393]",577.641,"[2198.28,4032.78,3850.27]","[]","[]","[]"
26,284500,6855788,363489,0.226922,11.42,1.11199e+06,0.696077,0.92778,0.998091,1,1,0.92175,0.91897,1,1,0,0,2,"[1,0]","[1,0]","[27048,7213.13]","[1.2303,0.961345]","[1.2585,1.57236]","[50234.5,10811.5]","[-0.032402,5.90287]","[1,-1]","[11,13]","[1,1]","[0,0]","[475.142,1080.23]","[-0.0794092,-0.0626376]","[3.80898,2.55291]",78368.2,0.770322,3,"[160658,141669,55778.5]","[0.735936,1.36252,1.9528]","[2.77998,-1.27875,-0.131029]","[206462,295569,200636]","[0,0.992018,0.997412]","[0,5,5]","[0,0,0]","[-0.745532,0.999898,0.772471]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[189.252,28.0885]",9948.88,"[2507.19,11281,6555.04]","[]","[]","[]"
28,284500,6860575,363489,0.226922,11.42,1.11199e+06,1.32095,0.93036,1.00369,1,1,0.997778,0.996719,1,0,1,0,2,"[1,0]","[1,0]","[132175,23205.4]","[1.32242,2.01964]","[2.86416,0.119371]","[265606,88973.2]","[-0.0265141,-0.176199]","[-1,-1]","[13,11]","[1,1]","[0,2884.85]","[-433.125,2430.36]","[0.0259201,0.0467806]","[5.16252,3.40619]",68694.2,0.0541918,2,"[72471.4,28127.2]","[0.505516,-1.87357]","[-1.70899,0.786007]","[82306.1,93830.1]","[0.995597,0.994858]","[0,0]","[0,0]","[-0.943315,-0.900182]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2003.53,178.528]",3458.74,"[9752.53,1774.35]","[]","[]","[]"
87,284500,6712927,363489,0.113384,11.42,1.11199e+06,0.619412,0.884146,1,1,1,0.885349,0.99672,1,1,0,0,2,"[1,0]","[1,0]","[66999,15399.6]","[0.881845,0.797567]","[2.71677,-0.327683]","[94782.5,20562.8]","[0.0267944,-0.0377617]","[1,-1]","[11,11]","[1,1]","[0,7847.61]","[1695.7,725.26]","[-0.014555,0.0141486]","[1.53357,1.11681]",51367.2,2.61119,1,"[105412]","[-0.344215]","[-0.52123]","[111949]","[0.995843]","[5]","[0]","[-0.576123]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[261.421,215.885]",3445.73,"[2864.16]","[]","[]","[]"
116,284500,6905637,363489,0.226922,11.42,1.11199e+06,1.32095,0.904915,1,1,1,0.978248,0.84038,1,1,0,0,2,"[1,0]","[1,0]","[28087.8,10418]","[1.80654,-1.25542]","[2.68288,1.1879]","[87824.6,19764.3]","[0.0227051,0.0722198]","[1,-1]","[11,11]","[1,1]","[2141.88,1300.39]","[574.361,623.72]","[-0.0101985,0.0148939]","[0.807814,0.608039]",27580.2,-0.107412,1,"[28359.4]","[1.32756]","[-1.83436]","[57453.3]","[0.994183]","[4]","[0]","[-0.854956]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[560.021,446.488]",265.152,"[2614.94]","[]","[]","[]"
151,284500,6912423,363489,0.226922,11.42,1.11199e+06,1.26459,0.97429,0.998091,1,1,0.883819,0.98653,1,1,0,0,2,"[1,0]","[1,0]","[57884.7,7293.48]","[0.326078,0.750508]","[0.13571,-1.57338]","[60989.4,9446.39]","[-0.0225639,0.211604]","[-1,1]","[11,13]","[1,1]","[0,3282.45]","[-389.717,962.084]","[0.00831815,-0.62699]","[0.822454,33.4123]",22930.6,-2.07255,1,"[45754.4]","[-0.678462]","[2.56695]","[57010.8]","[0.981906]","[5]","[0]","[-0.208826]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[327.475,15.6026]",300.918,"[2651.91]","[]","[]","[]"
166,284500,6907103,363489,0.226922,11.42,1.11199e+06,1.32095,1,0.995034,1,1,0.996673,0.94462,1,0,1,0,2,"[1,0]","[1,0]","[36998.5,7197.15]","[-0.0494069,-0.797496]","[2.00483,1.11968]","[37043.8,9609.75]","[0.0890813,-88.6465]","[1,1]","[13,11]","[1,0]","[1363.4,0]","[844.761,-2187.06]","[0.033884,0.0800036]","[3.89921,0.864439]",27374.3,-1.73075,2,"[45835.8,26018.6]","[2.3706,-2.03809]","[-2.13142,-0.165643]","[247548,101752]","[0.966269,0.961042]","[0,0]","[0,0]","[-0.658711,-0.913472]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[18.4261,201.175]",2103.73,"[2303.65,1956.08]","[]","[]","[]"
178,284500,6736762,363489,-0.226922,11.42,1.11199e+06,1.26205,1,0.995905,1,1,1.04379,0.99415,1,0,1,0,2,"[1,0]","[1,0]","[47381.7,20584.6]","[1.46901,1.71176]","[-0.52646,2.48123]","[108388,58864.2]","[0.081974,-2.74433]","[1,-1]","[13,11]","[1,0]","[0,0]","[-38.4865,2527.11]","[0.00773405,0.393596]","[0.966907,11.7306]",70867.8,3.0079,2,"[33815.1,25209]","[2.23837,-2.28183]","[-0.673222,0.581447]","[160465,124813]","[0.996152,0.901328]","[5,0]","[0,0]","[0.998899,-0.758279]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[279.817,151.83]",2975.09,"[2350.3,2415.4]","[]","[]","[]"
