event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
318,284500,144582,363490,1,1.2578,7.53871e+06,1.24168,1,0.992728,1,1,1,0.978959,1,0,1,0,2,"[1,1]","[1,1]","[46011.8,36391.6]","[-1.41941,-0.57169]","[0.236072,-2.49238]","[100686,42502.5]","[-0.00293732,0.0642052]","[-1,1]","[13,13]","[1,1]","[0,0]","[-773.904,220.83]","[-0.00694481,-0.0107286]","[0.792822,1.26539]",23386,2.55504,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[104.462,125.346]",0,"[]","[]","[]","[]"
344,284500,147050,363490,0.138489,1.2578,7.53871e+06,0.738662,1,0.971764,1,1,1.00078,0.824697,1,0,1,0,2,"[1,1]","[1,1]","[60928.2,24751.6]","[-0.425327,0.719407]","[-1.15358,1.35608]","[66522.9,31437.9]","[0.0265961,0.00789642]","[1,-1]","[13,13]","[1,1]","[0,0]","[-525.677,1029.59]","[-0.0127126,0.00737541]","[1.72802,0.80382]",50427,2.36888,2,"[62680.1,26589.2]","[-1.587,-1.36316]","[3.022,0.543469]","[159783,55755.6]","[0.929819,0.930088]","[0,15]","[0,1]","[-0.929911,-0.699296]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[916.773,115.304]",9236.03,"[3560.55,4648.18]","[]","[]","[]"
1505,284500,550798,363490,0.177334,1.2578,7.53871e+06,1.26205,0.898588,1,1,1,0.998311,0.86806,1,1,0,0,2,"[1,1]","[1,1]","[32249.4,29030.3]","[-0.987129,-2.18186]","[0.165333,2.82383]","[49279.8,130282]","[-0.0260038,0.186094]","[-1,1]","[11,11]","[1,1]","[0,0]","[-120.986,467.297]","[0.0123814,0.000332811]","[1.10803,0.0248466]",10229.8,1.40964,1,"[28414.8]","[-1.83293]","[-1.8328]","[91134.2]","[0.988397]","[0]","[0]","[-0.870213]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[194.886,82.3653]",2665.08,"[2439.11]","[]","[]","[]"
2352,284500,146690,363490,1,1.2578,7.53871e+06,0.619412,0.973355,1,1,1,1,0.97155,1,1,0,0,2,"[1,1]","[1,0]","[139867,9269.22]","[2.40724,0.445517]","[-1.9211,-1.54241]","[782789,10204.4]","[-0.00543976,0.0606461]","[1,-1]","[11,11]","[1,1]","[28755,0]","[-1329.28,455.707]","[0.0055922,-0.0226637]","[0.422159,0.9039]",131246,1.22882,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1486.37,48.7548]",1150.52,"[]","[]","[]","[]"
2745,284500,568707,363490,1,1.2578,7.53871e+06,0.738662,0.837091,1,1,1,1,0,1,1,0,0,2,"[1,1]","[1,0]","[26385.7,17171.1]","[-1.84894,0.794963]","[0.586833,-2.37092]","[85891.8,22888.7]","[0.260956,0.0519409]","[-1,1]","[11,11]","[1,1]","[0,0]","[1173.81,594.971]","[0.006755,-0.0353102]","[0.124666,2.11782]",8991.89,-2.19407,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[354.12,429.742]",0,"[]","[]","[]","[]"
2844,284500,574025,363490,1,1.2578,7.53871e+06,1.22586,0.912846,1,1,1,0.999215,1.02555,1,1,0,0,2,"[1,1]","[1,1]","[47194.2,33499]","[1.83469,0.605288]","[-2.62584,0.193493]","[151561,39825.3]","[0.0170249,0.0368981]","[1,-1]","[11,11]","[1,1]","[0,0]","[319.858,709.96]","[-0.0509174,0.02147]","[2.15802,1.57137]",7140.13,-2.75191,1,"[25561.1]","[1.05341]","[1.00699]","[41227.7]","[0.84003]","[0]","[0]","[-0.912709]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[112.629,117.343]",2434.89,"[3961.09]","[]","[]","[]"
6017,284500,3809,363490,1,1.2578,7.53871e+06,0.596562,0.90349,0.996255,1,1,1,0.971843,1,0,1,0,2,"[1,1]","[1,0]","[29145.6,15731.6]","[-0.889832,-1.64893]","[1.18244,-2.0894]","[41466.2,42425.6]","[0.0206757,-0.0722275]","[1,1]","[13,11]","[1,1]","[0,0]","[346.897,1615.07]","[-0.0321813,0.0277073]","[3.9219,1.46463]",20002,-1.51731,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[35.5222,563.363]",0,"[]","[]","[]","[]"
6408,284500,356938,363490,1,1.2578,7.53871e+06,0.619412,0.858374,1,1,1,0.998152,1.01168,1,1,0,0,2,"[1,1]","[1,0]","[38807.4,11560.8]","[2.37604,1.04971]","[2.32865,-1.30951]","[210629,18536.8]","[-0.206751,-0.00867844]","[-1,1]","[11,11]","[1,1]","[0,0]","[2801.67,-512.953]","[0.0588444,-0.0248735]","[2.89307,1.70377]",7605.13,-1.38439,1,"[29413.6]","[1.484]","[-0.229807]","[68237.4]","[0.965449]","[0]","[0]","[-0.772465]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[87.2741,101.225]",567.609,"[4541.29]","[]","[]","[]"
7390,284500,356954,363490,1,1.2578,7.53871e+06,0.696077,1,0.996176,1,1,0.99853,0.897128,1,0,1,0,2,"[0,1]","[1,0]","[73499.1,20831]","[0.724934,1.52352]","[-0.870914,2.31365]","[93672.8,50059.8]","[-0.0156736,0.027133]","[1,1]","[13,13]","[1,1]","[0,0]","[-784.56,2102.4]","[-0.00249,0.00162205]","[0.428327,0.142409]",12880,-0.389152,2,"[87163.6,21529.1]","[2.06036,-1.05963]","[1.62619,-2.27505]","[347669,35024.4]","[0.997879,0.970529]","[0,0]","[0,0]","[-0.900185,-0.100429]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[358.876,108.928]",1141.86,"[2634.11,1633.5]","[]","[]","[]"
8574,284500,1449207,363490,0.100471,1.2578,7.53871e+06,0.619412,0.909716,1,1,1,0.990813,1.00056,1,1,0,0,2,"[1,1]","[1,0]","[64400.2,21969.2]","[0.232611,-1.55902]","[-0.447666,1.11288]","[66150.3,54532.9]","[-0.00916672,0.0395279]","[-1,1]","[11,11]","[1,1]","[1134.18,0]","[109.043,4895.21]","[0.0315275,-0.00276964]","[2.70922,0.145688]",20258.6,0.778722,4,"[140609,70798.1,40002.4,25046.3]","[-2.32567,-1.13477,-1.9376,-1.84507]","[2.53962,-0.905203,-2.395,-1.04266]","[726659,121594,141757,81349.5]","[0.995319,0.989231,1,1]","[0,15,15,0]","[0,1,1,0]","[0.125146,-0.97132,-0.638292,-0.431166]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[146.23,272.988]",4841.12,"[3316.87,3227.11,4084.3,1725.51]","[]","[]","[]"
