event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
659,284500,4779842,363491,1,4.6049,5.44148e+06,0.402058,0.897195,1,1,1,1,0.96677,1,1,0,0,2,"[1,1]","[1,0]","[57484.5,17670.2]","[0.727596,-0.110896]","[-0.6603,1.762]","[73383.7,17778.9]","[0.0215225,0.101765]","[-1,1]","[11,11]","[1,1]","[0,0]","[-325.496,-100.019]","[0.00253181,-0.00501151]","[0.250014,0.395669]",33300.7,3.09709,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[107.875,182.986]",0.933594,"[]","[]","[]","[]"
2444,284500,3170456,363491,0.1,4.6049,5.44148e+06,1.25133,0.98536,0.997152,1,1,0.996865,0.9918,1,1,0,0,2,"[1,1]","[1,0]","[80333.2,8352.45]","[-0.778488,0.812139]","[-1.54299,-1.50961]","[105930,11262.2]","[-0.0546341,-0.00582123]","[-1,1]","[11,13]","[1,1]","[0,0]","[315.258,-413.545]","[0.00242868,-0.001173]","[0.209741,0.0597256]",28121.6,1.87681,3,"[36976.6,22758.8,21279]","[0.252512,-0.799368,-1.76229]","[1.667,-0.184517,1.9834]","[38682.8,30691.2,63927.2]","[1,0.982585,0.978866]","[0,0,0]","[0,0,0]","[-0.35798,-0.898242,-0.83096]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[324.041,32.8896]",2503.53,"[4930.93,3180.18,1544.77]","[]","[]","[]"
4279,284500,4606837,363491,0.121069,4.6049,5.44148e+06,0.934886,0.97538,0.998043,1,1,0.998159,1.01508,1,1,1,0,2,"[1,1]","[1,1]","[117038,43413.8]","[-1.73634,-1.36449]","[2.31464,-2.90065]","[342494,90501.2]","[-0.00549316,0.0315866]","[1,-1]","[11,13]","[1,1]","[0,0]","[-854.334,188.116]","[0.0242503,0.0196799]","[2.92882,1.98203]",32832.4,-0.0178915,2,"[89859.1,37990.1]","[0.715751,-1.48618]","[-0.884171,-1.38203]","[114497,88410.5]","[0.994081,0.989834]","[0,0]","[0,0]","[-0.920661,-0.971947]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1096.13,138.195]",1498.8,"[2454.32,3541.07]","[]","[]","[]"
6585,284500,4608377,363491,0.110756,4.6049,5.44148e+06,0.351687,0.955,0.995931,1,1,0.962993,1.02555,1,1,0,0,2,"[1,1]","[1,0]","[47153.7,12035.7]","[1.91848,0.224645]","[1.14793,1.21892]","[164035,12341.2]","[-0.0378819,0.0640831]","[1,-1]","[11,13]","[1,1]","[0,0]","[708.276,1926.3]","[-0.0158732,-0.018846]","[0.480563,0.969709]",155141,2.99845,7,"[233916,90787.1,64799.4,51093.9,46091.9,28990.6,23076.3]","[0.524442,-1.78677,0.21914,0.589193,-0.136586,-1.92276,1.08415]","[-0.753254,1.99209,2.65765,0.301113,-0.555701,1.47638,-0.831045]","[268002,279010,66755.8,60695,46831.9,101389,38376.8]","[0.994888,0.999167,0.980483,0.994828,0.996263,0.933647,0.991374]","[0,0,0,4,0,0,0]","[0,0,0,0,0,0,0]","[-0.6736,-0.625665,-0.90423,-0.887398,-0.868865,-0.269074,-0.398189]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[625.734,63.9915]",7074.41,"[7786.08,2345.78,3194.62,1130.2,4471.08,5936.08,2766.97]","[]","[]","[]"
7787,284500,4823561,363491,-1,4.6049,5.44148e+06,1.32095,0.916246,1,1,1,1,0.96793,1,1,0,0,2,"[1,1]","[1,1]","[43060.8,40577.6]","[-1.12647,-1.15612]","[-0.440844,2.81095]","[73395.5,70854.5]","[-0.0321999,0.0219188]","[-1,1]","[11,11]","[1,1]","[0,0]","[368.249,855.199]","[0.0237131,-0.00735067]","[2.59827,0.704654]",20560.3,-1.94441,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[68.1216,30.2719]",4039.64,"[]","[]","[]","[]"
8462,284500,4774171,363491,-1,4.6049,5.44148e+06,1.1961,0.911148,1,1,1,1,0.9244,1,1,0,0,2,"[1,1]","[1,0]","[48950.9,32559.4]","[1.19843,0.751315]","[0.142915,-2.80506]","[88517.7,42189.3]","[-0.0193176,0.00289154]","[-1,1]","[11,11]","[1,0]","[0,0]","[-1052.69,1928.09]","[-0.00553053,-0.0167334]","[0.6248,1.34147]",38562.3,-2.52372,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[324.286,262.218]",6027.41,"[]","[]","[]","[]"
8748,284500,4601638,363491,0.100029,4.6049,5.44148e+06,1.1961,0.918374,1,1,1,0.997981,1.01532,1,1,0,0,2,"[1,1]","[1,1]","[53296.2,42105.2]","[2.0695,2.12356]","[3.09152,-0.608769]","[214440,178536]","[0.0141716,-0.00219345]","[-1,1]","[11,11]","[1,1]","[0,1164.64]","[-379.755,-564.348]","[-0.0015827,0.00382213]","[0.106421,0.201309]",50459.6,-2.79849,3,"[116113,79495.1,23975.7]","[1.26427,0.0905011,0.296704]","[-0.382345,2.63791,-3.0505]","[222296,80745.3,25482.4]","[0.995285,0.992058,0.988256]","[0,0,0]","[0,0,0]","[-0.543687,-0.757143,0.201347]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[139.179,100.796]",8536.09,"[8396.91,3127.21,4971.4]","[]","[]","[]"
14148,284500,4814654,363491,1,4.6049,5.44148e+06,1.55465,0.882081,1,1,1,0.998043,0.95625,1,1,0,0,2,"[1,1]","[1,0]","[61053.2,24161.8]","[-2.42549,-1.68693]","[-2.17553,1.22491]","[347888,67507.3]","[0.16094,-0.0272026]","[-1,1]","[11,11]","[1,1]","[0,5195.36]","[459.879,-152.856]","[0.00680711,0.0146587]","[0.421613,0.682359]",17778,0.11627,1,"[20720.7]","[-2.24799]","[1.24084]","[99251.6]","[0.982986]","[0]","[0]","[-0.616673]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[859.939,248.454]",10934.9,"[1181.91]","[]","[]","[]"
14635,284500,3508069,363491,-1,4.6049,5.44148e+06,1.32095,0.95942,0.993424,1,1,0.979113,0.750637,1,0,1,0,2,"[1,1]","[1,1]","[36027.2,24027.3]","[0.57179,0.06509]","[2.29041,2.21492]","[42079,24078.2]","[0.0160904,-0.0409317]","[-1,-1]","[13,11]","[1,1]","[1257.87,0]","[-493.505,-572.338]","[-0.0108495,-0.0385117]","[1.52422,3.0819]",19697.4,-1.64803,2,"[26205.3,26200.5]","[1.75427,2.46097]","[-0.740491,-1.03488]","[78068.3,154642]","[1,0]","[4,0]","[0,0]","[-0.758822,-0.606688]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[125.067,64.1465]",3212.3,"[5486.21,2235.49]","[]","[]","[]"
14673,284500,3785955,363491,0.156877,4.6049,5.44148e+06,0.696077,0.97388,0.992824,1,1,0.999191,0.98854,1,1,1,0,2,"[1,1]","[1,1]","[70497.9,42727.9]","[-0.423333,-0.342096]","[-1.98799,0.760958]","[76909.8,45252.6]","[0.0498352,-0.0312424]","[1,-1]","[13,11]","[1,1]","[0,0]","[508.027,1187.66]","[0.0247281,-0.039835]","[4.02717,3.95872]",26336.7,-1.51027,2,"[79481.9,52896]","[-1.2734,0.736722]","[2.34451,-0.126875]","[154192,68410.3]","[1,0.996024]","[0,0]","[0,0]","[-0.948676,-0.914579]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2769.68,65.8105]",5312.8,"[8436.94,2507.86]","[]","[]","[]"
