event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
459,284500,74791,363492,-1,12.466,5.03926e+06,0.934886,0.910062,1,1,1,1,0.99806,1,1,0,0,2,"[1,1]","[1,0]","[39529.8,11971]","[-1.58155,-0.84275]","[-2.72543,-2.72651]","[100172,16479.7]","[-0.0250397,0.01157]","[1,-1]","[11,11]","[1,1]","[0,0]","[-291.76,197.885]","[0.0164258,0.00980094]","[1.39454,0.229755]",54220,0.602648,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[86.3648,140.043]",0,"[]","[]","[]","[]"
2233,284500,363221,363492,0.111554,12.466,5.03926e+06,0.75088,0.99963,0.988987,1,1,0.998742,0.991244,1,0,1,0,2,"[1,1]","[1,0]","[71396.4,12242.8]","[-1.60035,-2.15824]","[-0.513271,-0.287262]","[184082,53693.4]","[0.0917358,-0.16983]","[1,-1]","[13,11]","[1,0]","[0,3854.27]","[-490.036,218.321]","[0.00108965,0.055904]","[0.14587,1.12619]",52694.4,2.80041,1,"[34836.7]","[-1.62446]","[2.45263]","[92173.9]","[0.996086]","[0]","[0]","[-0.912875]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2118.72,74.0267]",2069.83,"[3002.31]","[]","[]","[]"
2949,284500,703711,363492,0.275171,12.466,5.03926e+06,1.55465,1,0.9937,1,1,0.998906,0.760669,1,0,1,0,2,"[1,0]","[1,0]","[95699.8,11584]","[0.961759,0.183861]","[-1.54341,1.20739]","[143479,11780.8]","[-0.0119781,0.0755844]","[-1,1]","[13,13]","[1,1]","[0,2352.76]","[-310.816,-310.816]","[0.0019715,0.0408666]","[0.342422,2.93447]",103877,1.64066,1,"[41026]","[1.84902]","[-1.86621]","[133619]","[1]","[0]","[0]","[-0.747143]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[257.438,60.3524]",9363.54,"[2577.33]","[]","[]","[]"
5211,284500,686,363492,1.51515,12.466,5.03926e+06,0.738662,0.871685,1,1,1,1,0.93588,1,1,0,0,2,"[1,0]","[1,0]","[37374.4,22898.2]","[-1.22398,-1.71875]","[2.67997,-1.03387]","[69044.4,65911.1]","[-0.068552,0.420279]","[1,-1]","[11,11]","[1,1]","[0,0]","[-746.455,2034.38]","[0.00181862,-0.0393721]","[0.136495,0.803473]",25619.5,-0.147075,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[120.55,182.115]",0,"[]","[]","[]","[]"
5600,284500,66139,363492,1,12.466,5.03926e+06,1.24168,0.96218,0.992251,1,1,1,0.95786,1,1,0,0,2,"[1,0]","[1,0]","[35157.7,9958.83]","[0.713183,-0.0779355]","[2.87321,2.62828]","[44484.3,9989.64]","[0.00585938,0.0881119]","[1,-1]","[11,13]","[1,1]","[0,0]","[1161.32,1636.43]","[-0.0207529,-0.125984]","[2.24341,7.98472]",42860.6,-0.312365,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[105.624,19.7787]",0,"[]","[]","[]","[]"
7722,284500,376410,363492,-1,12.466,5.03926e+06,1.21412,0.97738,0.99582,1,1,1,1.00056,1,1,0,0,2,"[1,1]","[1,1]","[62355.9,24614.3]","[0.136726,-1.10906]","[2.8546,0.306574]","[62939.7,41369.1]","[0.0224571,-0.000106812]","[-1,1]","[11,13]","[1,1]","[0,0]","[1191.41,-315.509]","[-0.00934679,0.0212142]","[1.40681,1.94192]",113508,0.218639,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[90.8644,76.3752]",1532.27,"[]","[]","[]","[]"
8555,284500,63239,363492,0.1,12.466,5.03926e+06,0.402058,0.90349,1,1,1,0.995022,1.00632,1,1,0,0,2,"[1,1]","[1,0]","[132017,23192]","[0.438509,-1.3169]","[-3.07023,0.206448]","[144915,46381.5]","[-0.0606786,-0.303097]","[-1,1]","[11,11]","[1,1]","[0,0]","[730.612,-355.171]","[-0.0185359,-0.0419101]","[3.08709,1.63954]",25482.9,2.24257,5,"[213080,82462.8,77320.4,28911.3,23016.1]","[1.75434,2.45492,-0.641212,-1.0209,1.87351]","[1.04146,-1.53888,-2.49646,3.10403,-1.80602]","[634432,483772,93984.9,45802.2,76835.6]","[0.902755,1,0.999899,0.99,0.991183]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.913799,-0.70308,-0.361108,-0.777851,-0.641503]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[632.673,110.62]",366.902,"[5246.9,3675.2,4742.43,3791.92,1616.23]","[]","[]","[]"
11957,284500,57298,363492,0.112745,12.466,5.03926e+06,1.21412,1,0.986813,1,1,0.961065,1.00958,1,0,1,0,2,"[1,1]","[1,1]","[174233,96852.8]","[1.04191,1.65715]","[0.627061,2.38947]","[277676,263198]","[-0.0448608,-0.0520782]","[1,-1]","[13,13]","[0,1]","[0,0]","[820.245,-188.816]","[0.0222433,-0.0137304]","[3.53916,2.32872]",54220.3,0.072116,1,"[215553]","[0.365872]","[-2.2423]","[233587]","[0.99]","[4]","[0]","[-0.863835]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12093.8,908.156]",3468.23,"[5246.01]","[]","[]","[]"
13571,284500,709890,363492,0.1,12.466,5.03926e+06,1.32095,0.96819,0.985404,1,1,0.998456,0.95922,1,1,0,0,2,"[1,1]","[1,0]","[45257.6,14093.2]","[-0.984426,1.17918]","[-0.71951,2.2959]","[69016.2,25080.7]","[0.00781441,-0.0639992]","[-1,1]","[11,13]","[1,1]","[0,0]","[611.792,-169.875]","[-0.00190962,-0.00499259]","[0.15366,0.437938]",86956.1,-2.13132,3,"[241537,203743,48249.1]","[-0.0973044,0.28555,0.836042]","[0.35736,2.90102,-1.81664]","[244389,212612,67064.6]","[0.992343,1,1]","[0,0,0]","[0,0,0]","[0.422153,-0.880126,-0.759152]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[77.7527,53.0719]",1291.49,"[3893.2,7492.05,5499.05]","[]","[]","[]"
14906,284500,413700,363492,1,12.466,5.03926e+06,0.696077,0.920717,1,1,1,0.998038,0.93884,1,1,0,0,2,"[0,0]","[1,1]","[54495.4,37767.8]","[1.28051,-0.70726]","[-1.11397,2.48029]","[105622,47614.3]","[-0.0126495,0.0147552]","[1,-1]","[11,11]","[1,1]","[0,1149.07]","[2047.71,-140.925]","[-0.0181279,0.0369333]","[0.933402,2.46526]",1907.6,0.194333,1,"[24804.9]","[-1.81127]","[1.7586]","[77998.4]","[0.99182]","[0]","[0]","[-0.445857]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[615.132,75.3989]",3454.59,"[5293.83]","[]","[]","[]"
14988,284500,59397,363492,0.1028,12.466,5.03926e+06,1.22586,0.96199,0.997804,1,1,0.958823,0.9309,1,0,1,0,2,"[1,1]","[1,0]","[33158,10504.2]","[0.975484,0.948955]","[1.76027,-0.475138]","[50225.6,15599.5]","[-0.0175481,-0.0129781]","[1,-1]","[13,11]","[1,0]","[0,0]","[4037.68,99.7853]","[-0.0166553,-0.00584592]","[2.06703,0.242268]",74835.4,-2.47928,2,"[65599.8,25009.5]","[0.100392,-2.10601]","[0.152336,2.33949]","[66274.9,104344]","[0.994159,0.984095]","[4,0]","[0,0]","[0.0740656,-0.909813]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[94.7101,73.1991]",1293.17,"[1817.35,1704.64]","[]","[]","[]"
