event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1215,284500,63303,364105,-1,12.5054,2.05347e+06,0.00220911,1,1.01636,1,1,1.04931,0.86261,1,0,1,0,2,"[1,1]","[0,1]","[88547.3,26536.1]","[0.0611064,0.042015]","[2.32821,-0.0440834]","[88712.8,26559.7]","[-0.0252302,-0.00538349]","[1,-1]","[13,13]","[0,1]","[1819.77,0]","[9.73865,-272.154]","[-0.00839367,-9.41772e-05]","[1.3631,0.00860105]",19567.2,-1.62635,1,"[53073.2]","[0.374176]","[-1.02772]","[57019]","[0.990245]","[5]","[0]","[0.993377]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1093.06,150.341]",1253.56,"[2055.36]","[]","[]","[]"
1324,284500,86050,364105,1,12.5054,2.05347e+06,1.1961,1,0.98597,1,1,1,1.00076,1,0,1,0,2,"[1,1]","[1,0]","[95630.2,17788.8]","[2.40168,1.65203]","[-2.02724,1.41263]","[532293,48111.8]","[-0.154302,0.0840397]","[1,-1]","[13,13]","[1,1]","[0,0]","[-511.633,63.9728]","[0.0251044,-0.0285212]","[3.44485,2.12938]",10222.3,0.888533,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2199.44,167.464]",15130.3,"[]","[]","[]","[]"
3738,284500,94670,364105,1,12.5054,2.05347e+06,0.402058,1,0.970384,1,1,0.881398,0.842471,1,0,1,0,2,"[1,1]","[1,1]","[74141.2,43037.9]","[-0.699257,-1.74947]","[1.07702,2.33293]","[93018,127509]","[-0.0350037,-0.0276413]","[1,-1]","[13,13]","[1,1]","[0,1862.06]","[-430.353,1185.44]","[-0.0171706,0.00886254]","[2.65601,1.25904]",18796.2,1.69602,2,"[84063.7,21865.9]","[-1.50629,1.22037]","[-1.7366,-2.27169]","[199092,40314.8]","[0.997794,0.906456]","[5,0]","[0,0]","[0.574124,-0.236111]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1391,115.637]",3790.5,"[1732.04,1640.7]","[]","[]","[]"
3928,284500,109622,364105,1,12.5054,2.05347e+06,1.1961,1,0.978119,1,1,0.998154,1.0019,1,0,1,0,2,"[1,1]","[1,0]","[31628.7,31081.1]","[1.8501,1.4491]","[2.74183,-0.805722]","[103073,69840.5]","[0.0123482,0.0117149]","[-1,1]","[13,13]","[1,1]","[0,0]","[367.639,93.1736]","[0.000420667,0.000569712]","[0.0474328,0.0680507]",34360.6,0.709366,1,"[23386.6]","[-2.18936]","[-1.5196]","[105751]","[0.985896]","[0]","[0]","[-0.825436]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[99.9753,146.258]",13785.6,"[1977.35]","[]","[]","[]"
6150,284500,112625,364105,1,12.5054,2.05347e+06,0.696077,1,0.992664,1,1,1.0313,0.995967,1,0,1,0,2,"[1,1]","[1,1]","[55914.6,37156.9]","[-1.25558,-0.529634]","[-0.833646,1.3999]","[106092,42491.5]","[-0.0951042,0.0694199]","[1,-1]","[13,13]","[1,1]","[0,0]","[-860.518,-29.6329]","[-0.00188112,0.0177225]","[0.175712,2.23557]",23710.1,0.000995118,2,"[66108.4,24626.5]","[0.443663,0.835798]","[-2.64809,1.48069]","[73170.3,34251.6]","[0.994399,0.950156]","[5,4]","[0,0]","[0.999887,-0.681649]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[90.648,189.935]",130.496,"[1127.14,1396.69]","[]","[]","[]"
7253,284500,25046,364105,1,12.5054,2.05347e+06,1.55465,1,0.976444,1,1,0.998825,0.749061,1,0,1,0,2,"[1,1]","[1,0]","[117858,38207.9]","[-0.0962861,-0.977257]","[-2.33214,2.89578]","[118405,57951.9]","[0.0326691,-0.0352516]","[1,-1]","[13,13]","[1,1]","[0,0]","[-443.728,-367.083]","[-0.00166353,0.0149843]","[0.203749,1.73239]",5137.64,-2.91747,1,"[138515]","[-1.12979]","[0.5694]","[237448]","[0.996562]","[0]","[0]","[-0.935287]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8625.13,340.623]",2414.3,"[3686.43]","[]","[]","[]"
8095,284500,96208,364105,1,12.5054,2.05347e+06,0.187531,1,0.970539,1,1,1.04929,0.97395,1,0,1,0,2,"[1,1]","[1,1]","[62503.2,47139.7]","[-1.99522,-1.71649]","[-1.10754,-3.11167]","[234067,135400]","[0.164146,-0.0184669]","[1,-1]","[13,13]","[0,1]","[0,0]","[-149.109,2524.78]","[-0.010082,0.0351236]","[1.39468,4.06085]",5969.43,0.998843,2,"[41190,39618.9]","[1.41772,-0.529109]","[2.24378,0.68643]","[90296.6,46087.2]","[0.98973,0.995126]","[0,5]","[0,0]","[-0.719897,0.95295]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[243.531,369.738]",436.236,"[3455.49,1372.68]","[]","[]","[]"
11580,284500,19576,364105,-1,12.5054,2.05347e+06,0.187531,1,0.995253,1,1,1.03923,0.931335,1,0,1,0,2,"[1,1]","[1,1]","[40746.2,26116.3]","[1.56692,-0.212289]","[-2.66859,1.4372]","[101877,26707.3]","[-0.033844,0.0198059]","[-1,1]","[13,13]","[1,1]","[0,0]","[564.209,-197.404]","[-0.0116891,0.00276625]","[1.29794,0.385451]",2211.7,-2.00881,1,"[31301]","[-1.58541]","[-1.01342]","[79861.3]","[0.993914]","[5]","[0]","[0.99942]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[282.445,183.762]",3766.08,"[6184.03]","[]","[]","[]"
16224,284500,72729,364105,1,12.5054,2.05347e+06,0.738662,1,0.988026,1,1,0.998937,0.994982,1,0,1,0,2,"[1,1]","[1,1]","[69292.7,58582.5]","[-1.76611,-2.30544]","[2.19458,-2.60678]","[208538,296670]","[0.0129662,0.15102]","[-1,1]","[13,13]","[1,1]","[0,0]","[579.148,3.03741]","[0.00082038,0.000646624]","[0.09447,0.0911661]",60725.4,-2.90207,1,"[126517]","[-0.927871]","[-0.372179]","[185558]","[0.988527]","[0]","[0]","[-0.590326]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[656.29,245.918]",8846.23,"[3755.95]","[]","[]","[]"
17196,284500,145524,364105,1,12.5054,2.05347e+06,1.22586,1,0.992828,1,1,0.856132,0.997038,1,0,1,0,2,"[1,1]","[1,1]","[111814,55305]","[1.95511,1.48605]","[0.620999,-0.667847]","[402880,128470]","[-0.034709,-0.032114]","[-1,1]","[13,13]","[1,1]","[0,0]","[-550.409,-926.585]","[-0.00995928,0.0148023]","[1.44106,1.45575]",27326,-1.06077,2,"[105830,47936.4]","[0.495846,-0.161252]","[2.80653,-2.1606]","[120852,49399.6]","[0.999279,0.982525]","[5,4]","[0,0]","[-0.443915,-0.814281]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1037.87,421.426]",1714.98,"[1821.19,5028.47]","[]","[]","[]"
