event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1080,284500,81600,364107,1,9.14513,1.96171e+06,1.21412,1,0.772829,1,1,0.967168,0.993442,1,0,1,0,2,"[1,1]","[1,0]","[114076,46132.8]","[-2.05845,-2.65867]","[-0.199662,0.8996]","[454107,330942]","[0.105772,-50.7618]","[1,-1]","[13,13]","[1,0]","[0,0]","[345.363,-266.535]","[-0.000845235,0.652923]","[0.143491,0.108996]",1907.68,2.48405,2,"[57339,45944.9]","[-1.83202,-0.363945]","[2.21201,2.73028]","[183828,49378.2]","[0.996476,0.99]","[0,4]","[0,0]","[-0.875239,-0.573479]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3547.84,172.557]",11325.8,"[2763.51,4173.62]","[]","[]","[]"
1120,284500,82738,364107,1,9.14513,1.96171e+06,0.75088,1,0.986233,1,1,0.96155,0.947147,1,0,1,0,2,"[1,1]","[1,1]","[163273,87243.6]","[-1.83393,-1.06722]","[1.86547,1.8123]","[523962,141826]","[0.000902176,-0.0121746]","[-1,1]","[13,13]","[1,1]","[0,7290.07]","[-451.408,2318.29]","[-0.00208797,0.0105474]","[0.29971,1.6463]",58887.2,0.15293,4,"[198966,36813.9,31721.5,23083]","[-0.884609,-0.318088,-1.97622,-1.65081]","[-1.10969,-1.85819,-3.10437,-2.0909]","[284738,39199.3,116745,62627.3]","[0.995495,0.997497,0.9779,0.768986]","[4,0,0,0]","[0,0,0,0]","[0.508291,-0.917009,-0.526705,-0.611546]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5168.02,4352.43]",89.4727,"[1713.93,2896.44,3273.1,2094.79]","[]","[]","[]"
1207,284500,83862,364107,-1.23297,9.14513,1.96171e+06,1.74563,1,1.00013,1,1,0.999494,0.961157,1,0,1,0,2,"[1,1]","[1,1]","[75297.7,30624.5]","[-0.039467,0.0756242]","[2.08488,-0.0675918]","[75356.4,30712.3]","[0.0804558,-0.00219345]","[-1,1]","[13,13]","[1,1]","[0,0]","[147.964,-38.4017]","[-0.010443,0.0159564]","[1.77473,1.72724]",8060.47,2.35727,1,"[87813.6]","[1.24489]","[-2.09318]","[165354]","[1]","[0]","[0]","[-0.915022]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[361.596,126.133]",20103.5,"[8366.73]","[]","[]","[]"
1359,284500,90810,364107,1,9.14513,1.96171e+06,0.923924,1,0.992943,1,1,0.997434,0.998811,1,0,1,0,2,"[1,1]","[1,1]","[60334.3,48902.8]","[1.20634,0.511137]","[2.90377,-2.05173]","[109825,55431.4]","[0.00959778,-0.000591278]","[-1,1]","[13,13]","[1,1]","[0,0]","[-865.86,-44.4052]","[-0.022085,0.00219409]","[2.91391,0.307091]",16326.4,-2.88261,3,"[93178,36923.4,23274]","[-1.76176,-0.655528,-1.34619]","[-0.108477,2.53718,0.0364466]","[279497,45850.9,47901.3]","[0.991574,0.991567,0.928822]","[0,0,0]","[0,0,0]","[-0.938441,-0.857252,-0.840476]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[934.102,556.743]",13682.1,"[2427.66,5910.39,2886.05]","[]","[]","[]"
1424,284500,114610,364107,1.21032,9.14513,1.96171e+06,1.1961,1,0.993614,1,1,0.998774,1.00914,1,0,1,0,2,"[1,1]","[1,1]","[147463,23765.8]","[-1.1832,-1.02039]","[1.04776,-0.606769]","[263304,37249.8]","[0.0741768,0.00422192]","[-1,1]","[13,13]","[1,1]","[0,0]","[-782.469,-521.405]","[-0.0079899,-0.00267091]","[1.31733,0.180101]",13006.5,0.610225,1,"[145719]","[0.27648]","[-2.14751]","[151990]","[0.992891]","[0]","[0]","[-0.941716]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2114.37,116.455]",2447.57,"[2818.69]","[]","[]","[]"
4235,284500,130228,364107,1.01252,9.14513,1.96171e+06,0,1,0.990329,1,1,0.971322,0.994245,1,0,1,0,2,"[1,1]","[1,1]","[162336,27287.3]","[1.23764,1.85824]","[0.966111,-0.563433]","[303368,89617]","[-0.0189438,-0.0791206]","[1,-1]","[13,13]","[1,1]","[2055.16,0]","[232.391,-109.749]","[-0.0162445,-0.0155327]","[3.46408,1.55492]",26510.9,-2.35197,4,"[92561.1,54939.4,38075.2,35744.2]","[2.09593,1.63639,0.776161,0.0965602]","[-2.23986,-2.60023,1.4362,-1.6912]","[382289,146582,50853.6,36650.2]","[0.992251,0.898502,0.976062,0.986403]","[0,0,4,0]","[0,0,0,0]","[-0.886072,-0.873665,-0.464448,-0.889439]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3171.29,83.8159]",12147.5,"[5526.97,9024.52,3522.54,2584]","[]","[]","[]"
4615,284500,311630,364107,-1,9.14513,1.96171e+06,1.25133,1,0.991551,1,1,0.962909,0.881991,1,0,1,0,2,"[1,1]","[1,1]","[113481,80467.5]","[0.290286,-0.125675]","[-0.990222,-1.8659]","[118296,81103.9]","[-0.0118027,-0.0687103]","[1,-1]","[13,13]","[0,1]","[0,0]","[135.93,-857.497]","[-0.00152149,0.0126952]","[0.26721,2.07268]",18036.4,-2.01272,2,"[147503,21255.4]","[-0.450186,-0.954899]","[1.7008,2.01611]","[163575,31985.5]","[0.999655,0.985765]","[4,0]","[0,0]","[-0.961859,-0.892387]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5189.42,4124.81]",7474.03,"[9176.5,1862.93]","[]","[]","[]"
4781,284500,66136,364107,1,9.14513,1.96171e+06,0.738662,1,0.994152,1,1,1,0.895519,1,0,1,0,2,"[1,1]","[1,1]","[53746.2,49970]","[1.15187,0.82051]","[-2.49764,1.61912]","[93522.2,67756.1]","[0.0292091,-0.0860825]","[1,-1]","[13,13]","[1,1]","[0,0]","[-873.589,831.578]","[0.00308081,-0.0193997]","[0.376061,2.01249]",22465.5,-2.93857,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[621.462,168.19]",1699.4,"[]","[]","[]","[]"
4846,284500,74723,364107,-1,9.14513,1.96171e+06,1.25133,1,0.995313,1,1,1.48063,0.839747,1,0,1,0,2,"[1,1]","[1,1]","[127855,42655.8]","[-0.567405,-0.675498]","[2.94034,1.5916]","[148995,52763.4]","[0.000228882,-0.00991058]","[-1,1]","[13,13]","[1,1]","[1343.22,0]","[-331.162,1075.26]","[-0.00798687,0.00523031]","[1.59159,0.505382]",12449.2,0.39075,1,"[130111]","[-1.6786]","[-0.578554]","[361354]","[0.999925]","[4]","[0]","[0.903963]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4592.06,84.0837]",8867.38,"[11763]","[]","[]","[]"
5201,284500,76445,364107,1,9.14513,1.96171e+06,0.75088,1,0.988384,1,1,0.954645,0.914822,1,0,1,0,2,"[1,1]","[1,1]","[60406.7,59895.1]","[-0.113583,-0.305856]","[-0.776428,-2.54389]","[60796.9,62718.6]","[-0.0419617,0.0415154]","[-1,1]","[13,13]","[1,1]","[0,0]","[-819.302,-886.763]","[0.0358807,-0.0025661]","[6.3836,0.405232]",16482.6,-0.734909,2,"[32673.7,27794.3]","[0.0122991,-0.731798]","[2.91275,2.09674]","[33467.1,35829.1]","[0.948808,0.991683]","[4,4]","[0,0]","[-0.819205,-0.210703]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[453.093,738.528]",1634.89,"[1994.93,2897.52]","[]","[]","[]"
