event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
322,284500,20383,364112,1.02814,1.7426,2.94471e+06,1.21412,1,0.994684,1,1,1.03635,0.862908,1,0,1,0,2,"[1,1]","[1,0]","[65144.4,13521.2]","[1.02149,-1.02363]","[-2.17109,1.3966]","[102192,21245.8]","[-0.0128956,-0.0774174]","[1,-1]","[13,13]","[1,1]","[0,1038.3]","[-604.426,-604.426]","[0.00374151,0.000353066]","[0.581445,0.029386]",10042.9,0.0353632,6,"[268651,197825,99366.5,49031.4,23325.9,20874.4]","[0.671474,-1.08235,2.07513,0.985109,-0.00873683,0.0653767]","[-2.67963,0.598259,0.997649,-0.867318,1.23249,-1.26066]","[331651,325858,402180,75354.8,23739.7,21195.7]","[0.997456,1,0.989273,0.992995,0.912293,0.961525]","[0,0,5,0,0,0]","[0,0,0,0,0,0]","[-0.694465,-0.889484,0.998694,-0.8928,-0.53113,-0.578816]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[876.276,94.3117]",866.396,"[6742.81,4510.59,2115.86,3540.33,4340.03,2842.07]","[]","[]","[]"
416,284500,167575,364112,1,1.7426,2.94471e+06,0.351687,1,0.98963,1,1,0.997232,0.336768,1,0,1,0,2,"[1,1]","[0,1]","[212337,120558]","[0.211659,0.658525]","[-0.243909,0.1371]","[217111,147656]","[-0.0162201,0.0134125]","[1,-1]","[13,13]","[1,1]","[0,0]","[323.498,-777.801]","[0.0138142,0.00714144]","[2.89103,1.54584]",33423.1,-1.65071,4,"[319922,250232,177970,68111.5]","[2.16184,1.5938,0.659392,1.03795]","[-1.69974,2.13387,2.33754,2.6827]","[1.40866e+06,641664,220472,108608]","[0.997259,0.999779,0.996673,0.997909]","[0,0,0,0]","[0,0,0,0]","[-0.33819,-0.942927,-0.232013,-0.883636]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1462.69,994.553]",3966.22,"[5384.1,8958.22,4166.19,2102.29]","[]","[]","[]"
1056,284500,181658,364112,1,1.7426,2.94471e+06,1.1961,1,0.98368,1,1,0.99743,1.0239,1,0,1,0,2,"[1,1]","[1,1]","[57846.2,49350.3]","[1.51587,1.96393]","[-0.16901,1.80688]","[138050,179330]","[-0.0625763,0.0151405]","[1,-1]","[13,13]","[1,1]","[2117.68,0]","[596.136,-246.56]","[-0.0104345,-0.00694567]","[1.53033,0.874429]",17698.1,-2.98189,4,"[308917,217994,131690,67204.5]","[0.140125,-1.05713,1.14477,0.823235]","[2.98508,-0.460169,0.0399456,2.85939]","[315921,351915,228141,91790.4]","[0.996925,0.993974,0.997704,0.987026]","[0,0,0,0]","[0,0,0,0]","[-0.964695,-0.893815,-0.909566,-0.917626]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[800.069,447.835]",3767.74,"[3244.43,7804.99,2703.85,2120.93]","[]","[]","[]"
1827,284500,169676,364112,1,1.7426,2.94471e+06,1.24168,1,0.983478,1,1,1,0.923924,1,0,1,0,2,"[1,1]","[1,0]","[553700,57038.4]","[-0.236301,0.0653118]","[-1.34142,-1.62463]","[569231,57160.2]","[-0.0957375,0.153839]","[1,-1]","[13,13]","[1,0]","[0,0]","[1614.07,-289.4]","[-0.020972,-0.032505]","[4.13317,4.33846]",23254,-0.693257,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[49762.9,295.883]",3818.39,"[]","[]","[]","[]"
2100,284500,177481,364112,1,1.7426,2.94471e+06,1.55465,1,0.992001,1,1,0.996241,0.851197,1,0,1,0,2,"[1,1]","[0,1]","[128803,62790]","[-0.227689,0.113797]","[2.92303,1.92828]","[132157,63197.1]","[0.0392113,0.0431213]","[1,-1]","[13,13]","[1,1]","[0,0]","[-435.583,1078.84]","[-0.0431989,-0.0148159]","[7.66308,2.19875]",17452.9,0.339224,4,"[162327,152426,107301,50673.7]","[-0.569479,-0.516737,-1.88109,-0.745039]","[-0.0555866,-0.915476,-3.12022,1.99329]","[190343,174213,360389,65819.1]","[0.994713,0.995724,0.998953,1]","[0,0,0,0]","[0,0,0,0]","[0.0708335,-0.785865,-0.869702,-0.955115]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2770.14,221.672]",3595.42,"[2331.45,5976.36,3878.09,2056.21]","[]","[]","[]"
2558,284500,1493,364112,1.11117,1.7426,2.94471e+06,0.553627,1,0.990824,1,1,0.995572,1.00611,1,0,1,0,2,"[1,1]","[1,1]","[66225.8,39624.3]","[-0.601246,0.900196]","[-3.1036,2.43442]","[78561.1,56793.1]","[-0.037735,-0.0406113]","[1,-1]","[13,13]","[1,1]","[0,0]","[-456.073,-304.411]","[0.01385,0.0331978]","[2.22611,3.20943]",53039.7,1.39472,3,"[194043,181275,114898]","[-0.15943,-0.982952,-1.74944]","[2.02281,-0.857887,-1.27919]","[197548,277398,340779]","[0.99137,1,0.99918]","[5,0,0]","[0,0,0]","[0.995448,-0.941492,-0.864366]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[638.181,85.5544]",8162.6,"[2008.01,10477.6,2545.19]","[]","[]","[]"
2950,284500,21143,364112,1,1.7426,2.94471e+06,0.75088,1,0.997289,1,1,0.964051,1.12914,1,0,1,0,2,"[1,1]","[1,1]","[291587,219440]","[-0.977291,-1.2605]","[-2.99368,-2.8133]","[442277,418109]","[0.00933075,0.0263214]","[-1,1]","[13,13]","[1,1]","[0,1257.47]","[-646.117,-559.858]","[-0.0228348,-0.0286647]","[4.66636,5.47303]",19327.8,-2.39806,1,"[566557]","[-1.00194]","[0.243386]","[875995]","[0.995893]","[4]","[0]","[-0.811348]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[27233.6,13063.2]",1592.68,"[7185.45]","[]","[]","[]"
3439,284500,178345,364112,1,1.7426,2.94471e+06,0.619412,1,1.00069,1,1,0.995123,0.923452,1,0,1,0,2,"[1,1]","[0,1]","[150296,64684.8]","[0.019638,0.588367]","[2.36092,1.62765]","[150325,76207.7]","[0.0188141,0.0958862]","[-1,1]","[13,13]","[0,1]","[0,0]","[5971.32,-78.9565]","[0.0166737,0.0205382]","[2.11885,2.73936]",2961.34,1.20524,5,"[249150,119598,90536.3,42593.6,28603.1]","[1.37842,0.440706,2.47879,0.813197,1.38345]","[-0.959294,2.56709,-0.428061,2.22369,-1.40725]","[526549,133108,543948,57908.5,60641.8]","[0.943974,0.996694,0.99,0.876821,0.990099]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.901374,-0.950205,-0.816534,-0.957725,-0.936318]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3224.03,543.85]",9385.7,"[5614.36,3722.96,5249.12,3577.33,3512.47]","[]","[]","[]"
3680,284500,182277,364112,1,1.7426,2.94471e+06,1.26205,1,0.994192,1,1,0.996655,0.839039,1,0,1,0,2,"[1,1]","[1,1]","[97047.3,57429.6]","[-0.514301,-1.53707]","[-0.595765,-1.14259]","[110168,139725]","[-0.0170334,0.0741565]","[1,-1]","[13,13]","[1,1]","[0,0]","[536.343,208.818]","[-0.0242503,-0.0294995]","[3.55795,3.54558]",70828.5,2.30831,3,"[148937,36306.1,26727]","[-1.00968,-1.70857,-1.10044]","[-0.513626,-3.00965,-2.90774]","[231638,103643,44998.6]","[0.999905,1,0.997038]","[0,0,0]","[0,0,0]","[-0.952437,-0.7267,-0.775454]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3186.69,1939.69]",943.219,"[2480.65,2117.44,4415.32]","[]","[]","[]"
4544,284500,170661,364112,1,1.7426,2.94471e+06,0.696077,1,0.988251,1,1,0.992914,0.986238,1,0,1,0,2,"[1,1]","[1,1]","[107521,37672.5]","[-1.24146,-0.557163]","[-2.08857,2.8055]","[201581,43672.8]","[0.0609055,-0.0230789]","[-1,1]","[13,13]","[1,1]","[0,0]","[-653.026,-868.344]","[0.0164556,0.0261181]","[2.64805,4.00102]",24656.2,-0.327814,6,"[249060,44824.1,37606,34320.6,24410.1,22565.5]","[-0.377235,1.25302,0.456404,2.21267,2.18045,2.13066]","[1.83088,-1.58516,2.2433,0.385062,-0.946258,0.883666]","[267806,85143.9,42046.4,158865,109487,96410.7]","[0.996257,0.994569,1,1,0.973847,0.983248]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.875426,-0.895556,-0.926421,-0.888935,-0.799296,-0.886713]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6908.12,203.13]",543.295,"[10340,4218.43,2407.71,2241.72,1939.51,2449.45]","[]","[]","[]"
4896,284500,180312,364112,1,1.7426,2.94471e+06,0.934886,1,0.988996,1,1,0.977287,0.826478,1,0,1,0,2,"[1,1]","[1,1]","[430595,174763]","[0.243986,-0.0855367]","[-1.38298,-1.40162]","[443475,175403]","[-0.0961151,0.0691223]","[-1,1]","[13,13]","[1,1]","[0,0]","[3.37683,3934.6]","[0.0390913,0.0273471]","[7.32045,4.75861]",38475.4,-3.1244,5,"[501690,200678,48736.3,30301.5,26446.2]","[-0.531492,-2.04661,-0.776482,-1.79701,-0.660823]","[1.98686,0.855718,-2.63628,-0.304476,2.53974]","[576341,789904,64564.9,93981,32529.6]","[0.984271,0.985431,0.994625,0.975659,0.934317]","[0,0,0,0,4]","[0,0,0,0,0]","[-0.947601,-0.888461,-0.75059,-0.818004,-0.52142]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[108644,5347.64]",7818.33,"[6390.6,6814.45,3100.58,4598.65,1191.23]","[]","[]","[]"
5177,284500,186521,364112,1,1.7426,2.94471e+06,0.923924,1,0.979214,1,1,0.99825,0.750637,1,0,1,0,2,"[1,1]","[1,0]","[82511,18634.4]","[0.530418,1.92634]","[2.38811,-1.03459]","[94392.6,65313.6]","[0.0149803,0.436174]","[-1,1]","[13,13]","[1,1]","[0,0]","[766.706,-49.9886]","[-0.000589215,0.015187]","[0.110626,0.912865]",10584.8,-1.22857,3,"[239221,98713.4,34213.7]","[0.128264,-0.664276,-0.974577]","[-3.03998,-0.162165,-2.65027]","[244476,121614,52285.7]","[0.99818,0.997623,0.950841]","[0,0,0]","[0,0,0]","[-0.168614,-0.943008,-0.933034]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1055.94,68.3086]",36260.9,"[14621.4,5551.42,4100.17]","[]","[]","[]"
5915,284500,174406,364112,1,1.7426,2.94471e+06,1.26459,1,0.996743,1,1,0.996996,0.669586,1,0,1,0,2,"[1,1]","[1,1]","[148733,101836]","[0.663865,1.39316]","[0.72432,0.822477]","[182729,217718]","[0.0770416,0.0446625]","[1,-1]","[13,13]","[1,1]","[0,0]","[-696.015,-365.39]","[-0.00610929,-0.00472157]","[0.995676,0.636555]",32206.5,-2.12525,3,"[289214,92042.2,22042.7]","[0.644326,1.097,2.01733]","[-3.06314,-0.0590579,-0.86076]","[353112,153569,84436.3]","[0.990008,0.993237,0.92727]","[0,0,0]","[0,0,0]","[-0.878157,-0.821722,-0.896073]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2410.88,2765.84]",12489.2,"[6133.11,3577.92,4331.06]","[]","[]","[]"
6756,284500,18018,364112,-1,1.7426,2.94471e+06,1.1961,1,0.997176,1,1,0.998576,0.971998,1,0,1,0,2,"[1,1]","[1,1]","[420286,27793.7]","[-0.909595,-1.20999]","[1.77931,2.53482]","[606473,50746.4]","[0.0043087,0.0259361]","[-1,1]","[13,13]","[1,1]","[0,0]","[1235.29,-373.004]","[0.0117673,0.00185705]","[2.83724,0.164061]",24401.6,-1.31871,2,"[437688,68930]","[-2.21268,-0.941407]","[-1.42481,-0.682492]","[2.02447e+06,102396]","[0.9972,0.993557]","[0,0]","[0,0]","[-0.92286,-0.925591]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[18525.2,66.3379]",4388.69,"[6843.15,4741.72]","[]","[]","[]"
