event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1905,284500,232224,364119,1,12.7388,2.04319e+06,0.738662,0.937388,1,1,1,0.999432,1.00493,1,1,0,0,2,"[1,1]","[1,1]","[95349.2,48071.2]","[-1.32003,-2.20896]","[-0.757907,-2.64857]","[191206,221513]","[-0.00158024,-0.106725]","[1,-1]","[11,11]","[1,1]","[0,0]","[-802.104,585.819]","[0.00207482,-0.00115791]","[0.195155,0.0754532]",28517.3,-1.8344,1,"[114623]","[-1.23751]","[1.77979]","[214562]","[0.993187]","[0]","[0]","[-0.777757]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[713.748,142.853]",12595.7,"[13814.3]","[]","[]","[]"
2146,284500,235934,364119,1,12.7388,2.04319e+06,0.75088,0.91808,1,1,1,0.998877,0.93664,1,1,0,0,2,"[1,1]","[1,1]","[54792.6,25743.6]","[-1.20839,0.238656]","[1.10512,-2.77028]","[99907.8,26480.2]","[-0.0103116,-0.0350709]","[-1,1]","[11,11]","[1,1]","[0,0]","[-470.759,648.548]","[0.0272467,-0.0450227]","[2.13094,1.85687]",25227.4,1.83173,2,"[40340.5,25671.2]","[1.01204,0.366783]","[-1.99527,-1.11508]","[63126.5,27794.2]","[0.981511,0.984948]","[0,0]","[0,0]","[-0.512481,-0.451453]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[117.799,39.8064]",3162.29,"[2848.75,2423.5]","[]","[]","[]"
3261,284500,589579,364119,1,12.7388,2.04319e+06,0.923924,0.926633,1,1,1,0.999658,0.9244,1,1,0,0,2,"[1,1]","[1,1]","[47632.1,45212.7]","[-0.343807,1.16223]","[-0.48936,0.543506]","[50475.1,79344.6]","[-0.20059,-0.0475144]","[-1,1]","[11,11]","[1,1]","[2743.66,0]","[2791.59,2885.26]","[-0.000338037,0.0180547]","[0.0288933,1.69833]",14028.7,2.55377,1,"[63207.2]","[0.215411]","[-3.01827]","[65144.6]","[0.999199]","[0]","[0]","[-0.187234]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[144.931,51.8686]",2607.64,"[3392.5]","[]","[]","[]"
3545,284500,809130,364119,1,12.7388,2.04319e+06,1.74563,0.931007,1,1,1,0.999019,0.99866,1,1,0,0,2,"[1,1]","[1,0]","[106861,39359.7]","[-1.04913,-1.68461]","[-2.14486,-0.788266]","[171266,109732]","[0.0724287,-0.0458384]","[-1,1]","[11,11]","[1,0]","[0,0]","[359.217,900.309]","[-0.00953532,-0.00141877]","[1.26052,0.133767]",13491.7,-2.97204,1,"[128928]","[-2.01311]","[1.15347]","[491286]","[0.981167]","[0]","[0]","[-0.574824]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[755.256,181.578]",2041.85,"[6054.43]","[]","[]","[]"
3758,284500,18254,364119,1,12.7388,2.04319e+06,0.923924,0.919674,1,1,1,0.956603,1.01807,1,1,0,0,2,"[1,1]","[1,1]","[53021.4,44067.9]","[-1.55496,-2.14191]","[-0.767317,1.53944]","[131124,190221]","[0.0507393,-0.139297]","[1,-1]","[11,11]","[1,1]","[0,0]","[894.509,1997.02]","[-0.00349038,0.0578839]","[0.263771,1.3268]",8672.83,-0.416322,2,"[65960.3,23803.4]","[-2.134,-0.448412]","[-1.63268,2.56594]","[282747,26624.4]","[0.977904,0.92161]","[4,0]","[0,0]","[-0.688197,-0.896411]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[356.618,310.744]",3364.53,"[1663.72,2227.42]","[]","[]","[]"
8010,284500,3587,364119,-1,12.7388,2.04319e+06,1.21412,0.90349,1,1,1,0.919647,1.00632,1,1,0,0,2,"[1,1]","[1,0]","[93917,20162.8]","[0.412461,-1.15739]","[-0.425771,0.607134]","[102020,35243.8]","[0.0292053,-0.0655479]","[1,-1]","[11,11]","[1,1]","[0,1119.81]","[2916.96,3255.83]","[0.00494274,0.00309477]","[0.634222,0.214555]",49844.4,-3.13639,3,"[56123.6,55737.7,25761]","[-0.468019,-0.272858,0.0958683]","[1.96261,-2.56015,0.00135074]","[63008.8,58194.1,26333.5]","[0.994183,0.98651,0.981309]","[5,5,0]","[0,0,0]","[0.99999,0.7141,-0.747674]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[630.706,155.724]",566.578,"[1204.98,1275.78,2098.26]","[]","[]","[]"
9376,284500,212324,364119,1,12.7388,2.04319e+06,1.26205,0.94138,1,1,1,1.03322,1.00493,1,1,0,0,2,"[1,1]","[1,1]","[82769.7,27748.1]","[-1.24442,-0.211159]","[2.38944,-2.09669]","[155567,28369.1]","[-0.00627136,-0.0612259]","[-1,1]","[11,11]","[1,1]","[0,0]","[516.811,-657.17]","[-0.00943528,0.0334421]","[0.761046,3.25018]",29408.8,2.66983,3,"[119383,23069.5,20368.8]","[-1.32692,0.53341,-1.88675]","[-0.572713,0.909733,-2.98666]","[241195,26712.4,68914]","[0.995499,0.989277,0.994469]","[5,0,0]","[0,0,0]","[0.999725,-0.821734,-0.738545]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[494.356,78.5581]",3012.71,"[2077.13,2359.79,2488.29]","[]","[]","[]"
10728,284500,7870,364119,1,12.7388,2.04319e+06,0.923924,0.906879,1,1,1,0.869064,0.93884,1,1,0,0,2,"[1,1]","[1,1]","[54001,35566.7]","[1.30794,2.28956]","[-1.29392,0.392923]","[107163,177333]","[0.00188065,0.0520248]","[1,-1]","[11,11]","[1,1]","[0,0]","[1022.45,2067.23]","[-0.0015676,-0.0109506]","[0.178114,0.674758]",6796.02,-1.01942,1,"[64492]","[0.877353]","[2.43685]","[91473.8]","[0.969671]","[5]","[0]","[0.656407]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[187.864,249.221]",5000.72,"[5298.18]","[]","[]","[]"
12545,284500,237055,364119,-1,12.7388,2.04319e+06,1.21412,0.934431,1,1,1,0.99699,0.99756,1,1,0,0,2,"[1,1]","[1,1]","[76767.6,29712.6]","[0.0566413,0.175042]","[2.23583,-0.155583]","[76890.8,30168.9]","[0.138748,-0.0256996]","[-1,1]","[11,11]","[1,1]","[0,1117.29]","[154.46,770.369]","[-0.016956,0.0033412]","[2.13568,0.289613]",51589.5,2.50373,3,"[88208.5,37363.8,21372.7]","[-0.935699,-0.222886,-1.77574]","[-1.61202,0.65663,-1.34872]","[130093,38614.4,65012.6]","[0.986252,0.991878,0.792377]","[0,0,0]","[0,0,0]","[-0.886279,-0.787525,0.498695]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[157.967,171.03]",5270.22,"[3983.64,4661.82,1307.69]","[]","[]","[]"
12905,284500,255605,364119,1,12.7388,2.04319e+06,1.24168,0.95061,1,1,1,1.02911,1,1,1,0,0,2,"[1,1]","[1,1]","[60711.9,33375.3]","[0.65609,-0.647395]","[-2.63021,-1.03157]","[74254.2,40617.2]","[0.948212,-0.0472012]","[1,-1]","[11,11]","[0,1]","[1094.04,0]","[1715.07,-465.32]","[-0.00443636,0.00558166]","[0.173155,0.505319]",19364,0.0985438,2,"[37823.2,28535.5]","[-0.391278,0.252856]","[1.063,1.53865]","[40892.8,29931.7]","[0.989184,1]","[0,5]","[0,0]","[-0.85539,0.996896]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[303.715,75.1338]",2480.95,"[5873.65,5208.11]","[]","[]","[]"
