event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
566,284500,12293,364123,-1,4.79684,1.66573e+06,0.75088,0.954439,1,1,1,0.997761,1.00306,1,1,0,0,2,"[1,1]","[1,0]","[236035,21300.8]","[1.00715,0.938255]","[-2.21644,-0.848529]","[366213,31384.9]","[0.00337219,0.0265579]","[-1,1]","[11,11]","[1,1]","[0,0]","[-1432.03,-473.417]","[0.0202821,-0.00729742]","[3.08259,0.587772]",4173.69,1.82942,4,"[292296,65818.8,60744.3,42894.4]","[-0.39085,-1.78783,-2.16302,0.394204]","[1.54808,-0.848047,0.118979,-1.42285]","[316275,202331,267745,46465.5]","[0.991509,0.996195,0.991815,1]","[0,0,0,0]","[0,0,0,0]","[-0.949971,-0.850603,-0.76009,-0.920799]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2560.86,178.876]",1070.92,"[5372.41,5083.56,2965.59,2239.14]","[]","[]","[]"
1683,284500,276517,364123,1,4.79684,1.66573e+06,1.22586,0.941655,1,1,1,0.997306,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[83421.7,30820.6]","[-1.06544,-0.96691]","[0.0568098,-2.11851]","[135422,46385.9]","[0.0185566,-0.0628586]","[-1,1]","[11,11]","[1,1]","[0,0]","[5228.41,81.2612]","[0.00504578,-0.00674595]","[0.626268,0.662415]",23515,2.08947,3,"[145084,97011,49683.6]","[-0.233532,-1.03084,1.58664]","[1.8446,-1.45076,-2.55936]","[150412,153651,126897]","[1,0.999643,0.98088]","[0,0,0]","[0,0,0]","[-0.86666,-0.91603,-0.792623]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[553.195,132.631]",14226,"[4139.48,12413.8,3896.05]","[]","[]","[]"
2349,284500,391470,364123,1,4.79684,1.66573e+06,1.22586,0.927513,1,1,1,0.996574,1.00058,1,1,0,0,2,"[1,1]","[1,1]","[53149.3,45639.7]","[-1.61257,-1.607]","[0.531001,2.62211]","[138588,118397]","[-0.0563278,0.0482712]","[-1,1]","[11,11]","[1,1]","[0,0]","[762.784,-123.849]","[-0.00533696,-0.0222386]","[0.418064,1.21111]",31762.7,-2.77041,4,"[148485,97334.4,96058.7,21623.3]","[2.1338,0.825207,-0.656005,-1.07731]","[0.184685,-2.12656,2.79886,0.472927]","[636186,133308,117706,35770.3]","[0.990935,0.991689,0.994159,0.91124]","[0,0,0,0]","[0,0,0,0]","[0.683326,-0.916605,-0.911371,-0.594302]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[301.321,228.107]",10763.5,"[3147.17,10068.1,3455.63,1689.17]","[]","[]","[]"
2615,284500,404671,364123,1,4.79684,1.66573e+06,0.923924,0.887531,1,1,1,0.995509,0.95625,1,1,0,0,2,"[1,1]","[1,1]","[71635.8,35737.1]","[-2.40753,-1.13554]","[1.81444,0.620257]","[401035,61362.5]","[-0.520325,-0.0212326]","[-1,1]","[11,11]","[1,1]","[0,0]","[318.942,-1219.3]","[0.00587839,-0.0313075]","[0.496298,1.80196]",31220,2.81991,5,"[137288,119200,33769.1,20655.1,20260.4]","[0.944157,0.029001,0.538141,-0.658728,-0.579927]","[-2.6978,0.184313,-1.2318,-1.81401,-0.334724]","[204146,119777,39091.1,25652.7,24247.6]","[0.997657,0.99674,0.993624,0.966029,0.860897]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.916412,-0.90414,-0.912174,-0.893408,-0.899182]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1227.78,483.441]",3517.11,"[2784.15,3110.78,2677.59,1234.25,1130.46]","[]","[]","[]"
3023,284500,1389,364123,1,4.79684,1.66573e+06,0.506784,0.914327,1,1,1,0.998292,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[256046,29578.2]","[-0.909712,-1.53931]","[-2.04965,-1.18506]","[369505,72109.9]","[0.0129623,-0.023365]","[1,-1]","[11,11]","[1,1]","[0,0]","[-1415.02,733.823]","[0.0167435,-0.00199944]","[1.72439,0.145303]",2628,-2.94493,1,"[29853.1]","[-1.22668]","[1.17211]","[55584.2]","[1]","[0]","[0]","[-0.879681]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3086.62,303.317]",2598.08,"[3310.81]","[]","[]","[]"
3721,284500,253823,364123,1,4.79684,1.66573e+06,0.696077,0.917439,1,1,1,0.996227,0.95498,1,1,0,0,2,"[1,1]","[1,1]","[55894.6,31199.2]","[-0.701436,-0.0154409]","[-0.0668554,-2.62604]","[70218.1,31203]","[-0.0192757,0.0239067]","[1,-1]","[11,11]","[1,1]","[0,0]","[-23.7516,-223.534]","[-0.029854,0.0462525]","[0.988234,3.99263]",32824.1,2.35759,3,"[174990,172876,24432.2]","[-0.131752,-0.796723,1.27648]","[-0.840333,2.4812,0.79849]","[177285,232381,47468.2]","[0.925609,0.982591,0.941352]","[0,0,0]","[0,0,0]","[-0.399159,-0.953487,-0.395774]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[173.221,176.562]",3013.37,"[3168.11,4163.15,2723.26]","[]","[]","[]"
3783,284500,254304,364123,-1,4.79684,1.66573e+06,1.24168,0.97677,1,1,1,0.996767,1.00306,1,1,0,0,2,"[1,1]","[1,1]","[210371,46351.9]","[0.87511,0.886113]","[2.14469,3.0747]","[296197,65771.9]","[0.00597429,0.0230532]","[-1,1]","[11,11]","[1,1]","[0,0]","[-1152.62,1394.18]","[0.0522513,-0.0223047]","[2.77167,1.92864]",42844,-1.52972,3,"[139318,119637,21231.8]","[-0.44936,-0.587634,-1.0244]","[-1.23631,-0.141761,1.87048]","[153850,142069,33574.3]","[0.999937,0.999663,0.595462]","[0,0,0]","[0,0,0]","[-0.911342,-0.910237,-0.899714]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2015.56,39.0007]",961.273,"[2171.02,2278.41,1618.68]","[]","[]","[]"
3959,284500,256956,364123,1,4.79684,1.66573e+06,1.26205,0.940753,1,1,1,0.997511,0.98683,1,1,0,0,2,"[1,1]","[1,1]","[61244.8,30712.2]","[-1.04695,-0.427019]","[-1.95813,0.4908]","[97990.2,33555.1]","[0.0220356,-0.0239868]","[-1,1]","[11,11]","[1,1]","[0,0]","[-717.692,-1156.32]","[0.0032543,-0.0355347]","[0.289781,1.96638]",30573.2,0.0480617,4,"[117606,47204.3,42734.6,28965.9]","[-0.221387,-0.774402,0.128173,0.698154]","[1.99288,1.73571,-2.97352,-1.39996]","[120843,62800.6,43313.9,36781.3]","[0.942309,1,0.984346,0.994661]","[0,0,0,0]","[0,0,0,0]","[-0.920598,-0.932864,-0.809216,-0.823882]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[365.391,266.188]",5778.72,"[3184.58,2859.66,3901.59,3622.58]","[]","[]","[]"
4050,284500,257509,364123,1,4.79684,1.66573e+06,1.32095,0.946959,1,1,1,0.997104,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[87527.7,25219.9]","[-0.580743,-0.0455903]","[1.62406,-0.479765]","[102707,25246.1]","[-0.302896,-0.237495]","[-1,1]","[11,11]","[1,1]","[0,1089.05]","[144.774,1624.1]","[0.0169179,-0.00748778]","[1.11329,0.846137]",42455.5,2.38768,2,"[144346,23480.4]","[0.731236,-1.4284]","[-0.770391,-2.02499]","[185256,52041.7]","[0.99,0.935522]","[0,0]","[0,0]","[0.56418,-0.561311]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[774.201,106.609]",5192.23,"[2565.19,3054.54]","[]","[]","[]"
4351,284500,282527,364123,1,4.79684,1.66573e+06,0.738662,0.944261,1,1,1,0.999725,0.98743,1,1,0,0,2,"[1,1]","[1,1]","[247713,33970.9]","[0.000323371,-0.340427]","[0.749071,1.73464]","[247713,35958.5]","[-0.0943756,-0.0473785]","[-1,1]","[11,11]","[1,1]","[0,0]","[689.74,-371.903]","[-0.00200556,-0.00234836]","[0.190951,0.212924]",17547,1.06626,1,"[284286]","[-0.027443]","[-2.27902]","[286594]","[0.99836]","[0]","[0]","[-0.948498]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2924.27,20.1548]",2406.31,"[3837.11]","[]","[]","[]"
