event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
476,284500,228517,364124,1,2.24919,908262,0.619412,0.926457,1,1,1,0.981442,0.95498,1,1,0,0,2,"[1,1]","[1,1]","[58429.1,43206.8]","[-0.733596,0.0816204]","[-0.663595,-2.42663]","[74869.1,43350.8]","[0.0136306,0.0545468]","[1,-1]","[11,11]","[1,1]","[0,1048.52]","[981.556,-8.94696]","[-0.000499899,-0.0349705]","[0.060459,3.10799]",6926.46,-3.02794,4,"[146509,106582,32380.3,22108.6]","[-0.0598692,-0.466199,-0.571279,-0.259528]","[0.176498,2.98975,2.33804,-2.9356]","[147270,119215,38117.5,23210.4]","[0.294016,0.992182,0.967434,0.88839]","[0,0,0,4]","[0,0,0,0]","[0.03564,-0.784788,0.38939,-0.842961]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[88.386,53.2177]",3377.39,"[4306.25,2677.13,2899.56,1352.03]","[]","[]","[]"
1166,284500,140276,364124,1,2.24919,908262,0.75088,0.992704,1,1,1,0.997767,1.00936,1,1,0,0,2,"[1,1]","[1,1]","[223156,60916]","[0.0678698,-0.310367]","[2.23423,1.54923]","[223670,63873.6]","[0.0449209,0.0714464]","[-1,1]","[11,11]","[1,1]","[0,1763.89]","[-339.678,1922.53]","[-0.0165251,-0.0257672]","[2.65461,3.4399]",31906.9,-1.12755,2,"[252090,27778]","[-0.218345,2.10232]","[-1.10649,2.6795]","[259032,115518]","[0.996766,0.957743]","[0,0]","[0,0]","[-0.845478,-0.814148]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3768.34,130.171]",7055.75,"[8014.3,1995.49]","[]","[]","[]"
1373,284500,157778,364124,-1,2.24919,908262,0.75088,0.947748,1,1,1,1.56701,0.98743,1,1,0,0,2,"[1,1]","[1,1]","[126933,66094.7]","[-0.078255,-0.283292]","[1.58742,0.574322]","[127322,68764.7]","[-0.0261497,0.0357437]","[1,-1]","[11,11]","[1,1]","[0,0]","[-393.102,-290.49]","[-0.00497297,0.02449]","[0.528244,2.57249]",19546.8,-2.48968,2,"[191246,66679.4]","[-0.387415,0.306773]","[-2.14294,0.255052]","[206229,70323.2]","[0.990766,1]","[0,4]","[0,0]","[-0.192196,0.93146]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[977.269,126.501]",8505.68,"[5717.72,3951.32]","[]","[]","[]"
1428,284500,159296,364124,1,2.24919,908262,0.596562,0.916863,1,1,1,0.976418,1.01975,1,1,0,0,2,"[1,1]","[1,1]","[46480.9,33742.7]","[-2.15982,-1.01826]","[-0.132188,2.19712]","[204167,52800.5]","[0.21164,-0.0762651]","[1,-1]","[11,11]","[1,1]","[0,0]","[1386.57,157.632]","[0.00468418,-0.00465713]","[0.257564,0.406572]",50678.8,0.00518433,2,"[161866,22257.2]","[-2.31082,2.42596]","[-2.68921,-2.89547]","[824288,126964]","[0.996205,0]","[4,0]","[0,0]","[-0.710719,-0.726233]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[479.737,241.287]",20084.9,"[6752.25,1741.72]","[]","[]","[]"
1616,284500,162135,364124,1,2.24919,908262,1.08735,0.938769,1,1,1,0.997033,1.0005,1,1,0,0,2,"[1,1]","[1,1]","[91404.6,61244.2]","[2.27575,1.1957]","[0.21258,-0.265773]","[449615,110496]","[-0.173738,-0.0543671]","[-1,1]","[11,11]","[1,1]","[0,0]","[953.009,330.932]","[-0.018733,0.020758]","[0.628527,2.68933]",53448.1,-0.695421,3,"[224301,46522.9,39181.3]","[1.65333,1.83753,1.71464]","[2.64667,-2.04341,-0.733579]","[607714,150092,112638]","[0.997295,0.984873,1]","[0,0,0]","[0,0,0]","[-0.651299,-0.761194,-0.473518]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[685.682,305.861]",14735.1,"[10855,2269.3,5290.71]","[]","[]","[]"
1634,284500,164152,364124,1,2.24919,908262,1.26205,0.938566,1,1,1,0.997225,0.92551,1,1,0,0,2,"[1,1]","[1,1]","[259611,28528.1]","[-2.44647,-2.01127]","[2.39827,-2.85897]","[1.51016e+06,108501]","[-0.0649414,-0.130589]","[-1,1]","[11,11]","[1,1]","[0,0]","[6249.48,961.849]","[-0.0205625,-0.000437434]","[1.52438,0.0159818]",31751.2,2.56693,3,"[254862,87719.9,25326.1]","[-1.02612,1.81679,-1.24292]","[-0.594663,-0.929129,1.92475]","[401275,277143,47758.5]","[1,0.941743,0.99]","[0,0,0]","[0,0,0]","[-0.953268,-0.929097,-0.70796]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11702.1,120.386]",10251.4,"[11847.8,2899.77,3280.08]","[]","[]","[]"
1690,284500,164133,364124,1,2.24919,908262,1.26205,0.878577,1,1,1,0.972838,0.98683,1,1,0,0,2,"[1,1]","[1,0]","[71373.3,17765.4]","[-1.15119,0.913334]","[-0.681497,-0.20803]","[124126,25704.7]","[-0.0180244,0.0378075]","[-1,1]","[11,11]","[1,1]","[0,0]","[567.512,501.09]","[0.00125082,0.0214533]","[0.0815971,1.38688]",33893.1,0.787765,2,"[133080,37011.6]","[0.110685,2.21663]","[-2.19833,0.452071]","[134105,171946]","[0.989651,0.980864]","[0,4]","[0,0]","[-0.930091,-0.922775]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[587.805,156.1]",9470.14,"[2091.94,5414.55]","[]","[]","[]"
1917,284500,173836,364124,1.0189,2.24919,908262,0.75088,0.942031,1,1,1,0.894198,0.98653,1,1,0,0,2,"[1,1]","[1,1]","[56691.9,54616.8]","[0.326042,1.55812]","[-0.726512,-1.62469]","[59732,135461]","[0.0294533,-0.066433]","[1,-1]","[11,11]","[1,1]","[0,0]","[-292.966,-560.396]","[0.0102558,0.0106557]","[1.19374,0.954426]",24774.8,-1.93557,4,"[127413,124766,119930,56684.4]","[-0.359548,-0.276083,-1.27698,2.2796]","[1.52203,-2.97293,0.755556,-1.99268]","[136585,130555,231902,280000]","[0.994958,0.991411,0.9809,1]","[4,4,4,0]","[0,0,0,0]","[-0.401509,0.128546,-0.670731,-0.0744004]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[280.253,483.633]",1694.66,"[1861.55,2763.98,2175.16,3275.22]","[]","[]","[]"
2010,284500,174814,364124,1,2.24919,908262,0.934886,0.9823,1,1,1,0.961071,1.00632,1,1,0,0,2,"[1,0]","[1,0]","[81851.7,22548.5]","[0.137366,0.471293]","[1.5087,-1.17284]","[82625.2,25099.4]","[0.00385761,-0.173389]","[1,1]","[11,11]","[1,0]","[0,0]","[4316.07,254.763]","[0.00662394,-0.0663422]","[0.647809,3.31851]",39259.9,1.16459,4,"[108737,64894.7,57729.8,35568.1]","[2.11157,-0.535215,1.6345,1.84397]","[-1.53673,3.08475,-0.127512,-0.478748]","[455890,74615,153691,115271]","[0.992942,0.969305,1,1]","[0,0,4,0]","[0,0,0,0]","[-0.884353,-0.941659,-0.818149,-0.818727]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[755.743,42.2597]",3704.8,"[4680.69,1999.66,1341.33,2334.55]","[]","[]","[]"
2162,284500,1893,364124,1,2.24919,908262,1.24168,0.91878,1,1,1,0.998607,1.01975,1,1,0,0,2,"[1,1]","[1,0]","[49964.3,39323.9]","[-2.14326,-0.750418]","[-0.391505,0.707615]","[215957,50925.5]","[-0.0731506,0.00601959]","[-1,1]","[11,11]","[1,1]","[0,84660.9]","[1755.27,733.231]","[0.00995136,0.0113448]","[0.856023,1.10678]",20696.4,1.5275,2,"[271433,21793.8]","[-2.42401,-0.827593]","[-2.57674,0.0834291]","[1.54454e+06,29831.1]","[0.994468,0.988586]","[0,0]","[0,0]","[-0.898696,-0.717872]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[195.788,99.3409]",3249.37,"[7578.12,1660.18]","[]","[]","[]"
