event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
605,284500,371027,364126,1,1.76415,2.94274e+06,0.351687,0.892675,1,1,1,0.99879,0.98592,1,1,0,0,2,"[1,1]","[1,0]","[67652.3,23587]","[-1.18876,-2.07682]","[0.750955,1.94453]","[121355,95579]","[0.0188866,-0.160723]","[1,-1]","[11,11]","[1,1]","[0,0]","[-2160.55,-487.951]","[-0.0282466,-0.030501]","[2.30809,2.1513]",30828.1,-0.0685954,2,"[371287,305607]","[0.194779,-1.8047]","[-1.69335,1.56726]","[378771,954011]","[0.995884,1]","[0,0]","[0,0]","[-0.812072,-0.771738]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[328.426,89.5667]",2653.83,"[5006.89,4874.07]","[]","[]","[]"
700,284500,776781,364126,1,1.76415,2.94274e+06,1.1961,0.947151,1,1,1,0.997631,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[214239,31084.7]","[0.527716,-0.25708]","[0.610197,1.41215]","[244769,32117.6]","[-0.0224495,0.0678883]","[1,-1]","[11,11]","[1,0]","[0,0]","[66.034,865.711]","[0.010832,0.0394551]","[1.4706,2.43818]",22158.9,-2.42409,4,"[372128,251412,144060,40155.9]","[1.22306,-0.521032,2.18526,0.790281]","[-0.91121,2.84204,2.40488,-3.11966]","[687652,286724,648858,54161]","[1,0.993255,0.996234,0.999852]","[0,0,0,0]","[0,0,0,0]","[-0.934521,-0.881544,-0.704017,-0.953966]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1074.56,120.781]",3167.68,"[12031.7,2851.29,4141.99,5348.13]","[]","[]","[]"
2666,284500,782143,364126,1.01963,1.76415,2.94274e+06,0.75088,0.949973,1,1,1,0.99838,1.00936,1,1,0,0,2,"[1,1]","[1,1]","[136011,90922.1]","[-0.0487286,0.251465]","[-2.4147,3.08084]","[136172,93812]","[-0.0164948,-0.0492249]","[-1,1]","[11,11]","[1,1]","[0,0]","[-840.418,-982.643]","[0.00192405,-0.0573476]","[0.289749,3.80112]",19542.1,0.382855,2,"[348198,199118]","[-1.79337,-0.586134]","[-0.0682388,2.60535]","[1.07709e+06,234923]","[1,0.992286]","[0,0]","[0,0]","[-0.0891291,-0.915824]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1314.34,473.339]",6045.8,"[6617.9,8016.58]","[]","[]","[]"
2835,284500,311825,364126,1,1.76415,2.94274e+06,0.934886,0.945967,1,1,1,0.959703,0.98483,1,1,0,0,2,"[1,1]","[0,1]","[56351.2,50196.8]","[-1.14327,-0.576531]","[-2.40451,1.91121]","[97369,58772.8]","[-0.0347595,-0.00429535]","[-1,1]","[11,11]","[0,1]","[0,0]","[1527.22,563.456]","[0.00263058,-0.0075291]","[0.192916,1.06747]",2112.33,-2.59058,2,"[253082,247924]","[1.0426,-0.217538]","[-1.49213,1.40863]","[404104,256337]","[0.986378,0.996834]","[4,0]","[0,0]","[-0.812575,-0.927919]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[467.587,489.263]",387.372,"[4483.37,3111.64]","[]","[]","[]"
2850,284500,312504,364126,1,1.76415,2.94274e+06,1.08735,0.97994,1,1,1,1.22092,1.00632,1,1,0,0,2,"[1,1]","[1,0]","[220187,20061.8]","[0.40947,1.78684]","[-1.24523,2.90146]","[238905,61570.3]","[-0.0136414,-0.0262604]","[1,-1]","[11,11]","[1,0]","[0,0]","[21.9979,662.878]","[-0.0210056,0.0717786]","[2.77974,2.95192]",3477.38,-2.31122,5,"[212723,201389,92219.4,39338.6,20777.7]","[1.18998,-0.363769,-2.19113,1.32993,-0.42087]","[2.54828,0.50267,1.10586,-2.76217,-1.60341]","[382420,215452,417668,79689,23322.6]","[0.992167,1,0.990986,0.987339,0.92029]","[0,0,0,0,0]","[0,0,0,0,0]","[0.930918,-0.881328,-0.585364,-0.929432,-0.833133]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1989.85,180.373]",12854.6,"[3629.76,3807.96,2614.04,2135.21,1163.17]","[]","[]","[]"
3085,284500,316755,364126,1,1.76415,2.94274e+06,1.26459,0.937893,1,1,1,0.996148,1.00306,1,1,0,0,2,"[1,1]","[1,1]","[160213,31992.8]","[0.98412,1.23372]","[1.16189,2.46125]","[244262,59589.5]","[0.0418243,0.0283108]","[-1,1]","[11,11]","[1,1]","[0,0]","[2087.63,111.532]","[-0.00960588,0.0182981]","[1.51282,1.05568]",63452.9,-2.00252,4,"[410372,358155,110267,40397.3]","[-1.61923,-1.87341,0.536368,2.32268]","[0.926343,-2.20188,-1.81785,-1.79602]","[1.07713e+06,1.19368e+06,127512,208104]","[0.994139,0.990909,0.996343,0.993051]","[0,0,0,0]","[0,0,0,0]","[-0.95916,-0.68087,-0.847819,-0.126027]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1452.02,109.333]",9305.25,"[16000.9,12122.9,3661.48,3240.81]","[]","[]","[]"
3517,284500,3421,364126,1,1.76415,2.94274e+06,1.26205,0.943952,1,1,1,0.996333,1.00121,1,1,0,0,2,"[1,1]","[1,1]","[90454.3,32482.5]","[-1.95012,-0.511374]","[0.635439,1.3872]","[324361,36823]","[0.246726,0.141109]","[-1,1]","[11,11]","[1,1]","[4332.48,1036.34]","[3846.82,-705.76]","[0.0139879,-0.011113]","[0.81987,1.10919]",27989.6,-0.200137,4,"[338165,276478,26598.3,23530.5]","[0.126386,-1.99058,-0.929746,-2.46703]","[2.79848,-0.956442,0.93522,-0.254758]","[341633,1.03097e+06,39430.7,139765]","[0.992851,1,0.998631,0.989716]","[0,0,0,0]","[0,0,0,0]","[-0.83804,-0.806081,-0.440041,-0.879198]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1102.8,176.477]",3438.87,"[4015.98,6198.23,1779.82,1892.48]","[]","[]","[]"
3549,284500,3201,364126,1.16527,1.76415,2.94274e+06,1.32095,0.886683,1,1,1,0.997212,1.00632,1,1,0,0,2,"[1,1]","[1,0]","[90251.8,17232.8]","[0.334123,-0.891882]","[0.156379,-2.17028]","[95336.6,24553.2]","[0.00415039,0.0495415]","[-1,1]","[11,11]","[1,1]","[0,0]","[2833.91,-47.386]","[0.00373941,-0.0311546]","[0.410938,2.52683]",32706.3,-2.08458,3,"[299506,289043,27309.3]","[-2.14854,-0.19159,-2.14742]","[1.11684,-2.18894,-2.94981]","[1.30131e+06,295001,118651]","[0.996411,0.997522,0.949678]","[0,0,0]","[0,0,0]","[-0.927811,-0.901496,-0.899368]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[284.934,179.24]",2838.72,"[6589.18,5854.32,5551.73]","[]","[]","[]"
4088,284500,777505,364126,1,1.76415,2.94274e+06,1.26205,0.930515,1,1,1,0.909658,1.00056,1,1,0,0,2,"[1,1]","[1,0]","[71717.6,9903.8]","[0.173741,-2.11153]","[2.72346,0.934873]","[72802.8,41506.3]","[0.0754395,-0.160645]","[1,-1]","[11,11]","[1,1]","[0,0]","[-433.816,21.5943]","[0.0118269,-0.00257387]","[1.76448,0.106716]",19940.3,-1.69086,4,"[127055,102578,70512.3,60069.8]","[1.43693,1.84389,-2.19523,0.361708]","[-0.546999,-3.11753,-0.810603,-0.601622]","[282794,332570,320720,64458]","[0.999784,0.967181,0.998091,0.998601]","[0,5,0,0]","[0,0,0,0]","[-0.513228,-0.868171,-0.866503,-0.877253]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[136.772,174.721]",4655.21,"[10966.4,2734.91,2469.48,1900.75]","[]","[]","[]"
4488,284500,312379,364126,1,1.76415,2.94274e+06,1.24168,0.93204,1,1,1,0.998569,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[81969.8,26871.5]","[-0.982456,-0.993936]","[-1.24467,2.44399]","[124815,41274.1]","[0.0444515,0.000441194]","[-1,1]","[11,11]","[1,1]","[0,0]","[-1306.78,-421.816]","[0.0146527,-0.0582768]","[1.46938,3.05764]",7863.08,-0.639164,2,"[74357.8,20918.5]","[-1.84581,-0.820924]","[0.70862,-2.03638]","[241682,28540.4]","[0.994379,0.949403]","[0,0]","[0,0]","[-0.601746,-0.912607]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[954.857,70.3316]",19331.7,"[4057.44,1163.62]","[]","[]","[]"
