event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
159,284500,2461,364127,1,0.145046,1.00431e+06,0.923924,0.94316,1,1,1,1.13066,0.99544,1,1,0,0,2,"[1,1]","[1,1]","[147143,79849.7]","[1.16786,1.66352]","[0.412358,1.16521]","[259422,218282]","[0.0216103,0.0466537]","[-1,1]","[11,11]","[1,1]","[1127.54,0]","[-89.2285,-323.218]","[0.00592511,-0.0247337]","[0.59997,1.55584]",28727.8,-0.626324,8,"[445277,225775,225181,135237,95234.9,36940,24261.2,22074.1]","[0.543071,-0.132496,0.751469,0.110245,0.520622,0.506535,-0.0459674,0.237209]","[-1.64568,2.73523,1.56367,-0.170892,2.27744,-2.09999,-2.30172,1.37626]","[515452,228702,292915,136664,109329,42166.3,24725.7,23032.1]","[0.924534,0.993443,1,1,1,0.992811,0.978116,0.956016]","[4,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[-0.788673,-0.97652,0.889684,-0.911208,-0.876537,-0.921207,-0.706314,-0.757332]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1177.97,1080.39]",6263.88,"[11546.8,10242.4,8734.22,8648.94,5377.25,3421.29,2614.15,1646.79]","[]","[]","[]"
752,284500,67887,364127,1,0.145046,1.00431e+06,0.696077,0.935893,1,1,1,0.962573,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[115360,25183.6]","[-0.188751,1.02483]","[1.50808,2.63154]","[117421,39607.4]","[0.0138111,0.0119133]","[1,-1]","[11,11]","[1,1]","[8218.66,0]","[3508.93,-848.076]","[0.00478973,-0.0105129]","[0.789744,0.949151]",32748.3,1.76361,7,"[397028,269237,157856,89161.5,76933.4,37106.5,28386.1]","[0.387592,0.160101,0.879636,-0.533516,-1.17804,2.32903,-1.38899]","[-0.705577,1.14044,1.89533,2.7263,-2.7579,-1.8784,-1.63239]","[431535,273416,225150,102768,137086,192467,60700.5]","[0.996317,0.99445,0.998709,0.985683,0.996891,0.982706,0.99]","[0,0,4,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.936717,-0.805851,0.497387,-0.914359,-0.0300519,-0.528681,-0.868917]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1004.13,409.916]",5634.81,"[4126.75,3524.72,2813.94,2327.04,7439.22,2257.72,2552.16]","[]","[]","[]"
1223,284500,75131,364127,1,0.145046,1.00431e+06,0.619412,0.974854,1,1,1,0.998556,1,1,1,0,0,2,"[1,1]","[1,1]","[230295,84329.4]","[0.64311,0.0921913]","[-0.38965,-0.0630948]","[279583,84688]","[0.00888443,-0.00497055]","[-1,1]","[11,11]","[0,1]","[0,0]","[716.744,161.85]","[0.0121578,-0.0173025]","[0.940083,1.16137]",12783.7,-0.662054,3,"[365846,346053,268114]","[0.283731,-1.57309,-1.12159]","[-2.78692,2.21246,-0.223784]","[383305,870801,455633]","[0.991349,0.994211,0.995806]","[0,0,0]","[0,0,0]","[-0.883866,-0.777294,-0.840566]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2102.63,213.177]",7431.19,"[4326.72,4713.23,4097.18]","[]","[]","[]"
1242,284500,76628,364127,1,0.145046,1.00431e+06,1.24168,0.984282,1,1,1,0.9929,0.9918,1,1,0,0,2,"[1,1]","[1,1]","[724542,216782]","[-0.730874,-0.692072]","[1.63905,1.86671]","[926828,270802]","[0.0445099,-0.00270081]","[1,-1]","[11,11]","[1,1]","[220415,1.12135e+06]","[1163.97,-84.2225]","[-0.00894317,-0.0131945]","[1.03617,1.94101]",156902,-1.30545,4,"[726893,41863.3,41032.7,34608.1]","[0.879254,2.06936,-0.402352,1.3248]","[-1.42399,-1.02446,2.43173,-1.87216]","[1.02702e+06,168471,44783.6,69977]","[0.992444,0.612063,0.999166,0.99]","[0,0,0,0]","[0,0,0,0]","[-0.757773,-0.904753,-0.928595,-0.903423]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6868.05,1501.44]",49592.4,"[28945.1,2693.44,8010.51,1477.99]","[]","[]","[]"
1486,284500,233764,364127,1,0.145046,1.00431e+06,1.22586,0.960282,1,1,1,0.991456,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[356007,185759]","[0.442246,0.389597]","[1.07022,1.42857]","[391392,200036]","[0.013588,0.0813904]","[1,-1]","[11,11]","[1,0]","[0,0]","[-873.042,-1325.47]","[0.0270115,0.0717948]","[4.16127,5.47027]",26683.7,-1.25543,5,"[705034,497842,182828,65862.1,37734.9]","[-1.54837,0.872804,-0.214351,-1.34218,-0.902219]","[-2.56655,0.131286,-2.4969,-2.11278,-0.404259]","[1.73389e+06,701314,188281,134996,54645.6]","[0.991287,0.999147,0.995791,0.992275,0.999726]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.822103,-0.866975,-0.306566,-0.844381,-0.448608]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4469.85,1641.68]",18163.6,"[16848.8,8190.93,7318.42,4276.07,4743.79]","[]","[]","[]"
1796,284500,1514,364127,1,0.145046,1.00431e+06,1.26205,0.865992,1,1,1,0.906669,0.8297,1,1,0,0,2,"[1,0]","[1,0]","[28183.5,17116.9]","[2.03995,0.234087]","[2.81035,2.92826]","[110202,17588.1]","[-0.0887222,0.0068655]","[1,-1]","[11,11]","[1,1]","[0,0]","[-517.666,-1044.67]","[-0.000784077,0.000290674]","[0.0429088,0.0174448]",54551.7,-0.526193,6,"[575544,286145,138320,115050,47279.2,25533]","[-1.55027,1.08449,1.51231,2.11548,1.44427,-1.58313]","[1.52014,-1.5992,-1.54102,-2.13597,-0.48111,-2.298]","[1.41831e+06,473021,329206,484423,105975,64964.5]","[0.998906,0.98368,0.994317,0.992091,0.996588,0.920584]","[0,4,4,0,0,4]","[0,0,0,0,0,0]","[-0.217144,-0.541405,-0.72762,-0.963299,-0.537534,0.0124737]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[74.1217,140.688]",27191.9,"[21477.1,10578.2,1740.15,7037.17,2489.41,1463.47]","[]","[]","[]"
1971,284500,8499,364127,1,0.145046,1.00431e+06,1.32095,0.960201,1,1,1,0.993486,1.00306,1,1,0,0,2,"[1,1]","[1,1]","[141757,41479.3]","[1.10226,-0.0369497]","[2.78067,2.55744]","[236952,41507.7]","[-0.0256629,0.074584]","[1,-1]","[11,11]","[1,1]","[0,0]","[-536.454,-564.958]","[0.00824085,0.0125899]","[1.05265,1.51747]",30506.2,-2.50256,3,"[909898,432595,278951]","[0.794519,1.94973,0.577747]","[-0.154243,2.96634,-3.02882]","[1.21307e+06,1.55128e+06,328295]","[0.999598,0.988857,0.99353]","[0,0,0]","[0,0,0]","[-0.589931,-0.817242,-0.8739]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1704.11,134.278]",3130.9,"[13590.4,7939.09,3385.5]","[]","[]","[]"
2224,284500,6504,364127,1,0.145046,1.00431e+06,1.08735,0.907968,1,1,1,0.994707,1.00306,1,1,0,0,2,"[1,1]","[1,0]","[191104,18653.6]","[0.788273,0.86558]","[-2.63977,1.93514]","[253616,26088.9]","[0.00852585,-0.0244598]","[-1,1]","[11,11]","[1,1]","[0,0]","[-2212.06,2654.95]","[0.0124618,-0.00459344]","[1.85578,0.283085]",30447.7,-2.87737,5,"[489608,206495,125957,122759,74454.5]","[-0.823166,1.92349,0.956998,-0.770323,0.45548]","[0.758851,-2.89133,-1.10103,-2.23609,0.133674]","[668800,722143,188382,163383,83319.2]","[0.991486,0.99035,0.995359,0.989329,0.984975]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.822218,-0.801185,-0.848864,-0.886251,-0.919151]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1991.21,71.233]",7689.44,"[7079.17,5184.78,4237.1,2351.17,8008.39]","[]","[]","[]"
2273,284500,64662,364127,1,0.145046,1.00431e+06,0.738662,0.941091,1,1,1,0.996648,0.95498,1,1,0,0,2,"[1,1]","[1,1]","[55642.1,45802.3]","[-0.578545,-0.105655]","[1.98684,-0.039937]","[65216.8,46058.2]","[-0.0778656,-0.0769386]","[-1,1]","[11,11]","[1,1]","[0,0]","[-459.096,723.97]","[0.00510779,-0.0357345]","[0.441639,3.00489]",21272.9,-2.60241,3,"[467273,453321,21332.4]","[0.157245,0.942001,0.893312]","[2.54687,-0.598258,0.485149]","[473724,670722,30621.8]","[0.992497,1,0.992128]","[0,0,0]","[0,0,0]","[-0.963768,-0.744471,-0.749211]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[226.871,160.809]",12373.4,"[12787.3,7691.84,2167.23]","[]","[]","[]"
2385,284500,69514,364127,1,0.145046,1.00431e+06,1.21412,0.92405,1,1,1,0.994386,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[121727,33174.4]","[0.391957,1.6134]","[2.56707,-3.0499]","[131198,86569.3]","[-3.8147e-05,-0.0217476]","[1,-1]","[11,11]","[1,1]","[0,0]","[90.1676,-62.8605]","[-0.00212324,0.019104]","[0.166875,2.01596]",45709.8,0.258046,3,"[701556,375234,235616]","[-1.37038,1.39193,0.964961]","[-1.16485,1.70681,2.09023]","[1.47064e+06,803404,356899]","[0.99962,1,0.998537]","[0,0,0]","[0,0,0]","[-0.898633,-0.845877,-0.848427]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[547.844,211.345]",6380.41,"[39925.1,20339.6,17297.1]","[]","[]","[]"
