event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
4,284500,4335,364128,1,1612.53,5.3227e+06,1.32095,0.9623,0.999319,1,1,1,0.96784,1,1,0,0,2,"[0,0]","[1,0]","[27202.4,7742.51]","[-0.119254,-0.853432]","[2.6636,-0.318784]","[27396.1,10738]","[0.00117111,0.0393295]","[1,-1]","[11,13]","[1,1]","[0,0]","[592.146,-790.011]","[0.0126202,-0.065202]","[1.17806,3.82796]",22070.5,-0.524722,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[332.382,37.0358]",0,"[]","[]","[]","[]"
8,284500,422084,364128,1,1612.53,5.3227e+06,0.00133961,0.919709,1,1,1,0.998539,0.97108,1,1,0,0,2,"[0,0]","[1,1]","[38283.8,33633.4]","[0.669267,0.794878]","[1.01006,-2.62412]","[47182.6,44830.1]","[0.0293787,-0.0292151]","[-1,1]","[11,11]","[1,1]","[0,0]","[62.063,1648.73]","[0.0127405,-0.0151908]","[1.53446,1.47271]",21351.5,-3.07633,1,"[32647.9]","[1.52554]","[-0.369754]","[78835.2]","[1]","[0]","[0]","[-0.472689]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[97.0626,32.2215]",470.797,"[2141.03]","[]","[]","[]"
63,284500,385392,364128,1,1612.53,5.3227e+06,1.21412,1,0.99191,1,1,0.999617,0.980992,1,0,1,0,2,"[0,0]","[1,0]","[28654.6,20915.8]","[1.1951,0.183287]","[-0.290187,2.40396]","[51672.5,21268.3]","[0.00711441,0.0922165]","[1,-1]","[13,13]","[1,1]","[0,0]","[195.246,918.889]","[0.0153575,-0.137685]","[1.86057,15.125]",18964.4,0.399817,1,"[42549.2]","[-0.584601]","[-2.29278]","[50466.2]","[0.992565]","[0]","[0]","[-0.87705]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[110.429,48.5544]",2288.26,"[3271.03]","[]","[]","[]"
85,284500,35065,364128,1,1612.53,5.3227e+06,0.934886,1,0.989367,1,1,1,0.975255,1,0,1,0,2,"[0,0]","[1,0]","[28132,20539]","[-1.37815,-1.90958]","[-2.66196,0.562441]","[59353.1,70843.3]","[0.0393944,0.117554]","[1,-1]","[13,13]","[1,1]","[0,0]","[79.9908,302.051]","[0.0141988,-0.0247865]","[1.42194,2.46693]",2590.92,-0.517201,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[118.636,107.21]",0,"[]","[]","[]","[]"
102,284500,420159,364128,1,1612.53,5.3227e+06,0.351687,0.96199,0.991972,1,1,1,0.850749,1,0,1,0,2,"[0,0]","[1,0]","[27678.8,11668.3]","[0.256023,1.18317]","[-2.73583,0.106329]","[28591.1,20833.8]","[0.0875931,-0.0744781]","[1,-1]","[13,11]","[1,1]","[0,0]","[-386.07,979.927]","[0.0432847,-0.0669083]","[5.07252,3.13954]",22237.6,0.518897,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[142.846,654.181]",0,"[]","[]","[]","[]"
111,284500,383485,364128,1,1612.53,5.3227e+06,1.26205,1,0.992933,1,1,1,0.834439,1,0,1,0,2,"[0,0]","[1,0]","[30449.9,23237.3]","[-0.292412,-1.21999]","[0.743043,-2.33221]","[31761.2,42784.7]","[-0.0432091,-0.00735664]","[-1,1]","[13,13]","[1,1]","[0,0]","[-614.693,-614.693]","[-0.087886,0.0225437]","[7.15156,2.14918]",33247.5,-2.33907,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[257.548,202.186]",277.355,"[]","[]","[]","[]"
129,284500,515398,364128,-1,1612.53,5.3227e+06,0.934886,0.89853,0.998505,1,1,1,0.98898,1,1,1,0,2,"[0,0]","[1,1]","[38263.3,26749.8]","[-2.38171,-1.56436]","[-2.12671,1.48592]","[208836,66725.6]","[0.0256119,-0.143375]","[-1,1]","[11,13]","[1,1]","[0,0]","[47.4201,261.69]","[0.00214998,0.0617441]","[0.106282,5.33433]",22651.8,0.644545,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[355.988,157.791]",0,"[]","[]","[]","[]"
138,284500,85500,364128,1,1612.53,5.3227e+06,0.553627,1,0.99786,1,1,0.998396,0.924243,1,0,1,0,2,"[0,0]","[1,0]","[52862.3,14187.3]","[1.14601,1.12196]","[-0.691612,2.77152]","[91544.7,24093.5]","[-0.00527954,0.094902]","[1,-1]","[13,11]","[1,0]","[0,1880]","[-999.555,671.471]","[0.00193983,0.0275005]","[0.223808,1.98793]",44533.9,-2.52569,2,"[25939.2,21419]","[-0.367851,0.418613]","[2.12979,2.24728]","[28177.6,23854]","[1,0.74403]","[0,0]","[0,0]","[-0.840986,-0.874536]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[305.765,205.002]",2558.48,"[2097.59,2322.28]","[]","[]","[]"
143,284500,103252,364128,1,1612.53,5.3227e+06,1.24168,1,0.995332,1,1,1,0.986771,1,0,1,0,2,"[0,0]","[1,0]","[32846.2,18008]","[-0.571038,-1.03117]","[-0.501105,2.47755]","[38348.8,28461.1]","[-0.0280762,0.0285721]","[1,-1]","[13,13]","[1,1]","[0,0]","[475.759,-197.694]","[-0.00729863,0.0248091]","[1.03551,1.75673]",16812.1,2.88744,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[79.8888,96.1257]",0,"[]","[]","[]","[]"
167,284500,386865,364128,-1,1612.53,5.3227e+06,1.32095,0.95055,0.996404,1,1,1,0,1,1,1,0,2,"[0,0]","[1,1]","[37016.8,26513.1]","[2.41913,1.01794]","[1.70518,-2.68745]","[209608,41477.4]","[0.674536,0.112416]","[1,-1]","[13,11]","[1,1]","[0,0]","[-519.377,-866.814]","[0.0672764,0.0604196]","[3.8229,4.76086]",24131.6,-0.454101,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[518.227,108.765]",0,"[]","[]","[]","[]"
