event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
5,284500,5929,364138,1,2.23622,905387,1.25133,1.00336,1.00325,1,1,0.964485,0.978678,1,0,1,0,2,"[0,0]","[1,0]","[28049.5,14132.2]","[-1.33989,-1.89385]","[-0.370047,-1.13061]","[57228.1,48017]","[0.0446854,-0.320141]","[1,-1]","[13,11]","[1,1]","[0,0]","[259.511,1188.46]","[-0.0544563,0.0863659]","[5.58572,2.94866]",165854,-1.00553,3,"[128658,117876,24866.3]","[-1.87368,-2.17005,-0.768826]","[2.95897,1.63834,1.11177]","[428878,523222,32779.6]","[0.999902,0.990678,0.996003]","[4,0,0]","[0,0,0]","[-0.391744,-0.554991,-0.49705]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[72.0989,93.6604]",15585.4,"[2205.84,3369.69,1836.98]","[]","[]","[]"
16,284500,7076,364138,-1,2.23622,905387,1.1961,0.950242,1,1,1,0.956218,1.00306,1,1,0,0,2,"[0,0]","[1,0]","[85766.4,23277.4]","[0.808182,-0.33702]","[0.571042,-0.0876999]","[115334,24611.9]","[0.0315666,0.140656]","[-1,-1]","[11,11]","[1,1]","[0,0]","[3717.93,-221.469]","[0.0487813,0.0889928]","[3.7666,2.57077]",168597,0.438672,4,"[194721,194113,41127.6,20621.1]","[-0.806871,-0.252203,-0.460837,2.4355]","[3.07002,-1.94045,2.14823,2.07293]","[261946,200894,46074,118728]","[0.996926,0.997783,1,0.0408789]","[0,4,0,0]","[0,0,0,0]","[-0.941642,-0.537067,-0.739128,-0.962863]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[431.319,140.083]",9804.98,"[4551.2,1626.61,5372.78,2825.35]","[]","[]","[]"
40,284500,232770,364138,1,2.23622,905387,1.1961,1,0.998696,1,1,0.99812,0.914183,1,0,1,0,2,"[0,0]","[0,1]","[105654,70784.8]","[1.54738,1.12255]","[-2.06429,-2.52227]","[259483,120268]","[-0.259306,-0.00958872]","[-1,1]","[11,13]","[0,1]","[2422.44,0]","[1311.73,2553.55]","[0.073425,0.0498997]","[3.24493,8.04416]",184628,-1.93402,3,"[328518,23695.4,23148.9]","[1.05824,1.19162,0.705914]","[0.915233,1.55331,1.7797]","[531651,42904.9,29506.6]","[0.99816,0.999156,0.996969]","[0,0,0]","[0,0,0]","[0.703951,-0.774004,-0.877483]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1066.1,936.137]",20275.2,"[7716.94,1795.3,2530.44]","[]","[]","[]"
42,284500,227289,364138,1,2.23622,905387,1.25133,0.9523,0.996691,1,1,0.992667,1.00043,1,1,0,0,2,"[0,0]","[1,0]","[39816.9,9654.82]","[1.78405,-1.01184]","[-1.29913,-1.10551]","[121877,15034]","[0.170002,-10.0678]","[1,1]","[11,13]","[1,1]","[0,0]","[-175.181,2644.52]","[0.0220233,0.020034]","[1.80254,1.01839]",35913.8,-2.57737,6,"[156097,139043,33550.5,23321.8,21578.1,20688.3]","[-1.53714,1.02603,0.247494,-1.83488,2.42406,0.8163]","[0.171523,-3.02006,1.51054,1.61144,-1.50262,1.90366]","[380669,219284,35302.8,75072.7,122836,28250]","[0.999149,0.992948,0.639314,0.986834,0.00480553,0.812887]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.776742,-0.896363,-0.889343,-0.647796,-0.720624,-0.959871]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[325.034,43.4317]",12871.1,"[3523.41,10916.7,2145.13,4006.62,1738.34,1288.96]","[]","[]","[]"
43,284500,227566,364138,1,2.23622,905387,1.21412,1,0.991775,1,1,0.975378,0.57699,1,0,1,0,2,"[0,0]","[1,0]","[40504.6,21178]","[-0.0773972,-0.548338]","[-1.63264,-2.73045]","[40626.1,24442.7]","[-0.0357704,0.0354233]","[1,-1]","[13,13]","[1,1]","[0,6602.9]","[1426.22,4439.27]","[-0.0718814,0.0218159]","[11.6359,2.17187]",103187,-2.05357,4,"[107209,82443.3,66901.2,29518.4]","[1.62836,0.227028,-0.326255,-0.660118]","[0.263817,2.66444,1.18381,0.546175]","[283801,84979.8,71394.4,36997.1]","[0.99,1,0.98,0.953215]","[0,0,0,4]","[0,0,0,0]","[-0.85389,-0.923263,-0.826635,-0.700392]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[355.447,50.9789]",14002.1,"[8071.1,5665.39,4657.34,1430.34]","[]","[]","[]"
65,284500,132248,364138,1,2.23622,905387,1.22586,0.957873,1,1,1,0.960057,0.99866,1,1,0,0,2,"[0,0]","[1,1]","[129807,63049.2]","[-0.950543,-1.12777]","[0.797048,0.140887]","[193000,107578]","[-0.0437622,0.0763474]","[1,-1]","[11,11]","[1,1]","[0,0]","[-649.75,2016.6]","[-0.0172143,-0.0512376]","[1.62256,3.62527]",82131.5,0.60516,2,"[311885,43111.2]","[-0.75888,-1.53204]","[-2.64548,0.681895]","[406791,104765]","[1,0.959678]","[4,0]","[0,0]","[-0.819979,-0.697912]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[922.586,159.276]",1590.34,"[5908.46,4034.63]","[]","[]","[]"
66,284500,133711,364138,1,2.23622,905387,1.26459,1,0.999609,1,1,0.919626,1.01756,1,0,1,0,2,"[0,0]","[1,1]","[171081,141260]","[0.850215,1.12908]","[-0.630229,2.8618]","[236731,241282]","[-0.0438385,0.0213985]","[1,-1]","[13,13]","[1,1]","[0,0]","[-462.652,-64.0204]","[0.00242726,0.0044574]","[0.40657,0.853472]",21552.1,2.90229,5,"[86999.8,76854.8,53592.6,32376.3,20421.7]","[1.48773,1.98903,1.51173,0.659342,1.85664]","[1.0022,-1.6776,1.43512,-2.88365,0.587624]","[203276,286232,127584,39782.4,67087]","[0.947945,0.993689,0.98,0.967731,0.997928]","[0,4,4,0,0]","[0,0,0,0,0]","[-0.944515,-0.871977,-0.514154,-0.907417,-0.399593]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[10263.6,1725.45]",3287.08,"[9721.18,4353.65,1304.26,2415.35,1783.19]","[]","[]","[]"
90,284500,245125,364138,1,2.23622,905387,1.1961,0.95734,1,1,1,0.981317,0.97256,1,1,0,0,2,"[0,0]","[1,0]","[31308.7,14896.7]","[0.920566,-2.51517]","[2.92235,-2.64105]","[45538.5,92728.9]","[0.0786352,25.555]","[-1,1]","[11,13]","[1,0]","[3251.55,1285.47]","[-642.275,-282.874]","[0.069312,-9.08711]","[5.48149,633]",73099.4,-2.85299,6,"[124388,83254.7,74128.8,28792.7,23205.5,22573.6]","[0.734717,1.82453,-0.361818,0.286787,0.236754,-0.74935]","[-1.30248,0.963236,1.04707,1.69935,0.657748,-2.32621]","[160027,265135,79760.8,30765.6,24228.8,29498.2]","[0.991563,1,0.997465,0.628315,0.992211,0.965876]","[0,0,0,0,0,4]","[0,0,0,0,0,0]","[-0.851851,-0.389202,-0.938071,-0.334531,-0.5938,-0.304778]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[70.5089,71.2398]",5059.73,"[3422.93,4885.29,3501.61,1878.35,2536.49,2758.9]","[]","[]","[]"
95,284500,279256,364138,1,2.23622,905387,0.402058,0.95061,0.996274,1,1,0.998593,0.96294,1,1,1,0,2,"[0,0]","[1,1]","[165346,33896]","[-0.171714,-0.677161]","[0.742831,0.836887]","[167790,41969]","[-0.0354919,-0.0565758]","[1,-1]","[13,11]","[1,1]","[0,0]","[410.509,494.43]","[-0.039515,-0.0356069]","[6.47491,4.63003]",139127,0.740876,2,"[262565,99499.8]","[1.84346,1.64068]","[-2.12896,-3.02959]","[850398,267001]","[0.999201,0.995259]","[0,0]","[0,0]","[-0.55042,-0.390231]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6916.44,29.5176]",6321.25,"[11369.2,5502.1]","[]","[]","[]"
96,284500,278966,364138,1,2.23622,905387,1.74563,0.93627,0.999857,1,1,0.931306,1.02449,1,0,1,0,2,"[0,0]","[1,0]","[116682,21426.5]","[-1.46479,-0.779478]","[-0.129691,2.83702]","[265904,28272]","[0.00621033,0.0210266]","[-1,1]","[13,11]","[1,1]","[0,1071.76]","[262.193,-640.787]","[0.017727,-0.0208801]","[2.19282,2.06412]",12006,1.42696,4,"[240108,141032,54274.6,23437]","[-1.69353,1.93146,1.28321,0.890997]","[2.54738,-0.940609,-1.30015,1.24979]","[675275,496974,105735,33706.3]","[0.997981,0.992798,0.984789,0.981275]","[0,4,4,0]","[0,0,0,0]","[-0.105354,-0.104287,-0.938841,-0.855931]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2086.36,81.3249]",7723.45,"[4425.35,9047.65,1458.98,1674.64]","[]","[]","[]"
