event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
5,284500,1183,364139,1,1.49184,1.85303e+06,1.24168,0.955321,1,1,1,0.962048,0.9423,1,1,0,0,2,"[0,0]","[1,0]","[41523.6,9936.11]","[-1.25029,-0.932338]","[-0.494899,-0.578762]","[78433.4,14576.6]","[-0.0194092,-0.104233]","[-1,1]","[11,11]","[1,1]","[0,0]","[318.146,-74.6409]","[-0.0250751,-0.0949093]","[2.01784,3.53418]",353105,-0.514835,1,"[406293]","[0.791967]","[2.62755]","[541287]","[1]","[4]","[0]","[-0.919151]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[208.583,77.6424]",3918.41,"[5749.32]","[]","[]","[]"
8,284500,3951,364139,1,1.49184,1.85303e+06,1.21412,0.97921,0.994954,1,1,0.996777,1.00192,1,1,1,0,2,"[0,0]","[1,1]","[78945.4,58268.5]","[-0.261745,-0.171981]","[-1.38765,-0.754864]","[81665.2,59132.4]","[0.236938,-0.0914307]","[1,-1]","[11,13]","[1,1]","[0,0]","[-416.369,3481.1]","[-0.0764471,-0.000696169]","[10.0105,0.104812]",147289,-1.05995,3,"[244280,24129.4,21184.9]","[-0.419334,-2.04009,-0.685972]","[2.16478,1.80737,1.59793]","[266651,94478,26655.2]","[0.993985,1,0.994052]","[0,0,0]","[0,0,0]","[-0.504315,-0.812166,-0.0896199]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[426.958,247.806]",4554.33,"[4271.91,5489.14,1615.44]","[]","[]","[]"
13,284500,3923,364139,1,1.49184,1.85303e+06,1.25133,1,0.991356,1,1,1.04949,0.815797,1,0,1,0,2,"[0,0]","[1,0]","[47350.8,8310.83]","[0.102791,0.974189]","[-0.81109,0.301982]","[47601.3,12576.9]","[-0.0320911,0.347624]","[1,1]","[13,13]","[1,1]","[0,1630.77]","[-941.381,-1294.2]","[-0.0675444,-0.301011]","[11.4897,16.34]",120611,-0.84287,2,"[233493,61830.9]","[-0.0165994,0.164961]","[2.49534,-0.260033]","[235776,62974.1]","[1,0.989182]","[0,5]","[0,0]","[-0.942933,0.996913]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[272.413,16.2249]",3487.45,"[5428.58,3392.46]","[]","[]","[]"
16,284500,2920,364139,1,1.49184,1.85303e+06,0.696077,0.98916,0.997112,1,1,0.925558,0.99765,1,1,0,0,2,"[0,0]","[1,0]","[88925.3,18107.7]","[0.774313,0.799683]","[2.71295,-2.22794]","[116942,24213]","[0.0234947,0.0252075]","[-1,1]","[11,13]","[1,1]","[0,3383.93]","[300.055,-33.9059]","[-0.0104489,0.0320473]","[1.36852,2.10523]",56553.8,-2.92918,5,"[92600.5,79186.1,67187.1,46892.5,36790.4]","[1.04539,0.141925,-0.10798,-1.82,1.31213]","[0.142272,3.00698,-0.203797,0.933697,-0.487598]","[148484,80929.6,68519.4,148716,73565.7]","[0.99359,1,0.983981,0.984884,1]","[0,0,4,4,0]","[0,0,0,0,0]","[-0.796742,-0.812882,-0.643328,-0.928898,-0.607279]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[367.775,65.6144]",16378.5,"[7283.65,1902.41,5341.48,3521.27,4001.09]","[]","[]","[]"
25,284500,9334,364139,1,1.49184,1.85303e+06,1.21412,0.96615,0.994466,1,1,1.04839,0.98962,1,1,0,0,2,"[0,0]","[1,0]","[72130.2,17995.5]","[1.1361,0.109577]","[-0.328694,0.251393]","[123908,18103.9]","[-0.00472641,0.00265884]","[-1,1]","[11,13]","[1,1]","[0,0]","[533.132,1161.05]","[0.00088736,-0.00996163]","[0.0908052,1.1445]",23968.4,0.772343,3,"[59940.1,32915.3,31098]","[0.644768,-0.162526,-0.389777]","[-0.930039,2.3835,-2.77254]","[73292.7,33758.3,33652]","[0.995362,0.999985,0.996091]","[5,0,0]","[0,0,0]","[0.98592,-0.793292,-0.689335]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[580.618,61.7791]",2565.93,"[4058.76,1909.39,4723.08]","[]","[]","[]"
33,284500,8964,364139,1,1.49184,1.85303e+06,1.25133,1,0.990509,1,1,0.998308,0.969817,1,0,1,0,2,"[0,0]","[1,0]","[36177.6,12955.7]","[-2.10642,-1.91971]","[-0.961829,1.7233]","[150869,45122.5]","[-0.0511322,0.0521889]","[-1,1]","[13,13]","[1,1]","[0,0]","[-208.172,58.1161]","[0.0218426,-0.0469462]","[2.10103,2.99456]",19921.9,0.68019,2,"[200002,178358]","[-1.56763,-1.30721]","[1.96687,-1.31673]","[500945,354014]","[1,0.999096]","[0,0]","[0,0]","[-0.929265,-0.692847]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[228.953,29.6315]",1603.77,"[3518.67,13632.6]","[]","[]","[]"
49,284500,50093,364139,1,1.49184,1.85303e+06,1.26459,0.96899,0.997954,1,1,1.04841,0.9732,1,1,0,0,2,"[0,0]","[1,0]","[44779.5,11909.5]","[-0.0604577,-0.219908]","[0.336991,-1.42367]","[44861.3,12199.1]","[0.124901,0.0162506]","[-1,1]","[11,13]","[1,1]","[0,0]","[296.93,-59.0193]","[-0.0122426,0.0302732]","[1.75627,2.88336]",48028.8,-0.54869,2,"[171183,74907.7]","[-1.95738,-0.0308756]","[2.90056,-0.20856]","[618367,75931.5]","[0.999443,0.992265]","[0,5]","[0,0]","[-0.808069,0.980697]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[131.37,33.7387]",18282.4,"[9670.73,3839.38]","[]","[]","[]"
71,284500,74202,364139,-1,1.49184,1.85303e+06,1.55465,0.9523,1.00043,1,1,0.998055,1.00099,1,1,1,0,2,"[0,0]","[1,1]","[38814.2,35682.6]","[1.44076,1.73371]","[2.30912,1.86245]","[86568.5,104162]","[-0.0635071,-0.0205593]","[-1,1]","[13,11]","[1,1]","[0,0]","[-363.773,937.332]","[0.0546515,0.00356741]","[6.89291,0.232771]",76751.4,2.19413,2,"[157866,21350.1]","[-0.302363,-0.879988]","[-0.437187,-0.90088]","[166319,30542.1]","[0.995228,0.998677]","[0,0]","[0,0]","[-0.948803,-0.859989]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[92.0719,97.2108]",749.562,"[5245.9,5498.21]","[]","[]","[]"
77,284500,75487,364139,1,1.49184,1.85303e+06,0.619412,1,0.984524,1,1,1.08354,1.02324,1,0,1,0,2,"[0,0]","[1,1]","[69394.4,38218.7]","[1.58807,1.91474]","[1.86963,1.07554]","[176907,132476]","[-0.0178619,-0.165605]","[-1,1]","[13,13]","[1,1]","[0,0]","[-352.943,-339.199]","[-0.0212751,0.0151108]","[2.88804,1.22191]",120045,1.26028,4,"[123571,68569.5,46967.4,21941.6]","[2.23745,1.66347,1.39117,1.34921]","[-1.13972,-2.45918,-1.7864,3.11484]","[585676,187766,100503,45364]","[0.996663,0.997519,0.988692,0.970464]","[5,0,5,0]","[0,0,0,0]","[0.852074,-0.116212,0.993749,-0.633931]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[803.038,138.375]",25545.1,"[13073.6,5058.87,6895.21,1594.81]","[]","[]","[]"
116,284500,43451,364139,1,1.49184,1.85303e+06,1.55465,1,0.979918,1,1,0.888514,0.969051,1,0,1,0,2,"[0,0]","[1,1]","[43114.6,37951.5]","[1.94739,1.11262]","[2.65483,2.57336]","[154200,63967.4]","[-0.0546598,0.100186]","[-1,1]","[13,13]","[1,1]","[0,0]","[-99.9694,309.277]","[0.0646,-0.00440489]","[7.34556,0.482601]",144900,2.71229,2,"[205772,66870.2]","[0.678055,1.74229]","[-0.766234,0.671816]","[255291,196812]","[0.991491,0.990142]","[0,5]","[0,0]","[-0.935448,-0.388188]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[244.732,117.936]",1112.5,"[3982.66,4282.13]","[]","[]","[]"
