event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
11,284500,12563,364141,1.37289,0.144568,997975,1.1961,0.97749,0.982854,1,1,0.988654,1.00021,1,1,0,0,2,"[0,0]","[1,0]","[77839.9,14424.2]","[0.72612,1.47123]","[-3.11383,-1.04722]","[99278,33062.1]","[-0.0907443,-0.0374627]","[-1,1]","[11,13]","[1,1]","[1671.7,0]","[758.439,-1398.83]","[-0.000568095,0.0151555]","[0.0685893,0.89502]",52084.8,-0.455731,5,"[710568,623899,99950.6,27555.5,25059.6]","[0.118284,0.858976,-0.399258,0.794233,1.23599]","[2.48197,-0.633905,-0.507337,-1.41023,1.46726]","[715787,869679,109724,36993.3,47042.1]","[0.985923,1,0.991167,0.994975,0.989458]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.714741,-0.924428,-0.900382,-0.654226,-0.643827]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[198.54,132.254]",8938.42,"[10865.8,9921.82,3293.27,1827.84,2220.78]","[]","[]","[]"
18,284500,16187,364141,1,0.144568,997975,0.619412,0.8739,0.995931,1,1,0.994132,0.73878,1,1,0,0,2,"[0,0]","[1,0]","[28210.3,13144]","[2.38986,0.840001]","[1.41487,2.09882]","[155207,18060.6]","[0.0543652,0.0331163]","[1,-1]","[11,13]","[1,0]","[0,0]","[64.7915,-773.75]","[0.0398302,-0.0421872]","[1.96644,2.88482]",118528,1.51901,4,"[476745,81362.2,23527.3,22784.2]","[-1.45659,1.84336,-1.8308,1.30362]","[2.88704,0.664544,-3.07491,0.564328]","[1.07951e+06,263855,75421,45251.8]","[1,0.983229,0.999931,0.970866]","[0,0,0,0]","[0,0,0,0]","[-0.958867,-0.941771,-0.899698,-0.734805]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[509.972,59.6361]",2553.79,"[6316.04,4848.42,2604.73,2998.1]","[]","[]","[]"
46,284500,470632,364141,1,0.144568,997975,0.923924,1,0.990019,1,1,0.989478,0.875311,1,0,1,0,2,"[0,0]","[0,1]","[309847,75513.8]","[-0.220449,-0.455664]","[-1.80603,2.71217]","[317406,83490]","[-0.0322571,0.0305252]","[-1,1]","[13,13]","[1,1]","[0,0]","[-301.068,-967.194]","[-0.0319999,0.00824695]","[6.38239,1.42162]",462951,-1.98718,3,"[777797,625304,27098.3]","[-0.0134674,0.684553,-2.46121]","[1.93832,-0.0444268,-3.01126]","[778355,778125,160026]","[0.994285,0.994128,-0.1]","[0,0,0]","[0,0,0]","[-0.920047,-0.652127,-0.82747]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[59573.3,822.119]",2326.91,"[14452.5,8272.04,6722.94]","[]","[]","[]"
57,284500,341611,364141,1.1768,0.144568,997975,0,0.98697,0.996588,1,1,0.997014,1.00582,1,1,1,0,2,"[0,0]","[1,1]","[951183,272848]","[-0.437946,-0.103882]","[0.681095,-2.22856]","[1.04387e+06,274322]","[0.0408868,0.161267]","[-1,-1]","[11,13]","[1,1]","[18537.3,0]","[48474.2,-226.993]","[0.0528356,0.0971104]","[4.82588,7.67671]",132582,-2.10305,5,"[487454,69559.3,27768.4,23550.3,23345.8]","[-0.25796,1.474,0.211037,1.07507,1.00268]","[-2.6976,-2.9592,-3.08983,-0.871195,-1.95514]","[503985,160147,28466.7,38833.1,36295.4]","[0.939639,0.984812,0.999082,0.999161,1]","[0,0,15,0,0]","[0,0,1,0,0]","[-0.854052,-0.949721,-0.83778,-0.707136,-0.692006]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7132.3,62696.4]",14559.7,"[14783.9,7078.78,1982.02,4470.54,2863.65]","[]","[]","[]"
70,284500,861333,364141,1,0.144568,997975,0.619412,0.93319,0.986259,1,1,0.948326,1,1,1,1,0,2,"[0,0]","[1,1]","[33989.3,30304.9]","[-1.99972,-1.72113]","[-2.81844,2.46963]","[127840,87425]","[0.384453,0.0835495]","[-1,1]","[13,11]","[1,0]","[0,15930.2]","[4355.77,138.792]","[-0.0805277,0.00198235]","[8.18865,0.103755]",190727,-3.04594,5,"[595419,323475,30088.7,24460.1,24008.7]","[-1.20039,0.0327869,-1.29078,1.07399,-0.467312]","[-0.144018,3.0528,1.99149,-1.55019,0.603813]","[1.07896e+06,325694,59125.5,40199.5,27243.5]","[0.996933,0.987152,0.981531,0.733411,0.996586]","[0,4,0,0,0]","[0,0,0,0,0]","[-0.810622,0.601791,-0.755252,0.419753,-0.707102]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[117.33,158.903]",631.375,"[15840.4,5461.03,2731.71,1998.67,1774.63]","[]","[]","[]"
83,284500,873110,364141,1,0.144568,997975,1.22586,0.95205,0.998192,1,1,0.994026,0.997579,1,0,1,0,2,"[0,0]","[1,0]","[54459,9322.72]","[-2.27918,-2.11795]","[0.401983,2.48854]","[268783,39315.5]","[-0.172489,0.0247154]","[1,-1]","[13,11]","[1,1]","[0,1035.83]","[-92.8951,327.46]","[-0.0200536,0.028109]","[2.56125,0.836166]",11500.7,-1.35816,3,"[550684,526958,28598.5]","[-1.59114,-0.670564,0.982396]","[-1.20224,2.02421,1.75083]","[1.40848e+06,651064,43901.2]","[0.950752,0.99633,0.948058]","[0,0,0]","[0,0,0]","[-0.862578,-0.978268,-0.790646]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[830.666,197.703]",1270.68,"[13965.3,11539.4,2619.58]","[]","[]","[]"
126,284500,312618,364141,1,0.144568,997975,1.24168,1,0.992635,1,1,0.992075,0.844503,1,0,1,0,2,"[0,0]","[1,1]","[97688.4,57091.5]","[-1.01711,-0.894161]","[-1.54306,-1.72555]","[152727,81476.3]","[-0.0294342,-0.037281]","[1,-1]","[13,13]","[1,1]","[56645.2,96190.2]","[654.421,-581.916]","[-0.0627633,-0.0880108]","[6.7646,13.7956]",889416,-1.54797,4,"[996630,49368,44199.4,23483.5]","[-0.505615,-2.33501,-1.00765,0.115994]","[1.56931,2.64056,0.920432,-0.357046]","[1.12727e+06,257427,69310.2,24020.2]","[0.999481,0.980921,0.984241,0.99678]","[0,0,0,0]","[0,0,0,0]","[-0.916387,-0.851385,-0.960207,-0.892536]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2596.25,257.281]",52583.2,"[35022.7,3428.16,2125.22,2806.87]","[]","[]","[]"
127,284500,312695,364141,1,0.144568,997975,1.24168,1,0.990746,1,1,0.992424,0.946467,1,0,1,0,2,"[0,0]","[1,1]","[71213,23612.8]","[-0.0363933,-0.45096]","[1.34101,1.64144]","[71260.2,26055]","[0.354271,0.23642]","[1,-1]","[13,13]","[1,1]","[0,0]","[1828.75,74.0949]","[0.197939,-0.113907]","[25.4017,10.2711]",452685,1.30868,7,"[471182,468689,139300,64103.6,46103.9,36487.1,22038.3]","[0.649683,-0.277139,-0.0493067,2.08146,-0.149393,-2.20292,-0.733013]","[-0.891758,-2.96802,-0.301898,-2.89516,2.82264,-0.835922,-2.30563]","[574908,491791,140097,261068,47251.3,167184,28619.8]","[0.996444,0.999043,0.990088,0.997349,0.994208,0.96088,0.727622]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.788414,-0.156466,-0.843713,-0.894283,-0.351375,-0.904236,-0.83311]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1720.35,174.166]",452685,"[5349.49,5246.34,1974.47,2350.81,1903.94,2113.18,1633.04]","[]","[]","[]"
132,284500,440533,364141,1,0.144568,997975,1.26205,0.96787,0.996359,1,1,0.943687,0.98743,1,1,0,0,2,"[0,0]","[1,0]","[104480,10551.4]","[0.0127412,0.551231]","[-2.72866,-1.6183]","[104488,12195.9]","[-0.027626,0.00139999]","[-1,1]","[11,13]","[1,1]","[0,1541.71]","[-1210.61,-869.734]","[0.00494799,0.00469287]","[0.7601,0.307395]",79530,-2.33661,11,"[504022,315758,235799,68070.5,62664.5,36709.8,25423.5,24750.8,23838.8,23755,22507.8]","[0.467549,-0.389481,-0.723693,-1.52771,-0.83869,-0.627402,-0.0912924,-1.24944,-1.62359,-0.391903,0.0893459]","[2.29852,-0.0647022,-0.882343,-2.13014,-0.123199,2.64965,2.45062,-1.01517,-1.43831,0.926617,-0.150483]","[569600,342959,302914,164761,86215.9,44765.2,25915.9,46980.8,63016.8,26287.5,23077.3]","[0.998021,0.987578,1,0.995835,1,1,0.989816,0.982812,0.977701,0.803722,0.990528]","[0,4,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0]","[-0.266541,0.429189,-0.935747,-0.88574,-0.851683,-0.691547,-0.830704,-0.761469,-0.943676,-0.794038,-0.128019]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[346.984,39.9205]",10471.3,"[7955.67,5653.98,2961.16,2464.29,2054.45,2439.17,2587.43,1759.99,2999.97,3629.48,1652.24]","[]","[]","[]"
134,284500,440094,364141,1,0.144568,997975,1.25133,0.9823,0.991248,1,1,0.947118,1.00632,1,1,1,0,2,"[0,0]","[1,1]","[119201,33495.4]","[0.0936033,-0.669174]","[-1.28377,-1.23571]","[119724,41279.1]","[0.13574,0.110193]","[1,-1]","[11,13]","[1,1]","[0,0]","[891.027,-867.561]","[-0.0414705,-0.00307641]","[5.08751,0.413479]",175619,-0.862527,4,"[930223,499019,491272,25218.7]","[0.269615,-1.86534,-0.277094,0.811918]","[2.92359,-0.522282,0.806694,-2.86063]","[966804,1.65037e+06,510688,34489.6]","[0.993843,0.990941,0.992992,0.994209]","[4,0,0,0]","[0,0,0,0]","[-0.804379,0.503912,-0.850754,-0.416619]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1327.07,199.43]",39074.1,"[26953.3,9422,18173.8,1813.3]","[]","[]","[]"
