event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
16,284500,62335,364158,1,828.465,1.0403e+07,1.26205,1,0.997852,1,1,1,0.987469,1,0,1,0,2,"[1,0]","[1,0]","[37014,12698.1]","[-2.22131,-1.84693]","[2.27283,-2.69715]","[172631,41256.6]","[0.0307045,-0.580837]","[1,1]","[13,11]","[1,0]","[0,5262.09]","[-46.2479,365.097]","[0.0191143,0.105134]","[2.01492,3.58015]",33294.2,-0.488274,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[423.394,120.72]",0,"[]","[]","[]","[]"
56,284500,415207,364158,1,828.465,1.0403e+07,1.25133,1.01425,1.00109,1,1,1.41498,0.993033,1,0,1,0,2,"[1,0]","[1,0]","[37868.2,7738.91]","[-2.19435,-0.589633]","[2.64069,-2.4584]","[172028,9123.63]","[-0.0527496,0.0794487]","[1,1]","[13,11]","[1,1]","[0,2301.41]","[-372.65,-148.386]","[0.0137558,0.00682974]","[1.2249,0.2843]",67788,1.21611,1,"[43133.5]","[-1.36303]","[-0.910313]","[90255.1]","[0.99845]","[0]","[0]","[0.873899]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1164.2,44.5676]",5574.52,"[4814.67]","[]","[]","[]"
105,284500,113210,364158,-1,828.465,1.0403e+07,1.32095,1,0.998243,1,1,0.971225,0.974253,1,0,1,0,2,"[1,0]","[1,0]","[29102.3,7028.55]","[-2.16941,-0.717212]","[2.33874,2.59451]","[129031,8915.73]","[0.0162621,1.51899]","[1,-1]","[13,13]","[1,1]","[0,0]","[56.7602,-535.12]","[0.00181711,1.01161]","[0.185666,42.8608]",38679,-1.53598,1,"[38635.5]","[-1.85619]","[0.539928]","[126796]","[0.991004]","[4]","[0]","[-0.47526]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[402.226,26.0471]",2905.02,"[5593.02]","[]","[]","[]"
107,284500,114045,364158,1,828.465,1.0403e+07,1.26459,1.01425,1.00178,1,1,1,0.994128,1,0,1,0,2,"[1,0]","[1,0]","[48060.5,8222.52]","[2.21763,-0.262626]","[-1.0495,3.05945]","[223348,8507.71]","[-0.0356998,20.3137]","[-1,1]","[13,11]","[1,1]","[2501.46,0]","[541.229,2837.59]","[0.0122838,0.0469549]","[1.27418,2.08233]",22977.3,1.81424,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2678.73,115.898]",0,"[]","[]","[]","[]"
133,284500,115298,364158,1,828.465,1.0403e+07,1.1961,0.96322,0.993595,1,1,1,0.9715,1,0,1,0,2,"[1,0]","[1,0]","[29746.3,12286.9]","[0.517375,0.29758]","[2.89759,0.85966]","[33817.2,12835]","[-0.0579071,0.120853]","[1,-1]","[13,11]","[0,0]","[0,0]","[296.936,869.268]","[0.00717201,0.0338684]","[0.83928,2.46577]",27948.5,-0.857373,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[78.4636,46.9784]",0,"[]","[]","[]","[]"
146,284500,8452,364158,-1,828.465,1.0403e+07,1.25133,0.95687,0.990258,1,1,1,1.00562,1,0,1,0,2,"[1,0]","[1,0]","[29692.9,8076.36]","[1.68634,1.54368]","[-0.8939,-2.89045]","[82915.9,19768.5]","[-0.0201874,2.50243]","[-1,-1]","[13,11]","[1,1]","[0,0]","[-174.253,1131.5]","[0.0182236,0.0845046]","[1.72203,1.62342]",28139.5,1.84312,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[157.397,420.995]",0,"[]","[]","[]","[]"
157,284500,100562,364158,1,828.465,1.0403e+07,1.24168,1.00634,0.994743,1,1,1,0.767592,1,0,1,0,2,"[1,0]","[1,0]","[51828.6,7399.45]","[-0.778858,0.0622365]","[-0.987711,-2.77023]","[68359.7,7413.78]","[-0.130381,-0.0648041]","[1,1]","[13,11]","[1,1]","[0,0]","[-215.501,1815.7]","[-0.0301691,0.0048425]","[4.28167,0.331534]",40474.2,2.0468,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[311.62,229.758]",0,"[]","[]","[]","[]"
162,284500,134765,364158,1,828.465,1.0403e+07,1.21412,0.96322,0.994954,1,1,1,0.906207,1,0,1,0,2,"[1,0]","[1,0]","[32062.5,11445.8]","[-0.104659,-0.717373]","[-0.947233,-2.74392]","[32238.5,14519.5]","[0.0201502,-0.0846252]","[1,-1]","[13,11]","[1,0]","[0,7750.31]","[7.87524,356.573]","[0.0043871,0.0231949]","[0.543415,1.54151]",45844.6,1.71169,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[209.883,63.3191]",0,"[]","[]","[]","[]"
172,284500,199,364158,1,828.465,1.0403e+07,0.738662,1,0.997141,1,1,0.99967,0.890921,1,0,1,0,2,"[1,0]","[1,0]","[31357.1,8360.7]","[1.12409,-0.358017]","[-2.00532,0.79575]","[53344.1,8902.27]","[0.0828753,-0.339496]","[1,1]","[13,11]","[1,0]","[0,0]","[1582.59,1912.82]","[-0.0380231,0.143943]","[3.54616,8.27089]",63915.9,0.641199,1,"[40525.7]","[-0.807125]","[-3.04262]","[55331.9]","[0.967105]","[0]","[0]","[-0.87945]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[174.191,128.121]",2794.5,"[3870.86]","[]","[]","[]"
189,284500,442133,364158,-1,828.465,1.0403e+07,1.21412,0.95205,0.998061,1,1,0.999593,0.635071,1,0,1,0,2,"[1,0]","[1,0]","[43889.2,8513.44]","[-0.931271,-2.3402]","[1.75964,-1.08342]","[64337,44608.7]","[0.0123787,17.7577]","[-1,-1]","[13,11]","[1,1]","[0,1529.76]","[-406.169,321.085]","[-0.0124655,0.0997332]","[1.79472,1.72629]",44225.4,-2.5195,1,"[36660.3]","[-0.806535]","[-0.292145]","[49374.9]","[0.992722]","[0]","[0]","[-0.941632]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[147.778,66.4579]",2914.53,"[5490.02]","[]","[]","[]"
215,284500,309157,364158,-0.77189,828.465,1.0403e+07,1.26205,1.00802,0.984493,1,1,1,1.02324,1,0,1,0,2,"[1,0]","[1,0]","[29997.6,7203.59]","[1.6576,-1.34144]","[1.24627,-0.389766]","[81553.3,14717]","[0.0142336,0.0144997]","[1,-1]","[13,11]","[1,1]","[0,0]","[283.794,-593.295]","[0.0134847,0.00414078]","[1.49619,0.162603]",23463,-2.40748,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[126.42,153.883]",0,"[]","[]","[]","[]"
225,284500,381617,364158,1,828.465,1.0403e+07,0.696077,1,0.989099,1,1,1,0.955691,1,0,1,0,2,"[1,0]","[1,0]","[33744.7,7880.78]","[-0.845923,-0.0848149]","[-3.09252,-0.732304]","[46555.8,7909.85]","[0.00250626,0.0627174]","[-1,1]","[13,13]","[1,0]","[0,0]","[551.539,615.146]","[-0.0292496,-0.0138453]","[3.69078,0.813605]",32080.6,0.409324,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[68.4731,15.4761]",0,"[]","[]","[]","[]"
242,284500,311725,364158,1,828.465,1.0403e+07,1.32095,1,0.994954,1,1,0.996513,0.917491,1,0,1,0,2,"[1,0]","[1,0]","[31381.4,8477.5]","[-0.187563,0.458214]","[-0.601427,-2.84919]","[31935.2,9383.15]","[-0.0731163,0.122963]","[-1,-1]","[13,11]","[1,0]","[1216.03,0]","[-689.645,-689.564]","[0.0305269,-0.127271]","[3.30319,5.35138]",30879.5,2.94713,2,"[30202.8,24785.4]","[-1.61085,1.55949]","[0.330373,-2.75101]","[78784.4,61770.5]","[0.990552,0.980403]","[0,0]","[0,0]","[-0.806301,-0.147753]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[52.7887,58.2961]",11754,"[4049.05,1869.13]","[]","[]","[]"
248,284500,379935,364158,1,828.465,1.0403e+07,1.26205,0.96199,0.998439,1,1,1,0.989061,1,0,1,0,2,"[1,0]","[1,0]","[31307.2,10143.1]","[2.2296,1.1648]","[-0.784467,-1.69585]","[147202,17838.1]","[-0.0201797,0.367969]","[1,-1]","[13,11]","[1,0]","[0,0]","[-298.821,1821.1]","[0.0153078,-0.313408]","[1.53212,17.4329]",49418.6,1.7168,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[250.574,244.988]",0,"[]","[]","[]","[]"
249,284500,395806,364158,1,828.465,1.0403e+07,1.22586,1,0.996261,1,1,0.999198,0.888263,1,0,1,0,2,"[1,0]","[1,0]","[44844.5,8841.25]","[-0.287934,-1.54622]","[-2.03115,-2.18252]","[46716.4,21691]","[0.0188599,-33.3066]","[-1,-1]","[13,11]","[1,0]","[0,0]","[3007.8,140.203]","[0.00413675,0.0160454]","[0.397787,0.631312]",55098.6,0.897623,1,"[26688.5]","[1.13422]","[1.73066]","[45982.8]","[0.954074]","[0]","[0]","[-0.775263]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[566.574,322.822]",5817.47,"[3230.02]","[]","[]","[]"
262,284500,567994,364158,1,828.465,1.0403e+07,1.24168,1,0.987889,1,1,1,1.00468,1,0,1,0,2,"[1,0]","[1,0]","[29412.9,8303.7]","[-1.74254,0.304466]","[2.98122,-1.26355]","[86575.6,8691.55]","[-0.00967169,-0.00380087]","[1,-1]","[13,11]","[1,0]","[0,0]","[93.3257,1444.09]","[0.00727496,0.000460489]","[0.781186,0.0285934]",25939.9,-0.232273,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[144.306,202.964]",0,"[]","[]","[]","[]"
