event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
34,284500,6347555,364160,1,225.007,3.69389e+06,0.75088,1,1.00132,1,1,0.997323,0.992762,1,0,1,0,2,"[1,0]","[1,0]","[39127.7,22288.3]","[1.05321,0.0996179]","[3.13337,0.311741]","[62910.4,22399.2]","[-0.0454254,-157.466]","[1,-1]","[13,13]","[1,0]","[0,0]","[337.965,448.026]","[-0.00354828,3.22377]","[0.527193,76.8046]",107953,-2.84918,2,"[95017.3,25240.4]","[-0.31546,-1.58531]","[0.305254,-0.41537]","[100321,64429.9]","[0.992788,0.99]","[0,0]","[0,0]","[-0.920225,-0.507524]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[225.867,42.5736]",1899.7,"[2337.91,1817.21]","[]","[]","[]"
51,284500,6347573,364160,1,225.007,3.69389e+06,1.1961,1,0.990169,1,1,0.999617,1.01322,1,0,1,0,2,"[1,0]","[1,0]","[39008.4,24216.5]","[-1.72755,0.0950618]","[-2.46468,-2.4538]","[113214,24326.2]","[-0.115281,-0.106608]","[1,-1]","[13,13]","[1,0]","[0,0]","[127.15,100.611]","[-0.00909529,-0.0131198]","[1.01919,1.30793]",1956.69,-2.83698,1,"[46099.4]","[0.49754]","[0.446032]","[52765.1]","[0.99558]","[0]","[0]","[-0.899095]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[60.7804,164.847]",380.264,"[2030.26]","[]","[]","[]"
53,284500,7995023,364160,-1,225.007,3.69389e+06,0,1,0.998063,1,1,0.997248,0.804098,1,0,1,0,2,"[1,0]","[1,0]","[30446.8,12013.4]","[-0.756327,1.79566]","[1.55183,-0.411082]","[39578.3,37178.3]","[-0.0158448,-56.5926]","[1,1]","[13,11]","[1,0]","[0,0]","[-858.655,1548.85]","[0.0138006,-0.0168198]","[1.6229,0.368563]",19832.2,-2.1033,2,"[26782.6,25624.2]","[-0.874411,-1.91991]","[-2.74132,-0.756573]","[37941.3,89315.8]","[0.994599,0.994343]","[0,0]","[0,0]","[-0.78429,-0.699235]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[72.7667,475.847]",2662.71,"[1982.63,2021.65]","[]","[]","[]"
61,284500,3687075,364160,1,225.007,3.69389e+06,1.21412,0.9407,0.999961,1,1,0.99943,0.986727,1,0,1,0,2,"[1,0]","[1,1]","[59633.6,33317.3]","[2.36884,1.53959]","[-3.10079,-0.680376]","[321384,81246.6]","[-0.278528,0.0341873]","[-1,1]","[13,11]","[1,1]","[0,4884.35]","[85.935,3858.6]","[-0.00804758,0.0607701]","[0.941712,3.97288]",47068.7,0.0255189,1,"[31436.7]","[0.140818]","[2.01752]","[32455.4]","[0.998685]","[0]","[0]","[-0.903163]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4996.57,499.243]",1.33203,"[1828.4]","[]","[]","[]"
63,284500,5194409,364160,1,225.007,3.69389e+06,1.26459,1.00802,0.994259,1,1,0.997455,0.906811,1,0,1,0,2,"[1,0]","[1,0]","[71191,9636.92]","[0.306146,-1.01753]","[2.26197,1.55525]","[74553.4,15071.3]","[-0.0899239,-55.2193]","[-1,1]","[13,11]","[1,1]","[0,0]","[570.471,-447.971]","[0.0248858,0.00813698]","[4.39863,0.513428]",27408.8,-0.948904,2,"[28329.5,25464.1]","[-0.7674,-1.46483]","[0.454951,-1.7704]","[37628.4,58320.3]","[0.992536,0.935291]","[0,0]","[0,0]","[-0.519904,-0.781002]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[561.006,187.422]",19460,"[1864.04,1721.64]","[]","[]","[]"
81,284500,5193213,364160,0.561461,225.007,3.69389e+06,1.26459,1,0.983977,1,1,0.976541,1.03262,1,0,1,0,2,"[1,0]","[1,0]","[37691.2,11808.8]","[0.872969,1.70363]","[2.49248,2.85555]","[52988.6,33512.8]","[0.0170059,-0.00136948]","[1,-1]","[13,13]","[1,1]","[0,4118.42]","[-378.749,2634.12]","[-0.00400542,-0.0222429]","[0.512932,1.49572]",22265.4,-0.346872,1,"[31853.1]","[0.306092]","[-0.46827]","[33731.3]","[0.717421]","[4]","[0]","[-0.719268]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[105.194,85.063]",948.984,"[1478.95]","[]","[]","[]"
91,284500,4863326,364160,1,225.007,3.69389e+06,1.1961,1,0.995598,1,1,0.958788,1.03042,1,0,1,0,2,"[1,0]","[1,0]","[84135.9,7159.04]","[-0.553026,0.221114]","[0.396175,-0.494751]","[97333.1,7334.76]","[-0.0232315,77.1548]","[-1,1]","[13,11]","[1,0]","[0,0]","[-773.493,694.341]","[0.010962,0.00519926]","[1.88695,0.224187]",25551.5,-2.32691,1,"[80389]","[-1.45276]","[2.91579]","[181579]","[0.993252]","[4]","[0]","[-0.677893]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1661.87,47.5062]",12337,"[4579.57]","[]","[]","[]"
101,284500,6366733,364160,1,225.007,3.69389e+06,1.21412,1.01425,0.999727,1,1,0.997712,0.82428,1,0,1,0,2,"[1,0]","[1,0]","[76172.1,7404.51]","[0.747538,-0.762537]","[0.961171,-2.22853]","[98464.9,9663.59]","[-0.0490313,45.3928]","[-1,-1]","[13,11]","[1,0]","[0,0]","[-132.455,-780.29]","[0.0146106,-0.013772]","[2.81702,0.297]",46786.5,-0.316492,2,"[74302.2,22256.3]","[0.819596,-2.2453]","[-2.48695,-2.94086]","[101027,106355]","[0.993685,0.998517]","[0,0]","[0,0]","[-0.832977,-0.476501]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1152.35,121.18]",1441.99,"[2320.47,1919.71]","[]","[]","[]"
132,284500,248497,364160,-1,225.007,3.69389e+06,0.553627,1,1.00578,1,1,0.9944,1.00279,1,0,1,0,2,"[0,1]","[0,1]","[82800.2,30856.7]","[-0.0804992,-1.3601]","[2.02078,-1.95595]","[83068.7,64077.3]","[86.8295,-0.0287247]","[1,1]","[13,13]","[0,1]","[0,1022.49]","[-893.327,834.445]","[-3.31737,0.00155848]","[178.141,0.167725]",57883.3,-0.861875,4,"[44984.9,29885.9,24943.9,20147.6]","[-2.49657,-1.87892,1.59725,0.727248]","[0.657485,-2.03534,-2.07712,0.148359]","[275152,100407,64304.5,26079.5]","[0.989511,0.719134,0.996482,0.943346]","[0,0,0,0]","[0,0,0,0]","[0.638843,-0.739732,0.108097,-0.764337]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[441.993,145.488]",4107.66,"[2420.38,1969.96,2439.77,2517.32]","[]","[]","[]"
159,284500,3893165,364160,1,225.007,3.69389e+06,0.696077,1,1.0012,1,1,0.976366,0.9786,1,0,1,0,2,"[0,1]","[0,1]","[578145,33835]","[-0.0703843,0.538245]","[-0.702955,-2.33986]","[579577,38855.8]","[88.1557,0.0469007]","[1,1]","[13,13]","[0,1]","[1426.34,0]","[-454.185,-82.1726]","[-3.59189,-0.0182769]","[85.4272,2.34097]",603247,2.35361,2,"[51472,31123.3]","[1.17826,-0.90813]","[-1.47279,1.44338]","[91740.5,45249.4]","[0.996216,1]","[0,4]","[0,0]","[-0.741985,-0.535764]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[104873,195.877]",844.5,"[2365.6,2881.44]","[]","[]","[]"
