event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,4987622,364165,1,38.2998,4.32528e+06,1.1961,0.92481,0.998308,1,1,0.995383,0.994982,1,0,1,0,2,"[1,0]","[1,0]","[68597.8,18738.5]","[-2.31311,-0.67324]","[-2.73396,-0.78483]","[350012,23148]","[-0.0368156,-0.0327339]","[1,1]","[13,11]","[1,0]","[4878.1,3937.67]","[208.015,6859.11]","[-0.0307273,0.0274813]","[3.90418,2.36091]",51853.3,0.803566,4,"[132888,100250,22469.8,21965.1]","[0.958131,-0.900808,0.747508,2.25425]","[0.196702,2.98859,-2.38965,-1.79294]","[199836,144782,29465.7,105856]","[1,0.995995,0.996183,0.999187]","[0,0,0,0]","[0,0,0,0]","[-0.877923,-0.665138,-0.826984,-0.827606]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[316.464,171.412]",17833.3,"[2486.74,10723.5,1675.37,1959.54]","[]","[]","[]"
3,284500,1534912,364165,1,38.2998,4.32528e+06,1.22586,1,1.01828,1,1,0.999095,0.902647,1,0,1,0,2,"[1,1]","[1,0]","[90316,75132.2]","[0.52876,-0.0246539]","[1.34689,1.53893]","[103239,75155.2]","[0.0734787,56.8182]","[1,1]","[13,13]","[1,0]","[0,0]","[-252.559,-43.553]","[0.000953676,-1.89252]","[0.17167,29.0043]",102196,0.00114041,2,"[238934,70647.8]","[0.903861,-1.11186]","[-1.95824,2.23795]","[344247,119131]","[0.994914,0.999682]","[0,0]","[0,0]","[-0.933096,-0.898165]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3283.21,985.861]",21945.4,"[6167.94,4974.66]","[]","[]","[]"
4,284500,1536281,364165,-1,38.2998,4.32528e+06,1.26459,1,0.998323,1,1,0.997918,0.890319,1,0,1,0,2,"[1,0]","[1,0]","[119842,7966.73]","[0.76877,-0.645482]","[-0.994559,-1.32451]","[157034,9685.39]","[-0.0141487,-35.1452]","[1,1]","[13,13]","[1,1]","[0,0]","[735.62,-210.399]","[-0.0175711,-0.0193132]","[2.99989,1.08921]",122803,-0.895367,3,"[226240,25509.3,24922.2]","[0.109614,1.0749,-1.08127]","[2.12671,-2.46725,1.37302]","[228285,41981.7,41249.4]","[0.998455,0.945503,0.680564]","[0,0,0]","[0,0,0]","[-0.956387,-0.806332,-0.893072]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3422.51,22.292]",19734.1,"[7500.79,2090.96,1732.77]","[]","[]","[]"
17,284500,1537955,364165,1,38.2998,4.32528e+06,0.923924,1,0.999234,1,1,0.998448,1.02314,1,0,1,0,2,"[1,0]","[1,0]","[55827.5,7924.3]","[-1.58637,-0.827425]","[0.92064,2.03585]","[142099,10795.8]","[-0.0143852,139.987]","[1,-1]","[13,13]","[1,1]","[0,0]","[544.229,-665.563]","[-0.00319365,0.000846364]","[0.426148,0.040766]",437460,0.363763,2,"[56403.9,25138.4]","[-1.77402,-0.543906]","[-2.33432,-2.26003]","[171365,29367.8]","[0.996168,0.967794]","[0,0]","[0,0]","[-0.513849,-0.821737]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[616.812,8.05972]",15383.7,"[5522.16,3990.94]","[]","[]","[]"
18,284500,1903204,364165,1,38.2998,4.32528e+06,1.26205,1.01425,0.997364,1,1,0.99847,0.695754,1,0,1,0,2,"[1,0]","[1,0]","[140662,9304.83]","[-0.660856,0.554166]","[2.41915,-0.947748]","[172512,10770.5]","[-0.0448799,-82.8954]","[-1,1]","[13,11]","[1,0]","[0,0]","[-390.971,2757.36]","[0.0299671,-0.0646699]","[5.79651,3.15465]",346856,2.86911,1,"[477947]","[-0.913905]","[-0.362676]","[692379]","[0.997507]","[0]","[0]","[-0.707383]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3858.3,170.446]",5875.88,"[7902.49]","[]","[]","[]"
19,284500,1889268,364165,1,38.2998,4.32528e+06,0.75088,1.00802,0.997917,1,1,0.997396,1.00918,1,0,1,0,2,"[1,0]","[1,0]","[54706.9,8770.25]","[1.24408,0.964826]","[-2.03003,-0.10959]","[102793,13179]","[-0.00931168,83.0456]","[-1,1]","[13,11]","[1,0]","[0,0]","[-512.935,2125.45]","[-0.0226147,-0.0179847]","[2.72228,0.801526]",72083,-3.05499,4,"[184435,71588.6,34132.3,27742]","[-0.156783,-1.35733,1.16505,0.750843]","[-0.058484,3.05998,1.93709,1.88886]","[187392,148615,60633.1,36251]","[0.964896,0.971062,0.812905,0.980612]","[0,0,0,0]","[0,0,0,0]","[-0.968194,-0.935283,-0.734284,-0.899476]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[440.529,137.1]",2262.77,"[3500.21,2609.56,2251.18,3211.01]","[]","[]","[]"
26,284500,384485,364165,1.63525,38.2998,4.32528e+06,1.74563,1.00802,0.990821,1,1,0.994878,0.949914,1,0,1,0,2,"[1,0]","[1,0]","[34076.4,9856.05]","[1.74784,1.13313]","[-2.17842,2.78994]","[100803,16890.2]","[0.0563354,0.00743675]","[-1,1]","[13,11]","[1,1]","[0,3948.24]","[-213.754,-475.967]","[-0.0262309,0.0167807]","[2.84264,1.16895]",66405.7,1.51246,4,"[149535,125260,24513.5,22008.2]","[1.01416,0.598049,-2.24609,-0.730216]","[-0.457938,3.01798,-0.612127,1.47872]","[233664,148709,117205,28494.3]","[0.98681,0.992049,0.997684,0.994515]","[0,0,0,0]","[0,0,0,0]","[-0.929882,-0.69804,-0.87767,-0.739352]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[151.188,107.994]",2010.12,"[4865.54,2488.15,1910.64,1721.9]","[]","[]","[]"
32,284500,4650663,364165,1,38.2998,4.32528e+06,0.738662,1,0.993737,1,1,0.997772,0.981429,1,0,1,0,2,"[1,0]","[1,0]","[83756.3,7260.16]","[-0.634711,-0.860029]","[-2.90791,-2.0641]","[101201,10114.8]","[-0.053669,7.58428]","[1,-1]","[13,11]","[1,0]","[3845.22,4619.72]","[-651.239,-1845.27]","[0.000383133,-0.000285105]","[0.0552099,0.00264774]",47866.1,2.78543,4,"[221277,68109.5,59908.2,30289.2]","[-1.13059,-1.21596,-0.999279,-0.413102]","[-0.215487,2.25513,2.86386,-0.623197]","[378986,125270,92676.5,33633.1]","[0.997167,0.992197,0.999045,0.993307]","[0,0,0,0]","[0,0,0,0]","[-0.898161,-0.913599,-0.932259,-0.229244]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[362.77,87.1108]",3866.12,"[12722.2,8608.79,2180,4012.34]","[]","[]","[]"
33,284500,4789170,364165,1,38.2998,4.32528e+06,0.923924,0.93077,0.994662,1,1,0.998809,0.841751,1,0,1,0,2,"[1,0]","[1,0]","[26739.9,21001.5]","[-0.79003,-1.71964]","[3.09921,0.232211]","[35528,60501.5]","[0.0515671,0.059597]","[1,-1]","[13,11]","[1,0]","[0,1571.27]","[-806.362,487.227]","[0.00516471,0.0354987]","[0.589625,0.910981]",66417.5,-2.21169,2,"[71031,33116.1]","[-1.87172,-0.903632]","[2.15388,2.03697]","[236446,47848.1]","[0.993822,0.982619]","[0,0]","[0,0]","[-0.908932,-0.909139]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[132.379,170.513]",6757.15,"[7941.93,1954.57]","[]","[]","[]"
41,284500,1536505,364165,1,38.2998,4.32528e+06,1.1961,1,0.995698,1,1,0.997032,1.01252,1,0,1,0,2,"[1,0]","[1,0]","[56475.4,8020.43]","[0.808396,-0.645734]","[-0.619779,-1.32447]","[75956.1,9752.07]","[0.0125618,11.3741]","[1,1]","[13,13]","[1,1]","[0,0]","[-791.672,-791.672]","[0.0209258,-0.0267951]","[3.12973,1.49696]",107415,-1.00622,3,"[172384,56239.5,22639.7]","[0.870206,2.1471,-0.186831]","[3.00935,-0.21481,1.79202]","[242015,244077,23718.5]","[0.998821,0.931569,0.848827]","[0,0,0]","[0,0,0]","[-0.836949,-0.922754,-0.885117]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[487.06,21.0643]",18705.4,"[3423.71,2315.78,1656.03]","[]","[]","[]"
