event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,42996,364169,1,1.198,3.8829e+06,1.22586,1,0.992455,1,1,0.992611,0.832276,1,0,1,0,2,"[1,0]","[1,0]","[1.19527e+06,14354]","[-0.966615,1.00836]","[-2.17544,2.91848]","[1.79852e+06,22291.5]","[-0.0143509,76.7378]","[-1,-1]","[13,13]","[1,1]","[0,1880.76]","[-352.318,-301.898]","[-0.00944035,-0.0218372]","[2.50987,1.53166]",12507.4,0.160675,4,"[1.23897e+06,39344.8,33048,22388.5]","[0.441595,0.738186,0.922192,-0.724688]","[0.994567,-0.443525,-2.14796,-0.697367]","[1.36573e+06,50920,48284,28709.9]","[0.993947,0.99791,0.971885,0.963446]","[0,0,0,0]","[0,0,0,0]","[-0.0511639,-0.847184,-0.957887,-0.88973]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[435524,40.806]",3475.98,"[32943,5391.51,2726.38,5829.13]","[]","[]","[]"
17,284500,34641,364169,1,1.198,3.8829e+06,0.351687,1,1.00434,1,1,0.994163,0.995521,1,0,1,0,2,"[0,1]","[0,1]","[129992,50102.1]","[0.0874749,2.26722]","[1.03997,-0.290704]","[130490,244402]","[20.59,-0.0224457]","[-1,1]","[13,13]","[0,1]","[0,0]","[-982.179,-35.9591]","[6.7894,0.0100422]","[109.674,1.02167]",196146,-2.00958,7,"[373144,275830,186998,135408,39758.7,23675,21787.2]","[0.460371,-0.138366,-1.1745,-0.446965,-1.20323,0.280488,-0.632052]","[1.91584,-1.39817,-0.0943667,2.70319,-0.551311,-3.12433,-3.00283]","[413825,279082,333452,149884,72479.1,24960,26681.2]","[0.995728,0.999821,0.990806,0.995661,0.986313,0.923122,0.966489]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.42844,-0.538065,-0.902792,-0.930972,-0.531888,-0.30616,-0.908399]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3635.43,478.147]",10158.9,"[4947.89,6756.8,5009.36,5364.79,7297.66,2407.13,1663.2]","[]","[]","[]"
32,284500,63780,364169,1,1.198,3.8829e+06,0.738662,1,1.00004,1,1,0.989392,0.966761,1,0,1,0,2,"[1,0]","[1,0]","[49063.7,10614.7]","[2.16575,0.582544]","[-2.77374,-1.41395]","[216758,12467.3]","[0.0707817,0.332169]","[-1,1]","[13,11]","[1,0]","[0,5439.1]","[-444.901,1496.77]","[0.00155525,0.0544465]","[0.1696,3.78397]",96129.8,-1.36517,3,"[855156,749813,27216.5]","[0.513387,-0.544246,0.920358]","[0.507095,-2.73334,-2.88261]","[971484,866915,40132.7]","[0.987741,1,0.98031]","[0,0,0]","[0,0,0]","[-0.948791,-0.704982,-0.509551]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[717.659,55.255]",3217.09,"[15215.2,10381.9,4491.1]","[]","[]","[]"
34,284500,180320,364169,1,1.198,3.8829e+06,1.08735,0.95205,0.989255,1,1,0.877958,0.997967,1,0,1,0,2,"[1,0]","[1,0]","[163714,9913.03]","[1.62222,-2.44973]","[-0.528504,0.85827]","[430712,57850.1]","[-0.0208359,-96.6676]","[1,1]","[13,11]","[1,1]","[0,0]","[1256.14,207.282]","[0.0224003,0.00272845]","[3.7166,0.0580061]",76567,-0.730338,5,"[409806,323831,91425.3,87601.5,68433.4]","[0.225955,1.46849,-0.455043,1.10158,-0.273752]","[-2.70192,1.42763,-0.563308,0.243938,3.11516]","[420957,740975,101566,146927,71486.5]","[0.996121,0.998504,0.992076,0.992995,0.972831]","[4,0,4,4,0]","[0,0,0,0,0]","[-0.962667,0.549181,-0.193342,0.215193,-0.934974]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11934.2,378.556]",15123.8,"[10630.8,5374.73,2424.89,1315.87,8280.4]","[]","[]","[]"
41,284500,3315,364169,1,1.198,3.8829e+06,1.1961,1,0.993249,1,1,1.04366,0.978288,1,0,1,0,2,"[1,0]","[1,0]","[293994,11530.2]","[0.432783,1.57897]","[-2.03715,-0.884222]","[321960,29149.2]","[0.00769806,-0.074028]","[1,-1]","[13,11]","[1,0]","[0,1076.77]","[-533.036,3620.38]","[-0.0104012,0.00731166]","[1.30412,0.275653]",154197,-1.59914,6,"[484364,253292,164311,70890.2,27901.6,21342.1]","[2.07112,0.638536,0.509573,0.0251569,1.6601,-0.480938]","[1.3994,-1.25353,1.50259,-3.09892,1.10993,0.66551]","[1.95215e+06,307793,186392,71838.9,76187.5,24367.6]","[0.995827,1,0.999419,0.994215,0.993628,0.647767]","[0,0,0,5,0,0]","[0,0,0,0,0,0]","[-0.720868,-0.7897,-0.730543,0.925366,-0.807447,-0.873386]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[64376,132.72]",2346,"[8971.76,7850.08,2679.96,7540.03,4140.03,1187.12]","[]","[]","[]"
42,284500,6970,364169,1,1.198,3.8829e+06,1.1961,1,0.987759,1,1,0.998278,1,1,1,1,0,2,"[0,1]","[1,1]","[384013,124085]","[-1.96649,-1.9942]","[-2.43639,-2.02176]","[1.39886e+06,464230]","[0.0268307,0.114784]","[1,1]","[11,13]","[0,1]","[2333.96,0]","[12468.2,707.175]","[0.0474493,0.0156261]","[4.15815,2.56628]",224425,-2.19766,2,"[444662,32531.2]","[-1.08191,-0.547298]","[0.952526,1.2992]","[733235,38185.5]","[0.999671,0.99]","[0,0]","[0,0]","[-0.863204,-0.858652]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3580.18,1401.16]",19004.6,"[5915.41,3053.8]","[]","[]","[]"
43,284500,5549,364169,1,1.198,3.8829e+06,1.32095,1.00336,0.97553,1,1,0.983009,0.807156,1,0,1,0,2,"[1,0]","[1,0]","[46940.8,11673]","[0.520739,-1.77704]","[-0.424025,-1.23986]","[53450.5,35494.7]","[0.0276566,62.8625]","[1,-1]","[13,11]","[1,1]","[0,0]","[-637.217,373.64]","[-0.00992766,0.0924969]","[1.63645,4.10946]",127835,-1.72837,5,"[1.36407e+06,1.09739e+06,268739,24769.2,23911.2]","[-0.672002,-1.8531,0.200744,-1.62768,-1.44955]","[0.324098,-2.79967,2.81458,3.1353,1.97678]","[1.68476e+06,3.58693e+06,274850,65728.6,54021.2]","[0.989882,0.992674,0.990048,0.950149,0.992354]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.314214,-0.983205,-0.861354,-0.835936,-0.598492]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[123.827,215.15]",44880.1,"[29736.1,53373.5,3292.81,2570.23,2049.76]","[]","[]","[]"
45,284500,39374,364169,1,1.198,3.8829e+06,1.24168,0.98697,0.984602,1,1,0.996056,1,1,1,0,0,2,"[0,1]","[1,0]","[368052,19137.4]","[-0.417275,1.65534]","[2.61151,-1.38011]","[400562,51918.7]","[0.00201607,-0.00354195]","[-1,1]","[11,13]","[0,0]","[5961.61,0]","[10169.1,114.053]","[0.000686506,0.0174526]","[0.106653,1.3011]",69522.2,2.44518,6,"[224461,215855,172067,36554,29002.8,21065.5]","[0.0874547,-0.483321,-1.34623,-0.737984,-0.0878605,-0.82785]","[0.186648,-1.92592,-0.10941,-0.529399,-2.34719,-2.37119]","[226233,245692,353168,47715.7,29386.9,28869.3]","[0.99248,0.999349,1,0.995494,0.992381,0.999895]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.956539,-0.5576,-0.950388,-0.941716,-0.383288,-0.730042]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5362.59,86.7993]",11588.7,"[2667.97,5740.24,3334.42,7995.27,3812.66,1142.3]","[]","[]","[]"
54,284500,64050,364169,1,1.198,3.8829e+06,0.553627,1,0.998595,1,1,1.25991,0.988204,1,0,1,0,2,"[1,0]","[1,0]","[38185.1,7695.04]","[2.07694,-0.47114]","[-3.02771,-3.03175]","[154750,8565]","[-0.127635,-7.63431]","[1,-1]","[13,11]","[1,0]","[0,1029.32]","[-669.786,1795.08]","[-0.00484796,0.123497]","[0.621887,6.47557]",49932.4,1.08567,9,"[479512,399729,92682.8,68521.3,35973.9,32170.9,25921,22627.1,21546.1]","[1.62792,1.2388,0.0345574,0.706274,0.99354,1.05625,0.264017,1.10037,0.847335]","[0.871146,-2.29939,-1.79594,-1.98939,1.74165,-1.51592,0.98031,0.892673,-0.598526]","[1.26954e+06,748717,93320,86799.3,55588.3,52273.8,27589.5,38064.6,29912.9]","[0.994874,0.999009,0.978642,0.89204,0.999138,0.974336,0.974899,0.711262,0.937308]","[0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0]","[0.92599,-0.908759,-0.922279,-0.901684,-0.682405,-0.907907,-0.80952,-0.331625,-0.543452]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[680.426,110.403]",8329.24,"[12108.2,17145.9,2637.67,2779.56,2512.71,2183.74,1939.16,3159.09,1591.85]","[]","[]","[]"
65,284500,173421,364169,1,1.198,3.8829e+06,0.553627,0.95205,0.988416,1,1,0.990954,1.02324,1,0,1,0,2,"[1,0]","[1,0]","[35224,7336.6]","[1.63189,-2.3271]","[0.875868,-0.255989]","[93504.1,37951.2]","[0.0145416,128.929]","[-1,1]","[13,11]","[1,1]","[0,0]","[502.215,-527.487]","[0.00246248,0.0354663]","[0.267526,0.531347]",86131.1,-0.29649,4,"[682658,539628,57281.4,23391.1]","[0.630841,-0.707888,0.954946,-2.11772]","[2.79284,-0.313759,-0.561861,-2.34217]","[823635,682240,86014.4,98766.1]","[0.994167,0.992886,0.992088,0.992802]","[0,0,0,0]","[0,0,0,0]","[-0.93776,-0.517941,-0.762154,-0.817229]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[106.632,63.0718]",10912.1,"[15234.6,6307.96,2259.14,3442.89]","[]","[]","[]"
