event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,3921425,364173,1.2719,618.688,5.35969e+06,1.26459,0.96217,0.996048,1,1,0.997334,0.97553,1,1,0,0,2,"[1,0]","[1,0]","[48743.9,7730.69]","[0.0213043,2.37838]","[-1.86365,-0.486045]","[48755,42055.6]","[-0.0450077,-38.2533]","[-1,1]","[11,13]","[1,1]","[0,1235.5]","[1883.97,-397.548]","[0.00785695,0.710957]","[0.759639,28.313]",66974.5,0.47326,2,"[26300.5,22734.9]","[2.44041,1.18767]","[2.55941,-2.24238]","[152192,40941.7]","[0.00587844,0.946858]","[0,0]","[0,0]","[-0.954127,-0.718342]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[139.282,63.7245]",10348.6,"[2161.47,3992.31]","[]","[]","[]"
11,284500,5247959,364173,1,618.688,5.35969e+06,0.596562,0.97245,0.996438,1,1,0.998628,0.99544,1,1,0,0,2,"[1,0]","[1,0]","[95638.1,7575.23]","[1.32615,-1.17235]","[1.63852,0.986663]","[192807,13405.6]","[0.01227,68.8844]","[1,1]","[11,13]","[1,1]","[0,0]","[503.198,319.119]","[-0.0140259,0.0205726]","[1.29865,1.30865]",53962.3,2.87614,1,"[146500]","[-0.479499]","[-1.11375]","[163979]","[0.996853]","[0]","[0]","[-0.891892]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[585.027,25.9789]",11053.6,"[15347.3]","[]","[]","[]"
27,284500,5462628,364173,1,618.688,5.35969e+06,1.25133,0.97949,1,1,1,0.998973,0.99672,1,1,0,0,2,"[1,0]","[1,0]","[63551.2,8705.59]","[1.06165,-1.55562]","[0.420607,-0.951806]","[102858,21542.3]","[-0.0867615,-9.77029]","[1,-1]","[11,11]","[1,0]","[0,0]","[224.299,175.925]","[0.0010768,0.010722]","[0.0784732,0.331979]",44429.2,2.92216,1,"[41390.3]","[1.56331]","[3.0496]","[103434]","[1]","[0]","[0]","[-0.727219]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[243.269,356.786]",1510.45,"[2437.21]","[]","[]","[]"
67,284500,5625342,364173,1,618.688,5.35969e+06,1.24168,0.97106,0.999453,1,1,1,0.96201,1,1,0,0,2,"[1,0]","[1,0]","[49118,22953.9]","[0.818554,-0.02044]","[2.30717,-1.3985]","[66512.9,22958.9]","[0.0350304,-0.00513077]","[1,-1]","[11,13]","[1,0]","[0,1447.66]","[26.6062,-149.572]","[-0.0130211,0.00816884]","[1.38676,1.05805]",29556.7,0.933081,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[171.067,81.6874]",2693.56,"[]","[]","[]","[]"
80,284500,2724116,364173,1,618.688,5.35969e+06,0.923924,0.97538,1,1,1,0.999236,1.01508,1,1,0,0,2,"[1,0]","[1,0]","[81017.3,9179.37]","[-1.54381,-1.29825]","[-1.5103,1.93354]","[198329,18064.5]","[0.0254679,45.6912]","[1,1]","[11,11]","[1,0]","[0,0]","[444.46,2301.38]","[0.00786618,-0.0424896]","[0.618568,1.87346]",3023.6,-0.105152,1,"[75353.7]","[-2.36772]","[1.62436]","[405745]","[0.990924]","[0]","[0]","[-0.20144]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1107.11,207.079]",7292.67,"[10628.6]","[]","[]","[]"
87,284500,10257013,364173,1,618.688,5.35969e+06,1.24168,0.92525,1,1,1,0.999737,0.94691,1,1,0,0,2,"[1,0]","[1,0]","[59308.5,7718.49]","[-2.37585,-0.948755]","[-2.85023,1.32114]","[321841,11460.9]","[-0.248297,131.451]","[1,-1]","[11,11]","[1,0]","[0,0]","[220.954,-1575.72]","[-0.0229513,-0.0351028]","[0.758753,0.611254]",28075.1,-1.31991,1,"[52118.5]","[-0.49402]","[0.543927]","[58900.6]","[1]","[0]","[0]","[-0.874448]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[248.211,230.695]",1071.9,"[5851.25]","[]","[]","[]"
102,284500,12457895,364173,1,618.688,5.35969e+06,0.696077,0.96126,1.05495,1,1,0.99913,0.96978,1,1,0,0,2,"[1,0]","[1,0]","[29389.1,17821.2]","[0.364401,-0.00549419]","[1.53785,-0.804203]","[31362,17821.8]","[-0.00513458,-100.84]","[1,1]","[11,13]","[1,0]","[0,2965.03]","[-168.211,410.501]","[0.00630229,0.0262099]","[0.672836,3.36999]",43651,-0.0829006,1,"[109869]","[-0.979073]","[2.5666]","[167835]","[0.945854]","[0]","[0]","[-0.823553]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[224.49,162.033]",5265.3,"[9072.14]","[]","[]","[]"
106,284500,3719424,364173,-1,618.688,5.35969e+06,1.24168,0.893921,1,1,1,0.996879,0.95498,1,1,0,0,2,"[1,0]","[1,0]","[59976.6,15095.4]","[-0.678018,-0.577054]","[-2.69365,-1.45092]","[74298.7,17679.2]","[-0.0160828,116.909]","[-1,-1]","[11,11]","[1,1]","[3910.33,0]","[623.094,2720.78]","[-0.00536023,0.034385]","[0.751468,2.13393]",49496.3,0.270971,2,"[44387.6,34085.9]","[-2.35435,-2.11803]","[-0.0332875,2.74289]","[235859,144062]","[0.596211,0.929885]","[0,0]","[0,0]","[-0.422755,-0.861974]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[92.2333,44.5486]",5975.91,"[4195.85,4037.38]","[]","[]","[]"
109,284500,5459218,364173,1,618.688,5.35969e+06,0.738662,0.97429,1,1,1,0.99816,0.98653,1,1,0,0,2,"[1,0]","[1,0]","[58927.9,10845.3]","[0.172867,1.62769]","[-2.00136,-0.341287]","[59810.6,28677.4]","[0.0029459,-0.0330915]","[-1,-1]","[11,11]","[1,0]","[0,3507.62]","[-1555.9,2272.27]","[-0.0083355,0.0430062]","[0.934287,2.45926]",57682.5,0.470093,1,"[24008]","[1.60922]","[2.49926]","[62594.4]","[0.986388]","[0]","[0]","[-0.775066]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[76.4386,157.649]",5020.25,"[2242.63]","[]","[]","[]"
116,284500,3360077,364173,1,618.688,5.35969e+06,1.26459,0.9823,0.996417,1,1,0.997213,1.00632,1,1,0,0,2,"[1,0]","[1,0]","[93053.1,8335.25]","[0.652304,-1.26856]","[-0.763002,0.454896]","[113562,15991.4]","[0.0123138,31.4942]","[-1,1]","[11,13]","[1,1]","[0,0]","[-803.643,2257.23]","[-0.00220421,-0.00653085]","[0.297122,0.357768]",10419.9,2.11135,2,"[24127.5,24062.1]","[1.86822,1.17482]","[2.62501,1.07999]","[80163,43030.8]","[0.987659,0.999093]","[0,0]","[0,0]","[0.319708,-0.803468]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[329.784,14.6279]",2243.01,"[4033.33,1701.89]","[]","[]","[]"
