event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
11,284500,29170,364174,1,223.639,3.71479e+06,0.75088,0.97538,0.999319,1,1,0.997545,1.01508,1,1,0,0,2,"[1,0]","[1,0]","[95678.6,7364.99]","[-1.65133,-0.782613]","[-1.15288,-3.13976]","[258605,9738.53]","[-0.0615425,0.0901642]","[1,1]","[11,13]","[1,1]","[0,1560.49]","[-757.529,2095.33]","[-0.019844,0.0037849]","[2.50469,0.210677]",35269.2,1.1717,2,"[42134.5,38224.6]","[-1.63377,-2.32264]","[1.88191,2.53074]","[112284,196905]","[0.992464,1]","[0,0]","[0,0]","[-0.822455,-0.829362]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1574.75,10.6534]",776.219,"[3112.48,4410.25]","[]","[]","[]"
52,284500,11298,364174,1,223.639,3.71479e+06,1.21412,0.96679,0.997954,1,1,0.994663,0.96793,1,1,0,0,2,"[1,0]","[1,0]","[43785.2,10891.4]","[-1.0083,-0.508103]","[2.53378,1.04525]","[67993.4,12328.2]","[0.0857029,0.0994778]","[1,-1]","[11,13]","[1,1]","[0,14453.7]","[-227.081,6560.34]","[0.0245069,0.151281]","[2.22612,10.1221]",31231.3,2.34991,3,"[43940.5,24203.6,21042.2]","[-2.38147,-2.08023,-2.25621]","[-1.46313,-2.86364,0.028703]","[239854,98593.9,101642]","[0.998728,0.908287,0.64429]","[0,0,0]","[0,0,0]","[-0.895499,-0.640422,-0.343768]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[136.822,60.537]",432.586,"[6831.07,1839.96,1251.37]","[]","[]","[]"
110,284500,784505,364174,1,223.639,3.71479e+06,1.21412,0.99093,0.996596,1,1,0.949078,1.00306,1,1,0,0,2,"[1,0]","[1,0]","[113391,8977.59]","[0.863413,-2.05497]","[0.75052,-2.90488]","[158348,35617.4]","[0.0249281,-0.11799]","[-1,-1]","[11,13]","[1,1]","[0,2007.22]","[-911.626,1961.16]","[-0.00117037,0.0264353]","[0.109403,1.2048]",87295.5,-1.89912,3,"[42354.2,31591.6,28190]","[0.546643,0.36019,0.0799692]","[-2.75946,2.31313,1.0048]","[49661.6,34173.3,28751]","[0.998125,0.937284,0.97858]","[4,4,0]","[0,0,0]","[-0.785317,-0.822458,-0.833586]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[672.619,56.6474]",9744.24,"[1278.14,1280.33,7234.88]","[]","[]","[]"
115,284500,11071,364174,1,223.639,3.71479e+06,1.32095,0.96689,1,1,1,0.998508,1.00136,1,1,0,0,2,"[1,0]","[1,0]","[52139.9,12275.4]","[1.65312,2.67527]","[1.39076,-0.973491]","[141160,89518.9]","[0.0875597,-2.18404]","[1,-1]","[11,13]","[1,0]","[1391.37,0]","[315.518,-573.899]","[-0.000528112,-2.77275]","[0.0303009,0.491881]",43033.6,2.37111,1,"[32076]","[1.33897]","[-1.52869]","[65616.7]","[0.9997]","[0]","[0]","[-0.934729]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[354.724,41.4353]",10567.6,"[2189.14]","[]","[]","[]"
128,284500,16278,364174,1,223.639,3.71479e+06,0.0132185,0.972185,1,1,1,1,1.00001,1,1,0,0,2,"[1,0]","[1,0]","[48210.2,9987.56]","[-1.95787,-1.00343]","[1.34389,0.308094]","[174168,15452]","[-0.0628929,-33.0494]","[-1,1]","[11,11]","[1,1]","[0,0]","[-256.363,-70.2729]","[-0.00911674,-0.00198539]","[0.879816,0.0402286]",47148.2,-2.65008,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[118.292,127.499]",9.71484,"[]","[]","[]","[]"
155,284500,67091,364174,1,223.639,3.71479e+06,0.553627,0.97435,1.00539,1,1,1.51173,0.98425,1,1,0,0,2,"[0,1]","[0,1]","[112844,45839.5]","[0.00453386,0.559642]","[-1.27738,1.87415]","[112845,53207.2]","[53.9869,-0.0563273]","[1,1]","[13,11]","[0,1]","[0,0]","[-917.091,-379.363]","[-1.47042,-0.0255278]","[38.5002,2.85558]",162929,1.55906,3,"[93510.2,62720.2,51688]","[0.437286,-2.43512,-2.45148]","[-2.00731,-1.76959,1.04768]","[102849,360884,302217]","[0.986617,0,0.998671]","[0,0,4]","[0,0,0]","[-0.800266,-0.766541,0.895322]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2569.76,132.082]",4049.8,"[2679.78,3440.55,5596.31]","[]","[]","[]"
156,284500,67468,364174,1,223.639,3.71479e+06,0.619412,0.97429,1.00123,1,1,0.998053,0.98653,1,1,0,0,2,"[1,0]","[1,0]","[55464.2,7637.71]","[0.178067,1.20293]","[-2.97773,0.174872]","[56345.9,13863.5]","[-0.0138931,18.2505]","[1,-1]","[11,13]","[1,0]","[0,0]","[2488.05,2487.23]","[-0.000186741,0.0170674]","[0.0216901,0.759145]",71358.2,1.9364,3,"[94111.8,43728.5,23077.9]","[-0.0409897,-0.195067,-0.649521]","[-1.23352,0.248329,1.88974]","[94792.5,45055.4,28690.8]","[1,0.999953,0.9374]","[0,0,0]","[0,0,0]","[-0.848454,-0.950556,-0.871486]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[157.021,34.2732]",379.367,"[1977.09,4685.38,2245.49]","[]","[]","[]"
157,284500,787265,364174,1,223.639,3.71479e+06,1.25133,0.9666,0.988089,1,1,1,0.95498,1,1,0,0,2,"[1,0]","[1,0]","[51219.7,10018.5]","[-0.707017,1.83617]","[-2.89079,-1.08329]","[64563.6,32218.9]","[0.008636,0.00603676]","[1,-1]","[11,13]","[1,1]","[0,1562.86]","[807.037,336.71]","[0.0208245,0.0454884]","[1.93644,2.05172]",34150,0.0311311,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[195.569,19.3355]",644.613,"[]","[]","[]","[]"
171,284500,77043,364174,1,223.639,3.71479e+06,0.351687,0.959938,1,1,1,0.966628,1.00043,1,1,0,0,2,"[1,0]","[1,0]","[38664.3,9715.61]","[1.67051,-0.862809]","[-2.04852,-1.78657]","[106385,13561.9]","[-0.0334473,-28.967]","[1,-1]","[11,11]","[1,1]","[0,2444.05]","[-28.4272,1271.95]","[0.0147832,0.030272]","[1.01461,1.07929]",87760,-2.33588,2,"[126775,31840.4]","[0.717915,1.10956]","[1.16365,-0.155862]","[162562,53904.6]","[0.971287,0.988544]","[4,0]","[0,0]","[0.771801,-0.614993]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[136.13,203.65]",3187.5,"[2334.57,3071]","[]","[]","[]"
178,284500,80239,364174,-1,223.639,3.71479e+06,1.25133,1.07476,1,1,1,0.959515,1.00192,1,1,0,0,2,"[1,0]","[1,0]","[66231.5,7058.87]","[-0.12986,-1.65743]","[2.14262,-0.382159]","[66790.7,19187.5]","[0.109694,29.34]","[-1,-1]","[11,11]","[1,1]","[0,0]","[-1154.18,469.517]","[0.0369262,0.000214756]","[1.69999,0.00479213]",38411.5,-2.0179,2,"[72222.4,28180.4]","[1.01599,2.41061]","[-0.394566,2.9155]","[113224,158327]","[0.991415,0.990774]","[4,0]","[0,0]","[-0.148505,-0.244796]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[360.364,348.848]",198.91,"[3064.86,2413.84]","[]","[]","[]"
