event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,1277,364183,1,1.19752,4.07524e+06,1.24168,0.97663,1,1,1,0.996118,1,1,1,0,0,2,"[0,1]","[1,1]","[442246,122012]","[0.660795,-1.95927]","[-2.50353,-1.52083]","[542364,441383]","[0.105576,-0.0262222]","[-1,1]","[11,11]","[0,1]","[0,0]","[20538,-381.753]","[-0.0171049,-0.00891588]","[2.25903,0.597938]",89481.4,-0.752799,3,"[531590,70566,34263.1]","[0.89022,-0.476524,1.33565]","[0.812687,2.05164,2.26393]","[757530,79512.5,69800.8]","[0.999908,0.106661,0.966166]","[0,0,0]","[0,0,0]","[-0.931693,-0.986475,0.443768]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3246.71,756.368]",3579.95,"[14088,2249.92,4489.62]","[]","[]","[]"
10,284500,111004,364183,1,1.19752,4.07524e+06,1.74563,0.970139,1,1,1,0.959617,1.00136,1,1,0,0,2,"[1,0]","[1,0]","[53438.3,10547.6]","[1.52913,1.56847]","[1.90677,-2.81608]","[129077,26409.4]","[0.0342598,-0.0272865]","[1,1]","[11,11]","[1,0]","[0,4746.03]","[-486.578,2576.1]","[0.0211408,-0.0623768]","[2.06223,1.40125]",89081.3,-2.7595,5,"[674668,645616,99396.4,45897.4,42121.6]","[1.59987,0.725957,-2.04652,-0.439047,0.292546]","[-2.01018,0.966288,1.95135,-0.652046,0.049812]","[1.73942e+06,824009,391325,51268.4,44543.4]","[1,1,0.995547,0.996354,0.986407]","[4,0,0,0,0]","[0,0,0,0,0]","[-0.715764,-0.779821,-0.644641,-0.725484,-0.909175]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[384.419,357.349]",189.414,"[18228,15564.9,4825.48,5376.49,4049.3]","[]","[]","[]"
11,284500,111677,364183,1,1.19752,4.07524e+06,1.55465,0.979183,1,1,1,0.998944,0.9918,1,1,0,0,2,"[1,0]","[1,1]","[870043,833768]","[-0.701361,-0.291799]","[-2.91221,0.303095]","[1.09295e+06,869517]","[-0.0356445,0.079567]","[1,-1]","[11,11]","[1,0]","[0,8262.36]","[1021.76,58964.4]","[0.0113192,-0.0247654]","[1.00713,1.51491]",3725.8,2.61113,2,"[39960.6,23776.5]","[-0.933961,-1.19236]","[-1.49413,-1.93856]","[59245.4,42966.3]","[0.980712,0.938682]","[0,0]","[0,0]","[-0.723438,-0.916447]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7644.41,7056.21]",5221.62,"[5667.48,2090.56]","[]","[]","[]"
12,284500,112241,364183,1,1.19752,4.07524e+06,0.923924,0.944813,1,1,1,0.998596,0.99866,1,1,0,0,2,"[1,0]","[1,0]","[236549,10350.9]","[-1.08658,-0.464353]","[1.55761,-2.30387]","[390483,11487]","[0.0314789,-0.128235]","[-1,1]","[11,11]","[1,1]","[0,3853.8]","[-299.513,1827.19]","[-0.0253134,0.147129]","[3.8102,7.46064]",131362,2.14974,7,"[1.19297e+06,1.17594e+06,131085,105064,39015.3,33667.6,25936]","[0.0832546,-0.338015,1.33708,-0.899749,1.85156,-0.0190475,-0.505322]","[-2.53164,0.308012,2.30435,-1.35454,1.38274,-1.29899,-3.03398]","[1.19813e+06,1.24605e+06,267179,151120,127429,34727.9,29610.2]","[0.998451,0.999419,0.996445,0.994803,1,1,0.984747]","[0,0,0,0,0,0,5]","[0,0,0,0,0,0,0]","[-0.714451,-0.541233,-0.872278,-0.8904,-0.884451,-0.929522,0.85976]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2863.89,169.596]",16763.3,"[21736,18727.3,16486,10375.2,4008.73,7570.92,1988.27]","[]","[]","[]"
16,284500,125525,364183,1,1.19752,4.07524e+06,1.32095,0.961213,1,1,1,1.00849,1,1,1,0,0,2,"[0,1]","[1,1]","[674667,537253]","[0.498584,-0.952992]","[0.801913,-1.97355]","[760274,800250]","[0.0871353,0.117798]","[1,1]","[11,11]","[0,1]","[20188,29643.9]","[33506.2,10690.1]","[0.0155203,-0.0214015]","[2.29905,3.0923]",81126.6,-2.75925,4,"[76377.8,41834,33218.1,26548.1]","[-1.10509,-1.97364,1.44062,-0.537988]","[-2.98304,1.67767,0.490568,-2.49748]","[128818,153643,74541.3,30732.2]","[0.996856,0.996557,0.966333,0.970928]","[4,5,0,0]","[0,0,0,0]","[-0.525101,0.999633,-0.870986,-0.938292]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4669.15,7004.46]",29936.8,"[1480.24,1958.46,3695.57,3021.66]","[]","[]","[]"
18,284500,125160,364183,1,1.19752,4.07524e+06,1.21412,0.94067,1,1,1,0.996465,0.84038,1,1,0,0,2,"[1,1]","[1,0]","[29115.2,8066.13]","[1.56135,0.739794]","[-2.70103,-2.97061]","[72425.6,10375.9]","[-0.0285416,-43.7172]","[-1,-1]","[11,11]","[1,0]","[0,0]","[-307.314,2363.86]","[-0.0120537,0.0153124]","[0.77929,0.958881]",87092.1,1.41891,4,"[470470,141779,72376.4,66152.1]","[-1.43549,-2.3893,-0.091643,0.790074]","[-2.02818,-1.82589,1.18506,0.127394]","[1.04452e+06,779699,73509.4,88210.7]","[0.999463,1,1,0.982303]","[0,0,0,0]","[0,0,0,0]","[-0.959272,-0.910723,-0.775224,-0.204085]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[331.298,116.493]",12208.3,"[6265.24,4912.68,1771.4,2011.71]","[]","[]","[]"
23,284500,118466,364183,1,1.19752,4.07524e+06,1.26459,0.99577,1,1,1,1.04532,0.99604,1,1,0,0,2,"[1,0]","[1,0]","[89403.8,9963.88]","[-2.11662,-0.359806]","[0.699604,-0.970092]","[376545,10615.8]","[0.0686188,-144.383]","[1,1]","[11,11]","[1,0]","[0,5327.98]","[1416.49,5280.69]","[-0.0048581,-0.0232784]","[0.487061,0.518143]",175473,-0.119961,4,"[591838,305373,49947.8,22233.3]","[-0.655645,-0.391693,2.02286,0.201671]","[3.11003,-0.200473,0.961894,-1.15484]","[724878,329768,192216,22964.6]","[0.997619,0.988836,0.994266,0.741868]","[0,0,5,0]","[0,0,0,0]","[-0.937462,-0.826877,0.896331,-0.819915]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[595.682,62.8811]",1788.03,"[10235.3,7565.3,1353.35,1665.15]","[]","[]","[]"
29,284500,111038,364183,1,1.19752,4.07524e+06,1.24168,0.98536,0.997152,1,1,1.03042,0.9918,1,1,0,0,2,"[1,0]","[1,0]","[90647.2,9424.02]","[-0.771342,0.926536]","[1.51969,-2.79609]","[118977,13767.3]","[-0.0246429,-0.219955]","[-1,-1]","[11,13]","[1,1]","[0,0]","[686.314,-587.303]","[0.0215165,0.00519739]","[1.85295,0.3014]",41478.8,-0.0681288,3,"[406645,342367,51075.3]","[-0.254218,1.60061,0.550353]","[-0.174963,2.80639,1.42792]","[420512,884640,60133.3]","[0.976468,0.998768,0.933364]","[0,5,0]","[0,0,0]","[-0.706273,-0.0419976,0.0477865]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[285.939,37.7168]",21819,"[7459.51,4539.85,7200.83]","[]","[]","[]"
33,284500,124108,364183,1,1.19752,4.07524e+06,1.1961,0.97166,1,1,1,0.998365,1.0005,1,1,0,0,2,"[1,0]","[1,0]","[108257,7465.02]","[2.03899,-1.12257]","[-0.400287,0.611318]","[422909,12683.8]","[0.0360818,0.00283098]","[-1,1]","[11,11]","[1,0]","[0,0]","[-547.557,348.631]","[-0.00261263,0.0425904]","[0.263319,2.57587]",56502.1,-1.6189,2,"[438561,80851.9]","[-0.223699,0.360344]","[-1.80122,-2.30056]","[451228,86290]","[0.991956,0.99956]","[0,0]","[0,0]","[-0.904972,-0.953058]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[714.595,189.373]",12977.3,"[7571.06,6447.17]","[]","[]","[]"
41,284500,323,364183,1,1.19752,4.07524e+06,0.553627,0.98916,1.00567,1,1,0.99599,0.99765,1,1,0,0,2,"[1,0]","[1,0]","[146663,23982.6]","[0.689856,-0.0937142]","[-2.91955,1.21786]","[182967,24088.2]","[-0.0104904,26.1873]","[1,1]","[11,13]","[1,0]","[0,5429.44]","[139.338,46.083]","[0.00111461,5.7595]","[0.0799646,185.947]",105963,-2.06017,3,"[563977,264477,179656]","[0.874276,-0.965922,-2.14201]","[0.647538,-1.85593,3.09314]","[794526,399085,775718]","[0.995066,0.99689,1]","[0,0,0]","[0,0,0]","[-0.852079,-0.646651,-0.967053]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[704.658,105.658]",31633.7,"[8573.66,7010.44,3529.82]","[]","[]","[]"
43,284500,2646,364183,1,1.19752,4.07524e+06,0.75088,0.96052,0.971801,1,1,0.995824,1.01448,1,1,0,0,2,"[1,0]","[1,0]","[55793.7,7594.35]","[1.94552,0.016444]","[-1.40146,-0.321814]","[199188,7596.11]","[-0.00645828,25.1302]","[1,1]","[11,13]","[1,1]","[0,1097.2]","[463.68,277.226]","[-0.0161508,-0.000836799]","[0.915088,0.045657]",70254.5,1.18478,4,"[551378,138163,55677.3,53655.6]","[0.973108,2.08892,0.770653,-0.101478]","[2.1315,-2.62737,2.59507,0.257193]","[837602,566638,73398.6,54289.3]","[1,0.996881,0.992305,0.996332]","[0,0,0,0]","[0,0,0,0]","[-0.766609,-0.943445,-0.924069,-0.611267]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[152.492,18.8668]",18629.9,"[7378.09,11172.8,6576.64,3944.82]","[]","[]","[]"
50,284500,112654,364183,1,1.19752,4.07524e+06,0.923924,0.96709,0.996048,1,1,0.993175,1.00936,1,1,0,0,2,"[1,0]","[1,0]","[134342,7245.27]","[0.0903329,2.01124]","[1.97093,0.0353473]","[134891,27555.4]","[-0.014924,-0.211816]","[1,-1]","[11,13]","[1,1]","[20218.6,0]","[4148.62,2528.5]","[-0.0756336,0.0369122]","[5.54139,1.58323]",126187,2.11616,7,"[469110,258631,182389,76012.4,41389.9,27943.8,24870.2]","[-1.10883,-2.04748,0.298819,2.48447,1.18148,-0.23073,1.99735]","[-0.941756,-0.936403,-2.99953,-0.254561,0.775854,2.5494,-0.736708]","[793620,1.01902e+06,191024,459124,74076.1,29317.1,93412.4]","[0.994223,0.991402,0.98753,0.99148,0.972654,0.993795,0.980738]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.463584,-0.928529,-0.838991,-0.425157,-0.924902,-0.439531,-0.83039]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[520.268,63.4399]",26964.9,"[6607.47,4953.08,4967.32,6117.16,7284.79,1919.15,2704.39]","[]","[]","[]"
51,284500,122729,364183,1,1.19752,4.07524e+06,1.26205,1.00336,1,1,1,0.996042,1,1,1,0,0,2,"[0,1]","[1,0]","[407523,12039.3]","[0.757783,1.53546]","[-0.172822,-0.759478]","[530238,29248.4]","[-0.00750542,-0.0316105]","[-1,1]","[11,11]","[0,0]","[7266.69,0]","[25407.8,495.722]","[-0.0283233,-0.0706722]","[2.75566,2.30551]",126997,-0.908582,5,"[499698,62000.3,58279.4,57776.8,27109.7]","[-1.89183,-0.393713,-1.02928,0.0606269,0.742434]","[2.60941,-3.09736,3.04907,-0.761,-1.08446]","[1.69474e+06,67651.4,92459.1,58946,35326.4]","[0.999753,0.995918,0.986943,0.997783,0.972674]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.890602,-0.922562,-0.935962,0.0833665,-0.892576]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3240.49,336.082]",18320.5,"[18263.2,2204.64,2214.49,1860.78,3341.56]","[]","[]","[]"
64,284500,4686,364183,1,1.19752,4.07524e+06,1.22586,0.97663,0.998337,1,1,0.962616,1.00121,1,1,0,0,2,"[1,0]","[1,0]","[126538,12068]","[-1.97327,-0.538424]","[-0.712092,2.42261]","[463960,13860.3]","[0.0338593,0.810104]","[-1,1]","[11,13]","[1,0]","[0,2320.42]","[-532.421,14416.7]","[-0.00171327,0.150343]","[0.151451,10.9695]",47776.3,-1.89795,4,"[698585,562160,37296.8,20204.4]","[-1.10489,0.87659,0.567918,-0.311669]","[2.54786,-0.205297,-0.670242,-3.06251]","[1.17083e+06,796706,44408.6,21552.3]","[0.993726,1,0.959866,0.991352]","[0,0,0,5]","[0,0,0,0]","[-0.972988,-0.906003,-0.901501,0.894418]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[779.141,48.4415]",7619.84,"[16611.8,7379.97,1990.51,864.328]","[]","[]","[]"
67,284500,113209,364183,1,1.19752,4.07524e+06,0.187531,0.96311,1.00567,1,1,0.992329,1.00058,1,1,0,0,2,"[1,0]","[1,0]","[51001.3,24558.3]","[-1.785,0.0898637]","[2.74578,-1.32707]","[156251,24657.8]","[0.107834,0.0235558]","[1,-1]","[11,13]","[1,0]","[0,1840.97]","[-662.83,1279.85]","[-0.0141035,-0.0128384]","[1.236,1.73795]",101034,1.55818,6,"[484974,377558,50696.2,37082,23356.8,22216.1]","[0.832244,-1.18808,-0.671006,-2.46184,-2.18259,2.02773]","[-1.58258,1.59062,-0.0538433,2.36926,0.490208,-1.85514]","[663870,677837,63518,219062,105018,86015.6]","[1,0.990275,0.733456,0.993456,0.784003,0.917668]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.924286,-0.703726,-0.938864,-0.883406,-0.803322,-0.246733]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[191.953,142.989]",117.828,"[5850.35,5743.28,2062.36,6781.98,2161.98,1852.93]","[]","[]","[]"
