event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,2107374,364187,1,620.167,5.42702e+06,0.923924,0.97749,0.992748,1,1,0.998977,1.00021,1,1,0,0,2,"[0,0]","[1,0]","[70847.6,7900.94]","[0.659851,-1.60723]","[-0.279045,-1.4355]","[86839.1,20500.8]","[0.145393,17.8534]","[-1,1]","[11,13]","[1,1]","[0,0]","[-409.266,-686.371]","[-0.0823696,0.0540256]","[8.20938,2.42024]",38474.9,0.690899,1,"[113945]","[0.153559]","[3.05487]","[115680]","[0.999307]","[0]","[0]","[-0.781142]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[162.024,36.2934]",2444.66,"[2461]","[]","[]","[]"
1,284500,14525351,364187,1,620.167,5.42702e+06,0.75088,0.97867,1.00567,1,1,0.998273,1.01012,1,1,0,0,2,"[0,0]","[1,0]","[80184.4,24852.7]","[2.02938,0.035572]","[-1.0589,1.92049]","[310345,24868.6]","[-0.0494766,0.0531464]","[1,1]","[11,13]","[1,0]","[1919.69,3836.81]","[-738.132,1912.31]","[0.0110063,0.0104422]","[0.599833,1.0549]",56820.8,-1.33393,1,"[25069.2]","[-1.286]","[1.44959]","[49149.5]","[0.983652]","[0]","[0]","[-0.604267]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[389.976,35.9978]",1032.57,"[2212.81]","[]","[]","[]"
3,284500,12421322,364187,1,620.167,5.42702e+06,1.1961,0.99963,0.995833,1,1,0.997615,0.669553,1,0,1,0,2,"[0,0]","[1,0]","[34041.6,13100.5]","[0.67039,2.15631]","[-2.15557,-0.980205]","[41982,57347.3]","[-0.00445175,0.177109]","[1,1]","[13,11]","[1,1]","[0,1285.05]","[-461.887,128.297]","[-0.00934469,0.0236]","[1.35813,1.50167]",17865.5,1.18598,2,"[44501.6,24075.6]","[2.39575,-0.129584]","[1.82063,-0.938021]","[246296,24529.7]","[0.998847,0.947035]","[0,0]","[0,0]","[-0.747477,-0.77337]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[230.153,138.526]",1927.99,"[2984.56,1796.7]","[]","[]","[]"
4,284500,12421437,364187,-1,620.167,5.42702e+06,0.696077,1.01425,0.997852,1,1,0.99965,0.987469,1,0,1,0,2,"[0,0]","[1,0]","[50006.1,8711.18]","[-2.06682,0.362115]","[2.28135,1.29503]","[200681,9288.58]","[-0.00405884,-14.6585]","[1,-1]","[13,11]","[1,1]","[0,0]","[-226.829,524.284]","[0.0383658,-0.0886688]","[4.76069,5.17026]",32704.1,-1.89542,1,"[39135.9]","[0.691956]","[0.0062391]","[49544.6]","[0.992109]","[0]","[0]","[-0.872959]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1053.69,46.2064]",243.59,"[2131.2]","[]","[]","[]"
5,284500,13779660,364187,1,620.167,5.42702e+06,1.22586,0.9623,0.987935,1,1,0.993788,0.96784,1,1,0,0,2,"[0,0]","[1,0]","[27204,9637.35]","[-0.545052,-1.77722]","[0.869302,-2.07463]","[31346,29309.7]","[-0.0748968,6.0936]","[1,-1]","[11,13]","[1,1]","[0,0]","[78.8623,-1039.73]","[-2.59514e-06,0.00238609]","[0.000293479,0.11593]",16165.8,-1.90892,5,"[53062.6,29403.9,28541.8,25497.3,23586]","[-0.744735,1.01322,-1.26064,1.34569,1.56579]","[-3.03917,-0.0528748,3.09076,-0.62904,2.27572]","[68739.3,46030.6,54626.7,52622.4,59155.4]","[0.983254,0.993261,0.980434,0.923758,0.899439]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.922973,-0.901438,-0.892214,-0.430235,-0.837053]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[153.139,14.3893]",17470.9,"[4731.37,2815.57,3106.81,2022.46,1723.48]","[]","[]","[]"
8,284500,1589197,364187,1,620.167,5.42702e+06,1.22586,1,0.998731,1,1,0.999646,0.997022,1,0,1,0,2,"[0,0]","[1,0]","[31126.9,13328.7]","[1.52355,2.33785]","[1.06494,1.18679]","[74804.4,69678.9]","[0.0295868,1.1028]","[-1,-1]","[13,11]","[1,0]","[0,0]","[20.5517,-592.449]","[0.0104519,0.219003]","[1.20284,3.21859]",8688.05,1.14579,1,"[43526.7]","[1.07791]","[-1.89981]","[71569.3]","[0.990041]","[0]","[0]","[-0.863098]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[135.127,86.6349]",1771.2,"[2753.32]","[]","[]","[]"
10,284500,12419493,364187,1,620.167,5.42702e+06,1.32095,0.92237,0.984531,1,1,1,1.01483,1,0,1,0,2,"[0,0]","[0,1]","[60992.4,60356.6]","[2.37208,1.73718]","[2.67826,-0.676287]","[329754,176764]","[-0.202845,-0.357857]","[1,1]","[11,13]","[1,1]","[0,1031.39]","[2498.76,1339.09]","[0.00398696,-0.0988379]","[0.160191,12.6079]",35199.5,0.178009,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[297.33,263.423]",2374.5,"[]","[]","[]","[]"
11,284500,13013778,364187,1,620.167,5.42702e+06,1.26459,0.96445,1.01287,1,1,0.998138,1.00001,1,1,0,0,2,"[0,0]","[0,1]","[114367,49671.4]","[0.0571087,-1.99931]","[-2.10058,2.18869]","[114554,186750]","[26.3903,0.476425]","[1,-1]","[13,11]","[0,1]","[0,0]","[425.264,-153.321]","[6.60324,-0.0823891]","[153.549,5.41085]",99420.9,0.99145,2,"[33134.5,29584.4]","[1.25769,-0.949781]","[-0.138557,-2.12954]","[63100.4,44262.7]","[1,1]","[0,0]","[0,0]","[-0.900331,-0.901733]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3125.18,146.446]",5013.43,"[2173.35,3014.22]","[]","[]","[]"
13,284500,13859669,364187,1,620.167,5.42702e+06,0.738662,1,0.981571,1,1,0.99725,1.00617,1,0,1,0,2,"[0,0]","[1,0]","[31198.6,7168.43]","[-1.79431,-0.701246]","[0.419194,-1.33507]","[96427.7,9004.38]","[0.201309,0.767357]","[1,1]","[13,11]","[1,0]","[0,0]","[-228.108,-161.333]","[-0.145644,0.0101049]","[15.1977,0.561394]",34534.9,-2.53767,2,"[26675.1,24342.2]","[-1.53395,0.194202]","[2.56183,-1.6446]","[65034.8,25519.2]","[0.80781,0.996321]","[0,0]","[0,0]","[-0.799236,0.207004]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[130.164,119.398]",22700,"[5463.13,1826.07]","[]","[]","[]"
15,284500,1345560,364187,1,620.167,5.42702e+06,0.553627,1,1.0044,1,1,0.997789,0.962223,1,0,1,0,2,"[0,0]","[1,0]","[35476.8,26001.6]","[-1.09914,0.0947503]","[-3.07113,1.18334]","[59153,26118.6]","[-0.0519867,200.597]","[1,1]","[13,13]","[1,0]","[0,0]","[559.124,-1507.76]","[0.00505182,2.50504]","[0.72568,87.5505]",75900.3,-2.55113,2,"[44063.4,23159.6]","[-2.19398,-0.3938]","[0.35476,0.762064]","[200299,25644.1]","[0.995385,0.973872]","[0,0]","[0,0]","[-0.805039,-0.798622]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[731.649,119.788]",3878.13,"[2497.8,2438.79]","[]","[]","[]"
16,284500,1382484,364187,-1,620.167,5.42702e+06,0.75088,1,0.988545,1,1,0.998449,1.00764,1,0,1,0,2,"[0,0]","[1,0]","[27447,7021.66]","[1.75335,1.15853]","[-0.805028,2.45067]","[81615.1,12285.1]","[-0.0451813,-93.4263]","[-1,1]","[13,11]","[1,0]","[0,0]","[134.942,164.321]","[0.0257628,-0.00789054]","[2.73767,0.258753]",103724,-2.08278,2,"[93559.5,25166.2]","[-0.114348,-0.774288]","[1.27652,1.42094]","[94521.6,33538.7]","[0.984458,0.808811]","[0,0]","[0,0]","[-0.916184,-0.822637]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[140.189,107.562]",5502.1,"[4349.99,2574.2]","[]","[]","[]"
18,284500,13192986,364187,1,620.167,5.42702e+06,0.738662,0.9407,1.00881,1,1,0.998659,0.94055,1,1,0,0,2,"[0,0]","[0,1]","[36855.8,30966.4]","[0.0455392,1.59053]","[0.123088,0.157625]","[36894.2,79121.6]","[119.75,-0.0228424]","[1,1]","[13,11]","[0,1]","[0,0]","[797.527,-84.0114]","[-3.03146,-0.0792266]","[262.103,3.91028]",59712.1,0.467147,3,"[44890.8,39146.1,32670]","[0.295405,-0.50806,-0.262733]","[-2.98456,-2.19455,2.90663]","[47290.9,45217.4,34732.7]","[0.993209,0.759749,0.962164]","[0,0,0]","[0,0,0]","[-0.809975,0.0638633,-0.66066]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[92.5279,341.743]",2283.34,"[3724.4,2138.18,2137.82]","[]","[]","[]"
19,284500,13324130,364187,1,620.167,5.42702e+06,0.75088,1.05607,1,1,1,0.996835,0.95786,1,1,0,0,2,"[0,0]","[1,0]","[36296.6,8468.25]","[0.81429,1.58313]","[-1.19367,-1.87737]","[49010,21490.3]","[0.040451,-67.6561]","[1,1]","[11,11]","[1,0]","[0,0]","[984.446,718.516]","[-0.01608,-0.550154]","[1.72704,15.1687]",69910.6,1.44622,3,"[30743.9,25207.7,24625.4]","[1.74614,-0.547445,0.687487]","[0.239469,2.63433,-2.89921]","[90918,29638.4,30950.2]","[0.98489,0.993281,1]","[0,0,0]","[0,0,0]","[-0.835246,-0.916439,-0.846216]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[42.609,359.911]",7745.22,"[2022.59,2258.43,4175.05]","[]","[]","[]"
20,284500,13426749,364187,-1,620.167,5.42702e+06,0.351687,1,1.00979,1,1,0.998354,0.979445,1,0,1,0,2,"[0,0]","[1,0]","[45999.5,37895.8]","[-1.50094,0.0659419]","[-2.42471,-0.380956]","[108302,37978.3]","[-0.378761,23.9948]","[-1,-1]","[13,13]","[1,0]","[0,0]","[120.657,2932.58]","[-0.0194282,-1.09546]","[2.2324,26.6233]",101785,3.09071,2,"[64387,40091]","[-1.43655,-1.68279]","[0.264461,0.701737]","[143487,111659]","[0.99447,0.984953]","[0,0]","[0,0]","[-0.764114,-0.913283]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[58.6995,166.47]",4441.47,"[4645.35,2427.06]","[]","[]","[]"
21,284500,1347398,364187,-1,620.167,5.42702e+06,0.75088,0.96322,1,1,1,0.999327,1,1,1,0,0,2,"[0,0]","[1,0]","[28680.8,11940.8]","[0.780006,-0.469276]","[2.97149,-1.03225]","[37857.1,13279.9]","[0.072052,-45.8168]","[1,1]","[11,11]","[0,1]","[4909.66,0]","[5129.58,-349.907]","[-0.0705003,-0.0550973]","[6.92744,3.3653]",40906.5,-2.25021,1,"[88554.5]","[-0.323117]","[0.35915]","[93716.4]","[0.998356]","[0]","[0]","[-0.942427]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[153.118,155.531]",3302.14,"[2235.93]","[]","[]","[]"
22,284500,1383347,364187,1,620.167,5.42702e+06,1.26205,0.96199,1.00051,1,1,0.999597,1.00142,1,0,1,0,2,"[0,0]","[1,0]","[29079.4,11658.4]","[1.26913,1.00905]","[2.48118,-1.50788]","[55815.3,18114.6]","[-0.06147,-68.6294]","[-1,1]","[13,11]","[1,1]","[0,0]","[-363.765,3857.15]","[-0.00577482,0.0370356]","[0.466408,1.8613]",16269.1,1.61518,1,"[38034.6]","[0.553404]","[-0.67804]","[44316.5]","[0.983322]","[0]","[0]","[-0.9103]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[87.9566,105.657]",167.932,"[1987.22]","[]","[]","[]"
