event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,23697,364188,1,222.595,3.71912e+06,0,0.962659,1,1,1,0.999012,1.02555,1,1,0,0,2,"[0,0]","[1,0]","[47274.6,7679.86]","[1.90891,1.33111]","[2.60958,-1.70722]","[162955,15549.5]","[27.8333,110.101]","[1,1]","[11,11]","[1,0]","[0,0]","[-247.987,228.872]","[0.00845727,0.00393053]","[0.430496,0.110252]",14774.5,1.69742,1,"[20451.6]","[0.0574121]","[-2.80343]","[21073.3]","[0.755677]","[0]","[0]","[-0.689135]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[381.833,136.877]",20646.2,"[3336.21]","[]","[]","[]"
2,284500,236959,364188,-1.51589,222.595,3.71912e+06,1.21412,0.96126,1,1,1,0.999466,0.96978,1,1,0,0,2,"[0,0]","[1,0]","[27646.3,8662.77]","[0.55251,2.44045]","[-1.35785,2.62422]","[31974.5,50093.8]","[-0.0579586,0.0380688]","[-1,-1]","[11,11]","[1,0]","[0,0]","[-391.71,3037.37]","[0.119013,-0.0486904]","[7.5196,1.77037]",18106.2,-2.44203,1,"[33491.5]","[0.897076]","[0.979972]","[48215]","[1]","[0]","[0]","[-0.92451]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[89.0215,355.239]",16791.7,"[4351.68]","[]","[]","[]"
3,284500,674354,364188,-1,222.595,3.71912e+06,1.55465,0.94157,0.983783,1,1,0.982851,0.99623,1,1,0,0,2,"[0,0]","[1,0]","[36597.7,7590.81]","[-1.83425,1.53992]","[-0.887278,-2.63424]","[117482,18516.6]","[-0.0388184,-106.534]","[-1,-1]","[11,13]","[1,1]","[0,0]","[-225.476,1600.32]","[-0.00711875,0.0920414]","[0.551309,4.749]",30235.1,0.175638,2,"[23239.1,22269.1]","[1.33169,0.0399002]","[3.11204,3.05725]","[47449.3,22320.2]","[0.871897,0.7876]","[0,4]","[0,0]","[-0.641011,-0.691407]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[433.095,32.0578]",1637.88,"[1680.4,2245.34]","[]","[]","[]"
4,284500,675303,364188,1,222.595,3.71912e+06,0.923924,1.05021,1,1,1,0.98548,0.96497,1,1,0,0,2,"[0,0]","[1,0]","[33703.2,7736.81]","[-0.98033,-1.6004]","[-0.0429591,-3.13321]","[51237.7,19948.8]","[0.0163727,-52.0683]","[1,-1]","[11,11]","[1,0]","[0,0]","[-49.7924,75.8215]","[0.0374339,-0.00323329]","[2.36751,0.130652]",36465,-1.50333,2,"[42854,22564.1]","[0.14661,1.30398]","[1.78681,-2.86411]","[43654.9,44908.5]","[0.99791,0.942451]","[0,4]","[0,0]","[-0.818147,0.470825]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[130.405,231.931]",3686.08,"[4290.7,1357.26]","[]","[]","[]"
6,284500,225315,364188,1,222.595,3.71912e+06,1.25133,0.94602,0.996359,1,1,0.989146,0.99829,1,1,0,0,2,"[0,0]","[1,0]","[37006.9,11562.4]","[-1.67489,0.479103]","[-0.614441,-2.71507]","[102241,12915.4]","[0.0659599,-28.0479]","[1,1]","[11,13]","[1,1]","[0,1490.27]","[-546.15,12178.9]","[-0.0369808,-0.0312314]","[2.36684,2.42585]",18962.4,-0.191451,2,"[51768.5,20600.4]","[1.67066,2.01422]","[2.85699,0.715284]","[142726,78660.2]","[0.989758,0.900546]","[0,4]","[0,0]","[-0.594009,0.795582]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[185.151,42.4223]",16106.1,"[7866.46,3682.08]","[]","[]","[]"
8,284500,627822,364188,1,222.595,3.71912e+06,0.696077,1.06085,1,1,1,0.969095,0.99197,1,1,0,0,2,"[0,0]","[1,0]","[30864.6,7435.79]","[-0.15334,-1.60032]","[-2.89513,-3.13352]","[31228.2,19171.2]","[0.108071,-74.3858]","[1,-1]","[11,11]","[1,0]","[0,0]","[-28.4344,396.042]","[0.0103226,0.00517865]","[0.357628,0.194334]",19991.2,-0.725864,2,"[63587.9,41945.2]","[2.12496,-0.265593]","[1.33934,-1.3124]","[270066,43753.6]","[1,0.915739]","[0,4]","[0,0]","[-0.578311,0.461795]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[36.1574,280.549]",6554.67,"[4249.91,5169.15]","[]","[]","[]"
10,284500,536101,364188,1,222.595,3.71912e+06,1.21412,0.916929,1,1,1,0.999655,1.00058,1,1,0,0,2,"[0,0]","[1,0]","[50751.3,9344.15]","[-1.75573,2.15006]","[0.320348,-2.95905]","[151250,40655.6]","[-0.0641232,-0.0604115]","[1,1]","[11,11]","[1,1]","[0,2745.38]","[1946.04,764.798]","[0.0196765,-0.000500092]","[1.721,0.0149006]",22359.8,1.70933,1,"[47287.8]","[-0.508187]","[-2.3939]","[54008.2]","[0.993018]","[0]","[0]","[-0.868835]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[260.259,113.898]",304.07,"[2045.14]","[]","[]","[]"
11,284500,547127,364188,0.642828,222.595,3.71912e+06,0.923924,0.96024,0.999264,1,1,1,0.93884,1,1,0,0,2,"[0,0]","[1,0]","[54258.2,15753]","[1.25925,-2.01302]","[2.10096,-0.916904]","[103271,60014.8]","[-0.036972,-0.0794601]","[1,-1]","[11,13]","[1,1]","[0,5956.06]","[-548.168,3534.84]","[-0.00415671,-0.0408957]","[0.207492,2.68764]",39687.2,2.58028,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[121.836,108.797]",6949.28,"[]","[]","[]","[]"
14,284500,373793,364188,1,222.595,3.71912e+06,0.696077,1,0.995146,1,1,0.999698,0.966761,1,0,1,0,2,"[0,0]","[1,0]","[48096.1,14369.9]","[2.08954,0.644441]","[-2.43676,1.37188]","[197313,17458.9]","[0.0705433,-0.0317039]","[1,1]","[13,13]","[1,1]","[0,3650.4]","[476.418,957.352]","[0.00123231,-0.0242176]","[0.12521,2.36329]",50524.8,1.41328,1,"[49855.7]","[-0.439866]","[-1.19205]","[55051.7]","[0.99]","[0]","[0]","[-0.930988]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1823.4,81.3977]",1658.56,"[2877.38]","[]","[]","[]"
17,284500,672796,364188,1,222.595,3.71912e+06,0.619412,1,0.989839,1,1,0.96265,1.00315,1,0,1,0,2,"[0,0]","[1,0]","[43279,7022.31]","[0.90318,-1.44691]","[2.43047,1.31332]","[62164.2,15748.8]","[-0.0422173,-47.8683]","[-1,1]","[13,13]","[1,1]","[0,0]","[-950.203,2629.23]","[0.00864122,-0.0539569]","[1.12326,2.6844]",41879.6,-1.06805,1,"[60482]","[0.107808]","[0.653497]","[61348]","[0.973445]","[4]","[0]","[-0.951404]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[82.1189,20.8512]",713.824,"[6080.59]","[]","[]","[]"
