event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,5277,364192,1,34.6395,7.2916e+06,0.75088,0.97361,0.988089,1,1,0.996239,0.98448,1,1,0,0,2,"[0,0]","[1,0]","[45970.6,11058.1]","[-0.479067,1.61996]","[-0.25458,-2.46888]","[51347.5,29031.9]","[-0.0254993,-0.828756]","[-1,-1]","[11,13]","[1,1]","[1881.28,3445.63]","[293.794,2221.25]","[0.00977329,-0.255549]","[1.0944,16.0834]",45233.9,0.153548,3,"[134836,22860.2,21570.7]","[0.663538,1.25771,-0.297265]","[2.81028,-1.22136,0.61013]","[166049,43769.3,22817.8]","[0.993769,0.82029,0.951104]","[0,0,0]","[0,0,0]","[-0.791394,-0.759952,-0.719398]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[527.884,77.9971]",10291,"[2447.3,3784.91,2194.28]","[]","[]","[]"
1,284500,3737126,364192,1,34.6395,7.2916e+06,0.187531,0.96052,0.987935,1,1,0.998963,1.01448,1,1,0,0,2,"[0,0]","[1,0]","[58595.8,9122.44]","[1.87272,-1.51042]","[1.18177,-1.98916]","[195115,21663.5]","[-0.0549011,67.0133]","[1,-1]","[11,13]","[1,0]","[1239.28,0]","[4201.64,-529.363]","[-0.0252736,0.000900918]","[1.23825,0.0377832]",141864,0.810655,1,"[163499]","[1.79233]","[-1.93941]","[504760]","[0.999734]","[0]","[0]","[-0.471904]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1208.83,33.9665]",7260.38,"[4379.84]","[]","[]","[]"
4,284500,3808509,364192,1,34.6395,7.2916e+06,1.25133,0.97003,0.987935,1,1,0.958218,0.97484,1,1,0,0,2,"[0,0]","[1,0]","[40416.5,8561.78]","[0.888893,-1.65653]","[1.52759,-0.288464]","[57463.1,23253.6]","[0.00652695,-0.299747]","[1,1]","[11,13]","[1,1]","[2888.69,3827.58]","[-903.678,-445]","[-0.0113274,0.182747]","[1.00226,10.4409]",22766,1.41048,4,"[117874,76113,28317.8,28124.7]","[0.249975,-0.31882,-0.970116,-1.20351]","[-1.48663,2.01858,1.57223,-2.27603]","[122404,80859,42972.5,51328.3]","[0.997666,0.9969,0.957656,0.978477]","[0,0,0,5]","[0,0,0,0]","[-0.859029,-0.913868,-0.716743,-0.932208]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[184.583,138.314]",1371.77,"[2829.11,3524.45,2722.34,1377.46]","[]","[]","[]"
12,284500,22088,364192,1,34.6395,7.2916e+06,0.553627,0.96311,0.997152,1,1,0.995265,1.00058,1,1,0,0,2,"[0,0]","[1,0]","[50068.6,8524.6]","[-1.53872,0.731917]","[2.23923,-0.920345]","[121999,10912.2]","[-0.222777,-0.0151712]","[1,1]","[11,13]","[1,1]","[0,0]","[-18.3615,542.033]","[0.0625192,-0.00177623]","[5.35582,0.102933]",151849,2.45303,3,"[179526,29941.6,25500.9]","[1.57227,2.40237,1.6911]","[-0.536927,3.04807,-1.25825]","[451412,166808,71798.5]","[0.996851,0.999508,0.972753]","[0,0,0]","[0,0,0]","[0.00581088,-0.650058,-0.757733]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[286.061,21.8469]",27039,"[3471.16,3676.69,1702.79]","[]","[]","[]"
13,284500,22895,364192,1,34.6395,7.2916e+06,0.187531,1,0.97138,1,1,1.04653,1.0183,1,0,1,0,2,"[0,0]","[1,0]","[46817.1,9301.15]","[1.76382,1.63832]","[-0.445483,2.2322]","[140593,24838.1]","[0.023212,-0.1818]","[1,1]","[13,13]","[1,1]","[0,0]","[-189.26,3485.82]","[0.0223927,0.200924]","[3.09551,11.8136]",66548.1,0.784175,2,"[118210,34793.2]","[-0.128879,2.02307]","[-2.15183,2.06935]","[119452,133889]","[0.990063,0.996547]","[0,5]","[0,0]","[-0.93962,0.914311]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[80.1898,49.1116]",31747.7,"[8066,8499.58]","[]","[]","[]"
14,284500,3733607,364192,1,34.6395,7.2916e+06,1.55465,1,0.995111,1,1,0.998241,0.929261,1,0,1,0,2,"[0,0]","[1,0]","[51159.1,7995.78]","[2.42187,1.61951]","[0.960226,0.655926]","[290473,20983.4]","[-0.0617485,60.2649]","[1,1]","[13,11]","[1,0]","[0,0]","[-365.512,1603.12]","[-0.062249,0.602425]","[6.14666,12.7894]",71087.1,1.37053,2,"[144631,67564.1]","[0.533956,0.59446]","[-1.88568,-2.95274]","[167267,80170.5]","[0.995996,0.00333344]","[0,0]","[0,0]","[-0.947904,-0.842443]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1035.55,105.123]",7475.17,"[4937.13,3226.13]","[]","[]","[]"
16,284500,3783085,364192,1,34.6395,7.2916e+06,0.619412,1,0.987158,1,1,0.998168,0.975742,1,0,1,0,2,"[0,0]","[1,0]","[36114.2,7724.59]","[-1.95696,-0.495423]","[-0.940482,0.929454]","[130355,8692.75]","[0.0228119,-0.0439148]","[1,1]","[13,13]","[1,1]","[0,3023.26]","[-277.148,-981.203]","[0.0614589,-0.12281]","[6.02596,7.41847]",125114,-0.804825,2,"[109643,21567.4]","[-2.40306,0.116835]","[2.50968,2.08864]","[611218,22088.9]","[0.977238,0.959085]","[0,0]","[0,0]","[-0.86555,-0.730957]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[247.504,21.9862]",4681.16,"[2876.42,4229.45]","[]","[]","[]"
52,284500,2644831,364192,1,34.6395,7.2916e+06,0.934886,0.96558,0.996359,1,1,1.04756,0.99746,1,1,0,0,2,"[0,0]","[1,0]","[74695.5,10300.5]","[-1.74271,0.493219]","[2.13914,1.23989]","[219899,11579.5]","[-0.0833654,-32.6096]","[1,-1]","[11,13]","[1,1]","[1723.7,0]","[760.503,-752.564]","[-0.0264922,0.0808223]","[1.82541,5.95289]",12573,1.85498,3,"[60421.7,41894.7,37465.1]","[0.943269,1.41399,-1.53655]","[-1.18644,-1.23269,1.53655]","[89746.7,91326.7,91298.3]","[1,0.99975,0.989924]","[5,0,0]","[0,0,0]","[0.875137,-0.931317,-0.846614]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[536.148,50.2455]",564.11,"[2030.59,3968.71,2817.43]","[]","[]","[]"
57,284500,4350861,364192,1,34.6395,7.2916e+06,0.402058,1,0.993812,1,1,0.99879,0.952968,1,0,1,0,2,"[0,0]","[1,0]","[27831.8,9867.9]","[0.940194,-0.776569]","[-2.4432,0.319301]","[41066.4,12996.4]","[0.0513687,-0.0374222]","[-1,1]","[13,13]","[1,1]","[0,2400.77]","[-414.747,4480.95]","[0.0465162,-0.229972]","[5.07084,14.9145]",136741,2.92974,1,"[117376]","[0.514302]","[-0.172404]","[133748]","[0.990267]","[0]","[0]","[-0.868506]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[72.6822,28.2544]",104.719,"[2317.34]","[]","[]","[]"
67,284500,2753629,364192,1,34.6395,7.2916e+06,0,0.96322,0.984493,1,1,0.999539,1.00588,1,0,1,0,2,"[0,0]","[1,0]","[52524.8,11940.5]","[1.69965,0.458028]","[1.06679,2.39319]","[148508,13215]","[0.0155334,0.187569]","[1,-1]","[13,11]","[0,1]","[0,10568.3]","[499.88,2521.31]","[0.000445804,0.0336327]","[0.0447597,1.93506]",13890.3,1.19974,1,"[73792.5]","[0.618534]","[-1.56202]","[88632.3]","[0.999178]","[0]","[0]","[-0.925104]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[381.898,79.2913]",4581.44,"[5221.79]","[]","[]","[]"
