event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,546,364197,1,1.19732,4.05748e+06,0.351687,0.97361,1,1,1,1.04248,0.98448,1,1,0,0,2,"[0,0]","[1,0]","[48897.6,7712.55]","[-0.609835,0.372491]","[-0.619644,-1.81021]","[58275.4,8253.82]","[-0.0233612,2.74738]","[1,1]","[11,11]","[1,0]","[0,0]","[-1024.72,44.1713]","[-0.0151763,-3.00545]","[1.92993,175.901]",136994,-1.8411,5,"[574926,399294,82729.8,53426.2,23034]","[0.379806,1.00148,0.0724354,1.25401,-1.88221]","[0.563835,-2.95193,-2.75676,-2.09845,0.839443]","[619011,618050,83476.8,101521,77514.8]","[0.995985,0.981116,1,0.994608,0.873918]","[0,0,0,5,0]","[0,0,0,0,0]","[0.575487,-0.675256,-0.898643,0.9943,-0.533504]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[175.827,277.83]",4736.92,"[6785.37,4945.76,1881.04,1989.87,1904.01]","[]","[]","[]"
1,284500,1792,364197,1,1.19732,4.05748e+06,1.55465,0.90349,0.994235,1,1,0.951239,0.894754,1,0,1,0,2,"[0,0]","[1,0]","[41632.2,17412.4]","[0.807225,-1.95236]","[1.17558,1.36154]","[55949.1,62573.7]","[-0.0362854,-188.179]","[1,-1]","[13,11]","[1,1]","[0,0]","[177.662,1012.33]","[0.0306888,-0.071336]","[3.6124,3.82783]",410530,0.994161,6,"[498468,495400,268706,142087,50336.8,30107.6]","[0.541377,-1.53821,-1.80381,-1.30249,0.0399294,-1.12134]","[-0.00164494,-2.60339,3.09241,-1.40206,2.93376,-2.29416]","[573720,1.20822e+06,838690,281461,50779.2,51269.7]","[0.999817,0.982844,0.985781,0.988884,1,0.998626]","[4,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.727303,-0.633132,-0.67723,-0.510696,-0.925587,-0.866575]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[203.732,463.854]",16067,"[14133.9,10733.7,4454.97,5351.03,3315.17,3636.83]","[]","[]","[]"
2,284500,606733,364197,1,1.19732,4.05748e+06,0.923924,0.99211,0.997392,1,1,0.995032,0.9918,1,1,1,0,2,"[0,0]","[1,1]","[374879,112002]","[-0.579819,0.636835]","[0.953748,1.16886]","[439679,135492]","[0.00801086,0.0113602]","[-1,1]","[11,13]","[1,1]","[4727.68,0]","[9373.91,4521.16]","[-0.00992514,-0.0188484]","[1.22675,3.74875]",134644,0.927351,4,"[546814,70208.1,41523.4,22525.9]","[-1.04644,1.47274,1.7836,-0.105599]","[-2.13619,-2.59353,-2.0293,-0.474311]","[875114,161644,127400,23307.4]","[0.9958,0.641119,0.995151,0.957667]","[0,0,0,0]","[0,0,0,0]","[-0.885311,-0.980855,-0.770242,-0.840519]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2914.43,4893.46]",350.641,"[7803.75,4016.91,5787.13,2800.39]","[]","[]","[]"
3,284500,919,364197,1,1.19732,4.05748e+06,0.553627,0.97097,1,1,1,0.835461,1,1,1,0,0,2,"[0,0]","[1,1]","[162399,36102.7]","[1.18446,0.36346]","[2.44386,0.641628]","[290275,38513.7]","[0.00953054,0.0607538]","[1,1]","[11,11]","[0,1]","[22190.3,1148.77]","[8656.81,2496.66]","[0.0105351,-0.000183154]","[0.4403,0.0236198]",93536,1.09695,6,"[560474,98848.7,67912.1,24832.7,22403.6,21994.4]","[-0.299912,-1.7896,-0.767367,-0.490882,-0.00612603,0.0644912]","[-0.953738,2.86874,2.50743,1.63289,1.45638,2.30671]","[586204,304477,89748.5,28242.4,22729.4,22406.3]","[0.985117,0.94712,0.99015,0.971764,0.992355,0.987368]","[0,0,5,5,5,5]","[0,0,0,0,0,0]","[-0.861603,-0.925225,0.798064,-0.686667,0.872917,0.997297]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2011.01,87.531]",2774.46,"[7431.49,3083.69,1204.92,3667.21,1252.07,2299.7]","[]","[]","[]"
4,284500,6435,364197,1,1.19732,4.05748e+06,0.75088,1,0.998519,1,1,0.996378,0.994982,1,0,1,0,2,"[0,0]","[1,0]","[34421.9,33662.4]","[-1.94979,0.0657533]","[-2.83953,-2.29106]","[123394,33735.3]","[-0.131169,7.32138]","[1,1]","[13,13]","[1,0]","[0,0]","[-415.913,-438.921]","[-0.0832884,4.07358]","[7.31931,114.73]",112094,-2.02947,2,"[565148,61740.8]","[-1.78293,-0.653997]","[1.41354,-2.17397]","[1.72837e+06,75946.3]","[0.998581,0.996481]","[0,0]","[0,0]","[-0.928024,-0.930545]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[170.09,350.276]",37892.1,"[33543.9,2713.44]","[]","[]","[]"
5,284500,27906,364197,1,1.19732,4.05748e+06,0.596562,1,1.00231,1,1,0.997318,1,1,1,0,0,2,"[0,0]","[1,0]","[491393,12959.7]","[-0.278465,-1.26912]","[2.22015,-0.741126]","[510569,24875.1]","[0.0456429,-0.171352]","[-1,1]","[11,13]","[0,1]","[2102.48,0]","[28578.2,-342.126]","[0.00212668,-0.204531]","[0.27866,14.8425]",38623.2,1.67494,4,"[347734,117348,61311.3,44440.7]","[-0.0149942,0.0175584,0.328231,-1.45131]","[-0.848716,-1.41353,0.494636,-1.94982]","[353853,117859,65343.7,100267]","[1,0.999415,0.997102,1]","[0,0,0,0]","[0,0,0,0]","[-0.895623,-0.898561,-0.876388,-0.326587]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4337.16,44.1839]",9753.92,"[6312.44,9418.25,7489.2,6587]","[]","[]","[]"
6,284500,6104,364197,1,1.19732,4.05748e+06,0.619412,0.98428,0.988313,1,1,0.998233,0.907678,1,0,1,0,2,"[0,0]","[0,1]","[316856,28726.4]","[-1.83963,0.159038]","[-1.31066,0.55571]","[1.02234e+06,29090.6]","[-0.359542,0.0124149]","[1,1]","[11,13]","[0,1]","[18808.1,0]","[9277.55,-247.649]","[0.00967739,-0.086242]","[0.313859,10.7463]",101365,0.410682,3,"[364417,98196.9,93635]","[0.478362,1.25778,-0.242176]","[1.90769,1.97855,-1.86204]","[407774,187275,97521.1]","[0.995385,0.984673,0.992218]","[0,0,0]","[0,0,0]","[-0.959694,-0.931223,-0.877855]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2752.95,57.7585]",4387.85,"[9995.95,5538.7,2398.52]","[]","[]","[]"
8,284500,8010,364197,1,1.19732,4.05748e+06,1.21412,0.962874,1,1,1,0.995513,1.00493,1,1,0,0,2,"[0,0]","[1,0]","[562636,11712.6]","[-1.31457,2.15547]","[-2.45954,1.49086]","[1.12295e+06,51229.6]","[0.52306,-0.103237]","[1,-1]","[11,11]","[1,1]","[20790.8,0]","[27631.8,212.389]","[0.0148919,0.0621814]","[0.799092,1.90878]",150889,-2.70671,1,"[773813]","[0.809399]","[0.634772]","[1.04201e+06]","[0.992955]","[0]","[0]","[-0.91469]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8988.66,77.9643]",2337.83,"[10801.5]","[]","[]","[]"
9,284500,9346,364197,1,1.19732,4.05748e+06,1.1961,0.96483,0.993328,1,1,0.969515,1.00141,1,1,0,0,2,"[0,0]","[1,0]","[43739.1,13680.3]","[1.54037,-1.30578]","[-1.56383,-2.60892]","[106737,27097.7]","[0.0491462,-0.310409]","[1,1]","[11,13]","[1,1]","[0,6245.16]","[737.932,559.14]","[0.00766273,0.24911]","[0.458155,20.0514]",4093.75,0.623544,8,"[607832,296592,231347,59131.8,38699.1,29421.1,28577.5,20751.6]","[0.430822,-0.225821,-0.504598,2.43576,-2.05654,-0.0364666,-1.367,-0.771467]","[0.427669,-3.0379,-2.39481,1.21294,-2.16104,2.7511,-2.19544,-2.86416]","[666414,310618,265239,340518,153890,29889.3,60083.1,27558.9]","[0.990932,1,0.993382,0.99,0.981706,0.668238,0.59531,0.995177]","[0,0,0,0,0,0,4,0]","[0,0,0,0,0,0,0,0]","[-0.885388,-0.738177,-0.521905,-0.905545,-0.450204,-0.881186,0.348686,-0.485551]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[340.524,25.304]",1097.29,"[8520.8,3795.9,2840.67,3975.31,4510.01,4328.21,10378.4,189.68]","[]","[]","[]"
10,284500,1044,364197,-1,1.19732,4.05748e+06,1.24168,1,0.985198,1,1,0.951804,1.01924,1,0,1,0,2,"[0,0]","[1,0]","[129643,7039.62]","[-1.65212,0.723284]","[0.934313,-2.15063]","[350665,8962.66]","[-0.024559,-54.2222]","[1,1]","[13,11]","[1,0]","[0,1387.28]","[-581.955,2401.5]","[0.00172468,0.00733287]","[0.312968,0.521163]",366375,0.926002,1,"[797498]","[0.219878]","[-2.69687]","[817244]","[0.995206]","[4]","[0]","[-0.63556]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7444.9,69.7003]",15373.2,"[29192]","[]","[]","[]"
