event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
10,284500,68178,370144,1,0.004747,99850.3,0.351687,1,0.996232,1,1,1.08027,0.948081,1,0,1,0,2,"[1,1]","[1,1]","[68655,34541.3]","[0.482477,1.37745]","[-0.0147778,2.27219]","[76802.1,72830.1]","[0.0949526,-0.00649071]","[-1,-1]","[13,13]","[1,1]","[0,0]","[1376.35,-267.344]","[-0.000668139,0.0190059]","[0.108161,1.96516]",728637,0.808086,8,"[577357,533894,108963,101224,98456.1,85278.6,28262,21282.2]","[0.185235,1.51015,-0.718811,-0.5234,1.88065,0.594504,2.28522,0.834327]","[-2.86252,-1.53454,-0.0028132,-2.63903,1.91939,1.43169,2.18373,-3.07869]","[592114,1.27198e+06,139571,116367,330716,101579,140402,29511.1]","[0.99,1,0.977261,0.988827,0.999357,0.995859,0.980415,0.966133]","[5,0,0,0,5,0,5,0]","[1,0,0,0,1,0,1,0]","[-0.0879398,-0.151154,-0.873148,-0.806214,0.99998,-0.885625,-0.75059,-0.368874]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1794.46,174.709]",40216.1,"[6845.37,18871,2379.76,6711.65,3831.21,4005.27,5200.02,1687.29]","[]","[]","[]"
14,284500,68376,370144,1,0.004747,99850.3,0.738662,0.954767,1,1,1,0.998326,0.99544,1,1,0,0,2,"[1,1]","[1,1]","[206555,110702]","[1.23893,-0.533158]","[2.70779,0.330751]","[386423,126812]","[-0.0391541,-0.0332527]","[1,-1]","[11,11]","[1,1]","[11514.1,0]","[6464.12,-790.016]","[-0.0175972,0.0199058]","[2.57179,2.44664]",731105,-0.123021,9,"[384844,176068,169115,112173,72852.1,71707.3,29297.3,28120.9,20817.4]","[0.397513,1.32138,-0.427176,1.34784,0.269183,0.791263,-0.185379,2.29568,0.853856]","[-3.13847,2.21515,-0.695129,-2.71202,2.63225,-1.75798,-2.22177,-3.1131,2.80771]","[417729,353754,185794,230734,75817.5,95718.9,30429.8,141123,28983.3]","[0.996617,0.990391,0.997946,0.999732,0.964529,0.992647,0.999411,0.992818,0.983771]","[0,5,5,0,0,5,5,0,0]","[0,1,1,0,0,1,1,0,0]","[-0.921154,0.911027,0.999572,-0.958401,-0.918674,0.99891,0.99483,-0.14227,-0.867659]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2393.04,858.206]",14420.8,"[7081.52,2020.43,5207.63,5312.36,2510.65,2443.37,2706.73,2362.12,4345.69]","[]","[]","[]"
26,284500,68385,370144,1,0.004747,99850.3,0.553627,0.98458,0.992904,1,1,1.0218,1.00582,1,1,0,0,2,"[1,1]","[0,1]","[204913,86879.2]","[0.265176,-0.567681]","[-0.53689,3.12532]","[212160,101258]","[-0.0461273,0.0315456]","[-1,1]","[13,11]","[1,1]","[1358.46,12446.2]","[2448.41,232.613]","[9.08374e-05,-0.00633796]","[0.0184434,0.945825]",366109,-2.77316,7,"[630880,292468,168079,154969,79623.1,68225.7,33367.3]","[-0.479797,0.243311,0.860668,-0.869263,0.982519,-1.21986,0.708303]","[1.21172,-1.9772,-0.216459,1.016,-0.886084,1.67853,0.262616]","[710074,302046,236039,217587,122003,126260,42340.2]","[1,0.997143,0.980792,0.999428,0.998267,0.997973,0.981793]","[4,5,5,5,0,0,0]","[1,1,1,1,0,0,0]","[0.928501,0.985318,0.976038,0.999585,-0.32387,-0.828678,-0.43931]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9007.71,921.607]",9999.91,"[7567.44,5258.39,6453.75,2209.93,6095.02,2650.61,4504.28]","[]","[]","[]"
31,284500,70597,370144,1,0.004747,99850.3,0.923924,0.897865,1,1,1,0.980918,1.00493,1,1,0,0,2,"[1,0]","[1,0]","[174417,28281.6]","[-1.33551,-1.63737]","[-2.46157,-1.2566]","[354500,75456.6]","[0.0378256,-0.010241]","[-1,1]","[11,11]","[1,1]","[67246,2145.09]","[1401.1,3023.32]","[-0.000610137,0.0395542]","[0.063315,3.04375]",666321,0.456776,4,"[319962,151462,131159,59997.5]","[-1.09188,-0.475598,-0.372602,-1.58713]","[-3.00131,2.27629,-1.7467,-0.382072]","[530980,169416,142058,153418]","[0.999703,0.989467,0.997137,0.999489]","[5,0,5,5]","[1,0,1,1]","[0.998245,-0.708926,0.999965,0.992126]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1860.05,276.798]",5872.31,"[3552.07,10461.4,4616.57,5770.21]","[]","[]","[]"
36,284500,70631,370144,1,0.004747,99850.3,0.923924,0.934608,1,1,1,1.02554,1.00021,1,1,0,0,2,"[1,1]","[1,1]","[69592.9,44812.1]","[0.707626,-1.93747]","[1.64943,2.58952]","[87756,158751]","[0.0213165,0.053421]","[-1,1]","[11,11]","[1,1]","[1289.68,0]","[2159.97,687.361]","[0.0290462,-0.0541663]","[2.94503,2.15289]",328377,-0.720442,10,"[358662,283012,185849,121691,108901,94274.3,79127.6,73498.6,52198,29765]","[-0.792176,0.199727,-0.217787,2.08473,-0.0468747,-1.33284,-1.32303,0.480078,-1.71887,0.737693]","[-2.50405,0.41679,2.58118,2.84971,1.09419,-2.63694,1.90913,-0.028279,-0.404756,-1.22974]","[477770,290707,191382,497173,109944,191267,159406,82622.8,150418,38404.3]","[0.999823,1,0.993275,0.983932,0.992712,0.992809,1,0.998909,1,0.945235]","[0,5,0,0,0,0,5,5,5,0]","[0,1,0,0,0,0,1,1,1,0]","[-0.911353,0.999842,-0.485903,-0.59085,-0.431657,-0.849563,0.999406,0.930568,0.99994,-0.936255]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[158.373,502.681]",2240,"[9731.28,4444.65,3412.98,3604.24,4575.55,3185.53,10589.1,4123.56,1962.5,2095.67]","[]","[]","[]"
41,284500,71350,370144,1.0447,0.004747,99850.3,1.25133,0.987799,1,1,1,1.06007,1.00632,1,1,0,0,2,"[1,0]","[1,0]","[417238,7120.32]","[0.371702,0.879351]","[2.3075,-0.249572]","[446395,10055.3]","[0.00988007,0.0481873]","[1,-1]","[11,11]","[1,0]","[66046.5,0]","[1073.35,-171.258]","[0.00132783,0.0753621]","[0.174622,3.81168]",484163,-2.99385,11,"[493433,378892,209196,142077,92720.8,76017,53986.3,52474.4,48773.9,31012.7,22641.5]","[-0.675577,-0.169035,0.605456,0.728928,-0.495243,-0.355168,0.426612,2.26556,1.77728,1.25475,-0.143237]","[-0.742355,-0.0803822,0.652842,-1.91662,-2.13584,-0.474763,-0.455067,0.438402,0.680863,2.55906,2.65901]","[611098,390120,249108,181962,104876,81219.3,59479.8,255658,148550,59133.9,23237.9]","[0.999618,1,0.992252,0.99395,0.998932,0.982685,1,0.985795,0.981965,0.920551,0.995398]","[0,5,5,0,5,0,0,0,0,0,0]","[0,1,1,0,1,0,0,0,0,0,0]","[-0.806092,0.999513,0.795187,-0.77346,0.909996,-0.94013,-0.916635,-0.85233,-0.816224,-0.635325,-0.174745]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4632.7,138.436]",4345.94,"[8903.23,4856.96,4739.42,3568.4,7626.48,2330.94,3425.28,2561.51,2467.53,3795.95,1689.7]","[]","[]","[]"
45,284500,70583,370144,1,0.004747,99850.3,0.696077,0.98697,0.9968,1,1,0.961624,1.00582,1,1,0,0,2,"[1,1]","[1,0]","[155461,118123]","[-0.225575,-0.653563]","[-2.26889,1.45306]","[159433,144261]","[-0.0209427,-0.0114994]","[-1,1]","[11,13]","[1,1]","[0,0]","[1157.78,-535.422]","[0.0045605,-0.0118928]","[0.652207,2.68636]",599681,0.015699,8,"[290143,185971,178539,173415,130323,64382.8,38474.6,32586]","[1.49951,0.406243,0.202479,0.8259,1.86275,-0.533296,0.749825,1.1694]","[-2.06987,2.72187,1.58701,2.5068,-1.50122,2.76305,-1.7516,1.46233]","[683006,202016,182722,236289,429972,74738.3,50311,58007]","[0.999772,0.999262,0.99,0.991439,0.999699,0.99,0.991205,0.995187]","[0,5,5,4,0,5,0,0]","[0,1,1,0,0,1,0,0]","[-0.87128,-0.87684,0.968623,-0.124452,-0.958069,-0.822821,-0.933604,-0.845608]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[37299.7,111128]",9085.25,"[6077.52,4073.65,2033.62,9277.81,4462.77,5720.89,3607.49,2345.15]","[]","[]","[]"
50,284500,72612,370144,1.12993,0.004747,99850.3,1.26459,0.98697,0.994352,1,1,0.840652,1.00582,1,1,1,0,2,"[1,1]","[1,1]","[488759,47647.6]","[-0.14936,-0.588344]","[-2.7017,-0.537838]","[494220,56134.9]","[0.0889549,-0.0338326]","[1,1]","[11,13]","[1,1]","[0,0]","[-374.088,-630.368]","[0.0298065,-0.0096479]","[2.6057,1.3871]",828495,0.857898,7,"[460002,348794,291462,98453.4,77599.7,48954.7,38181.7]","[-1.35016,0.29499,-0.720976,0.440571,-1.88977,-0.0411107,-2.15724]","[2.51791,-0.91408,-1.39771,-1.50891,1.60935,-1.98079,-2.2859]","[947509,368419,370871,108752,262887,49462.3,167451]","[0.995425,1,0.999274,0.998247,1,0.98,0.954881]","[0,5,5,4,0,5,5]","[0,1,1,1,0,1,1]","[-0.902446,0.975978,0.905082,-0.907203,-0.822648,0.75257,0.95981]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5119.08,156.447]",7412.81,"[12075.2,4170.6,3318.77,3982.55,9803.11,2260.78,4540.22]","[]","[]","[]"
52,284500,73702,370144,1,0.004747,99850.3,1.22586,0.953415,1,1,1,0.847725,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[156657,43087.4]","[-0.882118,0.468041]","[0.305376,-1.14121]","[221663,47893.6]","[0.0214844,-0.0689468]","[1,-1]","[11,11]","[1,1]","[1289.31,0]","[-1145.1,-204.234]","[-0.0074868,0.0156911]","[0.578126,1.0628]",425016,1.25258,9,"[275053,188677,134371,76473.2,75132.7,54010.1,34765.9,31443.1,29158.2]","[1.03307,-0.0857126,0.642078,0.899407,0.972221,-1.98121,0.258833,-0.0798117,1.16136]","[3.03462,0.585234,0.260581,-0.472096,-1.64419,-1.78533,-2.35233,-0.348279,-2.6537]","[436085,191423,163792,109962,114133,199668,36448.8,31963.3,51327.2]","[0.990124,0.998931,0.999505,0.996383,0.999167,0.997997,0.980021,1,0.983068]","[5,4,4,5,5,0,0,5,0]","[1,0,0,1,1,0,0,1,0]","[0.928011,-0.938324,0.225787,0.999749,0.286389,-0.739116,-0.919209,-0.141439,-0.904388]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1469.02,261.068]",5486.53,"[3330.98,3422.36,4499.94,4570.12,2410.59,4609.42,2166.3,1409.15,2314.17]","[]","[]","[]"
55,284500,73144,370144,1,0.004747,99850.3,1.26459,0.969501,1,1,1,0.907247,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[393197,99980.5]","[-0.4097,0.208817]","[0.354453,2.22434]","[426661,102168]","[-0.022274,-0.0796852]","[-1,1]","[11,11]","[1,1]","[1179.61,2044.06]","[-1194.02,-669.09]","[-0.00982365,-0.0146375]","[1.57675,1.26058]",684596,0.609446,7,"[941571,292551,272970,125251,91219.7,61753.8,23846.7]","[0.30945,-1.17084,-0.43273,1.30957,0.446082,-0.773304,0.323802]","[-2.10843,2.67036,2.44676,-0.931657,-1.61509,1.13744,1.78302]","[1.00129e+06,517344,301010,249453,100719,81614.5,25253.5]","[0.996022,0.99967,0.993759,0.999539,0.992928,0.997887,0.809585]","[5,0,5,5,0,0,0]","[1,0,1,1,0,0,0]","[0.997437,-0.911269,0.996425,0.833867,-0.77221,-0.414961,-0.378864]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4886.75,441.478]",13787.2,"[25472,4269.25,2954.97,2060.3,8951.35,2100.29,2406.88]","[]","[]","[]"
