event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,84,392323,1,0.0257188,5135.23,0,1,0.982115,1,1,0.999046,0.924243,1,0,1,0,2,"[1,1]","[1,1]","[185940,125658]","[1.10849,1.63418]","[-0.563102,-0.361217]","[312365,334275]","[0.00370407,-0.0127106]","[-1,1]","[13,13]","[1,1]","[0,0]","[-863.157,97.0563]","[0.00279565,-0.0091851]","[0.51277,1.68023]",92357.8,-2.75629,3,"[117931,27984.2,24769.2]","[-1.62821,0.344163,1.14774]","[2.66362,2.05383,1.48649]","[312438,30037.7,43445]","[0.228464,0.929702,0.688126]","[0,0,0]","[0,0,0]","[-0.719444,-0.873946,-0.565362]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8380.1,3140.38]",2743.83,"[4631.02,3496.65,1976.98]","[]","[]","[]"
2,284500,196,392323,1,0.0257188,5135.23,0.351687,1,0.984347,1,1,0.999369,0.967734,1,0,1,0,2,"[1,1]","[1,0]","[96671.2,17736.9]","[0.554575,1.6991]","[-2.67418,0.90214]","[111922,50123.2]","[-0.00993919,0.145827]","[-1,1]","[13,13]","[1,1]","[0,0]","[455.879,1228.07]","[0.0359429,-0.0168866]","[5.40769,1.35789]",207383,-0.723499,1,"[193025]","[-1.41894]","[2.02274]","[422528]","[0.999984]","[0]","[0]","[-0.787934]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1520.19,95.4799]",7366.94,"[9870.63]","[]","[]","[]"
4,284500,460,392323,1,0.0257188,5135.23,0.619412,1,0.997827,1,1,0.987694,0.978218,1,0,1,0,2,"[1,1]","[1,1]","[96840.6,54173.4]","[-0.0396284,-1.18583]","[-2.71613,-2.32345]","[96916.7,96940.4]","[0.0264893,-0.0104218]","[-1,1]","[13,13]","[1,0]","[0,0]","[-830.724,54.5768]","[-0.00350411,0.0160887]","[0.731601,1.71036]",335185,1.49756,3,"[136845,127179,21454.5]","[-1.04054,-1.36889,-2.37714]","[-1.56678,-0.880474,-0.991566]","[218147,266433,116648]","[0.89,0.998878,0.901139]","[4,0,0]","[1,0,0]","[0.454884,-0.945848,-0.810007]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1419.74,753.053]",3083.19,"[4819.82,11193.2,1658.86]","[]","[]","[]"
5,284500,523,392323,1,0.0257188,5135.23,0.619412,1,0.992646,1,1,0.987791,0.950455,1,0,1,0,2,"[1,1]","[1,0]","[140899,16967.1]","[-0.327947,1.19684]","[1.37842,0.445242]","[148544,30640.9]","[-0.0878525,-0.0418892]","[-1,1]","[13,13]","[1,1]","[0,0]","[-351.908,-354.964]","[0.0169743,0.0337837]","[3.2049,2.63797]",382494,-1.43037,3,"[143264,87272.4,23493.2]","[1.84895,1.3176,2.46626]","[1.79157,1.97858,-2.08033]","[466549,174752,139462]","[0.9924,0.995406,0.94585]","[4,0,0]","[1,0,0]","[0.725191,-0.919006,-0.592388]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4112.96,112.633]",2908.44,"[2381.57,3372.86,2259.13]","[]","[]","[]"
6,284500,603,392323,1,0.0257188,5135.23,0.619412,1,0.986421,1,1,0.985642,0.859979,1,0,1,0,2,"[1,1]","[1,1]","[323556,275410]","[0.307904,0.579799]","[-2.18635,-2.09645]","[339014,323014]","[0.0650578,0.0309753]","[1,-1]","[13,13]","[0,1]","[262598,294293]","[-701.368,-701.368]","[0.0108686,0.0135324]","[2.32257,2.29914]",397737,2.22526,1,"[570374]","[0.527124]","[0.323619]","[655705]","[0.995991]","[4]","[1]","[0.243884]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[73622.6,65666.5]",5656.12,"[19619.8]","[]","[]","[]"
7,284500,648,392323,1,0.0257188,5135.23,0.619412,1,0.981556,1,1,0.997958,0.996049,1,0,1,0,2,"[1,1]","[1,1]","[239714,146560]","[-1.88302,-2.37344]","[0.849726,0.718386]","[806093,793432]","[-0.0596161,0.0874329]","[-1,1]","[13,13]","[1,1]","[0,0]","[-569.954,-569.954]","[-0.0097256,-0.00918887]","[1.88197,1.13671]",482536,-2.16964,2,"[39667.4,34333.6]","[-1.86443,-1.53609]","[2.70286,0.189419]","[131152,83672.8]","[0.994918,0.98696]","[0,0]","[0,0]","[-0.84428,-0.317006]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2318.25,8939.15]",4808.66,"[4903.78,2781.62]","[]","[]","[]"
9,284500,731,392323,1,0.0257188,5135.23,0.738662,0.99242,0.99488,1,1,0.999368,0.99765,1,1,1,0,2,"[0,0]","[1,1]","[246726,33082.4]","[0.613545,0.632563]","[0.847367,0.381213]","[294640,39925]","[-0.00257492,0.0418968]","[-1,1]","[11,13]","[1,1]","[0,0]","[1114.39,717.432]","[-0.00600014,0.0149978]","[0.854602,1.64685]",150031,2.44408,2,"[228930,65844.3]","[-0.00191986,0.458459]","[-1.82838,-1.9743]","[229926,73057.3]","[0.99919,1]","[0,0]","[0,0]","[-0.97518,-0.928618]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1959.12,44.9666]",522.234,"[7451.16,8681.65]","[]","[]","[]"
10,284500,855,392323,1,0.0257188,5135.23,0.738662,1,0.994661,1,1,0.997853,0.658224,1,0,1,0,2,"[1,1]","[1,1]","[263198,132296]","[-0.697554,-1.0717]","[1.84191,2.12537]","[329871,215826]","[-0.00275707,-0.000341415]","[1,-1]","[13,13]","[1,1]","[0,0]","[-794.484,-613.199]","[0.0377167,0.0315253]","[8.13113,6.67298]",102982,1.23647,2,"[526503,34208.1]","[-0.877359,-0.459195]","[-1.44167,-3.06442]","[746941,38137.7]","[0.9975,1]","[0,0]","[0,0]","[0.126618,-0.900468]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4979.94,13073.2]",3575.48,"[11545.1,4600.96]","[]","[]","[]"
12,284500,999,392323,1,0.0257188,5135.23,0.696077,1,1.0059,1,1,1.17207,0.93729,1,0,1,0,2,"[1,1]","[0,1]","[193404,32664.2]","[-0.0884097,0.339301]","[2.40368,-2.69727]","[194161,34562.7]","[0.0246696,0.0762024]","[-1,1]","[13,13]","[0,1]","[2273.25,0]","[-657.785,-165.587]","[-0.0142942,-0.0435181]","[2.43785,5.54447]",140543,-1.93156,4,"[121803,107311,31958.5,26032.2]","[0.560275,0.670508,1.00632,0.137533]","[-0.249893,0.361022,1.88907,-1.11862]","[141881,133197,49831.6,26629.9]","[0.988558,1,0.995624,0.974468]","[0,4,0,0]","[0,1,0,0]","[-0.948846,0.923565,-0.70485,-0.876329]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1820.13,92.7283]",958.047,"[6341.85,5084.24,2398.52,4417.23]","[]","[]","[]"
16,284500,1196,392323,1,0.0257188,5135.23,0.596562,1,1.00084,1,1,0.991614,0.955526,1,0,1,0,2,"[1,1]","[1,1]","[595157,50037.9]","[-0.508358,-0.699387]","[0.0245033,-0.491158]","[673730,62782.9]","[0.0169363,0.0632782]","[-1,1]","[13,13]","[1,1]","[0,0]","[-92.0762,-617.346]","[-0.0197866,-0.0098678]","[4.88702,1.6322]",154331,2.89178,3,"[345972,95728.1,32054.6]","[-2.07379,-1.50855,0.914961]","[-3.10621,3.11778,-2.99531]","[1.39799e+06,226995,46692.1]","[0.998168,0.988108,0.981718]","[4,0,0]","[0,0,0]","[-0.608965,-0.920559,-0.940627]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[346444,160.973]",25676.9,"[14230.4,3025.57,2973.88]","[]","[]","[]"
