event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,1214,392356,1,0.0110621,5115.97,0.351687,0.99941,1,1,1,0.980583,0.92551,1,1,0,0,2,"[1,1]","[1,0]","[162993,38984.5]","[-2.43968,-1.77655]","[-0.712434,0.0201491]","[941821,118486]","[-0.0177879,-0.0175743]","[1,-1]","[11,11]","[1,0]","[0,0]","[2742.29,1771.27]","[-0.0102198,0.0145092]","[0.657035,0.702468]",326458,1.06321,4,"[357439,70879.7,43050.8,30891.3]","[-1.00978,-0.87172,-0.648139,1.52673]","[-2.68848,-2.21959,1.40576,-0.282469]","[557126,100213,52760,74672.8]","[0.987922,0.996212,0.998066,0.96865]","[0,4,0,0]","[0,1,0,0]","[-0.868868,-0.90149,-0.745016,-0.644946]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5941.39,151.915]",4939.78,"[5973.92,2464.29,2280.94,4280.07]","[]","[]","[]"
4,284500,1649,392356,1,0.0110621,5115.97,0.619412,1,0.997519,1,1,0.998541,0.99692,1,0,1,0,2,"[1,1]","[1,1]","[154549,143466]","[1.14971,1.00601]","[-2.9311,-2.31345]","[268453,222397]","[0.0321655,-0.00063324]","[1,-1]","[13,13]","[1,1]","[0,0]","[-812.243,-434.537]","[-0.00734237,-0.00431634]","[1.13751,0.805774]",172116,2.50291,2,"[383375,22144.3]","[-0.119341,0.964596]","[0.0885508,-0.13186]","[386651,33570.9]","[0.999647,0.952221]","[0,0]","[0,0]","[-0.526538,-0.958428]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2002.45,2958.48]",19436.2,"[9175.9,1639.96]","[]","[]","[]"
5,284500,1684,392356,1,0.0110621,5115.97,0.619412,0.95138,0.995319,1,1,0.985214,0.98331,1,1,0,0,2,"[0,0]","[1,0]","[38579.7,16519.5]","[-0.0120733,-0.659116]","[1.75077,2.57007]","[38582.5,20239.9]","[-0.0965347,0.0449371]","[-1,1]","[11,13]","[1,1]","[0,0]","[2813.17,1377.27]","[0.0346243,0.0162026]","[4.80752,1.17581]",757943,0.0293896,3,"[660267,100871,35516.7]","[-0.0674755,0.155238,-1.17174]","[-2.96251,2.29863,-1.11729]","[667116,103600,63319.3]","[0.98947,0.991793,0.983732]","[4,0,0]","[1,0,0]","[-0.554726,-0.690687,-0.675697]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[74.6501,20.1581]",4216.38,"[12673.3,4526.38,3619.63]","[]","[]","[]"
8,284500,1887,392356,1,0.0110621,5115.97,0.738662,0.94228,1,1,1,0.99945,1.00493,1,1,0,0,2,"[1,1]","[1,0]","[99339.9,13564.9]","[-1.35191,0.598963]","[-2.30094,-2.04988]","[204816,16071.8]","[0.0355942,-0.153948]","[1,-1]","[11,11]","[1,0]","[59051.6,0]","[2029.34,-251.677]","[-0.027415,-0.0147792]","[2.80191,0.786996]",323180,0.42277,1,"[189535]","[-1.3191]","[3.03287]","[379928]","[0.992458]","[0]","[0]","[-0.0712204]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1059.81,212.483]",1638.78,"[8532.91]","[]","[]","[]"
9,284500,1939,392356,1,0.0110621,5115.97,0.738662,0.96199,1.00098,1,1,0.998784,0.979445,1,0,1,0,2,"[0,0]","[1,0]","[193561,14222.9]","[-1.54,-1.12739]","[-2.4338,-1.59241]","[472189,24260.4]","[-0.0879021,0.0296898]","[-1,1]","[13,11]","[1,1]","[0,0]","[-222.337,-1062.45]","[0.0292651,0.0226268]","[5.79548,1.2039]",272310,2.08781,2,"[274167,56586.8]","[-1.53549,-1.51159]","[-0.234873,-0.935086]","[666538,134769]","[0.984519,0.996174]","[0,0]","[0,0]","[-0.535245,-0.821208]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2661.99,198.201]",13034.4,"[11369.2,8194.29]","[]","[]","[]"
10,284500,1999,392356,1,0.0110621,5115.97,0.696077,1,0.995678,1,1,0.988797,1.02233,1,0,1,0,2,"[1,1]","[1,1]","[345115,119148]","[-1.58034,-1.14018]","[0.159188,0.350656]","[873573,205357]","[-0.038681,0.016407]","[-1,1]","[13,13]","[1,1]","[0,3229.07]","[-326.254,-141.312]","[-0.0168344,-0.0240892]","[2.89737,4.61945]",622435,-2.48343,2,"[243698,78269.1]","[-0.886098,-1.40241]","[1.43259,1.67086]","[346467,169029]","[0.987318,0.994354]","[4,0]","[1,0]","[0.473938,-0.623464]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[24080,5561.2]",6803.44,"[9018.05,2604.3]","[]","[]","[]"
11,284500,4128,392356,1,0.0110621,5115.97,0.596562,0.903493,1,1,1,0.99916,0.98743,1,1,0,0,2,"[1,1]","[1,0]","[490412,17776.4]","[-0.111301,-0.356243]","[-2.58671,2.56092]","[493452,18916.4]","[0.0291214,-0.0642815]","[-1,1]","[11,11]","[1,1]","[0,0]","[1029.5,492.052]","[0.0215086,-0.000998671]","[3.5658,0.0716517]",347102,0.888992,2,"[169326,32524.4]","[-2.23926,-0.0603561]","[0.105153,-1.12815]","[803766,32842.2]","[1,1]","[0,0]","[0,0]","[-0.447742,-0.888475]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4815.7,180.394]",2134.41,"[4141.74,3004.87]","[]","[]","[]"
12,284500,4185,392356,1,0.0110621,5115.97,0.596562,0.955978,1,1,1,0.982,1.00582,1,1,0,0,2,"[1,1]","[1,1]","[149613,37330.6]","[-0.406831,-0.151346]","[2.44661,-2.56558]","[162166,37759]","[0.0888939,0.0328255]","[1,-1]","[11,11]","[1,1]","[0,0]","[689.155,-251.448]","[-0.00698707,-0.0156579]","[0.656062,1.73499]",401791,0.436816,2,"[250027,102332]","[1.14721,0.479406]","[-2.53969,-1.68877]","[433751,114648]","[1,0.999512]","[0,4]","[0,1]","[-0.483113,-0.491524]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1096.17,73.3186]",149.312,"[3891.58,3396.4]","[]","[]","[]"
14,284500,4516,392356,1,0.0110621,5115.97,1.74563,1,0.990358,1,1,0.998414,0.999813,1,0,1,0,2,"[1,1]","[1,1]","[247961,49591.4]","[-2.32807,-1.80008]","[1.81736,1.10315]","[1.28389e+06,154116]","[-0.0709553,0.0626507]","[-1,1]","[13,13]","[1,1]","[0,0]","[-418.216,-8.99139]","[0.00696959,0.00827846]","[1.42654,0.849027]",288575,2.74691,2,"[415477,27431.4]","[-0.639372,-0.830574]","[-1.20762,-0.762817]","[507714,37595.5]","[0.996727,0.693106]","[0,0]","[0,0]","[-0.936749,-0.129211]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[15147.6,198.606]",10671.6,"[5303.03,3154.22]","[]","[]","[]"
15,284500,4611,392356,1.1424,0.0110621,5115.97,1.55465,1,0.99531,1,1,0.997833,0.957366,1,0,1,0,2,"[1,1]","[1,1]","[221604,134206]","[-1.0937,-1.57453]","[-0.644965,-0.908813]","[367893,337903]","[0.00195312,-0.0329323]","[1,-1]","[13,13]","[1,1]","[0,0]","[-30.0156,-263.849]","[-0.0291064,-0.0215032]","[5.00237,3.19445]",217126,-1.91042,3,"[207354,192995,42176.9]","[0.640021,-0.671694,-1.30359]","[2.07231,1.89131,2.31777]","[251856,238408,83453.4]","[0.965343,0.991438,1]","[0,0,0]","[0,0,0]","[-0.912136,-0.900306,-0.901088]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[16393.4,1554.47]",1384,"[6646.47,4713.41,2218.54]","[]","[]","[]"
