event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,52,392502,1.01606,0.378832,14610.2,0,0.87677,0.993424,1,1,0.999592,0.98992,1,1,0,0,2,"[0,0]","[1,0]","[34999.8,22115.3]","[2.38547,0.433614]","[-1.53189,2.1362]","[191732,24227.4]","[0.0783739,-0.0379572]","[1,-1]","[11,13]","[1,1]","[0,0]","[-620.838,-1512.02]","[0.0216984,0.0214457]","[1.23354,2.08751]",88033,-0.406072,2,"[90525.6,26043.9]","[1.64457,-0.645248]","[2.53831,1.62488]","[243420,32179.2]","[0.97201,0.95549]","[0,0]","[0,0]","[-0.923691,-0.494418]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[180.855,32.6474]",3457.36,"[3684.42,3549.26]","[]","[]","[]"
1,284500,216,392502,1,0.378832,14610.2,0.351687,0.847544,1,1,1,0.998722,0.98659,1,1,0,0,2,"[0,0]","[1,0]","[30921.9,16548.1]","[2.16834,1.03897]","[-2.28597,-0.679184]","[136956,26312.5]","[-0.0687828,0.0119238]","[1,-1]","[11,11]","[1,1]","[1189.35,0]","[-336.061,-1417.64]","[-0.0144348,0.0530343]","[0.429129,3.03116]",40052.9,2.00245,1,"[34030.9]","[2.44531]","[-0.387978]","[197850]","[0.928132]","[0]","[0]","[-0.785419]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[50.4985,365.362]",645.117,"[2481.57]","[]","[]","[]"
5,284500,377,392502,1,0.378832,14610.2,0.553627,0.96156,0.998525,1,1,1,1.00146,1,0,1,0,2,"[0,0]","[1,0]","[30251.7,24691.9]","[-2.12584,-0.0954752]","[-0.520107,1.60581]","[128558,24804.5]","[0.0303116,0.0115089]","[1,-1]","[13,11]","[1,1]","[2470.44,0]","[3537.96,5465.14]","[0.0343792,0.0195507]","[2.92036,1.46091]",26348.8,-2.94708,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[434.702,321.661]",0,"[]","[]","[]","[]"
6,284500,476,392502,1.20885,0.378832,14610.2,0.619412,0.90266,0.997069,1,1,0.996806,1.00611,1,0,1,0,2,"[0,0]","[1,0]","[31213.3,16847.5]","[0.880229,1.0697]","[2.25764,0.849204]","[44106.8,27441.4]","[-0.0223818,-0.0358515]","[-1,1]","[13,11]","[1,1]","[0,0]","[-843.43,-409.257]","[-0.00633952,-0.00664261]","[0.785099,0.38186]",20543.3,-2.34573,1,"[26259.4]","[1.87386]","[-0.61724]","[87641.3]","[0.947014]","[5]","[0]","[-0.744303]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[89.7517,113.812]",4491.98,"[4981.87]","[]","[]","[]"
7,284500,704,392502,1,0.378832,14610.2,0.738662,0.9407,0.996988,1,1,1,0.99124,1,1,1,0,2,"[0,0]","[1,1]","[39417.2,32615.3]","[0.770065,1.59144]","[-2.95293,1.35821]","[51693.6,83404.8]","[0.0266953,0.0312386]","[-1,1]","[13,11]","[1,1]","[1006.82,0]","[1390.04,1082.12]","[0.0143287,-0.0174743]","[2.02157,1.19349]",37131.2,-0.797183,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[106.734,296.297]",0,"[]","[]","[]","[]"
8,284500,746,392502,1.46389,0.378832,14610.2,0.738662,0.96257,0.999721,1,1,0.998883,1.00557,1,1,0,0,2,"[0,0]","[0,1]","[50860.9,41012]","[-1.04455,-1.74233]","[0.776402,-2.37177]","[81224.1,120693]","[0.0190372,0.0010128]","[1,-1]","[13,11]","[1,1]","[0,0]","[625.603,45.3767]","[0.00310009,0.0044146]","[0.375279,0.296083]",27544.9,2.00612,2,"[50434.6,36654.8]","[1.04485,2.45038]","[-2.33583,0.029327]","[80810.6,214118]","[1,0]","[0,0]","[0,0]","[-0.833526,-0.854758]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[254.343,94.9926]",2385.98,"[6974.13,6465.27]","[]","[]","[]"
11,284500,1057,392502,1,0.378832,14610.2,0.402058,0.94707,0.99448,1,1,0.998431,0.94238,1,1,1,0,2,"[0,0]","[1,1]","[29411.1,28443.5]","[-0.909306,-0.940932]","[-0.966309,1.918]","[42431.5,41991.8]","[0.00584877,0.00442064]","[-1,1]","[11,13]","[1,1]","[0,0]","[232.192,-335.307]","[0.0174116,-0.024102]","[1.36182,2.67327]",33984.9,-2.49144,1,"[22257]","[-2.2332]","[0.527276]","[105052]","[0.976063]","[0]","[0]","[-0.633651]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[282.624,114.062]",1692.12,"[2438.63]","[]","[]","[]"
13,284500,1140,392502,1,0.378832,14610.2,0.596562,0.92481,0.999317,1,1,1,0.938043,1,0,1,0,2,"[0,0]","[1,0]","[28184.5,19083.8]","[0.765956,-0.619726]","[1.47178,-2.67825]","[36864.7,22867.3]","[-0.00524902,-0.0179977]","[-1,1]","[13,11]","[1,1]","[0,0]","[530.387,-149.839]","[-0.00142875,-0.0508555]","[0.155827,3.01554]",47914,-1.49248,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[178.45,60.9042]",10326.4,"[]","[]","[]","[]"
14,284500,1181,392502,1,0.378832,14610.2,0.596562,0.92831,0.998352,1,1,1,1.03335,1,1,1,0,2,"[0,0]","[1,1]","[34834.2,33684.4]","[1.50618,1.94616]","[1.60814,-1.05849]","[82404.3,120330]","[0.06567,-0.0865135]","[1,-1]","[13,11]","[1,1]","[0,0]","[-223.289,-52.0164]","[0.000633606,-0.0308892]","[0.0607097,2.21796]",20269.2,-1.91172,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[125.884,465.634]",90.498,"[]","[]","[]","[]"
16,284500,1343,392502,1,0.378832,14610.2,1.08735,0.913022,1,1,1,1,1.01448,1,1,0,0,2,"[0,0]","[1,1]","[57757.5,27212.7]","[1.93585,0.976152]","[-2.89782,0.38254]","[204296,41240.7]","[0.0010891,-0.0320702]","[1,-1]","[11,11]","[1,0]","[0,0]","[23.2267,-395.845]","[-0.00096417,0.0555954]","[0.0532753,2.43948]",43597.6,0.065485,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[669.582,156.109]",0,"[]","[]","[]","[]"
