event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,127,392985,1,0.00046477,10457.6,0.187531,1,0.994312,1,1,0.99998,0.86578,1,0,1,0,2,"[0,0]","[1,1]","[450717,301320]","[0.689131,1.41553]","[-2.20429,0.599184]","[562044,657098]","[-0.00476456,0.0391731]","[-1,1]","[13,13]","[1,1]","[0,1558.71]","[-41.2667,-1136.07]","[-0.0133982,0.0166111]","[2.89698,3.96735]",224040,1.61144,1,"[47874.6]","[0.616784]","[-0.470278]","[57702.6]","[1]","[0]","[0]","[-0.889673]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[90944,22137.5]",516.344,"[2272.3]","[]","[]","[]"
10,284500,345,392985,1,0.00046477,10457.6,0.553627,1,0.993841,1,1,0.999528,0.753185,1,0,1,0,2,"[0,0]","[1,1]","[300611,198356]","[-1.44035,-0.149662]","[0.753247,2.70366]","[670214,200582]","[-0.0421886,0.0751476]","[1,-1]","[13,13]","[1,1]","[0,0]","[-1058.37,-319.448]","[0.00580295,0.0003153]","[1.10998,0.0783694]",285039,-1.69074,1,"[21366.5]","[1.09429]","[-0.546506]","[35805.7]","[0.96848]","[0]","[0]","[-0.914005]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6467.41,4871.7]",8647.19,"[2627.46]","[]","[]","[]"
14,284500,416,392985,1,0.00046477,10457.6,0.553627,0.97446,0.996359,1,1,1,0.98483,1,1,0,0,2,"[0,0]","[1,0]","[56728.1,10031.9]","[-0.33273,0.300457]","[0.25259,0.923576]","[59897.4,10488.7]","[-0.00328064,-0.0492249]","[1,-1]","[11,13]","[1,1]","[0,0]","[-983.838,8.93744]","[0.00166432,-0.24704]","[0.147251,19.6088]",171418,3.01702,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[79.7658,45.2487]",837.688,"[]","[]","[]","[]"
20,284500,582,392985,1,0.00046477,10457.6,0.619412,0.967171,1,1,1,0.998669,1.00632,1,1,0,0,2,"[0,0]","[1,1]","[335088,183711]","[0.233549,-0.533939]","[0.901528,-1.56331]","[344269,210526]","[0.0927505,-0.0125313]","[1,-1]","[11,11]","[1,1]","[0,0]","[-234.098,947.725]","[0.00523666,-0.0102164]","[0.898708,1.53158]",250447,-2.77617,1,"[32425.6]","[2.19553]","[0.790852]","[147733]","[0.987506]","[0]","[0]","[-0.808866]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2089.84,1006.63]",118.766,"[1987.35]","[]","[]","[]"
26,284500,706,392985,1,0.00046477,10457.6,0.738662,0.993444,1,1,1,0.999058,1.00936,1,1,0,0,2,"[0,0]","[1,1]","[550772,179523]","[0.0118637,0.419967]","[-0.225605,1.64767]","[550810,195588]","[-0.00570631,-0.0739527]","[-1,1]","[11,11]","[1,1]","[0,0]","[16894.7,442.848]","[0.00422879,-0.017091]","[0.81201,0.843289]",526993,-3.13292,2,"[22694.9,22201.2]","[-0.257971,0.958735]","[-1.22635,-0.987641]","[23908.5,33614.4]","[0.866952,0.99]","[0,0]","[0,0]","[-0.891518,0.540709]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3670.22,1561.92]",6462.34,"[1717.98,1686.5]","[]","[]","[]"
31,284500,948,392985,1,0.00046477,10457.6,0.738662,0.985702,1,1,1,1,1.00632,1,1,0,0,2,"[0,0]","[1,1]","[705814,537806]","[0.566104,1.00041]","[-0.827019,2.24706]","[821964,830139]","[0.0279198,-0.050766]","[-1,1]","[11,11]","[1,1]","[0,1226.07]","[352.929,1131.58]","[0.0116071,-0.00150873]","[2.24993,0.257712]",210591,2.62993,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6035.59,8228.56]",5726.2,"[]","[]","[]","[]"
43,284500,1262,392985,1,0.00046477,10457.6,0.934886,0.990369,1,1,1,0.999513,1.00306,1,1,0,0,2,"[0,0]","[1,1]","[488772,93711.6]","[1.06526,-0.334987]","[2.52686,-0.453183]","[793335,99019]","[-0.0111465,0.00593567]","[1,-1]","[11,11]","[1,1]","[0,0]","[1055.84,-525.979]","[-0.00790017,0.00579808]","[0.945504,0.638181]",381306,-0.697582,1,"[23193.9]","[0.753925]","[0.15572]","[30404.9]","[0.985489]","[0]","[0]","[-0.899543]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6840.08,587.077]",1068.69,"[2330.41]","[]","[]","[]"
45,284500,1288,392985,1,0.00046477,10457.6,0.934886,0.958656,1,1,1,0.999383,1.00632,1,1,0,0,2,"[0,0]","[1,1]","[292141,230277]","[0.273724,2.08647]","[-2.98811,0.480159]","[303153,941901]","[-0.088171,0.00249863]","[-1,1]","[11,11]","[1,1]","[0,0]","[-1785.78,1110.89]","[0.000605601,-0.00853855]","[0.0841534,0.964073]",158312,-1.04263,2,"[93914.6,24931.1]","[0.543653,-0.414379]","[1.6249,-1.17915]","[109558,27451.9]","[0.996456,0.991953]","[0,0]","[0,0]","[-0.39635,-0.911749]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1574.23,2701.05]",1586.81,"[2370.85,3177.3]","[]","[]","[]"
50,284500,1432,392985,1,0.00046477,10457.6,1.74563,1,0.990444,1,1,0.997487,0.888263,1,0,1,0,2,"[0,0]","[1,1]","[374330,344873]","[-0.366901,-0.147974]","[2.08618,-2.05092]","[399809,348656]","[-0.00428772,-0.0137138]","[-1,1]","[13,13]","[1,1]","[0,1023.03]","[615.065,17.7813]","[-0.00742857,0.0206242]","[1.48198,4.99109]",358485,-0.072183,3,"[25207.6,22341.3,20625.9]","[1.18903,1.12264,-2.29717]","[-0.743169,2.85451,2.59978]","[45602.9,38130.5,103619]","[0.941594,0.99,0.761702]","[0,0,0]","[0,0,0]","[-0.845422,-0.862955,-0.512926]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[19888,78086]",10447.2,"[5915.74,1988.95,2403.69]","[]","[]","[]"
51,284500,1464,392985,1,0.00046477,10457.6,1.74563,1,0.990948,1,1,1.00903,0.744681,1,0,1,0,2,"[0,0]","[1,1]","[371877,109262]","[-1.45998,0.126158]","[-2.00039,-2.1779]","[843810,110133]","[0.0281572,0.119026]","[-1,1]","[13,13]","[1,1]","[0,0]","[-295.024,1147.98]","[0.00888205,0.00896086]","[1.7602,1.79227]",511492,1.15283,2,"[23687.2,22872.2]","[0.635113,-2.10856]","[-1.89801,-0.783353]","[28959.5,95654.2]","[0.993956,0.629986]","[0,4]","[0,0]","[-0.764003,-0.84941]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[37673.5,6888.85]",3269.97,"[4221.44,2003.94]","[]","[]","[]"
