event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2752,284500,42741,410000,1,452.694,4.93866e+07,1.24168,1,0.991828,1,1,1.05831,0.819063,1,0,1,0,2,"[1,0]","[1,0]","[76267.6,10473.3]","[0.230797,-0.601996]","[1.54808,0.622956]","[78308,12429.5]","[-0.0293427,-0.0314026]","[-1,1]","[13,13]","[1,1]","[0,0]","[1607.58,-262.561]","[-0.00681042,0.0101524]","[1.15604,0.68299]",61078.8,-0.290827,3,"[33663.3,28146.2,23619.8]","[0.0422175,-0.171082,-2.49574]","[-2.06279,-2.7053,2.88317]","[34055.6,29480.2,144329]","[0.998476,0.992588,0]","[5,5,0]","[1,1,0]","[0.951701,0.999387,-0.438753]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1807.47,23.7663]",3432.83,"[1660.98,3616.12,2708.94]","[]","[]","[]"
3686,284500,1323160,410000,1,452.694,4.93866e+07,0.696077,1,0.995731,1,1,1.07266,0.938722,1,0,1,0,2,"[1,1]","[1,1]","[50201.7,25263.4]","[0.734118,-2.08313]","[-2.88826,1.07161]","[64348,103000]","[0.00891876,-0.0402985]","[1,-1]","[13,13]","[1,1]","[0,0]","[-802.594,164.07]","[-0.0111364,-0.00232895]","[1.55356,0.204029]",126399,-1.81507,3,"[67507.1,41935.7,29947.7]","[-2.02235,-0.560428,1.76937]","[0.545601,-0.444407,1.59537]","[259632,48932.2,90632.5]","[0.991528,0.998028,0.993444]","[5,5,0]","[1,1,0]","[0.999383,0.998659,-0.120604]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[169.702,60.9281]",3789.73,"[2331.24,13469,12812.7]","[]","[]","[]"
4673,284500,1360907,410000,1,452.694,4.93866e+07,1.32095,1,1.01926,1,1,0.988708,0.881909,1,0,1,0,2,"[1,1]","[1,1]","[71709.6,43465.8]","[0.120337,0.079819]","[2.78622,0.75488]","[72229.5,43604.5]","[0.0098877,-0.0318375]","[-1,1]","[13,13]","[1,1]","[0,0]","[2305.96,-588.281]","[0.0125328,-0.0288507]","[2.35619,4.05421]",83929.1,-0.634591,2,"[42345,29354.2]","[-1.54507,-0.199951]","[2.1192,-1.84119]","[103981,30472.9]","[0.994557,0.990464]","[5,5]","[1,1]","[0.999952,0.665171]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[180.907,229.834]",7310.37,"[8558.73,1797.84]","[]","[]","[]"
6537,284500,170236,410000,1,452.694,4.93866e+07,1.26459,0.97921,0.999835,1,1,1.06959,1.00192,1,1,0,0,2,"[1,1]","[1,0]","[79035.8,15709.8]","[-0.223876,1.02864]","[2.45542,0.0802189]","[81024.7,24780.5]","[0.0153809,0.0142479]","[-1,1]","[11,13]","[1,1]","[0,0]","[323.119,-367.626]","[0.0128552,-0.0259915]","[0.938573,1.84443]",114026,-1.21747,4,"[82046.3,79864.9,40617.9,23979.8]","[-0.356781,-1.52277,-1.14235,-1.06611]","[1.31322,-2.72582,0.370913,-0.380154]","[87716.1,192144,70259.2,39072.3]","[0.982383,0.998752,0.990929,1]","[0,5,5,0]","[0,1,1,0]","[-0.919113,0.893506,0.851995,-0.577691]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[341.353,109.368]",1046.69,"[2237.15,7128.3,1203.11,1999.85]","[]","[]","[]"
9830,284500,11849,410000,1,452.694,4.93866e+07,1.26459,1.07507,1,1,1,1.05739,0.99672,1,1,0,0,2,"[1,0]","[1,0]","[68225.7,8982.83]","[1.01678,1.93241]","[2.45631,-0.406634]","[106638,31668.8]","[0.00240898,-0.120575]","[1,-1]","[11,11]","[1,1]","[0,0]","[-1001.84,578.417]","[0.0274353,-0.00785153]","[2.22911,0.223872]",55326.7,0.322684,2,"[70619.8,28371.6]","[0.900167,0.304706]","[-2.01469,0.10516]","[101932,30229.7]","[0.996221,0.993978]","[5,5]","[1,1]","[0.99943,0.997547]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[283.501,75.9601]",3459.7,"[1567.12,3033.53]","[]","[]","[]"
10583,284500,241915,410000,1,452.694,4.93866e+07,1.1961,0.97446,0.996691,1,1,0.977544,0.98483,1,1,0,0,2,"[1,0]","[1,0]","[58679.2,9156.28]","[-0.155696,-0.764126]","[0.342911,0.8732]","[59391.9,11962.5]","[0.0463402,-0.364993]","[1,1]","[11,13]","[1,1]","[1677.35,0]","[-685.922,3266.12]","[0.0029492,0.204167]","[0.308453,15.1854]",108017,2.00075,5,"[228317,132655,118800,113484,23503.8]","[-2.05122,-1.01924,0.248376,-0.521372,1.12541]","[-1.03091,1.25201,3.01327,-2.05256,-2.31626]","[902700,208060,123278,129646,40290.1]","[1,0.990392,0.998918,0.997198,1]","[4,5,4,0,0]","[0,1,0,0,0]","[0.792894,0.999862,0.0696566,-0.926101,-0.77309]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[152.208,26.394]",24432.4,"[9978.65,2293.92,2508.9,2509.3,1793.53]","[]","[]","[]"
11503,284500,250094,410000,1,452.694,4.93866e+07,0.619412,0.92481,0.997389,1,1,0.992241,0,1,0,1,0,2,"[1,1]","[1,0]","[27295.2,15001.9]","[-1.1578,-0.785641]","[2.84524,-1.35833]","[47727.1,19874.8]","[-0.0028553,0.0536671]","[-1,1]","[13,11]","[1,1]","[0,0]","[-734.164,-602.248]","[-0.0309898,0.00831604]","[2.90029,0.726287]",84222.5,1.03279,5,"[132371,82191.7,74015.3,30795.1,25476.9]","[-0.374895,0.7948,-0.309892,0.322938,1.59537]","[-0.674146,2.69217,-1.80667,1.0966,-2.82573]","[142614,110921,78019.7,32867,65499.7]","[0.997168,0.999246,0.993472,1,0.998178]","[5,0,5,0,0]","[1,0,1,0,0]","[0.737654,-0.693726,0.999915,-0.917837,-0.859311]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[43.3454,70.7969]",18109.3,"[2346.06,3051.85,4598.5,1994.37,4249.4]","[]","[]","[]"
14086,284500,273245,410000,1,452.694,4.93866e+07,1.25133,1,0.990945,1,1,1.07302,0.97214,1,0,1,0,2,"[1,1]","[1,0]","[57277.9,22568.8]","[-1.25603,-0.509303]","[-1.83237,-0.226733]","[108720,25559.9]","[-0.0451736,0.09478]","[1,-1]","[13,13]","[1,1]","[0,0]","[-519.213,366.781]","[-0.00349951,0.00712775]","[0.477769,0.746116]",41357.2,1.16617,3,"[41400.1,32485.9,29236.8]","[1.49004,-2.05346,-0.868879]","[-2.61997,0.303363,2.32733]","[96714,128757,41331.1]","[0.99914,0.990165,0.976858]","[5,5,0]","[1,1,0]","[0.99977,0.965129,-0.907874]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[153.695,160.258]",5799.1,"[2746.46,3987.26,3939.19]","[]","[]","[]"
20448,284500,376845,410000,1,452.694,4.93866e+07,0.923924,1,0.997112,1,1,1.0271,0.841751,1,0,1,0,2,"[1,1]","[1,1]","[39333.3,24401.6]","[-0.694958,1.20545]","[3.02412,-0.0106534]","[49220.2,44384.3]","[0.0874214,0.0308571]","[1,-1]","[13,13]","[1,1]","[0,0]","[-356.946,-798.068]","[0.0206464,0.00718193]","[2.35495,0.707871]",51567,-1.25821,2,"[134164,120854]","[0.79808,0.412361]","[-1.38184,1.97114]","[179906,132014]","[0.999952,0.991401]","[5,5]","[1,1]","[0.99068,0.99952]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[47.6887,95.1658]",6272.64,"[7263.58,7037.64]","[]","[]","[]"
20809,284500,133422,410000,1,452.694,4.93866e+07,1.26459,0.886733,1,1,1,0.916992,1.00192,1,1,0,0,2,"[1,1]","[1,0]","[77377.8,20198.1]","[-0.223514,1.9134]","[2.00997,0.181709]","[79318.6,69922.6]","[-0.019743,-0.0612688]","[1,-1]","[11,11]","[1,1]","[0,0]","[-468.922,541.809]","[0.00706576,0.0049654]","[0.836473,0.253855]",161895,-1.06566,1,"[91638.1]","[1.06934]","[2.38929]","[149750]","[0.999809]","[5]","[1]","[-0.435766]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[312.702,158.207]",741.703,"[1936.65]","[]","[]","[]"
