event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
21,284500,4373404,410012,2.75104e-08,26.276,0.128695,0.553627,0.95205,0.998917,1,1,0.971073,0.832276,1,0,1,0,2,"[1,0]","[1,0]","[115350,8190.1]","[-1.00182,2.37712]","[-2.29868,1.15313]","[178242,44499.3]","[-0.051753,55.0395]","[-1,-1]","[13,11]","[1,1]","[0,1005.75]","[1142.23,-750.816]","[0.00390004,-0.073087]","[0.767418,0.335551]",138093,-2.5621,4,"[397225,202048,160828,23804.3]","[-1.62527,-0.23239,1.52195,0.699092]","[0.444562,-2.43985,1.5991,-1.31149]","[1.04857e+06,208566,386213,30017.3]","[0.999,0.992437,1,0.993277]","[0,5,0,5]","[0,1,0,1]","[-0.948977,0.978993,-0.915247,0.980336]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1610.98,84.6192]",25104.4,"[9302.38,1717.13,5224.89,1577.27]","[]","[]","[]"
35,284500,4743949,410012,2.75104e-08,26.276,0.128695,0.506784,0.943464,1,1,1,0.979753,0.99672,1,1,0,0,2,"[1,0]","[1,0]","[63818.5,14581]","[1.06896,0.449316]","[0.306105,-2.71306]","[103887,16077.7]","[-0.0190353,0.134659]","[-1,-1]","[11,11]","[1,1]","[1447.65,3804.97]","[1829.34,848.971]","[0.0101698,-0.156505]","[0.7684,11.1208]",45556.9,-1.47285,4,"[105838,73142.5,25979.1,20466.2]","[0.535228,2.02848,-0.551696,1.74898]","[2.40344,-0.78102,2.2364,3.09191]","[121652,283226,30382.4,60705.3]","[0.990664,0.982941,0.995433,0.94586]","[0,0,5,0]","[0,0,1,0]","[-0.770236,-0.81867,-0.684339,-0.872183]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[557.785,108.709]",2559.68,"[2262.01,6028.15,1164.04,1122.34]","[]","[]","[]"
38,284500,4822928,410012,2.75104e-08,26.276,0.128695,0.696077,1,0.980393,1,1,0.99849,0.901612,1,0,1,0,2,"[1,0]","[1,0]","[60339.7,11394.2]","[0.290743,-1.07861]","[0.660961,-2.5843]","[62908.1,18690.5]","[0.0741463,-0.401909]","[-1,-1]","[13,13]","[1,1]","[0,0]","[-1414.18,-1227.49]","[-0.00777718,-0.329006]","[0.854986,24.0698]",65132.9,-3.01508,2,"[63243.4,24427.9]","[-1.17181,-2.46571]","[-0.750036,2.3274]","[112331,144905]","[0,0]","[0,0]","[0,0]","[-0.802419,-0.874337]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[349.075,22.8699]",808.734,"[2861.82,1886.53]","[]","[]","[]"
58,284500,4349209,410012,2.75104e-08,26.276,0.128695,1.32095,1,0.990363,1,1,0.999,0.881909,1,0,1,0,2,"[1,0]","[1,0]","[27471.1,7773.97]","[0.12289,-2.23637]","[0.399439,2.60905]","[27679,36794.9]","[-0.117661,-3.26302]","[-1,1]","[13,13]","[1,1]","[0,3539.44]","[913.834,2893.29]","[0.0345957,-0.962084]","[3.9858,35.3353]",171065,0.924372,3,"[144900,63962.7,61190.5]","[0.397883,-1.25151,-1.25035]","[-2.26789,1.43196,-1.62978]","[157367,121540,115721]","[0.99267,0,0]","[0,0,0]","[0,0,0]","[-0.955111,-0.828889,-0.825841]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[37.7318,8.01668]",46477.8,"[1996.73,11551.5,1597.95]","[]","[]","[]"
75,284500,4722016,410012,2.75104e-08,26.276,0.128695,0.696077,1.07507,1,1,1,0.909852,0.99672,1,1,0,0,2,"[1,0]","[1,0]","[71052.9,9321.23]","[0.876204,1.68429]","[-1.61622,-2.97352]","[100118,25979.2]","[-0.0215225,-0.404617]","[-1,1]","[11,11]","[1,1]","[0,19129.9]","[175.367,3326.67]","[0.113951,0.0361764]","[2.23314,1.69157]",21152.8,-1.97362,2,"[43491.1,22932.5]","[-0.58943,-1.68331]","[1.62319,0.759551]","[51555.8,63985]","[0.98623,0.980377]","[5,0]","[1,0]","[0.250254,-0.766213]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[222.639,198.334]",1515.67,"[2537.75,2093.25]","[]","[]","[]"
78,284500,4766875,410012,2.75104e-08,26.276,0.128695,1.24168,0.98413,0.999906,1,1,0.999253,0.99866,1,1,0,0,2,"[1,0]","[1,0]","[116056,20335.7]","[-1.04424,-1.48691]","[-0.251702,-3.09263]","[185295,47275.2]","[0.0023737,-1.26075]","[-1,-1]","[11,13]","[1,1]","[1079.1,4354.5]","[-268.549,-459.992]","[0.00798836,-0.283977]","[0.78758,26.1352]",68838.9,2.98948,1,"[45330.9]","[2.39395]","[2.43444]","[250438]","[0.955167]","[0]","[0]","[-0.907046]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1300.22,140.82]",20884.7,"[4596.85]","[]","[]","[]"
116,284500,4722989,410012,2.75104e-08,26.276,0.128695,1.26205,1.06267,1,1,1,1,0.95922,1,1,0,0,2,"[1,0]","[1,0]","[47943.1,9526.16]","[-0.934299,1.797]","[-0.36808,2.47969]","[70435.4,29518.4]","[-0.0500517,0.200871]","[-1,1]","[11,11]","[1,1]","[0,2478.38]","[490.834,972.701]","[-0.00351586,-0.0728285]","[0.265999,2.57593]",30165.9,2.68467,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[99.5552,99.1843]",0,"[]","[]","[]","[]"
145,284500,4356167,410012,-2.75104e-08,26.276,0.128695,0.506784,0.97097,1.00231,1,1,0.999971,0.99468,1,1,0,0,2,"[1,0]","[1,0]","[38615.4,13145.8]","[0.13529,-1.26718]","[1.33496,2.52869]","[38969.3,25190.6]","[0.0674973,-0.0171509]","[-1,-1]","[11,13]","[1,1]","[0,1112.75]","[-118.051,-245.997]","[-0.0113405,-0.00210585]","[0.84864,0.118297]",88101.3,-0.152813,1,"[97035.4]","[-1.50333]","[2.94723]","[229173]","[0.995529]","[0]","[0]","[-0.934181]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[157.112,27.246]",3963.95,"[2395.72]","[]","[]","[]"
148,284500,1426486,410012,2.75104e-08,26.276,0.128695,1.25133,0.898867,1,1,1,1.03507,0.99419,1,1,0,0,2,"[1,0]","[1,0]","[34378.3,11272.5]","[-1.57511,-0.6764]","[-1.01806,1.85048]","[86603.8,13951.1]","[-0.0516357,-1.00223]","[-1,-1]","[11,11]","[1,0]","[0,15361.2]","[762.426,862.322]","[0.012057,-0.559079]","[0.586254,35.9445]",75906.1,-2.05998,2,"[56756.1,20928.1]","[-1.26726,2.42247]","[2.30323,-0.450317]","[109007,118945]","[0.997391,0]","[5,0]","[1,0]","[0.988657,-0.902294]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[334.039,133.58]",6927.84,"[1969.33,1190.99]","[]","[]","[]"
175,284500,4411230,410012,2.75104e-08,26.276,0.128695,0.75088,0.97209,0.993222,1,1,1.03667,0.99756,1,1,0,0,2,"[1,0]","[1,0]","[68666.4,15846.5]","[0.140039,-2.44067]","[2.93756,-0.190829]","[69340.8,91654.7]","[-0.0333252,-0.592186]","[-1,-1]","[11,13]","[1,1]","[1836.36,1294.86]","[-388.937,233.325]","[-0.00429398,0.087097]","[0.566081,4.15266]",21967.9,-1.75095,2,"[45437.9,26167.4]","[0.817735,-1.29175]","[0.25042,0.37375]","[61788.9,51445]","[0.993527,0.995223]","[5,0]","[1,0]","[0.93392,-0.780668]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[244.259,131.798]",174.412,"[1109.04,1741.77]","[]","[]","[]"
