event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
10,284500,1500540,410013,1,35.8455,4.8658e+06,1.26205,1.09758,0.999727,1,1,0.928862,0.82428,1,0,1,0,2,"[1,0]","[1,0]","[26144.8,8863.52]","[0.732029,1.99252]","[0.567809,2.15392]","[33468.5,33106.8]","[-0.04459,-0.0343533]","[-1,1]","[13,11]","[1,1]","[0,2833.66]","[-569.47,1510.36]","[0.00903748,-0.11725]","[1.08193,1.24723]",66097.4,-2.50197,3,"[61205.2,23577.5,21353.1]","[1.92586,1.90976,0.120121]","[0.407133,-2.43631,2.2336]","[214551,81472.7,21903.7]","[0.585985,0.999108,0.986709]","[5,4,0]","[1,1,0]","[-0.955647,0.297611,-0.680322]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[66.5059,127.03]",4829.09,"[2020.71,3505.15,1715.6]","[]","[]","[]"
23,284500,1542246,410013,1,35.8455,4.8658e+06,0.738662,1,0.988291,1,1,1.03595,1.0184,1,0,1,0,2,"[1,1]","[1,1]","[97021.8,85562]","[-1.4157,-1.82958]","[-2.13331,0.147276]","[211610,273444]","[-0.060051,0.068985]","[-1,1]","[13,13]","[1,1]","[0,0]","[-773.095,29.1276]","[-0.0111445,0.0295519]","[2.10482,3.94424]",14158.4,-2.4606,1,"[60102.7]","[-1.08496]","[1.68638]","[99909.7]","[1]","[5]","[1]","[0.982025]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1870.29,1384.28]",17320.8,"[5615.64]","[]","[]","[]"
34,284500,1583262,410013,1,35.8455,4.8658e+06,0.696077,0.96311,0.996615,1,1,0.911718,1,1,1,1,0,2,"[1,1]","[1,1]","[56480.2,30612.3]","[-1.77245,-0.353782]","[-1.14471,-0.759845]","[170999,32548.2]","[-0.0115356,-0.00240326]","[1,-1]","[11,13]","[0,1]","[0,0]","[-1483.95,1929.77]","[-0.0285775,0.00962287]","[2.12024,0.760258]",81057.6,1.6627,3,"[55776.6,51744.1,20669.5]","[-1.5622,1.09884,-1.90341]","[2.64912,-2.05744,-0.519444]","[139569,86721.5,71019.8]","[0.988958,0.997815,0.919714]","[5,0,0]","[1,0,0]","[0.775208,-0.725211,-0.896181]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[206.767,139.167]",14468.1,"[2289.26,6434.56,1128.02]","[]","[]","[]"
53,284500,1593192,410013,1,35.8455,4.8658e+06,0.187531,1.01425,0.984531,1,1,0.999656,1.0183,1,0,1,0,2,"[1,0]","[1,0]","[26053.8,8088.38]","[1.71592,0.290273]","[-0.770954,-1.28804]","[74794.8,8431.53]","[0.00715542,0.0264616]","[1,-1]","[13,11]","[1,1]","[0,6964.29]","[2634.25,4405.48]","[-0.00875997,0.0569301]","[0.796843,3.43002]",97123.8,2.97805,1,"[99400.8]","[-0.846612]","[0.364255]","[137697]","[0.996348]","[0]","[0]","[-0.839229]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[129.79,87.7241]",7314.83,"[6298.41]","[]","[]","[]"
72,284500,1601701,410013,1,35.8455,4.8658e+06,1.24168,0.97361,0.991307,1,1,1.03792,0.98448,1,1,1,0,2,"[1,1]","[1,1]","[46321.8,28544.8]","[-0.295355,-1.63981]","[-1.4006,0.757987]","[48357,76332]","[-0.018631,-0.0147552]","[-1,1]","[11,13]","[1,1]","[0,0]","[948.36,2549.12]","[0.0107183,0.0118307]","[1.36566,1.1605]",42402.5,0.475368,2,"[39942.1,27691.3]","[-1.61648,0.313337]","[-2.04385,2.36046]","[104735,29710.8]","[0.985488,0.980208]","[5,0]","[1,0]","[0.995359,-0.605506]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[176.722,419.805]",7774.88,"[2478.63,4220.42]","[]","[]","[]"
218,284500,1586759,410013,1,35.8455,4.8658e+06,1.32095,0.97388,0.998091,1,1,1.00578,0.98854,1,1,0,0,2,"[1,0]","[1,0]","[42987.9,7231.84]","[-0.625103,0.226169]","[-0.547471,-3.12878]","[51663.8,7418.34]","[0.0884094,-120.211]","[-1,-1]","[11,13]","[1,1]","[0,0]","[-929.143,1759.1]","[-0.00980787,0.175185]","[0.421892,11.9658]",67736,0.377826,2,"[123860,42813.7]","[-2.14879,-1.19618]","[-2.57559,0.530131]","[538376,77671.2]","[0.987482,0.757516]","[5,4]","[1,1]","[0.829206,0.548493]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[65.0776,11.7189]",19338,"[4469.21,2778.1]","[]","[]","[]"
224,284500,1585553,410013,1,35.8455,4.8658e+06,1.1961,0.97867,0.988545,1,1,1.00236,1.01012,1,1,1,0,2,"[1,1]","[1,1]","[95067.8,31236.2]","[1.8323,1.6927]","[-2.50511,-0.902564]","[304612,87744.9]","[0.0942574,-0.0199738]","[-1,1]","[11,13]","[1,1]","[0,0]","[-1087.49,548.682]","[-0.00113105,0.0110707]","[0.0866353,1.28981]",26855.2,0.881431,4,"[142528,120278,46254.3,22130.6]","[1.28087,-1.06091,-1.25872,2.46565]","[-1.04139,1.63434,2.33082,1.45086]","[277076,194909,88133.5,131293]","[0.993813,0.991699,0.99501,0.672509]","[5,0,0,0]","[1,0,0,0]","[0.999651,-0.891389,-0.959489,-0.298518]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[451.953,179.016]",14186.3,"[1816.24,2560.2,2588.57,1961.07]","[]","[]","[]"
391,284500,1527075,410013,1,35.8455,4.8658e+06,0.923924,0.97095,0.994055,1,1,1.00614,0.99593,1,1,1,0,2,"[1,1]","[1,1]","[68536.7,36953.1]","[-0.311973,-0.514282]","[2.84798,0.325215]","[71899.2,41948.6]","[-0.00143051,-0.0465202]","[1,-1]","[13,11]","[1,1]","[0,0]","[361.055,1559.91]","[-0.0041376,0.0220373]","[0.694009,1.36672]",30954.4,-2.32916,1,"[22970.3]","[-0.547478]","[-0.190196]","[26584.6]","[0.658572]","[5]","[1]","[-0.692244]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[882.949,196.217]",4668.98,"[1162.92]","[]","[]","[]"
491,284500,1545569,410013,1,35.8455,4.8658e+06,1.26205,0.96257,0.996209,1,1,1.02804,1.00557,1,1,1,0,2,"[1,1]","[1,1]","[76910.6,40761.1]","[-0.535929,-1.68983]","[2.04825,-0.491391]","[88222.7,114195]","[-0.0107193,-0.0763283]","[-1,1]","[13,11]","[1,1]","[0,0]","[-288.513,-239.109]","[0.0104758,0.0184935]","[1.93512,1.22655]",80265.4,2.48982,3,"[88091.2,48667.2,34663.1]","[-2.29833,-1.66329,-1.17597]","[-0.283174,-1.77729,-1.89154]","[443100,133155,61839.3]","[0.989536,0.992241,0.963482]","[5,0,0]","[1,0,0]","[0.990231,-0.84816,-0.713261]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1251.03,225.104]",3004.53,"[3076.3,3324.75,2816.94]","[]","[]","[]"
639,284500,1617439,410013,1,35.8455,4.8658e+06,0.923924,0.94272,0.999692,1,1,0.961394,0.94155,1,1,1,0,2,"[0,1]","[1,1]","[39760.1,26521.6]","[1.2463,1.29819]","[2.03822,2.77865]","[74848.6,52190.6]","[-0.047596,-0.0508022]","[-1,1]","[11,13]","[1,0]","[1130.31,0]","[2455.06,-492.243]","[0.17371,0.0159599]","[5.93898,1.71251]",8406.36,-1.13944,2,"[108086,77446.9]","[1.18189,0.934445]","[-0.991562,1.58775]","[193321,114434]","[0.988116,0.995892]","[5,5]","[1,1]","[0.722653,0.996587]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[128.126,127.575]",444.565,"[1540.26,1359.7]","[]","[]","[]"
