event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
118,284500,2079541,410014,1,35.8244,4.9456e+06,0.934886,0.94284,1.00053,1,1,1,0.981321,1,0,1,0,2,"[1,1]","[1,0]","[31165.2,21099.3]","[0.607739,0.131214]","[-2.37394,-2.93641]","[37100.1,21281.2]","[0.0564346,0.020401]","[1,-1]","[13,11]","[1,1]","[0,0]","[1257.45,-39.2898]","[-0.00156738,0.00422987]","[0.119859,0.182533]",69042.4,-0.358141,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[90.1589,229.5]",69042.4,"[]","[]","[]","[]"
136,284500,2098951,410014,1,35.8244,4.9456e+06,1.21412,0.936842,1,1,1,0.922993,0.98592,1,1,0,0,2,"[1,1]","[1,1]","[77837.3,71216.5]","[-1.30339,-0.712078]","[-0.710328,1.29466]","[153860,90047.8]","[0.0102463,-0.0561905]","[1,-1]","[11,11]","[1,1]","[0,0]","[767.987,1707.55]","[-0.00245355,0.000651349]","[0.153799,0.0687975]",46665.7,-1.30032,1,"[100695]","[-0.0104425]","[2.65302]","[101920]","[0.98981]","[5]","[1]","[0.729322]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[643.951,214.303]",6749.11,"[10880.4]","[]","[]","[]"
166,284500,2106730,410014,1,35.8244,4.9456e+06,1.55465,1,0.993143,1,1,1.02847,0.841751,1,0,1,0,2,"[1,1]","[1,1]","[81104.1,60873.6]","[-1.18425,-0.739469]","[1.87235,2.97743]","[144942,78289.3]","[-0.0710073,0.0015564]","[-1,1]","[13,13]","[1,1]","[5140.54,0]","[148.024,-536.611]","[-0.0045322,0.000695975]","[0.669815,0.103205]",14344.1,-0.748064,5,"[78049.6,49983.3,30625.1,25898.8,23233.7]","[-0.396616,1.25547,0.999898,0.334066,2.38727]","[0.163469,-2.31535,-1.73707,-1.02629,-0.772068]","[84695.4,95335.7,47465.8,27847.8,127543]","[0.993154,0.99,0.839882,0.961217,0.987109]","[5,0,0,0,0]","[1,0,0,0,0]","[0.998587,-0.949362,-0.750138,-0.692023,-0.736525]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[486.684,556.368]",4280.49,"[2448.16,2945.15,2981.12,2346.17,4456.14]","[]","[]","[]"
222,284500,2076734,410014,1,35.8244,4.9456e+06,1.24168,0.96199,0.99569,1,1,0.938177,0.911937,1,0,1,0,2,"[1,0]","[1,0]","[94734.7,10031.1]","[0.180383,-1.20413]","[1.98249,1.81747]","[96280.2,18225.6]","[0.0447998,-0.028347]","[1,-1]","[13,11]","[1,1]","[2349.95,0]","[-317.529,94.8938]","[-0.010579,-0.0610889]","[1.68939,3.82041]",41726.5,-1.58141,3,"[105863,95485.2,25962.6]","[-0.264485,0.471547,-2.49126]","[-0.0895793,-2.47546,0.402451]","[110111,107134,157945]","[0.994537,0.991565,0]","[5,5,0]","[1,1,0]","[0.999703,0.34797,-0.824097]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[682.665,102.588]",1037.19,"[1546.84,1618.39,1996.81]","[]","[]","[]"
224,284500,2078473,410014,1,35.8244,4.9456e+06,0.696077,0.98458,0.997748,1,1,1.01937,1.00582,1,1,1,0,2,"[1,1]","[1,1]","[104399,28114.3]","[-0.215058,2.08787]","[-2.07891,-1.12626]","[106823,115151]","[0.0881653,-0.0781612]","[-1,1]","[11,13]","[1,1]","[1829.25,0]","[-1388.66,-42.0016]","[0.016834,0.0363818]","[1.65817,2.78704]",59299,2.11683,3,"[69936.1,38614.6,27551.2]","[0.512624,-1.42369,0.396228]","[0.933615,-0.415829,1.5806]","[80664.1,85121.2,30119.7]","[0.992576,0.998927,0.998762]","[0,0,5]","[0,0,1]","[-0.863143,-0.832589,0.997122]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[528.821,255.058]",2971.75,"[8592.88,3949.64,3405.5]","[]","[]","[]"
231,284500,2049326,410014,1,35.8244,4.9456e+06,1.26459,0.94398,0.99208,1,1,0.999651,0.943375,1,0,1,0,2,"[1,0]","[1,0]","[32463.2,21942.5]","[-1.05241,-0.974518]","[1.6811,-0.00617135]","[52162.9,33212.9]","[-0.0498217,0.0344694]","[-1,1]","[13,11]","[1,1]","[0,0]","[-957.061,450.919]","[-0.00494685,-0.0276069]","[0.554261,2.50317]",82735.6,-2.98894,1,"[52486.1]","[-1.57904]","[-0.0326779]","[133252]","[0.993646]","[0]","[0]","[-0.940445]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[281.874,134.438]",8259.09,"[2203.21]","[]","[]","[]"
251,284500,2059197,410014,1,35.8244,4.9456e+06,0.738662,0.97062,0.989155,1,1,1.03199,0.98871,1,1,1,0,2,"[1,1]","[1,1]","[79502.5,75908.5]","[-0.75057,-0.0437432]","[3.04965,-1.41199]","[102968,75981.2]","[0.0288544,-0.00302887]","[1,-1]","[11,13]","[1,1]","[0,0]","[-652.204,-907.357]","[0.00131667,0.000422302]","[0.114591,0.0737138]",71614.8,1.93723,2,"[72015.6,41322.3]","[0.457775,2.17443]","[0.478571,-0.824176]","[80221.6,184237]","[0.991915,0.964067]","[5,0]","[1,0]","[0.999893,-0.915668]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[247.864,1259.03]",4584.62,"[2732.48,5127.86]","[]","[]","[]"
271,284500,2072499,410014,1,35.8244,4.9456e+06,1.1961,0.97435,1,1,1,0.999811,0.98425,1,1,0,0,2,"[1,1]","[1,0]","[49546.9,7672.77]","[0.269346,2.60344]","[-2.67112,-0.147688]","[51355.1,52114.1]","[0.0207634,-68.3069]","[-1,1]","[11,13]","[1,0]","[0,0]","[-205.646,-910.059]","[0.0155897,0.245677]","[1.27232,11.3945]",35907.2,2.88419,3,"[90785.4,60498.4,49785.2]","[-0.234299,-0.380637,0.398439]","[0.264272,-1.65904,2.55114]","[94092,65582.4,54415.2]","[0.998164,0,0.99]","[0,0,0]","[0,0,0]","[-0.891603,-0.825048,-0.815682]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[317.708,40.3867]",29544.9,"[3947.76,12230.8,7125.54]","[]","[]","[]"
412,284500,2075357,410014,1,35.8244,4.9456e+06,1.25133,0.96615,0.997345,1,1,1.06493,0.98962,1,1,1,0,2,"[1,1]","[1,1]","[65232.5,54717]","[1.17761,-0.183903]","[2.20542,-0.0798206]","[115938,55645]","[0.119011,-0.0577431]","[1,-1]","[11,13]","[1,1]","[0,0]","[-698.624,-403.29]","[-0.0165547,0.0102588]","[0.61609,1.13205]",94890.9,-2.25484,2,"[95630.4,54362.6]","[0.695854,-0.00405242]","[0.454445,-2.74101]","[120022,55163.5]","[0.735089,1]","[5,5]","[1,1]","[0.989648,0.998602]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[268.563,453.581]",9075.45,"[4826.22,5458.38]","[]","[]","[]"
456,284500,2046524,410014,1,35.8244,4.9456e+06,1.22586,1.09758,0.991972,1,1,1.03994,0.744681,1,0,1,0,2,"[1,0]","[1,0]","[75349.1,8642.97]","[0.105629,1.71436]","[-2.8553,-1.97666]","[75769.9,24775.9]","[-0.00669098,-0.0596085]","[1,-1]","[13,11]","[1,1]","[0,1337.48]","[-705.146,-738.657]","[-0.00373244,0.235733]","[0.645749,1.50819]",48941.6,3.11433,3,"[155614,107694,75144.6]","[-0.594907,-1.13728,-1.08861]","[1.85745,-0.412138,2.96136]","[184889,185376,124541]","[0.982554,0.989443,0.999594]","[4,5,5]","[1,0,1]","[-0.542664,0.999659,0.999995]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[750.997,348.294]",3496.35,"[1816.79,1225.68,6273.8]","[]","[]","[]"
