event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,8687,410025,2.0581e-09,2.06111,0.00204857,1.21412,0.902075,1,1,1,1.0383,0.94568,1,1,0,0,2,"[1,0]","[1,0]","[38512.3,12085.8]","[-1.24426,0.194297]","[-0.0780353,-2.82801]","[72375,12314.6]","[-0.0383682,0.378445]","[1,-1]","[11,11]","[1,0]","[1224.66,3377]","[167.433,735.032]","[-0.0255383,0.296015]","[1.54617,7.24009]",71336.5,2.30652,1,"[44227.4]","[-1.19824]","[-1.02358]","[80547]","[0.989891]","[5]","[1]","[0.999255]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[34.5103,209.184]",1986.48,"[2358.62]","[]","[]","[]"
3,284500,9011,410025,2.0593e-09,2.06111,0.00204857,1.1961,1,0.981069,1,1,1.0644,0.822228,1,0,1,0,2,"[1,0]","[1,0]","[38142.3,20931]","[0.102308,0.287474]","[-1.58128,0.796811]","[38342.2,21802.1]","[0.0432572,-44.7666]","[1,1]","[13,13]","[1,1]","[1152.79,0]","[1357.77,569.828]","[0.00769928,-0.215055]","[1.13535,18.3314]",93063.1,2.96723,3,"[67935.5,52886.8,29137.4]","[0.914487,1.95662,-1.51277]","[2.34587,-0.572551,0.893134]","[98567.8,190942,69603.6]","[0.994682,0.998987,0.978722]","[0,5,5]","[0,1,1]","[-0.96668,0.9769,0.998694]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[114.107,112.167]",15744.5,"[9738.96,2525.69,7574.54]","[]","[]","[]"
6,284500,31854,410025,2.05857e-09,2.06111,0.00204857,1.21412,0.9655,0.996359,1,1,0.999549,1.00002,1,1,0,0,2,"[1,0]","[1,0]","[32066.5,11457.6]","[0.341476,0.671229]","[-2.10931,-0.819817]","[33954.3,14137.5]","[0.0362511,0.311724]","[1,-1]","[11,13]","[1,1]","[0,11049.6]","[-23.6901,1313.83]","[0.0214786,-0.212036]","[1.25903,17.8451]",83799,1.67287,1,"[20818.4]","[0.893625]","[-1.23631]","[29981.6]","[0.908062]","[0]","[0]","[0.350695]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[24.2815,28.4799]",23815.9,"[1162.63]","[]","[]","[]"
12,284500,28416,410025,2.05393e-09,2.06111,0.00204857,1.74563,0.947603,1,1,1,1,1.00395,1,1,0,0,2,"[1,0]","[1,0]","[37263.7,12105.3]","[2.15285,1.76072]","[1.6804,-2.4081]","[162572,36246.7]","[0.0443306,0.0483322]","[1,1]","[11,11]","[1,1]","[0,0]","[430.309,1017.63]","[-0.00928609,0.0758913]","[0.382527,3.13253]",55664.3,-0.99747,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[53.8379,179.018]",246.602,"[]","[]","[]","[]"
19,284500,583499,410025,2.0542e-09,2.06111,0.00204857,0.738662,0.96689,1,1,1,1.03377,1.00136,1,1,0,0,2,"[1,0]","[1,0]","[52340.5,11397.4]","[1.75342,0.839372]","[-1.70015,1.95034]","[155647,15653.8]","[-0.0395399,0.540376]","[1,1]","[11,11]","[1,0]","[4380.97,0]","[2903.45,561.216]","[-0.0286052,-0.781205]","[3.00623,48.6864]",24596.8,-2.2862,4,"[53503.7,39616.8,39208.8,27240]","[2.1865,2.22493,2.14002,1.6624]","[0.30399,1.9038,0.901119,-2.36523]","[241310,185533,169046,74662.5]","[0.988485,0.987238,0.993429,0.974661]","[5,0,0,0]","[1,0,0,0]","[0.956723,-0.794188,-0.729887,-0.856603]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[179.288,124.331]",2652.42,"[4589.29,4167.69,2191.83,3332.96]","[]","[]","[]"
22,284500,602312,410025,2.05528e-09,2.06111,0.00204857,1.25133,0.97209,1,1,1,1.02943,0.99756,1,1,0,0,2,"[1,0]","[1,0]","[65994.4,17355.4]","[0.0637048,1.31137]","[-0.0651292,-2.33232]","[66128.3,34543.2]","[-0.0287704,0.147783]","[1,-1]","[11,11]","[1,0]","[2265.18,3358.24]","[-473.038,4683.36]","[-0.0305881,0.0863649]","[2.42166,4.23328]",43226.1,-1.22079,1,"[84016.3]","[-0.279912]","[2.4009]","[87771.6]","[0.963973]","[5]","[1]","[0.999347]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[299.559,296.259]",361.02,"[1213.64]","[]","[]","[]"
26,284500,1067,410025,2.0533e-09,2.06111,0.00204857,0.402058,1.07056,1,1,1,1.03779,1.01508,1,1,0,0,2,"[1,1]","[1,0]","[97156.7,7222.72]","[-1.6299,-1.94008]","[1.8855,1.26183]","[257433,25651.5]","[0.06077,0.0122843]","[1,1]","[11,11]","[1,1]","[0,0]","[479.126,360.766]","[0.00891455,0.0284701]","[0.944639,0.769414]",21459.9,-1.61728,2,"[70938.1,24615.9]","[-1.41759,-2.43631]","[-1.44864,-0.549756]","[155083,141785]","[1,0.982801]","[5,5]","[1,1]","[0.989929,0.975867]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1003.28,65.1738]",2054.54,"[3566,2750.74]","[]","[]","[]"
27,284500,92,410025,2.05727e-09,2.06111,0.00204857,0.187531,1,0.994115,1,1,1.03756,0.971777,1,0,1,0,2,"[1,0]","[1,0]","[66350.9,7137.92]","[0.393132,-1.19034]","[2.59048,-2.05183]","[71544.7,12820.8]","[0.0637207,73.1541]","[1,-1]","[13,11]","[1,0]","[7018.05,0]","[-1161.71,657.923]","[0.0113959,-0.0030522]","[1.7601,0.0850318]",19711.1,-0.4154,2,"[43882,36731.9]","[-0.521815,0.356106]","[0.238329,-1.65976]","[50780.5,39552.9]","[0.960807,0.994237]","[0,5]","[0,1]","[-0.897504,0.951257]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[369.668,108.131]",2087.95,"[3003.96,8554.52]","[]","[]","[]"
28,284500,893,410025,2.05727e-09,2.06111,0.00204857,0.738662,1,0.995834,1,1,0.950553,0.353167,1,0,1,0,2,"[1,0]","[1,0]","[45314.6,10099.4]","[0.913831,0.549385]","[2.04934,0.177122]","[65589.4,11662.3]","[-0.0130806,-0.25288]","[1,-1]","[13,11]","[1,0]","[0,1356.45]","[-976.578,-295.127]","[0.0162656,0.596269]","[2.13476,29.6465]",362446,1.49355,2,"[379801,21060.5]","[0.376422,1.95897]","[-1.63347,-1.89559]","[408184,76301.8]","[0.997313,0.980539]","[5,0]","[1,0]","[0.995918,-0.904834]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[56.7919,55.6015]",19045.1,"[7783.94,1138.32]","[]","[]","[]"
29,284500,1993,410025,2.0533e-09,2.06111,0.00204857,1.24168,1.09758,0.98422,1,1,0.962969,1.01483,1,0,1,0,2,"[0,0]","[1,0]","[42313.7,8266.25]","[1.83607,1.97045]","[-0.448531,-0.0194108]","[136065,30226.7]","[0.14253,0.118738]","[1,1]","[13,11]","[1,1]","[0,3564.28]","[-437.762,2756.04]","[-0.0344543,-0.0209131]","[3.74365,0.389473]",27757.8,2.46195,1,"[29997.9]","[2.06161]","[-2.87741]","[119840]","[0.985538]","[5]","[1]","[0.605056]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[128.201,74.5071]",1515.5,"[2975.71]","[]","[]","[]"
