event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
898,284500,6886278,410155,0.86866,1,1,0.553627,0.948195,1,1,1,1.01924,1.00056,1,1,0,0,2,"[1,1]","[1,1]","[65654.5,56864.5]","[0.388719,0.676066]","[-1.25806,1.49535]","[70677.5,70362.5]","[-0.00870895,0.021328]","[-1,-1]","[11,11]","[1,1]","[0,0]","[-404.764,-450.161]","[0.0197146,0.0169186]","[2.55219,1.38205]",69527.1,-3.06131,3,"[101341,56638.7,33874.5]","[0.201126,-0.407503,1.18686]","[0.847779,-2.66552,-0.854371]","[103842,62239.5,60705.2]","[0.994352,0.994817,0.995148]","[5,0,0]","[1,0,0]","[0.996169,-0.32099,-0.917283]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[196.608,84.7962]",713.938,"[1858.74,1987.18,2488.47]","[]","[]","[]"
993,284500,7394575,410155,-0.86683,1,1,1.55465,0.97553,1.00078,1,1,1.01407,1.01265,1,1,0,0,2,"[1,0]","[1,1]","[143000,23154.1]","[1.63363,1.3511]","[2.67925,1.4091]","[380213,47704.8]","[0.0403061,-0.0314941]","[1,-1]","[11,13]","[1,1]","[1331.7,0]","[1128.8,1806.3]","[0.000687369,-0.0171844]","[0.0967563,1.49951]",45448.1,-0.147055,3,"[120875,65709.1,32774]","[1.76644,2.31067,2.16515]","[-0.955299,-0.893248,2.12352]","[364047,334547,144796]","[1,0.975742,0.921621]","[5,0,4]","[1,0,1]","[0.995572,-0.867471,-0.892553]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2962.76,314.19]",12893.4,"[4855.11,2393.58,1236.61]","[]","[]","[]"
1124,284500,5336672,410155,0.85547,1,1,1.1961,1,0.998147,1,1,0.911382,0.974844,1,0,1,0,2,"[1,1]","[1,0]","[45904.4,13201]","[-1.10097,-1.14662]","[-0.633219,1.47865]","[76651.8,22872.7]","[0.0128646,-0.0235486]","[1,-1]","[13,13]","[1,1]","[0,1049.97]","[703.409,303.171]","[-0.0400658,0.0318439]","[4.02455,2.70922]",215569,2.75377,2,"[92498.7,56373.4]","[2.49356,0.352368]","[0.437593,-2.59653]","[563914,60381.4]","[0.77144,0.99998]","[4,5]","[0,1]","[0.376299,0.0697841]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[774.276,85.6511]",24956.8,"[14336.2,5069.63]","[]","[]","[]"
1206,284500,6529697,410155,-0.86058,1,1,1.26205,0.92481,0.986559,1,1,0.937656,0.886576,1,0,1,0,2,"[1,0]","[1,0]","[101074,15811.5]","[0.973624,-0.482459]","[-1.29022,1.5137]","[152886,17687.7]","[0.00621796,-0.0600128]","[-1,1]","[13,11]","[1,1]","[0,0]","[-864.297,1490.46]","[-0.033045,-0.0892435]","[5.98746,6.42693]",84394.8,-1.21421,5,"[124308,65911.2,45018.7,26264.8,25920.3]","[0.262498,0.88992,-1.62866,-1.29747,0.0959778]","[1.83311,0.0780544,2.95854,2.12258,-2.94852]","[129171,94115.9,119402,51986.7,26282.3]","[1,0.994078,0.959059,0.980617,0.876376]","[5,5,0,0,4]","[1,1,0,0,1]","[0.999974,-0.298576,0.196396,-0.274961,-0.878778]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1336.18,205.752]",3751.97,"[6150.67,6706.72,2269.86,2169.35,2002.14]","[]","[]","[]"
2058,284500,5424689,410155,-0.86229,1,1,1.1961,0.900242,1,1,1,0.976183,1.00324,1,1,0,0,2,"[1,1]","[1,1]","[34461.8,33471.5]","[0.564294,1.27726]","[-2.1337,-2.31133]","[40095.8,64693.8]","[0.159558,-0.023037]","[1,1]","[11,11]","[1,1]","[1485.67,0]","[2885.49,853.026]","[0.00279866,0.00466702]","[0.182476,0.389711]",124482,-2.8817,4,"[96064.9,68640.5,33277.3,20790.2]","[2.33185,1.38721,0.101371,0.886329]","[0.7364,0.234172,-1.46924,0.0186417]","[499385,146190,34018.2,29615]","[1,0.994088,0.979695,0.886283]","[5,0,5,0]","[1,0,1,0]","[0.999409,-0.892555,-0.591398,-0.899792]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[23.5998,49.3079]",963.391,"[3274.29,5404.14,3821.46,1673.63]","[]","[]","[]"
2909,284500,6901389,410155,-0.86569,1,1,0.596562,0.92778,0.992671,1,1,0.950126,0.984198,1,0,1,0,2,"[1,1]","[1,0]","[59068,25206.1]","[0.353298,1.30013]","[-1.73652,-0.209322]","[62793,49684.7]","[-0.0459957,-0.0840282]","[1,1]","[13,11]","[1,1]","[0,0]","[-130.531,952.755]","[0.00468468,0.0404198]","[0.614188,2.30443]",63242.8,-1.44412,5,"[53548.4,45838.8,33477.2,33309.3,20129.5]","[1.99708,0.159217,1.65435,0.177507,0.304913]","[1.85698,0.112961,1.31585,2.57794,-3.08691]","[200977,47027.5,90813.6,34608.4,21403.8]","[0.619556,0.99165,0.997227,0.984273,0.850891]","[0,5,5,0,0]","[0,1,1,0,0]","[-0.932978,0.623527,0.908578,-0.205665,-0.691809]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[354.847,104.289]",3305.48,"[2761.09,3777.57,6704.76,5469.78,1131.55]","[]","[]","[]"
3217,284500,1350472,410155,0.85972,1,1,1.1961,0.97095,0.99737,1,1,0.942978,0.99216,1,1,0,0,2,"[1,1]","[1,0]","[38245.1,19303.6]","[-0.303851,-1.10925]","[0.831543,2.92389]","[40024.2,32448.7]","[0.0394821,0.021431]","[1,1]","[11,13]","[1,1]","[10699.8,0]","[-435.24,-1393.77]","[0.00889353,0.00776238]","[0.784159,0.743325]",51243.6,1.68247,4,"[81978,68309.7,58471.3,49886.8]","[0.456531,0.15163,0.0411233,0.457261]","[-2.1915,2.23731,-0.653027,-1.10836]","[91537.1,70121.6,59350.2,55542.8]","[0.994069,0.9981,0.984994,0.939879]","[5,5,0,0]","[0,1,0,0]","[0.996934,0.22809,-0.903512,-0.735388]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[37.7402,64.5695]",341.266,"[1979.7,8673.66,1914.9,6832.74]","[]","[]","[]"
3382,284500,7042194,410155,0.86256,1,1,0.351687,0.954307,1,1,1,0.983414,0.99672,1,1,0,0,2,"[1,1]","[1,1]","[76386.5,55507.8]","[1.10027,0.517094]","[2.49365,-1.14394]","[127479,63095.7]","[0.0300217,-0.0647049]","[-1,1]","[11,11]","[1,1]","[0,0]","[1888.71,215.068]","[0.0147584,-0.0249232]","[1.23984,2.69671]",180871,-0.642967,2,"[164213,49770.5]","[0.79486,-0.55169]","[2.137,-1.93337]","[219353,57784.7]","[1,0.988502]","[5,15]","[1,1]","[0.979573,0.055937]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[480.272,290.738]",6482.3,"[7421.43,3718.69]","[]","[]","[]"
3443,284500,4436741,410155,-0.86318,1,1,1.1961,0.952713,1,1,1,0.955852,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[93554.5,70298.5]","[0.445813,1.5232]","[1.85306,2.65518]","[103006,168889]","[-0.0476265,-0.0269356]","[-1,-1]","[11,11]","[1,1]","[0,0]","[987.201,184.437]","[-0.0122164,-0.0303853]","[2.0985,2.64661]",67198.7,1.60058,3,"[182242,171691,129306]","[0.696082,1.04474,0.749391]","[0.689759,-1.57897,-2.22]","[228677,274668,168154]","[0.997356,0.995426,0.992546]","[5,5,0]","[1,1,0]","[0.999788,0.968811,-0.938374]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[293.444,681.665]",18829.5,"[5049.32,4672.14,5159.63]","[]","[]","[]"
3777,284500,6613866,410155,0.85842,1,1,0.696077,0.96217,0.98813,1,1,1.05853,0.97553,1,1,0,0,2,"[1,1]","[1,0]","[45288.5,38124.6]","[0.155265,2.52422]","[0.262666,-2.51208]","[45835.5,239448]","[-0.0495911,-0.0318909]","[1,-1]","[11,13]","[1,0]","[0,0]","[2739.13,-219.681]","[0.0224708,-0.0142443]","[2.51936,1.2116]",47988.4,1.97216,3,"[46551.5,29371.5,22768.8]","[1.16426,1.74063,0.0847997]","[-1.06792,1.77707,-2.21001]","[82101.6,86341,23180.1]","[0.999408,1,0.991562]","[5,0,5]","[1,0,1]","[0.997474,-0.839944,-0.606051]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[102.27,1381.16]",5280.05,"[4827.91,2834.67,1171.39]","[]","[]","[]"
4059,284500,3940453,410155,0.8567,1,1,1.24168,0.99941,0.996013,1,1,0.870885,0.92551,1,1,1,0,2,"[1,1]","[1,1]","[171944,131884]","[-2.41439,0.469934]","[0.164742,-2.16056]","[969104,146717]","[0.0673714,0.0305786]","[1,-1]","[11,13]","[1,0]","[0,0]","[1382.53,-348.96]","[-0.0126467,0.0200389]","[1.18699,3.87312]",137322,0.547855,7,"[106955,104169,99287.9,82210.8,56004.9,39763.1,23144]","[-1.60546,0.0541841,-1.03708,-1.66147,-0.282963,1.54971,1.15831]","[2.31597,-0.911733,-2.92918,2.95165,2.43539,-0.726458,2.30779]","[277292,105421,157907,224421,58726.5,98336.5,40681.6]","[0.984433,0.996848,1,0.999991,0.825654,0.97829,0.971532]","[0,0,0,0,5,5,0]","[0,0,0,0,1,1,0]","[-0.887681,-0.927869,-0.935875,-0.848444,-0.984186,-0.768024,-0.891199]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6364.79,9741.04]",906.766,"[2551.76,2962.04,2617.3,2371.06,2132.19,1833.95,1791.62]","[]","[]","[]"
