event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
201,284500,1426299,410219,0.077633,1,1,1.25133,1,0.992764,1,1,0.974908,0.759899,1,0,1,0,2,"[0,0]","[1,1]","[61979.2,57714.7]","[-0.187307,-1.35378]","[2.82916,1.97757]","[63069.7,119189]","[0.00514984,0.0454712]","[1,-1]","[13,13]","[1,1]","[0,0]","[-959.512,-137.28]","[0.0114343,0.0361841]","[1.85803,5.10372]",74998.4,-1.27603,8,"[179483,121894,101314,98915.3,36236.7,25589.5,25489.4,24402.9]","[-0.0558886,-0.115502,0.966583,0.158654,-0.638238,-1.12281,0.133363,0.0980901]","[1.7558,0.796259,-1.57179,-0.999589,-2.90493,-1.40056,-1.62263,-2.30267]","[180691,124091,152714,100932,44280.9,43709,26253,25166.8]","[0.991708,0.997635,0.995015,0.995809,0.990327,0.986065,0.99,0.986044]","[5,0,4,5,4,0,0,0]","[1,0,1,1,1,0,0,0]","[0.995451,-0.874955,0.155186,0.964873,-0.732239,-0.170125,-0.899882,-0.410207]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[594.648,383.619]",11068.7,"[5594.86,2145.08,4693.78,3907.45,2079.75,4053.96,2376.59,2494.96]","[]","[]","[]"
241,284500,68671,410219,0.077337,1,1,0.738662,1,0.991185,1,1,0.997967,0.974594,1,0,1,0,2,"[1,1]","[1,1]","[256842,114579]","[-0.582324,-0.360742]","[3.06859,2.57861]","[301634,122116]","[0.0131836,-0.00714111]","[1,-1]","[13,13]","[1,1]","[0,0]","[467.101,-831.313]","[0.0102971,0.0144446]","[1.24682,2.31165]",16157.4,0.0768522,6,"[347217,258833,139875,83753.4,57666.8,38433.8]","[0.732133,-0.64932,-0.127568,-1.23255,-2.40642,1.21846]","[-1.6346,0.873214,1.16815,0.681768,0.135506,-2.22294]","[445354,318926,141984,156961,322559,70918.6]","[0.996534,0.995472,0.990346,0.993653,0.990801,0.990386]","[4,0,4,5,0,0]","[1,0,1,1,0,0]","[-0.856995,-0.904134,-0.397472,0.978794,-0.595216,-0.90031]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3139.49,1225.41]",1713.65,"[3393.36,2996.37,2390.71,2095.28,3205.96,7656.99]","[]","[]","[]"
315,284500,99928,410219,-0.077619,1,1,1.22586,0.98413,0.996279,1,1,0.951362,0.99866,1,1,0,0,2,"[1,0]","[1,0]","[121699,22533.4]","[-0.956175,0.472564]","[2.22644,1.88952]","[181702,25096.9]","[-0.0248222,-0.0307922]","[-1,-1]","[11,13]","[1,1]","[0,2062.88]","[-1877.78,-688.891]","[0.00803141,-0.00804516]","[0.87745,1.02464]",15125.6,-2.57519,7,"[132502,119785,103724,66856.7,54650.1,21101.8,20387.2]","[0.255324,-0.448802,-0.232746,1.1906,-0.269484,0.180483,-0.0341546]","[-0.75979,-1.47737,1.44013,1.89524,-0.936882,-1.40071,-3.12583]","[138652,133197,106949,120291,56953,22091.7,20782.3]","[0.996992,0.995624,0.999752,0.996334,0.979881,0.604639,1]","[5,0,5,0,0,0,5]","[0,0,0,0,0,0,1]","[0.467784,-0.946537,0.999996,-0.802735,-0.755841,-0.804441,0.992925]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[873.527,112.467]",53141,"[11265.4,6293.43,5987.41,2173.83,2319.78,224.573,189.853]","[]","[]","[]"
515,284500,487833,410219,0.077847,1,1,0.351687,1,0.986838,1,1,0.913815,0.996049,1,0,1,0,2,"[1,1]","[1,0]","[176154,11704.7]","[-2.20451,-1.85361]","[0.529966,-3.09908]","[808208,38271.6]","[0.000778198,-0.21479]","[1,-1]","[13,13]","[1,1]","[0,2445.93]","[2861.07,77.9445]","[-0.00506241,0.0455095]","[0.931511,2.76549]",83209.4,-2.48788,5,"[129849,103375,91901.6,43746.2,38809.8]","[0.604645,0.796397,-0.675493,-0.476217,0.00362296]","[2.5248,-2.80337,-0.163686,1.33149,2.68137]","[155005,138489,114391,49343.6,39251.6]","[0.990309,0.758365,0.998325,0.99017,0.947139]","[5,15,0,0,5]","[1,1,0,0,1]","[-0.76448,0.596585,-0.700898,-0.889222,0.667478]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9219.57,41.6635]",8493.66,"[7807.64,3103.66,4702.12,3597.36,1614.64]","[]","[]","[]"
660,284500,280253,410219,0.077821,1,1,1.21412,0.93306,0.993802,1,1,1.03745,0.933885,1,0,1,0,2,"[1,1]","[1,0]","[83123.2,34987.6]","[-1.1234,-1.27428]","[1.75767,-3.08114]","[141329,67451.7]","[0.0415497,0.0129318]","[1,-1]","[13,11]","[1,1]","[0,0]","[174.903,-271.585]","[-0.00289868,-0.03356]","[0.464955,0.625724]",89726,2.19005,4,"[152628,120036,117534,26852.2]","[-1.33549,0.315556,-1.98034,-0.414278]","[-0.517859,2.42321,-1.34745,-1.44584]","[311000,127655,434006,29447.6]","[0.995834,0.993447,0.981587,0.977651]","[5,5,0,0]","[1,1,0,0]","[-0.612737,0.999883,-0.503299,-0.83363]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3403.82,53.8988]",8096.67,"[1618.81,2049.6,3966.74,4364.15]","[]","[]","[]"
697,284500,316811,410219,0.077712,1,1,0.553627,1,0.998113,1,1,1.0547,0.970733,1,0,1,0,2,"[1,1]","[1,0]","[70535.1,34877.1]","[-0.214889,1.41839]","[-0.0512398,-0.00384459]","[72170,76251.1]","[0.0706711,-0.047348]","[-1,1]","[13,13]","[1,1]","[0,0]","[1354.23,-151.692]","[0.0141091,0.00687332]","[1.82252,0.89157]",41900,0.374105,7,"[52202.3,47684.9,42904.6,42263.2,32117.4,29291.4,22554]","[1.65514,0.625209,0.831057,1.33087,1.23105,1.83342,1.10617]","[1.28767,-2.09773,2.6063,-0.48269,-2.52052,-2.87013,3.10378]","[141784,58187.6,59140.3,85804.6,60127.9,94286.1,38103]","[0.992165,0.997664,0.994921,1,0.729569,0.984199,0.865446]","[0,5,0,5,0,0,0]","[0,1,0,1,0,0,0]","[-0.781187,0.993239,-0.961442,0.827837,-0.557304,0.0537412,-0.380165]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1302.56,298.608]",9420.91,"[8318.27,1164.46,4662.21,3529.24,2145.65,3292.95,2003.32]","[]","[]","[]"
949,284500,505703,410219,-0.077872,1,1,1.26205,0.96899,0.996438,1,1,0.930963,0.9732,1,1,0,0,2,"[1,0]","[1,0]","[43662.3,7689.26]","[-0.0477375,-1.09829]","[-0.358252,-2.71721]","[43712,12812.5]","[-0.0629845,-0.0443249]","[-1,1]","[11,13]","[1,1]","[1030.2,0]","[-431.024,-112.201]","[0.00237977,-0.0293955]","[0.325923,1.35791]",74026.6,-0.327655,4,"[142732,73698,49818.4,20700.5]","[0.429378,-1.91393,1.35807,0.0566166]","[-1.5358,1.60729,-1.28652,-2.35691]","[156778,255501,103654,21028.4]","[0.988005,0.998288,0.996834,0.989762]","[5,0,5,0]","[1,0,1,0]","[0.67075,-0.88318,-0.117705,-0.853176]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[187.534,20.2273]",10680.5,"[9467.12,2392.51,1284.95,1138.02]","[]","[]","[]"
1277,284500,68789,410219,0.077337,1,1,0.738662,0.9823,0.995421,1,1,0.955534,1.00632,1,1,1,0,2,"[1,1]","[1,1]","[262214,80328.9]","[-0.462535,0.405822]","[-2.84165,1.79]","[290766,87034.9]","[-0.0457058,-0.0952253]","[1,1]","[13,11]","[1,1]","[0,1187.17]","[-1047.06,262.364]","[-0.00865137,-0.0096411]","[2.01556,1.15379]",17832.8,-1.1504,8,"[167462,96086.1,95013.8,64664.5,57550.8,32532.2,31115.4,27976]","[1.23335,0.738833,-0.909283,-2.24692,-1.94265,0.14406,-2.49106,0.465873]","[0.17477,-0.0926754,0.460766,0.143444,-2.57034,3.03659,0.915584,1.19987]","[312334,124177,137663,309403,205072,33296.5,189207,31737.3]","[1,0.991863,0.99797,0.982529,0.99,1,0.982262,0.998303]","[0,0,0,0,5,5,0,0]","[0,0,0,0,1,1,0,0]","[-0.933727,-0.846296,-0.427897,-0.929839,0.137344,0.979301,-0.677008,-0.88594]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9055.58,647.599]",9131.52,"[2884.64,6162.03,6999.13,3988.72,1214.56,1120.41,2321.31,4658.87]","[]","[]","[]"
1655,284500,272339,410219,0.077406,1,1,0.923924,0.97921,0.985409,1,1,1.0063,1.00192,1,1,0,0,2,"[1,1]","[1,1]","[65066.9,25567.6]","[-0.530718,-1.99364]","[2.49364,-1.26897]","[74447.4,95602.3]","[-0.0492973,-0.00530434]","[-1,1]","[11,13]","[1,1]","[0,0]","[-665.013,413.807]","[-0.00720017,0.00145061]","[0.681052,0.128935]",29356.8,-0.0516063,1,"[27118.6]","[0.380144]","[-1.07086]","[29634.6]","[0.990398]","[5]","[1]","[0.999082]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[214.63,148.574]",4672.93,"[2570.24]","[]","[]","[]"
1894,284500,505226,410219,-0.077872,1,1,0.923924,1,0.98963,1,1,1.04438,0.895514,1,0,1,0,2,"[0,0]","[1,1]","[170748,94875.1]","[0.504904,0.180585]","[-0.0151892,-0.32022]","[192979,96426.4]","[-0.00598907,0.0978603]","[1,-1]","[13,13]","[1,1]","[0,0]","[-84.5486,-410.059]","[-0.00930001,-0.00655984]","[1.36766,1.23971]",132393,2.56401,10,"[100844,57112.4,52039.3,48265.1,47672.2,42231.2,41650.9,33586.7,24505.8,23343.2]","[0.158926,-0.786437,-0.376667,-0.98143,1.00585,1.6204,1.57402,-2.45769,-0.564402,-2.22448]","[-2.94325,-2.83232,-2.26831,-0.201037,-0.307731,2.00428,-1.74381,2.89012,0.599334,-0.160305]","[103863,76116.7,56371.5,73749.8,74021.4,111007,104996,197639,28765.7,109339]","[0.993027,0.991697,0.985013,0.981155,0.992771,0.996282,0.99933,0.983732,0.990205,0.996199]","[5,0,0,0,0,5,0,0,0,0]","[1,0,0,0,0,1,0,0,0,0]","[0.974299,-0.614772,0.618484,-0.854224,0.382491,0.994216,-0.584068,-0.924066,-0.612961,-0.792944]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[16810,1269.95]",11064.3,"[3239.78,2081.77,3498.51,3921.06,4316.13,6373.51,3785.64,3041.36,2083.51,1944.88]","[]","[]","[]"
