event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
29,284500,4027,392223,1,0.0301334,15476.3,0.696077,0.98697,0.984493,1,1,0.999006,1.00582,1,1,1,0,2,"[1,1]","[1,1]","[323774,66890.2]","[-0.515753,1.95757]","[-1.32547,1.14036]","[367800,241584]","[0.0323563,0.00920486]","[1,-1]","[11,13]","[1,1]","[0,0]","[491.65,-1129.17]","[-0.0154677,0.0299725]","[2.65047,3.46639]",223692,1.77522,1,"[40662.1]","[-2.48844]","[-3.09522]","[246593]","[0]","[0]","[0]","[-0.595524]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[334077]","[-0.540163]","[-1.32739]","[384021]","[2776.82]","[1]","[18.0541]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3824.2,514.423]",8890.92,"[2481.16]","[]","[6716.78]","[]"
43,284500,4478,392223,1,0.0301334,15476.3,0.75088,0.940475,1,1,1,0.997092,0.99695,1,1,0,0,2,"[1,1]","[1,1]","[185178,64658.5]","[-1.53838,-1.74222]","[0.908022,0.231597]","[451073,190263]","[-0.00946808,-0.0638809]","[-1,1]","[11,11]","[1,1]","[0,2894.18]","[-1106.88,1184.62]","[0.0158014,0.00202453]","[1.33607,0.0930059]",296703,-2.30188,3,"[53592.9,34209.3,30367]","[-0.604181,-0.693515,-0.947704]","[0.48556,2.2616,-0.288001]","[64017.1,42943.7,45320.2]","[0.960247,0.949692,0.99025]","[15,0,0]","[1,0,0]","[-0.970449,-0.912376,-0.663889]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[286179]","[-1.61832]","[0.740451]","[757764]","[106837]","[1]","[0.243969]","[0.424667]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3590.53,434.156]",6958.88,"[4991.82,4563.94,3699.89]","[]","[24679.6]","[]"
55,284500,4757,392223,1.03629,0.0301334,15476.3,1.25133,0.965323,1,1,1,0.999457,0.99866,1,1,0,0,2,"[1,1]","[1,1]","[197809,144605]","[-0.903156,-0.93481]","[-2.95274,2.78185]","[284119,212526]","[0.0187759,-0.0337982]","[1,-1]","[11,11]","[1,1]","[0,0]","[-217.236,-1824.58]","[0.0112542,3.44289e-05]","[1.53538,0.00482619]",409411,0.948072,2,"[295829,87819]","[0.380793,1.35583]","[-1.44407,-1.47683]","[318503,181941]","[0.980355,0.993763]","[0,0]","[0,0]","[-0.972773,-0.93449]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[371260,355311]","[0.642331,-0.93617]","[-1.4503,3.09434]","[479878,532696]","[165275,102608]","[0,1]","[1.02855,0.0153609]","[0.709254,0.513578]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1650.95,1141.89]",3575.47,"[4312.88,3088.12]","[]","[6013.97,7331.09]","[]"
66,284500,4463,392223,1,0.0301334,15476.3,0.75088,0.939985,1,1,1,1,1.00582,1,1,0,0,3,"[1,1,1]","[1,1,1]","[345494,275851,36713.4]","[-0.467753,-1.0799,-0.146947]","[-0.586483,2.83235,0.140898]","[383984,452948,37110.5]","[0.0703239,0.0194817,-0.018095]","[-1,-1,1]","[11,11,11]","[1,1,1]","[1349.95,0,0]","[-2689.94,3051.38,567.078]","[-0.0229705,0.0191643,-0.0230069]","[4.13184,2.75412,2.66126]",126881,2.08309,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[398515,298103]","[-0.43541,-1.07095]","[-0.512034,2.82624]","[447954,486045]","[98941.2,3452.59]","[1,1]","[0.104438,4.1795]","[0.0472938,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4765.04,3905.13,55.9348]",0,"[]","[]","[1862.34,6424.12]","[]"
79,284500,1195,392223,1,0.0301334,15476.3,0.596562,0.97411,0.993249,1,1,0.999537,1.00582,1,1,0,0,3,"[0,0,1]","[1,1,0]","[252187,243560,24252.1]","[-0.220464,-0.203302,0.640443]","[-2.37588,-2.13024,-2.03345]","[258340,248611,29398.3]","[-0.034996,-0.0665207,0.0508575]","[-1,1,1]","[11,11,13]","[1,1,1]","[150818,164378,0]","[418.729,268.447,894.775]","[0.0766745,0.0964803,0.0437912]","[10.5358,10.5706,3.56792]",571628,1.0788,2,"[78472.3,21451.1]","[-2.42705,-0.977683]","[-1.18807,-2.81461]","[448100,32901.5]","[0.972365,0.639601]","[0,0]","[0,0]","[-0.592886,-0.806431]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[495687]","[-0.259046]","[-2.25713]","[516650]","[66044.7]","[1]","[0.00881206]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1519.39,1621.4,213.305]",12759.1,"[4875.33,1159.87]","[]","[8033.62]","[]"
82,284500,1424,392223,1,0.0301334,15476.3,1.74563,0.968512,0.996341,1,1,0.996886,0.931835,1,0,1,0,3,"[1,1,1]","[0,1,1]","[129400,119942,52821.9]","[-0.789427,-0.996603,1.17391]","[-1.0948,-1.79837,-2.45705]","[171859,184602,93594.2]","[0.0607643,0.0566483,0.0175667]","[1,-1,1]","[11,11,13]","[1,1,1]","[0,0,0]","[1786.8,123.08,-466.835]","[-0.0193045,-0.0184327,-0.00760195]","[0.628185,2.28363,1.04604]",302595,1.4625,2,"[23101.1,22186]","[2.27995,-2.33095]","[-1.58304,-2.85338]","[114203,115267]","[0.979763,1]","[0,0]","[0,0]","[-0.621318,-0.52815]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[259667]","[-0.964836]","[-1.44618]","[396832]","[72239.1]","[1]","[0.0257569]","[0.401308]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[972.56,1411.35,453.694]",21586.4,"[1716.37,1696.95]","[]","[6701.22]","[]"
94,284500,756,392223,1.21602,0.0301334,15476.3,0.738662,0.954805,1,1,1,0.998376,1.00632,1,1,0,0,2,"[1,1]","[1,1]","[370429,45790.8]","[0.142183,0.475617]","[1.62752,0.894654]","[374180,51068.4]","[-0.0362892,-0.0928078]","[1,1]","[11,11]","[1,1]","[0,0]","[564.793,1712.18]","[0.0182661,0.0169678]","[2.74212,1.28223]",364562,-1.8222,3,"[145269,58047.6,31777.3]","[1.73092,-0.184025,-2.34807]","[-0.73862,2.28339,-0.588691]","[424082,59183.1,167892]","[0.995057,0.987374,0.909187]","[0,0,0]","[0,0,0]","[-0.645774,-0.978902,0.217707]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[458103]","[0.126309]","[1.61862]","[491879]","[169471]","[1]","[2.60796]","[0.0265243]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2577.31,83.406]",10758.2,"[2811.53,4786.25,2111.88]","[]","[40618.3]","[]"
99,284500,1772,392223,1,0.0301334,15476.3,1.24168,0.956639,0.999805,1,1,0.999524,0.98743,1,1,0,0,3,"[1,1,1]","[1,1,0]","[481675,78191.3,24656.2]","[-0.0111069,-0.536528,-0.700978]","[1.53796,1.95732,2.30664]","[481705,89718.1,30966.2]","[0.0278244,0.0349274,-0.0578842]","[-1,1,-1]","[11,11,13]","[1,1,1]","[0,0,0]","[3919.91,-512.075,-315.877]","[-0.0153121,-0.0193808,-0.0137302]","[2.32122,1.94174,1.4562]",550460,-1.54524,1,"[23008.2]","[0.395496]","[-1.20943]","[25329.2]","[1]","[0]","[0]","[-0.476981]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[572455]","[-0.113612]","[1.59092]","[593750]","[143479]","[1]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3212.68,289.858,76.7893]",958.312,"[1960.11]","[]","[481.625]","[]"
100,284500,1801,392223,1.22096,0.0301334,15476.3,1.24168,1.00103,0.995437,1,1,0.99787,1.00582,1,1,0,0,3,"[1,1,1]","[1,0,0]","[536548,104947,9284.23]","[-0.153576,-0.576586,-0.752902]","[1.40207,-0.518296,2.7099]","[542888,122880,12042.3]","[7.43866e-05,0.0175638,-0.0045166]","[-1,1,1]","[11,13,11]","[1,1,1]","[0,0,4092.63]","[612.617,4212.98,3103.87]","[-0.0337061,0.0150246,-0.0165444]","[3.36967,2.60333,0.768925]",348463,-2.20434,3,"[128237,82892.9,29568.3]","[-1.04556,0.468851,1.97209]","[-0.804428,-1.92714,-2.20982]","[205562,92767.9,108470]","[0.983623,0.990395,0.888839]","[0,0,0]","[0,0,0]","[-0.906356,-0.723396,-0.639809]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[550852]","[-0.151137]","[1.40707]","[557155]","[-0.0111773]","[1]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8373.12,1744.57,127.707]",3063.22,"[3340.15,2673.73,5525.62]","[]","[7198.81]","[]"
121,284500,1863,392223,1,0.0301334,15476.3,1.24168,0.969317,0.993888,1,1,1,1.00632,1,1,1,0,3,"[1,1,1]","[1,1,1]","[280715,138419,120628]","[0.493659,-0.0734411,0.71727]","[-3.02251,0.295619,2.84765]","[315620,138792,153011]","[0.00684357,-0.00943375,0.043354]","[1,1,-1]","[11,13,11]","[1,1,1]","[0,0,0]","[-371.525,-485.605,-1136.29]","[0.00494779,-0.00561912,-0.00013344]","[0.869846,0.782276,0.0153777]",266827,-0.134136,0,"[]","[]","[]","[]","[]","[]","[]","[]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[418054]","[0.562059]","[3.14014]","[494812]","[93771.2]","[1]","[0.00751515]","[0.488044]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1500.68,625.02,573.269]",0,"[]","[]","[25278.4]","[]"
