event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
92,284500,12625,370114,1,0.057037,101591,0.696077,1,0.997389,1,1,1.07369,0.988764,1,0,1,0,1,"[1]","[1]","[56511.5]","[-1.20055]","[2.88406]","[102370]","[0.019928]","[-1]","[13]","[1]","[0]","[-1843.93]","[-0.00063456]","[0.0848021]",398662,-1.21427,9,"[338252,308345,257892,154533,94092.7,52124.3,38561,23559.5,21633.6]","[-0.0520019,-0.612011,0.876587,0.0379088,0.879606,0.0979529,-0.622114,0.932789,-0.183012]","[1.23059,1.45165,-2.81165,-2.38184,-0.130462,-1.45597,0.903187,-1.33139,-1.90988]","[340232,372873,364258,155758,133385,52893.3,46516.3,35100.3,22223.5]","[0.981491,0.997574,0.9993,0.998023,0.997168,0.994716,0.99,0.999864,0.960906]","[0,5,5,5,0,0,0,0,0]","[0,1,1,1,0,0,0,0,0]","[-0.902689,0.266702,0.999767,0.999945,-0.894211,-0.471228,-0.611946,-0.898423,-0.793977]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[543662,275646]","[-0.318558,0.902724]","[1.33599,-2.81052]","[599752,396363]","[181963,21163.1]","[1,1]","[0.985869,1.80584]","[0.744798,0.708793]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[266.201]",2460.03,"[9613.8,9943.89,4584.36,3347.2,2232.4,2811.31,3645.06,2565.49,1668.6]","[]","[65018.8,7206.66]","[]"
135,284500,13997,370114,1,0.057037,101591,1.25133,1,0.997207,1,1,1.26677,0.878328,1,0,1,0,1,"[1]","[1]","[122982]","[-0.86201]","[-1.47524]","[171574]","[-0.0170097]","[1]","[13]","[1]","[0]","[-105.22]","[-0.00660987]","[1.19698]",115192,-0.189963,13,"[333853,264600,178217,153137,152938,107981,83107.5,71359.6,66206.4,63579.3,35605.5,24129.3,21582.1]","[0.802258,-0.453528,0.00548012,0.219706,-0.356445,-0.472646,0.210098,0.627539,2.15605,-0.000555425,-0.480335,-1.49176,0.233947]","[2.25229,-0.381694,2.5715,-2.93588,0.459832,-0.957931,1.88807,2.95576,-1.20226,-1.58154,1.98653,-2.89157,-1.10777]","[448646,295813,180901,159192,163459,121152,85753.4,86165.8,289855,64798.7,40127.9,56491.3,22454.7]","[0.962083,0.98,0.980774,0.986194,0.993,0.98128,0.979187,0.985778,0.95374,0.999683,0.986029,0.908622,0.992828]","[5,5,4,5,0,5,0,0,0,0,0,0,0]","[1,1,1,1,0,1,0,0,0,0,0,0,0]","[0.235287,-0.678367,-0.863724,0.981393,-0.972489,0.909458,-0.819432,-0.797091,-0.69743,-0.856565,-0.864035,-0.752961,-0.837964]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[631507,343755]","[0.545965,-0.492886]","[2.48205,-0.542411]","[822902,401400]","[383669,108839]","[1,1]","[1.28272,1.23292]","[0.598783,0.59903]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[615.229]",8838.85,"[4315.57,2629.51,3016.31,5992.22,2320.53,6180.89,2316.3,2347.36,4880.12,3464.26,2907.58,2409.27,1999]","[]","[8136.38,15953.7]","[]"
712,284500,27495,370114,1.18689,0.057037,101591,0.75088,0.97994,1,1,1,1.03234,1.00632,1,1,0,0,1,"[1]","[1]","[183014]","[0.164188]","[-1.62484]","[185487]","[0.0995598]","[-1]","[11]","[1]","[0]","[-959.868]","[-0.0172743]","[2.48936]",702682,2.68317,15,"[902118,787074,210840,199500,188556,186221,179010,124407,114769,54877.2,48593.5,41984.2,40967.1,40674.1,24873.9]","[1.10321,-1.6948,1.64948,-0.634393,-0.611911,-1.57981,-0.0402549,0.865967,-1.0121,-0.378614,2.21357,-0.058182,1.5302,0.0415099,-1.63925]","[-1.31566,0.991652,-2.05221,1.53599,1.09758,-1.7936,1.57045,-1.93571,0.210553,0.624027,-2.03328,-3.00015,-1.6396,2.09732,1.57207]","[1.51262e+06,2.21661e+06,569804,241247,225679,471652,180058,175321,179199,59878.2,225035,42900.2,99240.7,40928.1,66692]","[1,0.98,0.992204,0.997906,0.963668,0.996237,1,0.994798,0.983756,0.97572,0.9902,0.993813,0.98,0.995548,0.945422]","[0,5,4,0,0,0,5,5,0,5,0,0,0,0,0]","[0,1,1,0,0,0,1,1,0,1,0,0,0,0,0]","[-0.768808,-0.717012,-0.937711,-0.850964,-0.904465,-0.921938,0.999972,0.871053,-0.690596,0.998899,-0.812706,-0.92486,-0.609688,-0.729501,-0.827918]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[1.04776e+06,766867,566036]","[1.23009,-1.67985,-0.439659]","[-1.45107,1.00102,1.44074]","[1.99254e+06,2.12931e+06,663439]","[429962,59001,231792]","[1,1,1]","[1.62199,2.88984,1.2537]","[0.57963,0.67052,0.289963]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1269.99]",23924.2,"[26658.5,14231,5567.72,8985.24,5956.28,5181.52,3520.09,4685.74,5192.63,2413.84,3533.99,2574.47,2950.17,2296.15,1767.22]","[]","[75474.5,33616.1,26149.1]","[]"
908,284500,30971,370114,1,0.057037,101591,0.619412,1,0.998852,1,1,1.1549,1.10885,1,0,1,0,1,"[1]","[1]","[51675.5]","[-0.951604]","[-0.0981112]","[76892.7]","[-0.00163269]","[1]","[13]","[1]","[0]","[-1220.03]","[-0.0127691]","[1.76979]",648729,0.355426,8,"[638022,331041,237570,166270,145477,54653,46142.2,22028.8]","[-0.559911,0.2401,0.207104,-0.276007,0.509782,-0.337223,0.47711,-1.11456]","[-3.1153,-1.17496,2.11212,-2.59664,-0.568365,1.69516,0.97305,-2.61565]","[745935,342761,244690,173383,165362,58275.2,51974.6,37515.6]","[0.989318,0.996204,0.99,0.991702,0.990794,0.99,0.991993,0.852695]","[4,0,5,5,5,0,0,0]","[1,0,1,1,1,0,0,0]","[-0.773467,-0.609513,-0.544904,0.772324,0.954474,-0.804977,-0.772954,-0.897447]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[746895,444168,304606]","[-0.552492,0.307918,0.28256]","[-3.00718,-0.984302,2.05161]","[889162,490437,337870]","[210774,154722,117320]","[1,1,1]","[1.42947,0.91281,1.91689]","[0.521501,0.589136,0.527425]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[278.464]",38807.1,"[23730.7,4936.37,3615.33,2481.7,4421.35,4566.59,3686.14,1620.35]","[]","[28442,6893.09,12675.8]","[]"
1069,284500,34714,370114,1,0.057037,101591,1.1961,0.9823,0.992824,1,1,0.831612,1.00632,1,1,1,0,2,"[1,1]","[1,1]","[146384,136277]","[0.907209,0.400205]","[-0.338514,-0.737947]","[210869,147337]","[0.0137634,0.0350685]","[-1,1]","[13,11]","[0,1]","[0,2842.41]","[-293.751,516.717]","[0.00200644,-0.000832333]","[0.447948,0.0948472]",409140,2.50974,8,"[254387,202322,109920,70861.1,66246.6,44522.9,26982.9,24313.8]","[-0.280383,0.908957,1.0532,1.32762,-0.111224,1.51041,2.44461,-0.21649]","[-1.35337,1.99417,-1.2626,1.52295,-0.49663,0.0692467,1.74703,2.60638]","[266045,292232,177020,143468,67377.9,106078,156714,25346.3]","[1,1,0.996801,0.998247,0.98,0.991959,0.966053,0.958514]","[0,4,0,4,5,5,5,0]","[0,1,0,1,1,1,1,0]","[-0.88148,-0.0613597,-0.935377,-0.594612,0.533217,-0.369983,-0.592365,-0.0449201]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[417423,281389]","[-0.0581123,1.0167]","[-1.06194,1.88824]","[471234,448726]","[217326,89117.9]","[1,1]","[0.872056,1.22322]","[0.538093,0.704226]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[941.046,1458.28]",26907.7,"[5799.59,4325.74,3358.44,1419.72,1143.68,7065.55,1938.08,2374.89]","[]","[8098.97,16167.6]","[]"
1457,284500,14613,370114,1,0.057037,101591,1.26459,1,0.995009,1,1,1.15654,0.820392,1,0,1,0,1,"[1]","[1]","[81872.9]","[0.318077]","[-1.75466]","[86049.7]","[0.000808716]","[1]","[13]","[1]","[2179.26]","[-711.022]","[0.00533621]","[1.03997]",286731,-1.87522,7,"[225554,217469,172374,129115,106157,69408.2,53150.8]","[-0.612535,-0.641686,-0.337828,-0.105707,-1.81813,-0.772878,-1.31725]","[1.12519,2.48005,0.687089,-1.77802,0.907476,-1.38954,1.39682]","[272762,264385,185638,130371,335937,91945.2,106644]","[1,0.998538,1,0.996141,0.992424,0.995061,0.999588]","[5,5,0,5,0,0,5]","[1,1,0,1,0,0,1]","[0.736355,-0.397738,-0.860008,0.999995,-0.906032,-0.944105,0.6301]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[396730]","[-0.645174]","[0.957552]","[516391]","[184769]","[1]","[1.43832]","[0.785621]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2519.28]",12374,"[9711.25,2890.3,2129.41,2719.63,4287.93,4588.74,4914.52]","[]","[189.156]","[]"
1471,284500,14093,370114,1,0.057037,101591,1.26459,1,0.997425,1,1,0.862614,0.87682,1,0,1,0,1,"[0]","[1]","[113888]","[-1.09956]","[0.577698]","[189958]","[-0.0714226]","[-1]","[13]","[1]","[0]","[2525.31]","[-0.0528061]","[10.4512]",159312,0.175859,10,"[499131,359816,295431,94509.3,90973.4,88293.1,50730.1,49577,33931.3,22256.1]","[0.27876,0.304331,-1.33994,2.10955,-0.894181,0.802707,-1.74018,-2.14749,-1.95336,-2.18552]","[-1.94438,2.07579,0.942261,-2.02691,-0.16182,-2.26003,-1.43942,1.91642,-2.2772,-3.10771]","[526551,379593,603007,395430,130327,118548,149039,215369,122104,100304]","[0.999376,0.999005,0.98938,0.999193,0.994381,0.997953,0.99932,0.984951,0.98,1]","[5,5,5,0,5,0,0,0,0,0]","[1,1,1,0,1,0,0,0,0,0]","[0.972015,0.997314,0.998381,-0.875106,0.91103,-0.64444,-0.933095,-0.0734539,-0.953582,-0.874702]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[566192,357584,289249]","[0.389076,0.318037,-1.32814]","[-1.99161,2.07795,0.944001]","[630852,378904,584328]","[162400,48232.3,14938.1]","[1,1,1]","[1.434,1.20762,1.53777]","[0.343705,0.525554,0.162877]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3216.57]",18020.8,"[5112.25,3472.45,30307.5,4143.93,2074.99,6248.36,3062.72,3864,2175.14,1746.97]","[]","[14981.8,8361.44,15187.5]","[]"
1811,284500,23817,370114,1,0.057037,101591,1.32095,0.97994,1,1,1,0.941531,1.00632,1,1,0,0,1,"[1]","[1]","[572180]","[0.237897]","[-0.42864]","[588447]","[-0.155174]","[1]","[11]","[1]","[30281]","[4626.58]","[0.0228001]","[4.22276]",162280,3.07954,9,"[429222,206646,116322,68693.4,68584,38413.5,24686.2,24611.9,21721.7]","[1.06142,0.380854,0.379547,1.23428,0.864138,1.8907,-0.687607,1.54958,-0.719678]","[2.17213,3.13327,-0.970976,-3.1247,0.748378,-1.50774,-1.06872,2.43025,2.81743]","[696259,222295,125186,128335,96102.4,130198,31185.2,60868.4,28103.9]","[1,0.998193,0.995501,0.976389,0.99,0.998443,0.956704,0.98158,0.941344]","[5,0,0,4,5,0,5,0,0]","[1,0,0,1,1,0,1,0,0]","[0.944861,-0.736104,-0.718133,-0.741146,0.996621,-0.447143,0.841447,0.165665,-0.912857]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[816470,460056]","[0.226478,1.10119]","[-0.538922,2.29989]","[854778,785915]","[171000,165248]","[1,1]","[1.08194,1.39325]","[0.432414,0.684008]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[9796.47]",19847.2,"[4955.61,3302.11,10664.1,2096.7,6828.09,2109.55,2124.18,2025.29,1620.89]","[]","[90718.8,5048.47]","[]"
2160,284500,30735,370114,1,0.057037,101591,0.738662,0.948084,1,1,1,1.05983,0.9918,1,1,0,0,2,"[1,1]","[1,1]","[95385.3,47297.8]","[-0.700412,0.144564]","[-0.85749,2.28476]","[119754,47792.9]","[0.0254135,0.00393677]","[-1,-1]","[11,11]","[1,1]","[0,7368.76]","[-927.129,3638.88]","[0.0154259,0.00158708]","[1.98171,0.163033]",250289,2.64972,9,"[277694,242143,231596,77854.5,73422.7,63943,50135.8,25409.5,24295.7]","[-0.379278,-1.4108,0.709718,0.000910549,-0.517261,1.06981,-0.526582,1.04228,-2.11767]","[-2.76109,-0.195556,0.346062,-0.183766,-2.3049,1.20322,2.95855,-0.270114,-2.94448]","[300433,526919,293130,78330.6,84035.9,104368,57976.3,40769,102562]","[0.996578,0.995746,0.996617,0.998672,0.99,0.999741,0.987001,0.962886,0.953938]","[5,5,5,0,0,4,5,0,0]","[1,1,1,0,0,1,1,0,0]","[-0.495931,0.986498,0.99926,-0.278138,-0.768147,-0.959851,0.97536,-0.534073,0.724492]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[359554,302010,299327]","[-0.489262,0.512232,-1.2981]","[-2.72732,0.210525,-0.407856]","[417137,364293,608601]","[105963,124096,153277]","[1,1,1]","[1.61593,0.99338,0.729658]","[0.659336,0.711676,0.467866]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[685.932,94.2304]",7086.7,"[4531.74,6531.92,2279.54,5556.84,4015.38,3788.23,6663.16,1834.25,1692.27]","[]","[13713.6,572.906,11034.4]","[]"
2286,284500,33099,370114,1,0.057037,101591,1.21412,1,0.985137,1,1,1.06025,0.851197,1,0,1,0,2,"[1,0]","[1,1]","[125893,44249.9]","[1.63734,0.0957233]","[1.7962,2.02984]","[335882,44452.9]","[0.00837708,0.161049]","[1,1]","[13,13]","[1,1]","[0,1904.28]","[774.498,-597.844]","[-0.0100318,-0.027058]","[1.74388,4.50407]",358429,-2.49114,9,"[589015,483180,183225,129847,73653.1,61882.8,56345,50643.4,33260.8]","[-0.0155559,0.17269,1.02102,-0.36253,-1.318,0.674764,-1.80373,-0.681177,-0.0898694]","[0.470416,-1.9547,1.65802,2.15112,-2.13664,-1.44138,1.27051,0.164725,0.926212]","[593330,494974,287870,139820,147592,77284.6,175890,63065.5,33645.8]","[0.994988,0.998092,0.997075,0.98362,0.993975,0.997585,0.896273,0.997728,0.875494]","[0,5,5,5,0,0,0,5,4]","[0,1,1,1,0,0,0,1,1]","[-0.577625,-0.695023,0.991603,0.757167,-0.91114,-0.873256,-0.798593,0.990638,0.396777]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[658694,528096]","[-0.0523814,0.252305]","[0.467833,-1.90846]","[680822,562015]","[168670,137265]","[1,1]","[2.39983,1.8023]","[0.49702,0.471055]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1852.2,113.342]",17962.6,"[9616.89,12038.2,2336.08,5566.13,2423.85,3965.62,2621.49,1360.99,1897.63]","[]","[26650.4,48449]","[]"
