event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,128,387163,1,0.15518,71506.9,0.187531,0.97097,1,1,1,0.971631,0.99737,1,1,0,0,1,"[1]","[1]","[37100.6]","[0.0927184]","[-1.71718]","[37260.2]","[0.0116043]","[-1]","[11]","[1]","[0]","[17.5272]","[-0.0125422]","[1.53209]",275204,2.32197,3,"[187947,139331,26005]","[-0.66652,-0.468387,1.94233]","[-1.19381,-0.369286,1.21907]","[231529,155218,92742.6]","[0.997254,0.995185,0.999211]","[5,0,0]","[1,0,0]","[0.986089,-0.788822,-0.826246]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[344108]","[-0.573613]","[-0.979504]","[462424]","[228034]","[1]","[1.26784]","[0.36776]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[59.23]",36993.1,"[6500.4,5353.21,2422.61]","[]","[17379.4]","[]"
3,284500,581,387163,1,0.15518,71506.9,0.619412,0.97738,1.00077,1,1,0.940658,1.00056,1,1,1,0,2,"[1,1]","[1,1]","[65800.5,49906]","[0.178539,1.30308]","[-0.732975,-0.0162024]","[66852,98622.2]","[0.120819,-0.0241222]","[1,-1]","[11,13]","[1,1]","[0,2401.56]","[440.477,-1083.88]","[-0.00795294,-0.0166645]","[0.792546,2.28432]",272973,2.0523,5,"[204553,187665,117825,35719.5,25102.9]","[0.515476,1.49008,0.427822,-0.815224,2.18664]","[-1.40147,-0.416758,2.12666,0.376451,-1.09656]","[234139,437950,130500,48575,113332]","[0.997071,0.997936,0.98951,0.994369,0.994366]","[5,5,0,0,0]","[1,1,0,0,0]","[0.994027,0.99999,-0.633508,-0.286623,-0.701928]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[281760]","[0.434871]","[-1.24098]","[326594]","[106260]","[1]","[0.983337]","[0.299826]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[540.481,580.264]",2013.25,"[3743.76,12526.1,3098.07,4567.96,1921.81]","[]","[26925.5]","[]"
12,284500,451,387163,1.15534,0.15518,71506.9,0.619412,0.99093,1,1,1,0.935113,1.00306,1,1,0,0,1,"[1]","[1]","[120485]","[1.06924]","[-3.01711]","[196175]","[0.0251923]","[1]","[11]","[1]","[0]","[160.804]","[0.0124904]","[1.20831]",621355,-0.140885,5,"[321315,180950,143451,32999.7,20352.9]","[0.494808,-0.368337,-0.128038,-0.80867,0.10084]","[-2.87175,1.51667,2.92947,-2.3974,-2.16903]","[362520,194089,145010,45005.8,20873.4]","[0.984005,1,0.54117,0.992325,0.996377]","[5,4,0,0,0]","[1,1,0,0,0]","[0.96539,0.195022,-0.866445,-0.907826,-0.939795]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[552383]","[0.586554]","[-3.01358]","[695149]","[246012]","[1]","[1.25876]","[0.159999]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[777.236]",230.688,"[5696.91,10697.1,4508.32,6587.31,1188.23]","[]","[11958.6]","[]"
24,284500,1059,387163,1,0.15518,71506.9,0.402058,0.98413,1,1,1,1.12199,0.99866,1,1,0,0,1,"[1]","[1]","[138318]","[-0.897564]","[0.695945]","[197877]","[-0.0284615]","[1]","[11]","[1]","[0]","[534.301]","[-0.0194888]","[1.21806]",506276,-3.01591,5,"[332865,101618,38707.6,36315.7,29984.7]","[-0.972201,-0.210465,-0.174236,2.31976,1.83179]","[0.27103,-1.65047,-0.376379,-1.05447,0.833746]","[503260,104009,39732.1,186610,96046]","[0.998829,1,1,1,0.990329]","[5,0,0,5,5]","[1,0,0,0,0]","[-0.289787,-0.84454,-0.888667,0.983505,0.766505]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[497017]","[-0.972445]","[0.40221]","[758202]","[103303]","[1]","[0.407908]","[0.419329]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1380.35]",1923.09,"[5160.5,2273.45,1976.17,1786.16,8240.59]","[]","[4616.19]","[]"
27,284500,718,387163,1,0.15518,71506.9,0.738662,0.99242,1,1,1,1.13749,0.99765,1,1,0,0,1,"[1]","[1]","[171566]","[0.636141]","[-1.34837]","[207466]","[-0.0643158]","[-1]","[11]","[1]","[0]","[-67.1416]","[-0.00500326]","[0.468568]",137041,-3.0739,5,"[353613,115688,95071.6,92257.7,48830.2]","[-0.15353,-0.266411,-1.15131,0.0329835,-0.891474]","[1.5534,-1.40789,-1.37235,-0.344804,1.6014]","[359864,120137,166067,92632.1,70128.2]","[1,1,1,0.996945,1]","[5,5,0,0,0]","[1,1,0,0,0]","[0.565123,0.927095,-0.634571,-0.921491,-0.739443]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[386334,299981]","[-0.225512,0.292872]","[1.57344,-1.36793]","[408458,345649]","[99317.2,146775]","[1,1]","[2.37831,0.271405]","[0.279949,0.590346]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2247.98]",10570.9,"[4782.33,4464.03,4017.24,2179.65,5347.32]","[]","[16324.2,19039.3]","[]"
29,284500,1010,387163,1,0.15518,71506.9,0.00220911,0.96126,1,1,1,0.912582,0.96978,1,1,0,0,1,"[1]","[1]","[27865.8]","[0.51247]","[-0.468243]","[31605.7]","[-0.0277081]","[-1]","[11]","[1]","[0]","[1459.65]","[0.0943889]","[1.68469]",303239,1.72574,5,"[229270,168226,104751,23738.7,21033.6]","[-0.864707,-0.478346,1.60369,-0.327057,-0.856533]","[-1.59533,-2.01028,1.06555,0.255032,-0.430433]","[322388,187844,271215,25112.1,29331]","[1,0.988183,0.981046,0.99,0.995343]","[5,0,5,0,0]","[1,0,1,0,0]","[0.975357,-0.917915,-0.602119,0.270594,-0.811219]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[376757]","[-0.712821]","[-1.77873]","[491042]","[118223]","[1]","[0.881674]","[0.408693]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[62.5691]",3131.97,"[9705.09,3033.1,2048.13,1895.83,1296.38]","[]","[7390.94]","[]"
30,284500,1175,387163,1,0.15518,71506.9,0.596562,1,0.99908,1,1,1.04605,0.836859,1,0,1,0,1,"[0]","[1]","[62034.9]","[-0.750083]","[-3.01002]","[80319.8]","[-0.0410147]","[1]","[13]","[1]","[0]","[-95.3622]","[0.000842069]","[0.138094]",232865,1.66863,4,"[113988,96797.7,89788.7,74846.9]","[-0.849908,0.149891,-0.254113,-1.1908]","[-0.586059,-1.16265,-0.767979,2.66398]","[158022,98159.1,93033.3,134584]","[1,1,0.988815,0.99]","[0,5,0,5]","[0,1,0,1]","[0.264855,0.999311,-0.927494,0.997043]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258738]","[-0.381273]","[-0.834116]","[317747]","[154289]","[1]","[1.00234]","[0.230297]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[454.311]",526.203,"[2310.06,1915.7,3409.9,3999.69]","[]","[0]","[]"
32,284500,1892,387163,1,0.15518,71506.9,1.24168,0.97949,1,1,1,1.14655,0.99672,1,1,0,0,1,"[1]","[1]","[72718]","[0.802016]","[0.421677]","[97386]","[0.000178576]","[1]","[11]","[1]","[0]","[-240.945]","[0.0129973]","[1.05742]",398920,-0.322856,4,"[378653,37744.6,27669,22735.8]","[-0.298838,0.716196,0.333859,-0.856596]","[2.97811,-2.62467,2.71749,1.79408]","[400131,48163.7,29748,31708.3]","[0.992891,0.99457,0.956833,1]","[5,5,0,0]","[1,1,0,0]","[0.262037,0.984817,-0.886496,-0.804259]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[363065]","[-0.300604]","[2.98491]","[385855]","[69234.7]","[1]","[1.81332]","[0.581468]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[474.739]",11891.2,"[15872.8,1432.38,3489.9,2121.18]","[]","[20056.1]","[]"
45,284500,3873,387163,1,0.15518,71506.9,1.32095,1,0.994307,1,1,1.05034,0.94949,1,0,1,0,1,"[1]","[1]","[52523.1]","[0.587222]","[1.04096]","[61842.2]","[-0.0263882]","[-1]","[13]","[1]","[0]","[-531.955]","[-0.0290713]","[3.77512]",367045,-1.37559,6,"[160627,92426.3,83112.4,42242.8,25235.2,22468.6]","[1.84921,1.98393,1.72955,0.269897,1.39235,-0.415332]","[1.88108,2.34837,2.72961,0.322915,3.12523,-2.83058]","[523437,342563,241915,44284.4,54214.1,24779.5]","[0.890236,0.996629,0.980672,0.999289,0.99145,0.971027]","[0,0,5,5,0,0]","[0,0,1,1,0,0]","[0.0498006,-0.802935,0.969231,0.999853,-0.901314,-0.680626]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[285441]","[1.9244]","[2.18959]","[1.0046e+06]","[109571]","[1]","[1.16023]","[0.473172]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[350.935]",31671.8,"[3857.14,9447.41,1446.58,2630.52,4853.32,2300.46]","[]","[1433.94]","[]"
55,284500,2613,387163,1,0.15518,71506.9,0.923924,0.99211,1,1,1,1.06622,0.9918,1,1,0,0,1,"[1]","[1]","[325993]","[-0.801441]","[-1.91174]","[436412]","[-0.0355606]","[-1]","[11]","[1]","[0]","[711.817]","[-0.0165167]","[0.959464]",24441.2,0.595455,9,"[240504,96766,59819.6,38856.1,35346.2,34308.2,23838.9,23022.9,20769.3]","[-0.61512,-0.876441,-0.518757,-0.0366684,-0.325198,0.908081,1.59091,-0.659607,-0.575441]","[1.49785,1.97555,0.940437,-1.63387,0.196098,-1.25141,-1.04807,2.48382,0.527518]","[287875,136683,68633,39816.6,37607.1,50101.4,61099.4,28557.2,24342.7]","[0.99095,0.93045,1,0.997203,0.610266,0.992741,0.994716,0.991335,0.965936]","[0,0,0,5,0,0,0,0,5]","[0,0,0,1,0,0,0,0,1]","[-0.929636,-0.766409,-0.505733,0.992778,-0.906695,-0.86909,0.0227116,-0.773261,0.105153]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[352641,354220]","[-0.654543,-0.773426]","[1.52705,-1.91113]","[449183,465556]","[126791,1662.75]","[1,1]","[1.7465,160.893]","[0.281277,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2259.57]",595.137,"[2799.12,8965.12,2855.87,1633.64,1923.51,3103.98,1864.59,2888.47,859.383]","[]","[158.906,9428.06]","[]"
