event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1,284500,669996,364170,-1,15324.2,1.66152e+07,1.08735,0.96392,1,1,1,0.998047,1.01012,1,1,0,0,1,"[1]","[1]","[299155]","[1.89146]","[1.99044]","[1.01412e+06]","[0.0121193]","[1]","[11]","[1]","[0]","[1730.68]","[0.0249292]","[3.4645]",301526,-1.03441,1,"[20884.3]","[2.4965]","[-2.65998]","[127657]","[0]","[0]","[0]","[-0.586447]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[333633]","[1.90329]","[1.99057]","[1.14386e+06]","[-0.0220971]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7286.81]",111.781,"[2299.26]","[]","[22752.3]","[]"
2,284500,24516562,364170,-1,15324.2,1.66152e+07,1.55465,0.98697,1,1,1,0.998939,1.00582,1,1,0,0,1,"[1]","[1]","[377394]","[-0.268244]","[0.820095]","[391053]","[0.0346298]","[1]","[11]","[1]","[0]","[-10.3802]","[-0.00263935]","[0.321337]",437613,-2.43338,2,"[50771.8,21837.2]","[0.250247,0.96987]","[0.0294698,0.0423969]","[52995,33276.6]","[1,1]","[0,0]","[0,0]","[-0.54194,-0.890782]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[409996]","[-0.23265]","[0.760754]","[436228]","[113728]","[0]","[0.894819]","[0.582848]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2346.5]",2367.25,"[2624.03,2027.59]","[]","[2552.53]","[]"
3,284500,22501849,364170,1,15324.2,1.66152e+07,1.26459,0.96679,1,1,1,0.995517,0.97908,1,1,0,0,1,"[1]","[1]","[41347.3]","[-1.01956]","[-3.11057]","[64764.9]","[-160.898]","[-1]","[11]","[1]","[3784.65]","[-1175.39]","[0.0936145]","[2.22583]",73650.9,-0.0488741,6,"[211975,204043,93993.7,39267.7,27556.9,21625.6]","[-0.329031,-0.372449,-0.172854,0.228247,0.432384,0.144707]","[-1.85205,1.12032,2.00755,-1.34973,-2.16385,2.76763]","[224899,219342,96519.2,40909.2,30671.5,22164.3]","[0.990705,0.999493,0.995377,0.859722,0.99,0.626843]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.938474,-0.94794,-0.426564,-0.910296,-0.686046,-0.815798]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[273810]","[-0.281126]","[1.3462]","[315055]","[134925]","[0]","[1.06027]","[0.737488]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[178.27]",456.5,"[3409.41,2361.41,1965.74,2492.8,3667.51,2052.22]","[]","[3704.59]","[]"
4,284500,22534801,364170,0.651335,15324.2,1.66152e+07,1.08735,0.94707,1,1,1,0.996548,0,1,1,0,0,1,"[1]","[1]","[25413.1]","[-0.89849]","[-0.570921]","[36379.9]","[-28.1437]","[-1]","[11]","[1]","[1343.09]","[-279.771]","[0.0115506]","[0.227813]",28482.9,2.52228,4,"[384038,355641,56027.9,30547.5]","[-0.776795,-1.89846,-1.32349,1.47053]","[0.384264,-2.77675,-1.58757,2.92392]","[506678,1.21398e+06,112873,70223.4]","[1,0.999402,0.99,0.989708]","[0,0,0,0]","[0,0,0,0]","[-0.738926,-0.511405,-0.771697,-0.7847]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[389868,372123]","[-0.82482,-1.90215]","[0.334411,-2.77174]","[537246,1.2745e+06]","[86858.7,12487.9]","[0,0]","[1.88622,2.72828]","[0.381228,0.684879]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[183.671]",8506.34,"[14667.5,5498.94,2323.97,4356.87]","[]","[13121.1,14558.8]","[]"
5,284500,20157192,364170,1,15324.2,1.66152e+07,1.21412,1.00588,1,1,1,0.999214,1.00306,1,1,0,0,1,"[1]","[1]","[481029]","[1.10445]","[0.581252]","[805471]","[0.0214844]","[1]","[11]","[1]","[1889.85]","[-820.452]","[-0.0239345]","[3.53973]",513606,-2.58453,1,"[23895.3]","[-0.661047]","[0.250889]","[29935.2]","[0.971226]","[0]","[0]","[-0.801163]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[536966]","[1.08599]","[0.579518]","[885978]","[0]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7762.43]",4258.62,"[4773.92]","[]","[55903.6]","[]"
6,284500,19995486,364170,1,15324.2,1.66152e+07,0.187531,0.95138,1,1,1,0.995793,0.98331,1,1,0,0,1,"[1]","[1]","[38355.7]","[0.112273]","[3.10749]","[38597.7]","[0.308117]","[-1]","[11]","[1]","[0]","[716.387]","[0.0134981]","[1.09142]",96784.6,-1.53115,4,"[527708,276906,115918,26035.2]","[0.860337,1.10183,1.97158,-0.982701]","[1.09092,-1.96185,-2.24883,0.550819]","[736900,463916,424412,39895.2]","[0,0,0.121978,0.986528]","[0,0,0,0]","[0,0,0,0]","[-0.853703,-0.826363,-0.79073,-0.889401]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[562257,385343]","[0.857794,1.42869]","[1.08419,-2.04848]","[784366,868336]","[59411.4,176389]","[0,0]","[2.89799,0.713287]","[0.801135,0.549958]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[21.5961]",29118.9,"[7444.19,17792.2,12616.7,2441.13]","[]","[40525.6,10221.5]","[]"
7,284500,18646348,364170,-1,15324.2,1.66152e+07,1.24168,0.98697,1,1,1,0.999606,1.00582,1,1,0,0,1,"[1]","[1]","[274984]","[-0.170264]","[-0.430257]","[278979]","[0.0110779]","[-1]","[11]","[1]","[0]","[1266.17]","[-0.00633739]","[0.971961]",301073,2.58275,1,"[36578.8]","[-0.880124]","[2.81845]","[51972.8]","[0.999202]","[0]","[0]","[-0.918084]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[352129]","[-0.160862]","[-0.501738]","[360669]","[53396.9]","[0]","[0.986639]","[0.453818]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1525.7]",6760.91,"[4655.89]","[]","[18044.3]","[]"
8,284500,18855865,364170,1,15324.2,1.66152e+07,1.32095,0.96203,1,1,1,0.998943,1.01508,1,1,0,0,1,"[1]","[1]","[315043]","[-1.76528]","[-1.26765]","[947386]","[-0.00921631]","[1]","[11]","[1]","[0]","[1258.57]","[0.00274344]","[0.323711]",292460,1.81263,1,"[37231.7]","[1.23706]","[-1.96815]","[69795.8]","[0.985397]","[0]","[0]","[0.56176]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[327230]","[-1.79874]","[-1.26723]","[1.01566e+06]","[5017.58]","[0]","[27.7365]","[0.486186]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5185.18]",159.062,"[2984.49]","[]","[11436.9]","[]"
9,284500,22264583,364170,1,15324.2,1.66152e+07,1.26459,0.98697,1,1,1,0.997311,1.00582,1,1,0,0,1,"[1]","[1]","[251118]","[-0.330132]","[2.77796]","[264927]","[0.0112762]","[1]","[11]","[1]","[0]","[-1214.2]","[0.0250334]","[4.93593]",248053,-0.327142,2,"[28820.8,20315.6]","[-1.7633,0.0132819]","[-2.03937,0.961611]","[86666,20590.8]","[0.989416,0.985011]","[0,0]","[0,0]","[-0.882916,-0.768036]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262508]","[-0.377687]","[2.77805]","[281454]","[-0.00365396]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1278.33]",10952.4,"[2344.16,1626.15]","[]","[11816.2]","[]"
10,284500,20239423,364170,-1,15324.2,1.66152e+07,1.32095,0.96679,1,1,1,0.996529,0.97908,1,1,0,0,1,"[1]","[1]","[41995]","[-1.02276]","[2.38244]","[65941.8]","[0.0162634]","[1]","[11]","[1]","[0]","[723.501]","[0.00426838]","[0.425033]",70807.2,-1.36927,5,"[240249,186205,69512.3,31633.1,21382.4]","[0.544014,-1.59051,-0.311535,0.562941,-0.0629343]","[-0.609663,2.54809,2.2669,1.66299,-0.447323]","[277286,476306,73445.9,37279.3,21917.3]","[0.181581,0,0,0.970165,1]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.763052,-0.810873,-0.824344,-0.882904,0.0989816]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[255615,255087]","[0.547008,-1.50354]","[-0.614625,2.5142]","[295377,602845]","[18119.1,32026]","[0,0]","[1.55624,1.19643]","[0.633241,0.815292]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[61.3075]",3367.19,"[4546.75,5080.99,1871.6,4033.62,1721.26]","[]","[9852.77,0]","[]"
