event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
17034,284500,208461,364183,1,1.19752,4.07524e+06,1.22586,0.96323,1,1,1,0.99222,1.00493,1,1,0,0,1,"[1]","[1]","[472497]","[-1.3115]","[0.950067]","[940545]","[0.0346699]","[1]","[11]","[1]","[0]","[318.317]","[0.00293266]","[0.392795]",296240,1.17199,5,"[708504,151578,89689.9,24053.2,22618.3]","[0.0744191,-0.691115,-1.25018,-0.583426,-0.408187]","[-2.0281,-2.4237,0.425183,0.910181,-1.41237]","[720326,190348,169557,28610.5,25045]","[0.994318,0.989013,1,0.99,0.898991]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.720396,-0.965195,-0.251759,-0.89492,-0.793479]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[886171,609599]","[-0.0776814,-1.33015]","[-2.09196,0.859896]","[947927,1.23908e+06]","[329421,120257]","[0,0]","[1.57546,0.614266]","[0.494982,0.619664]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7058.48]",14491.2,"[25707.1,4551.99,11586.9,3447.72,1976.43]","[]","[5901.62,35921.2]","[]"
17640,284500,1473,364183,1,1.19752,4.07524e+06,0.402058,0.97994,1,1,1,1.03193,1.00632,1,1,0,0,1,"[1]","[1]","[177585]","[0.189335]","[2.1881]","[180778]","[-0.0470505]","[1]","[11]","[1]","[0]","[-1027.09]","[0.00029511]","[0.0515936]",117238,1.70604,6,"[453238,425713,108374,37320.1,21244.8,21126.3]","[-0.0807254,-1.58266,-1.0145,1.45221,-1.02214,-2.10845]","[-2.61946,-0.0455871,-0.392985,1.71156,-2.3321,0.553394]","[455294,1.08047e+06,169372,84250.8,33579.1,88371.8]","[0.990498,1,1,0.996944,0.989752,0.931585]","[0,0,5,0,0,0]","[0,0,0,0,0,0]","[-0.940321,-0.792214,0.995961,0.12048,-0.631193,-0.253287]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[551202,452942]","[-1.49281,-0.0656137]","[-0.109348,-2.61848]","[1.29768e+06,454373]","[156165,20338.3]","[0,0]","[1.25546,3.35397]","[0.620535,0.387081]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1079.12]",8420.34,"[5013.74,10293.3,6711.95,2116.06,2612.95,1639.53]","[]","[32753.8,26971.3]","[]"
30300,284500,402737,364183,1,1.19752,4.07524e+06,1.1961,0.97245,1,1,1,0.990016,0.99544,1,1,0,0,1,"[1]","[1]","[82976.8]","[1.34115]","[-0.109174]","[169479]","[-0.00364727]","[-1]","[11]","[1]","[0]","[477.34]","[0.0237704]","[1.59733]",86941.4,0.158126,3,"[771164,632581,35650.1]","[0.919539,0.547871,2.30903]","[-3.00868,0.155339,-2.46001]","[1.12196e+06,733948,181196]","[1,0.999167,0.99]","[0,0,0]","[0,0,0]","[-0.957327,-0.651286,-0.910785]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[708688,715634]","[0.674324,0.918278]","[0.122508,-3.00767]","[907480,1.03969e+06]","[236904,33029.3]","[0,0]","[1.69933,3.09802]","[0.459553,0.425418]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[708.186]",1981.82,"[16915.3,10607.4,8832.44]","[]","[19888.2,20957.3]","[]"
32431,284500,627629,364183,1,1.19752,4.07524e+06,1.26459,0.97062,1,1,1,0.989628,0.98871,1,1,0,0,1,"[1]","[1]","[76119.5]","[-0.686294]","[3.09784]","[94760.3]","[0.0099659]","[1]","[11]","[1]","[0]","[-1093.62]","[-0.00102445]","[0.113021]",464195,-2.72269,10,"[524709,310403,184236,98003,79089.3,59653.1,47325.5,28366.9,27008,23345.5]","[0.559029,-1.36337,0.638744,0.809111,-0.0468448,-1.95734,1.41939,2.19794,-0.527506,-0.563538]","[0.679959,-2.07594,0.107551,1.07693,0.0030329,2.38816,-2.49398,-2.13877,-0.262499,1.61243]","[614827,646972,224297,132491,80850,215560,104268,129436,30921.4,27449.8]","[1,0.958755,0.989348,0.990021,0.979985,0.998796,0.988085,0.969877,0.999998,1]","[0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0]","[-0.936536,-0.952174,-0.83311,-0.878349,-0.920469,-0.502943,-0.893549,-0.952021,-0.351526,0.447595]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[734077,334455]","[0.653082,-1.35634]","[0.606215,-2.11856]","[935384,695694]","[267668,69139]","[0,0]","[1.50332,2.92136]","[0.570342,0.555091]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[249.568]",237.312,"[6208.64,14656.8,3024.7,11313.6,1827.99,3632.6,5424.01,1869.34,1814.86,2735.64]","[]","[4218.19,47400.8]","[]"
38380,284500,428021,364183,1,1.19752,4.07524e+06,0,0.96825,1,1,1,0.946249,0.99461,1,1,0,0,1,"[1]","[1]","[69028.7]","[-2.07105]","[-2.96536]","[278158]","[-0.00708771]","[-1]","[11]","[1]","[0]","[-440.853]","[-0.000816264]","[0.0276237]",131348,1.44113,4,"[849829,677457,31809.5,30715.1]","[1.5102,0.428867,1.08135,-0.221666]","[-1.61683,1.44486,1.71076,1.2214]","[2.01784e+06,741239,52394.8,32033.2]","[0.999515,0.99,1,1]","[0,4,0,0]","[0,0,0,0]","[-0.849477,-0.423556,-0.922581,-0.85622]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[802732,641055]","[1.52575,0.462555]","[-1.61702,1.44446]","[1.93306e+06,711070]","[16737.3,17073.2]","[0,0]","[2.75344,0.779833]","[0.508622,0.0600688]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[658.097]",55369.9,"[50199.6,10022.8,3597.11,2375.87]","[]","[33891.8,18998.7]","[]"
45656,284500,956493,364183,1,1.19752,4.07524e+06,1.22586,0.98458,1,1,1,0.993054,1.00582,1,1,0,0,1,"[1]","[1]","[88567]","[-0.135869]","[-1.73277]","[89385.8]","[0.0522213]","[-1]","[11]","[1]","[0]","[2167.46]","[0.0181]","[2.40307]",63153.3,2.0939,6,"[478830,275272,219350,44265,36796.2,27590.6]","[1.22581,2.0938,0.762698,1.26491,-1.7455,1.42743]","[2.91439,0.12847,-0.19029,-0.298754,0.100338,-1.64316]","[886579,1.13406e+06,287742,85087.2,108892,61129.2]","[0.99946,0.999711,0.994483,0.9748,0.987231,0.929163]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.19975,-0.695833,-0.543665,-0.768112,-0.799187,-0.918369]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[471536,273894]","[1.23655,0.816492]","[2.90913,-0.259229]","[880582,373729]","[18796.9,49941.4]","[0,0]","[5.43547,2.16661]","[-1,0.664761]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[762.571]",18348.8,"[21757.6,6681.5,7969.07,4374.51,2203.3,3628.39]","[]","[40936.5,991.594]","[]"
45734,284500,958472,364183,1,1.19752,4.07524e+06,0.696077,1,1,1,1,1.48345,1,1,1,0,0,1,"[0]","[1]","[81411.6]","[1.30827]","[1.84813]","[161604]","[-0.00886607]","[-1]","[11]","[0]","[0]","[561.559]","[0.0374303]","[2.11618]",255982,1.44562,6,"[483708,343933,116671,47998.8,43316.1,23744.2]","[0.89871,-1.57985,0.120332,-0.524553,0.187579,-1.12388]","[-2.29884,0.394729,-1.78213,-2.49813,0.206824,0.773329]","[693159,870847,118430,56019.2,45073.3,40599.9]","[0.990017,1,0.996308,0.997232,0.979376,0.983189]","[0,4,0,0,0,0]","[0,0,0,0,0,0]","[-0.600695,0.935531,-0.925602,-0.854317,-0.914009,-0.417876]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[610850,332228]","[0.801886,-1.58696]","[-2.20804,0.400443]","[854722,846390]","[247851,22522.4]","[0,0]","[0.747679,2.46657]","[0.805613,0.591303]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[556.743]",14243.5,"[20892.9,9441.73,7712.62,3662.57,2283.81,4195.4]","[]","[5791.31,7289.53]","[]"
59029,284500,361314,364183,1,1.19752,4.07524e+06,0.506784,0.97738,1,1,1,0.995152,1.00056,1,1,0,0,1,"[1]","[1]","[65252.9]","[0.171639]","[2.26414]","[66216.4]","[-0.00709915]","[1]","[11]","[1]","[0]","[3128.39]","[-0.0387533]","[4.83799]",57443.4,1.65526,3,"[545656,413719,30444]","[0.00353371,0.389633,1.74882]","[-1.39612,1.82294,0.812862]","[546958,446371,90461]","[0.974178,0.99509,0.999159]","[0,0,0]","[0,0,0]","[-0.906628,-0.889732,-0.756616]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[521003,468883]","[-0.0294164,0.335626]","[-1.40242,1.8949]","[521784,503494]","[24065.3,89138.4]","[0,0]","[3.58957,0.966129]","[0.183074,0.569826]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[92.8414]",11906.7,"[17849.4,5025.19,4844.3]","[]","[15766.4,23456]","[]"
61528,284500,448185,364183,1,1.19752,4.07524e+06,0.0132185,0.99211,1,1,1,0.954462,0.9918,1,1,0,0,1,"[1]","[1]","[190942]","[-0.700081]","[1.86981]","[239676]","[0.0516472]","[1]","[11]","[1]","[1648.21]","[4346.09]","[-0.00804776]","[0.828131]",482665,1.86857,7,"[659682,148455,137916,111135,97522.4,52001.8,21378.9]","[-0.645273,-2.02885,2.23415,-1.50493,-0.898961,0.409862,-0.701325]","[-1.37068,2.17902,-0.398089,-1.02305,-2.9746,0.669603,0.843055]","[805017,574486,651871,262730,139858,57158.1,27020.5]","[0.996898,0.99935,0.990459,0.98997,0.518175,0.993298,1]","[0,0,0,0,4,0,0]","[0,0,0,0,0,0,0]","[-0.459576,-0.838023,-0.950988,-0.560171,0.221393,-0.757803,-0.563301]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[723569]","[-0.811913]","[-1.32232]","[1.00376e+06]","[236718]","[0]","[1.36481]","[0.420358]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1036.3]",10595.4,"[10915.7,5135.56,4143.27,2695.22,3511.52,2040.87,1963.8]","[]","[12668.4]","[]"
71401,284500,445769,364183,1,1.19752,4.07524e+06,0.934886,1.00588,1,1,1,0.99364,1.00306,1,1,0,0,1,"[1]","[1]","[154577]","[0.87055]","[0.203053]","[216945]","[0.0469131]","[1]","[11]","[1]","[0]","[-537.039]","[-0.0177345]","[1.26366]",31829.5,0.452149,4,"[533796,466217,32747.6,22673.1]","[0.795269,0.769879,0.460606,1.93235]","[-1.82572,1.69071,2.11132,-0.374701]","[712335,613371,36947.9,80044.3]","[0.987963,0.995437,0.993554,0.962798]","[0,0,0,0]","[0,0,0,0]","[-0.246211,-0.89923,-0.834961,-0.341899]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[564859,447574]","[0.765907,0.740788]","[-1.8257,1.69096]","[739654,577738]","[35621.8,43460.8]","[0,0]","[2.27216,2.5011]","[0.664402,0.722743]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1426.63]",1921.61,"[14620.1,12481.6,2300.56,4829.65]","[]","[46452,12240.3]","[]"
