event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
38,284500,424455,364177,1,96.2776,5.22794e+06,1.24168,0.9655,1,1,1,0.999702,1,1,1,0,0,1,"[1]","[1]","[31718.2]","[0.432478]","[2.56692]","[34731]","[0.0092867]","[1]","[11]","[0]","[0]","[1812.8]","[0.100967]","[8.83943]",270724,1.87523,1,"[266728]","[0.0941417]","[-1.24305]","[268150]","[0.9977]","[0]","[0]","[-0.799388]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264783]","[0.092887]","[-1.24461]","[265976]","[5177.4]","[0]","[0.724955]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[197.007]",16321.4,"[4752.03]","[]","[18053]","[]"
72,284500,154243,364177,1,96.2776,5.22794e+06,0.187531,0.97996,1,1,1,0.997262,1.01265,1,1,0,0,1,"[1]","[1]","[226629]","[1.53269]","[2.18459]","[549185]","[-0.0534439]","[-1]","[11]","[1]","[0]","[-1397.29]","[0.00717437]","[0.511495]",38365.3,2.90208,3,"[156070,142534,27960.7]","[1.11287,1.31784,0.63766]","[-0.733184,-1.11361,1.07462]","[264130,285646,34299]","[0.998395,0.999993,0.940071]","[0,0,0]","[0,0,0]","[0.339205,-0.948388,-0.9016]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[289359]","[1.23553]","[-0.919472]","[545601]","[79477.2]","[0]","[1.14824]","[0.707279]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4230.1]",1295.38,"[6969.17,12907.3,5230.78]","[]","[13493.8]","[]"
104,284500,5174354,364177,1,96.2776,5.22794e+06,1.25133,0.97994,1,1,1,0.959921,1.00632,1,1,0,0,1,"[1]","[1]","[246361]","[0.198434]","[-0.717542]","[251227]","[-0.0086937]","[1]","[11]","[1]","[0]","[3705.1]","[-0.0125965]","[1.60482]",42622,0.522248,2,"[223220,44866.7]","[-2.14929,-1.92681]","[2.69526,2.22623]","[971715,157415]","[0.992567,0.963894]","[4,0]","[0,0]","[-0.664733,-0.793656]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263397]","[0.18931]","[-0.723821]","[268176]","[4904.93]","[0]","[20.4677]","[0.53481]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1679.76]",3733.3,"[8817.01,7940.17]","[]","[9754.55]","[]"
112,284500,182734,364177,1,96.2776,5.22794e+06,0.923924,1.00588,1,1,1,1.07961,1.00306,1,1,0,0,1,"[1]","[1]","[264176]","[1.09185]","[-2.29461]","[437922]","[-0.0218191]","[-1]","[11]","[1]","[0]","[1727.52]","[0.0182572]","[2.8731]",5729.58,2.25384,1,"[278462]","[-0.227787]","[0.881444]","[286705]","[0.991887]","[0]","[0]","[0.886829]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[291308,272933]","[1.08893,-0.21579]","[-2.29559,0.86041]","[481778,282137]","[1254.53,39824.6]","[0,0]","[0,2.90647]","[-1,0.403657]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2941.58]",1905.96,"[4520.16]","[]","[8295.78,13052.1]","[]"
127,284500,2784801,364177,-1,96.2776,5.22794e+06,1.1961,0.97166,1,1,1,0.956064,1.0005,1,1,0,0,1,"[1]","[1]","[87873.5]","[2.29806]","[-2.62885]","[441798]","[0.00536728]","[1]","[11]","[1]","[1561.7]","[377.009]","[-0.0186933]","[0.913806]",149621,-2.81697,2,"[280969,26150.8]","[1.57233,-0.323687]","[0.416393,-2.02095]","[706440,27961.1]","[0.999576,0.99917]","[4,0]","[0,0]","[-0.749116,-0.92513]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[317148]","[1.5345]","[0.453812]","[772844]","[68465.6]","[0]","[2.70356]","[0.677385]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1373.37]",8854.73,"[6578.42,2856.13]","[]","[1695.12]","[]"
186,284500,4564330,364177,-1,96.2776,5.22794e+06,0.00292683,0.97209,1,1,1,0.999449,0.99756,1,1,0,0,1,"[1]","[1]","[62552.8]","[0.120702]","[-2.459]","[63009]","[-0.0126343]","[-1]","[11]","[1]","[0]","[780.306]","[0.00719386]","[0.823189]",184445,3.0717,1,"[256092]","[-1.27501]","[0.171565]","[494474]","[0.985215]","[0]","[0]","[-0.9286]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260784]","[-1.2824]","[0.168101]","[506803]","[23317]","[0]","[2.19422]","[0.6107]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[152.53]",28163.8,"[13925.4]","[]","[3785.58]","[]"
188,284500,4575772,364177,1,96.2776,5.22794e+06,1.32095,0.97994,1,1,1,0.999565,1.00632,1,1,0,0,1,"[1]","[1]","[266276]","[0.274478]","[-2.41365]","[276370]","[-0.0214157]","[-1]","[11]","[1]","[0]","[-1103.87]","[0.042062]","[2.52934]",41106.5,-0.248958,1,"[240290]","[0.183617]","[0.887482]","[245103]","[0.994515]","[0]","[0]","[-0.955238]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[270539,260370]","[0.324258,0.2306]","[-2.40978,0.888446]","[284888,267893]","[739.911,17462.6]","[0,0]","[0,2.32727]","[-1,0.730981]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1487.01]",3341.13,"[7416.73]","[]","[12641.1,446.734]","[]"
198,284500,2317142,364177,1,96.2776,5.22794e+06,1.08735,0.96709,1,1,1,0.979057,1.00936,1,1,0,0,1,"[1]","[1]","[114120]","[0.0770816]","[-2.98378]","[114459]","[0.0519485]","[1]","[11]","[1]","[0]","[-966.252]","[-0.000508189]","[0.0582721]",130685,-2.50262,3,"[261994,28221.9,21600.9]","[-0.590062,-0.419024,0.588584]","[0.362369,-0.103286,-2.16443]","[314191,31088,25809.1]","[0.99013,0.996803,0.974006]","[0,4,0]","[0,0,0]","[-0.91047,-0.695482,-0.716277]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251738]","[-0.599309]","[0.357639]","[304412]","[60618.1]","[0]","[1.02076]","[0.743712]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1484.37]",15193.3,"[5023.98,6545.52,2061.24]","[]","[0]","[]"
210,284500,518431,364177,-1,96.2776,5.22794e+06,0.696077,0.98697,1,1,1,0.955236,1.00582,1,1,0,0,1,"[1]","[1]","[214279]","[-0.147188]","[2.26633]","[216605]","[-0.00298357]","[-1]","[11]","[1]","[1485.01]","[932.063]","[-0.027935]","[4.05412]",66165.6,2.51356,2,"[269067,27067.6]","[0.190382,1.1972]","[-0.673163,-2.5333]","[275152,49032.1]","[0.990366,0.994875]","[4,0]","[0,0]","[-0.653864,-0.785038]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262910]","[0.195063]","[-0.680743]","[268816]","[21831.6]","[0]","[2.12054]","[0.186022]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1757.07]",11788.2,"[4068.26,5619.72]","[]","[6002.16]","[]"
221,284500,3210894,364177,1,96.2776,5.22794e+06,0.934886,0.96311,1,1,1,0.94698,1.00058,1,1,0,0,1,"[1]","[1]","[52729.4]","[-1.62859]","[2.11314]","[139546]","[0.0746098]","[-1]","[11]","[1]","[0]","[-383.069]","[-0.0321365]","[1.20772]",123941,2.85956,5,"[221205,64625.4,37975.4,36325.4,33818.8]","[-1.20031,1.91456,-1.23257,-2.11225,-1.80902]","[-0.722031,2.58347,-1.23056,1.89265,1.1323]","[402773,224063,70806.4,152429,106355]","[1,0.996485,0.990486,0.997148,0.9883]","[0,0,0,4,4]","[0,0,0,0,0]","[-0.69267,-0.93038,-0.635052,-0.843652,-0.902417]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255469]","[-1.21589]","[-0.790841]","[473276]","[65275.5]","[0]","[1.41641]","[0.756964]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[217.868]",12280.8,"[6773.95,8145.93,3185.81,3245.34,2377.89]","[]","[4447.89]","[]"
