event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
554,284500,16606,364181,1,9.58634,2.83531e+06,0.351687,0.97826,1,1,1,0.997532,1.00493,1,1,0,0,1,"[1]","[1]","[100653]","[-1.14959]","[-0.868319]","[174818]","[0.0158997]","[-1]","[11]","[1]","[0]","[-2461.01]","[-0.0184806]","[1.8877]",167297,-0.472433,2,"[266671,28810.8]","[-1.50313,-1.35029]","[2.55335,1.98319]","[629358,59655]","[0.999645,0.963662]","[0,0]","[0,0]","[-0.901176,-0.843623]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[281926]","[-1.54288]","[2.61189]","[690794]","[41193.9]","[0]","[2.6077]","[0.490553]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[517.911]",8949.42,"[4129.78,2528.48]","[]","[18850.1]","[]"
1384,284500,142406,364181,1.63533,9.58634,2.83531e+06,0.75088,0.96558,1,1,1,0.997887,0.99746,1,1,0,0,1,"[1]","[1]","[69914.8]","[-1.75027]","[1.72863]","[207293]","[-0.0653229]","[1]","[11]","[1]","[0]","[-1273.64]","[-0.0258149]","[1.22103]",327074,2.18831,4,"[267857,72063.2,33374.7,30006.1]","[-0.933447,0.243174,-0.513127,-0.470047]","[-1.09429,-0.61334,-0.801098,-1.7676]","[394170,74594.4,38157.5,33772.4]","[0.997411,0.999477,0.99679,0.99379]","[0,0,0,0]","[0,0,0,0]","[-0.864811,-0.890796,-0.869463,-0.802636]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[311574]","[-0.916229]","[-1.11502]","[457658]","[73230]","[0]","[2.5002]","[0.559381]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[704.352]",11200.6,"[12256.5,2067.13,1995.19,2639.22]","[]","[30938]","[]"
1597,284500,493096,364181,1.07346,9.58634,2.83531e+06,1.25133,0.99093,1,1,1,0.99904,1.00306,1,1,0,0,1,"[1]","[1]","[97644.6]","[1.04241]","[-0.160935]","[155677]","[-0.0545197]","[-1]","[11]","[1]","[0]","[1201.13]","[-0.00431061]","[0.357429]",90172.5,0.16538,2,"[271416,47076]","[1.52399,0.307464]","[-2.87647,0.5577]","[653354,49713.7]","[1,0.992823]","[0,0]","[0,0]","[-0.38307,-0.949423]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279409]","[1.49284]","[-2.88104]","[654038]","[36076]","[0]","[1.63618]","[0.808988]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[535.088]",9876.62,"[4962.57,2949.32]","[]","[18673.8]","[]"
2597,284500,363513,364181,1,9.58634,2.83531e+06,1.74563,0.95822,1,1,1,0.999652,1.01975,1,1,0,0,1,"[1]","[1]","[49273.4]","[-2.08135]","[1.13919]","[200544]","[0.060421]","[1]","[11]","[1]","[1220.22]","[366.531]","[-0.00201294]","[0.135661]",273147,1.43192,1,"[323971]","[-0.162567]","[-1.71836]","[329250]","[0.997947]","[0]","[0]","[-0.856054]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[304937]","[-0.157675]","[-1.72695]","[309427]","[20677.3]","[0]","[2.06165]","[0.297677]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[154.356]",8751.53,"[9374.72]","[]","[4275.69]","[]"
2749,284500,713872,364181,1,9.58634,2.83531e+06,1.26459,0.98697,1,1,1,0.997965,1.00582,1,1,0,0,1,"[1]","[1]","[156635]","[-0.530603]","[-3.08744]","[179207]","[-0.0349808]","[1]","[11]","[1]","[0]","[2802.65]","[0.00877868]","[1.1807]",79391.5,-2.83021,3,"[36423.7,25976,23711]","[0.186464,0.677873,1.19581]","[2.10961,-0.964141,-1.28863]","[37641.9,32680.4,43007]","[0.938224,0.969487,0.990018]","[0,0,0]","[0,0,0]","[-0.745398,-0.32584,-0.0483279]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[282795]","[1.12042]","[0.079515]","[482024]","[47693.1]","[0]","[2.36789]","[0.532037]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[726.273]",27899.3,"[6259.82,1871.17,1677.13]","[]","[19129.8]","[]"
3082,284500,103036,364181,1,9.58634,2.83531e+06,1.26459,1.01378,1,1,1,1.04703,1.00936,1,1,0,0,1,"[1]","[1]","[260779]","[0.063152]","[-1.03412]","[261299]","[-0.10445]","[1]","[11]","[1]","[0]","[-1601.97]","[0.00259162]","[0.393498]",45532.6,2.50413,5,"[113821,108644,88384.7,69840.1,33166.9]","[1.65309,-0.870187,1.47231,1.29762,-0.549951]","[1.78844,2.51961,-0.736556,3.12681,1.32251]","[308270,152901,203052,137976,38961.1]","[0.989851,0.988278,0.996394,0.998223,0.981165]","[0,0,0,5,0]","[0,0,0,0,0]","[-0.607528,-0.847269,-0.908706,0.957158,-0.914844]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[277173]","[0.0615402]","[-1.03697]","[277707]","[2281.45]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1454.7]",8981.63,"[6781.23,6370.89,7513.81,3301.47,3894.4]","[]","[15427.4]","[]"
3443,284500,830963,364181,1.60269,9.58634,2.83531e+06,1.32095,0.97994,1,1,1,0.993585,1.00632,1,1,0,0,1,"[1]","[1]","[250258]","[0.553209]","[-3.09011]","[289539]","[0.00521851]","[1]","[11]","[1]","[0]","[-662.921]","[-0.0100025]","[1.76263]",7669.74,2.49567,6,"[122723,117109,97021.7,30754.5,27808.4,24555.8]","[1.06061,1.78908,1.54739,1.63639,-0.93218,1.29883]","[0.946183,-0.40412,-0.824188,1.09737,-2.8401,0.357883]","[199264,360261,238372,82130.6,41349.7,48563.2]","[0.99427,0.995576,0.993436,0.996887,0.985809,0.961051]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.672461,-0.697437,-0.928192,-0.569434,-0.847346,-0.802898]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[263269]","[0.541795]","[-3.09228]","[302869]","[1769.22]","[0]","[61.2431]","[0.336584]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2071.22]",1625.62,"[3379.37,8573.76,2829.02,4656.23,3961.81,2108.94]","[]","[13113]","[]"
6097,284500,1186298,364181,1,9.58634,2.83531e+06,0,0.97245,1,1,1,1.03551,0.99544,1,1,0,0,1,"[1]","[1]","[96456.9]","[1.22242]","[2.77871]","[177959]","[-0.049614]","[1]","[11]","[1]","[0]","[690.166]","[0.00948297]","[1.37337]",183044,2.74861,5,"[218495,72856.5,51795.1,47073.7,21690.2]","[1.41851,1.47674,0.020181,-0.734953,-0.247683]","[-0.545602,0.192205,1.78028,-1.70505,1.28404]","[478176,168200,52154.7,61212.6,22733.2]","[0.994594,0.997959,0.997038,0.985457,0.925456]","[5,5,0,0,0]","[0,0,0,0,0]","[0.998862,0.999974,-0.935608,-0.711269,-0.859356]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[290982]","[1.51486]","[-0.35959]","[703244]","[114919]","[0]","[1.57458]","[0.50293]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[513.822]",24246.6,"[3875.88,12136.9,5393.15,3699.13,1928.15]","[]","[25856.8]","[]"
6231,284500,904619,364181,-1,9.58634,2.83531e+06,0.553627,0.97828,1,1,1,0.995034,1.0005,1,1,0,0,1,"[1]","[1]","[216425]","[2.26161]","[-3.02197]","[1.04995e+06]","[-0.0486526]","[1]","[11]","[1]","[1602.29]","[1068.25]","[-0.0483719]","[1.80307]",47353.2,1.36808,4,"[262090,89742.8,27150.6,21662.4]","[0.377076,2.29348,1.30518,2.09524]","[-0.313175,1.91947,-2.63739,-1.43916]","[281835,449368,53975.5,89478.9]","[0.987193,0.999463,0.87307,0.992754]","[0,0,0,0]","[0,0,0,0]","[-0.946829,-0.120725,-0.532998,-0.761121]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251056]","[0.402234]","[-0.320497]","[271980]","[13580.3]","[0]","[1.4016]","[0.369962]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3790.04]",26751.3,"[6811.67,4043.66,4248.27,1676.35]","[]","[0]","[]"
9069,284500,508132,364181,-1,9.58634,2.83531e+06,1.26205,0.97695,1,1,1,0.997741,0.98743,1,1,0,0,1,"[1]","[1]","[284539]","[-0.0977972]","[1.88499]","[285901]","[0.0112839]","[-1]","[11]","[1]","[0]","[-75.7401]","[-0.00352085]","[0.340519]",39690.4,-0.316526,3,"[175248,69428.2,23965.4]","[0.0403454,1.48217,0.671015]","[-1.21557,-1.88097,-0.869589]","[175634,160827,29933.5]","[1,0.995366,0.932602]","[0,0,0]","[0,0,0]","[-0.767204,-0.701661,-0.842571]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[292443]","[-0.0396058]","[1.88949]","[292689]","[3143.91]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5539.81]",1207.27,"[2168.28,11274.4,4140.85]","[]","[13954.6]","[]"
