event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
5765,284500,1142581,364182,1,14.5986,5.99827e+06,0.923924,0.94769,1,1,1,0.995075,0.95625,1,1,0,0,1,"[0]","[1]","[75961.4]","[-2.3622]","[-2.57179]","[406714]","[-0.304489]","[-1]","[11]","[1]","[0]","[94.1085]","[0.084925]","[3.40425]",76155.6,-1.57077,3,"[315193,191159,30556.8]","[-1.81318,-0.422716,1.63176]","[1.58824,-1.35742,-0.702981]","[991849,209836,81255.1]","[0.996711,0.993553,0.99519]","[0,5,0]","[0,0,0]","[-0.342583,0.999793,-0.834966]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[306841]","[-1.83177]","[1.59086]","[982811]","[16934.1]","[0]","[3.42904]","[0.401772]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[546.966]",3119.09,"[5664.99,6049.47,2023.5]","[]","[15366.2]","[]"
12913,284500,1169989,364182,1,14.5986,5.99827e+06,1.25133,0.98697,1,1,1,0.994886,1.00582,1,1,0,0,1,"[1]","[1]","[184832]","[-0.205317]","[-2.5091]","[188741]","[-0.0770302]","[-1]","[11]","[1]","[1515.57]","[20.8841]","[-0.00904451]","[1.43419]",300192,-2.24088,2,"[750861,266479]","[0.500611,0.0501096]","[0.856619,-2.18992]","[847741,266933]","[0.998734,0.985887]","[0,0]","[0,0]","[-0.769565,-0.843214]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[720033,454651]","[0.489101,-0.0666242]","[0.857136,-2.32149]","[807996,466053]","[13291.5,97874.4]","[0,0]","[1.65435,0.0585399]","[0.0724225,0.336886]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1171.09]",7326.47,"[13934.5,3855.92]","[]","[8382.31,20109.7]","[]"
19929,284500,54107,364182,1.098,14.5986,5.99827e+06,1.26205,0.98178,1,1,1,0.994229,0.99604,1,1,0,0,1,"[1]","[1]","[120026]","[-2.2304]","[2.43083]","[564785]","[0.000221252]","[1]","[11]","[1]","[0]","[46.0432]","[-0.0177296]","[1.96328]",94001.9,-2.47724,5,"[431394,293906,34820.9,28304.1,20542.5]","[-1.61077,-0.896204,-0.146619,-1.43402,2.06817]","[0.183924,-2.62217,0.626323,-2.76849,0.222596]","[1.1233e+06,423149,35921,63014.5,82675.6]","[0.99859,0.99258,0.97,0.986756,0.731082]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.807767,-0.656085,-0.828803,-0.838685,-0.761162]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[423947,301406]","[-1.61199,-0.916135]","[0.181856,-2.62261]","[1.10501e+06,440370]","[17971,54453.9]","[0,0]","[2.27864,1.42163]","[0.554468,0.652431]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1147.62]",35100.4,"[6915.05,6298.52,2635.09,2284.39,1128.28]","[]","[3097.56,21826.5]","[]"
23758,284500,3163259,364182,1,14.5986,5.99827e+06,1.25133,0.97826,1,1,1,0.996675,1.00493,1,1,0,0,1,"[1]","[1]","[138699]","[-1.31992]","[-0.281675]","[278109]","[-0.00477982]","[-1]","[11]","[1]","[0]","[-711.141]","[0.00335127]","[0.334331]",80891.7,-2.09578,5,"[321056,186559,163154,69196.9,50815.3]","[-0.702675,0.807122,0.392248,-1.08905,0.875551]","[-0.148745,2.92495,2.60579,-3.04082,2.17676]","[404207,251379,176298,114897,72386.8]","[0.99,0.999938,0.993034,0.980542,0.993016]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.40503,-0.505251,0.603975,-0.689008,-0.905524]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[463485,373134]","[-0.940331,0.625232]","[-0.186158,2.78516]","[698070,460410]","[139704,104164]","[0,0]","[0.569973,0.795027]","[0.620727,0.651943]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1370.6]",4321.2,"[5604.7,2519.77,2096.77,7033.5,2691.62]","[]","[4814.62,27922.6]","[]"
35875,284500,57695,364182,1,14.5986,5.99827e+06,1.21412,0.9623,1,1,1,0.964825,1.01797,1,1,0,0,1,"[1]","[1]","[51632.1]","[-2.28175]","[0.787069]","[255474]","[0.0398712]","[1]","[11]","[1]","[3316.22]","[1599.44]","[-0.0160615]","[0.657767]",54349.6,-0.730002,5,"[365325,232555,76033,75032.5,27879.8]","[1.87816,-2.05755,0.496069,-1.61885,0.293047]","[-1.57953,1.98464,1.39063,1.93168,-0.0302908]","[1.22315e+06,925339,86306.7,196915,29408.2]","[0.998528,0.988826,0.994431,1,0.814949]","[4,0,0,0,0]","[0,0,0,0,0]","[0.529814,-0.947791,-0.911433,-0.803444,-0.748683]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[360349,272233]","[1.86026,-1.9923]","[-1.57828,1.96767]","[1.18593e+06,1.01845e+06]","[21710.9,61033.9]","[0,0]","[2.08851,1.00332]","[0.482317,0.759486]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[220.336]",1398.82,"[11338.8,4100.91,7209.8,5055.49,1806.68]","[]","[31503.9,47322.1]","[]"
42561,284500,141460,364182,1,14.5986,5.99827e+06,1.55465,0.9549,1,1,1,0.995235,1.01807,1,1,0,0,1,"[1]","[1]","[44604.8]","[-2.06556]","[0.196254]","[178786]","[0.0266056]","[-1]","[11]","[1]","[1127.39]","[1061.54]","[0.112785]","[2.0437]",123946,1.15853,7,"[265337,95168.2,75715.2,58108,51950.2,38694.6,28232.1]","[1.72028,-1.41206,-1.84128,0.372137,-0.901085,0.966302,-1.37761]","[2.99928,0.0253332,-1.08567,-1.56672,0.00839992,-2.88514,-0.720466]","[765099,207179,244935,63102.2,74644.3,58732.7,59805.8]","[0.992974,0.982986,1,0.990833,1,0.980802,0.954284]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.981538,-0.746101,-0.317488,-0.845068,-0.893576,-0.893999,-0.907362]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[291652]","[1.70361]","[3.01352]","[829651]","[57198.9]","[0]","[3.19853]","[0.717929]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[504.51]",3545.87,"[9895.99,4139.55,3826.09,2103.47,2391.22,2723.41,2101.93]","[]","[22219.7]","[]"
44851,284500,139671,364182,1,14.5986,5.99827e+06,0.738662,0.96615,1,1,1,0.995012,0.98962,1,1,0,0,1,"[1]","[1]","[64121.9]","[1.36113]","[-1.0367]","[133276]","[-0.00657988]","[-1]","[11]","[1]","[0]","[-703.467]","[0.0877365]","[1.7278]",24266.9,2.2899,6,"[146475,114730,107141,70760.6,54580,44676.7]","[0.614086,-0.238935,-1.10295,-1.47447,-1.98947,-0.881978]","[0.837102,0.967199,-2.51619,-2.03326,-3.02715,-1.69062]","[175428,118691,180156,162952,203487,63623]","[0.99351,0.990368,0.990359,0.740507,0.982411,0.999152]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.471083,-0.921511,-0.883863,-0.9285,-0.619504,-0.90649]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255659]","[0.25947]","[0.8832]","[290303]","[120059]","[0]","[0.405866]","[0.648037]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[304.485]",4488.94,"[4326.67,3276.78,4383.23,5434.19,6278.08,3298.18]","[]","[6854.72]","[]"
46113,284500,86784,364182,1,14.5986,5.99827e+06,1.26459,0.9823,1,1,1,0.994845,1.00632,1,1,0,0,1,"[0]","[1]","[91319.8]","[0.596092]","[1.39774]","[108030]","[0.00441742]","[-1]","[11]","[1]","[0]","[1874.67]","[0.0444436]","[4.32779]",50574.7,-1.11803,7,"[188374,98341,75294.4,49040.8,39709.1,36978.1,31341.1]","[-0.100385,-0.243977,-1.67885,1.41478,-0.850492,-1.43769,-0.643913]","[1.92724,-0.623461,-2.31961,0.220518,-2.03995,-1.54762,-1.52695]","[189793,102341,208928,107117,55080.4,82611.2,38511.9]","[0.999894,0.985562,0.998227,0.989811,0.993577,0.993097,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.84968,-0.957757,-0.856736,0.353536,-0.845891,-0.0217434,-0.591169]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267975]","[0.141362]","[1.72948]","[298105]","[124946]","[0]","[0.0820288]","[0.0353173]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[271.109]",15932.5,"[3874.84,2252.87,2218.28,2197.15,2075.7,2960.8,3547.09]","[]","[22586.2]","[]"
48713,284500,93607,364182,1,14.5986,5.99827e+06,1.08735,0.98536,1,1,1,0.962684,0.9918,1,1,0,0,1,"[1]","[1]","[122780]","[-0.771369]","[-0.504156]","[161155]","[0.0300274]","[1]","[11]","[1]","[1187.51]","[645.335]","[-0.0164622]","[2.18611]",34571.8,-1.08673,3,"[176324,90727.3,29171.5]","[0.0847607,-0.442091,0.906173]","[-2.21671,-2.28726,1.41406]","[177156,100334,42344.1]","[0.994874,0.992727,0.99464]","[4,0,0]","[0,0,0]","[0.40708,-0.798701,-0.799707]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262876]","[-0.0924215]","[-2.23814]","[272501]","[67534.4]","[0]","[0.769093]","[0.480333]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[631.202]",9882.77,"[2262.95,2606.09,2738.19]","[]","[16690.9]","[]"
52030,284500,65859,364182,1,14.5986,5.99827e+06,1.26459,0.97062,1,1,1,0.998164,0.98871,1,1,0,0,1,"[1]","[1]","[66904.1]","[-0.722864]","[-2.94837]","[85158.5]","[0.0261936]","[1]","[11]","[1]","[0]","[-302.706]","[0.010723]","[1.29858]",132750,2.67134,3,"[298534,146540,58761.2]","[0.439841,1.09431,-0.637361]","[0.241534,-1.87465,2.57776]","[328224,244215,71619]","[0.998318,1,0.996905]","[0,0,0]","[0,0,0]","[-0.745583,-0.902019,-0.82756]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[307872]","[0.439448]","[0.240325]","[338415]","[15034.9]","[0]","[1.1074]","[0.088124]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[395.906]",12682.4,"[9302.14,6359.57,4719.19]","[]","[13755]","[]"
