event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
30,284500,6219774,363489,0.266474,11.42,138072,1.32095,0.97994,1,1,1,1.03857,1.00632,1,1,0,0,1,"[1]","[1]","[167708]","[0.498571]","[-1.80914]","[188988]","[-0.00777817]","[1]","[11]","[1]","[0]","[-25.7975]","[0.00481568]","[0.820563]",34638.3,1.75201,5,"[245124,168470,126470,120224,21996.6]","[-0.305544,1.24856,1.39569,0.610719,-0.794895]","[-1.40381,1.11827,1.61279,2.1041,-1.51991]","[257687,318357,271361,143815,29433.1]","[0.992403,0.993573,1,0.939985,0.990697]","[0,5,5,0,0]","[0,0,0,0,0]","[-0.895023,0.906611,0.999904,-0.922746,-0.66209]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[395819,274978]","[0.0331227,1.34032]","[-1.5842,1.32453]","[441630,566733]","[195429,78779.3]","[1,1]","[0.415216,0.707192]","[0.555549,0.78293]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1008.9]",14114.7,"[7069.84,5536.98,10175.7,7843.36,1706.79]","[]","[21964.3,17594.2]","[]"
38,284500,6349190,363489,0.226922,11.42,138072,0.402058,0.98697,1,1,1,0.959744,1.00582,1,1,0,0,1,"[1]","[1]","[152372]","[-0.134256]","[-2.18857]","[153747]","[0.0605469]","[1]","[11]","[1]","[2516.57]","[2885.6]","[-0.0237237]","[2.99637]",90702.2,3.12337,2,"[301902,88651.7]","[-0.360087,-0.653346]","[0.478353,-2.97353]","[322422,108430]","[0.988557,0.990726]","[0,4]","[0,0]","[-0.914417,-0.873229]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[299575]","[-0.390684]","[0.478388]","[323770]","[25941.3]","[0]","[1.44898]","[0.568734]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[852.548]",8460.16,"[8965.28,1642.23]","[]","[9923.19]","[]"
44,284500,6369208,363489,0.331104,11.42,138072,1.26459,1,0.992671,1,1,0.994517,0.984198,1,0,1,0,1,"[1]","[1]","[92185.9]","[0.383236]","[-1.72426]","[99038.9]","[0.024313]","[-1]","[13]","[1]","[0]","[336.501]","[0.0325651]","[5.09119]",29663.6,-1.23489,6,"[386818,177391,116487,104929,41281.6,21471.2]","[1.42755,0.240572,-0.120087,-2.45225,-1.45413,-0.109574]","[1.88618,-0.66394,-0.99563,-3.02785,-1.90446,0.0578007]","[853060,183801,118030,613966,93412.1,22000.4]","[0.984946,0.99139,0.982833,0.437096,1,0.938638]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.855272,-0.937485,-0.949444,-0.862496,-0.856688,-0.87312]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[410889,260188]","[1.42213,0.0824548]","[1.88787,-0.780438]","[901699,272045]","[26326.8,76480.4]","[0,1]","[2.25811,0.859855]","[0.573326,0.708288]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1977.74]",20478.6,"[13855.4,2075.34,3696.99,3433.75,7044.9,1617.95]","[]","[3987.12,5829.48]","[]"
55,284500,6140254,363489,0.247558,11.42,138072,1.32095,1,0.990711,1,1,0.961535,0.994982,1,0,1,0,1,"[1]","[1]","[83148.9]","[-1.93597]","[-2.38732]","[294142]","[-0.00365829]","[-1]","[13]","[1]","[0]","[-203.064]","[-0.0130922]","[1.29535]",80257.4,-2.20432,5,"[184797,158904,96439.1,30342.2,28576.1]","[0.212919,-1.1856,0.184332,-0.769604,1.68671]","[0.854238,-1.78367,1.28513,0.575428,2.72139]","[190100,284631,99211,40183.2,79949.6]","[0.993721,0.997014,0,0.936693,0.934806]","[0,4,0,0,0]","[0,0,0,0,0]","[-0.616191,-0.876523,-0.988199,-0.720343,-0.809562]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[276446]","[0.196762]","[0.999801]","[285100]","[43156.8]","[0]","[1.28581]","[0.746463]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1878.98]",13097.6,"[5984.19,6289.36,1914.48,2423.74,2115.46]","[]","[5462.06]","[]"
63,284500,6542590,363489,0.318035,11.42,138072,1.08735,1,0.996988,1,1,0.993654,0.921506,1,0,1,0,1,"[0]","[1]","[36579.1]","[0.917462]","[-2.94095]","[53084.8]","[0.129772]","[1]","[13]","[1]","[0]","[-422.239]","[0.0994977]","[14.4763]",290574,-2.90671,5,"[167223,143143,38595.2,25941.4,23568.9]","[1.06722,1.03038,1.8756,-1.96534,-0.150052]","[-0.268506,0.657824,-0.2658,0.925174,2.23414]","[272582,226761,128892,94582,24223.5]","[0.995051,1,0.992986,1,0.986557]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.0640779,-0.934267,-0.449936,-0.442462,-0.832746]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270900]","[1.25792]","[0.0523456]","[542918]","[171773]","[1]","[1.08496]","[0.34875]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[247.292]",7236.03,"[2547.18,2302.93,4825.71,4211.31,2934.29]","[]","[3098.69]","[]"
65,284500,6542137,363489,0.307038,11.42,138072,0.596562,0.97245,1,1,1,0.996343,0.99544,1,1,0,0,1,"[1]","[1]","[96216.8]","[1.20533]","[-2.38684]","[174992]","[0.0764523]","[1]","[11]","[1]","[0]","[-12.7572]","[0.00874448]","[1.31885]",278601,-1.96212,6,"[306265,87822.1,60770.1,43599,27361.5,23645.1]","[0.322577,1.28836,0.674415,1.54764,0.847232,-0.040177]","[1.22146,1.36793,-1.47327,0.51009,0.632352,-1.31024]","[322713,171619,75609.7,107233,38235.9,24027.4]","[0.997771,1,0.977496,0.997977,0.984339,0.972083]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.964711,-0.940277,-0.870405,-0.854603,-0.555192,-0.778731]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[370983]","[0.597762]","[1.25216]","[471638]","[171736]","[1]","[0.511966]","[0.441008]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[894.833]",4673.09,"[9414.76,3405.37,3553.68,4310.11,2163.16,2773.44]","[]","[2410.34]","[]"
68,284500,6099437,363489,0.226922,11.42,138072,0.738662,1,0.997086,1,1,0.996276,0.992472,1,0,1,0,1,"[0]","[1]","[135690]","[-2.3144]","[1.39627]","[693219]","[0.0479889]","[1]","[13]","[1]","[0]","[-616.066]","[0.00437696]","[0.613685]",78991.7,2.07457,5,"[288650,194219,117151,23904.8,22827.9]","[-0.838529,1.54224,-2.00667,-0.211702,0.913476]","[-1.81663,-2.69983,0.358054,-2.45149,-1.83481]","[396700,475267,443749,24980.8,33385.8]","[1,0.995622,0.998867,0.63762,0.935443]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.494742,-0.929568,-0.878611,-0.86614,-0.82599]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[303719]","[-0.828567]","[-1.81171]","[414272]","[12726.5]","[0]","[3.24104]","[0.584973]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3525.39]",25864.4,"[10251,3400.56,2965.01,1761.22,2077.42]","[]","[8517.22]","[]"
82,284500,6179712,363489,0.226922,11.42,138072,1.24168,0.98697,1,1,1,0.970129,1.00582,1,1,0,0,1,"[1]","[1]","[240276]","[-0.364991]","[0.447745]","[256460]","[-0.0757484]","[-1]","[11]","[1]","[0]","[-66.9991]","[0.0131027]","[1.64721]",65896.2,0.825363,3,"[312822,38850.2,32534.3]","[-1.15707,0.612775,0.0123446]","[-2.64798,1.11305,-1.64747]","[547004,46865.7,32706.1]","[0.990088,0.992757,0.993751]","[0,5,5]","[0,0,0]","[-0.940783,0.999831,-0.648114]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[286724,255110]","[-1.13586,-0.338068]","[-2.65084,0.448593]","[492527,269827]","[8722.26,0.00676582]","[0,1]","[2.74305,0]","[0.338964,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1364.22]",1815.02,"[5864.36,1446.56,4260.32]","[]","[11644.3,2071.88]","[]"
97,284500,6208720,363489,0.226922,11.42,138072,1.26205,0.97446,1,1,1,0.995983,0.98483,1,1,0,0,1,"[1]","[1]","[53687.9]","[-0.121186]","[0.539017]","[54082.6]","[-0.0252037]","[-1]","[11]","[1]","[0]","[220.776]","[0.00581683]","[0.753257]",100144,-1.92145,7,"[445343,304447,269426,91823.5,67468.1,44352.8,30923.7]","[2.43895,1.4186,1.1762,0.718572,0.279942,0.368172,-0.141528]","[0.308498,-2.64559,2.9041,-1.31504,1.45056,0.0560567,1.52449]","[2.57201e+06,666561,479405,116753,71519.2,47475.5,31342.8]","[1,0.993945,0.995209,0.99603,0.0839997,0.975302,0.999903]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[0.28932,-0.93082,-0.944547,-0.841677,-0.934009,-0.93016,-0.831257]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[520103]","[1.36281]","[-3.00624]","[1.10639e+06]","[228141]","[0]","[0.758417]","[0.615136]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[83.8578]",34983.6,"[18734.5,5465.76,3543.01,6724.28,1814.88,2590.35,1877.97]","[]","[24646.2]","[]"
110,284500,6347222,363489,0.226922,11.42,138072,0.75088,1,0.994293,1,1,0.963206,0.897128,1,0,1,0,1,"[1]","[1]","[52776.8]","[0.686951]","[-0.589115]","[65727]","[-0.0272198]","[1]","[13]","[1]","[0]","[-850.676]","[-0.00510732]","[0.629387]",62961.4,1.50293,5,"[236655,144798,98528.4,36607.3,22993.3]","[1.43991,-0.752249,0.0746648,-1.43266,2.02926]","[-2.11987,0.938293,1.84692,-0.654644,-2.19542]","[528046,187972,99753.8,81512.5,89087.6]","[1,0.997993,1,0.688565,0.98807]","[0,4,0,0,0]","[0,0,0,0,0]","[-0.926693,-0.823427,-0.946874,-0.648831,-0.888247]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262141]","[1.48067]","[-2.10274]","[607305]","[39954.3]","[0]","[2.52552]","[0.710841]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[182.144]",15955.7,"[4293.15,7079.09,8040.27,2349.26,9840.79]","[]","[25605.7]","[]"
