event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
2,284500,40195077,361103,8426.82,8579.63,2.45303e+11,0.934886,0.98428,1,1,1,0.999066,1.00121,1,1,0,0,1,"[1]","[1]","[332706]","[-1.81633]","[1.1822]","[1.05e+06]","[0.00657654]","[-1]","[11]","[1]","[1342.39]","[626.463]","[-0.0165415]","[1.78334]",43941,-1.55707,1,"[342242]","[-1.27118]","[-2.22502]","[658205]","[1]","[0]","[0]","[-0.914475]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[360908,353183]","[-1.83233,-1.28873]","[1.18432,-2.22391]","[1.15644e+06,689519]","[0.0220971,13961.6]","[0,0]","[0,5.0401]","[-1,0.569755]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2779.2]",14905.9,"[23114.2]","[]","[14020.2,9134.72]","[]"
6,284500,40842847,361103,8432.93,8579.63,2.45303e+11,0.402058,0.96203,1,1,1,0.997954,1.01508,1,1,0,0,1,"[1]","[1]","[209948]","[-1.62884]","[2.59751]","[555746]","[-0.0331635]","[-1]","[11]","[1]","[1706.72]","[1615.09]","[0.0140612]","[1.16508]",72316.6,2.92054,2,"[298655,23052.6]","[0.17202,1.35631]","[-0.518845,2.0438]","[303479,48025.7]","[0.995623,0.991673]","[0,0]","[0,0]","[-0.84234,-0.916208]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[301296]","[0.168871]","[-0.515796]","[305983]","[15249.9]","[0]","[0.201702]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3207.2]",9130.61,"[6859.02,6136.18]","[]","[3147.5]","[]"
18,284500,40164385,361103,8434.34,8579.63,2.45303e+11,1.08735,0.96323,1,1,1,0.98705,1.00493,1,1,0,0,1,"[1]","[1]","[247812]","[-1.14418]","[-0.0539325]","[428510]","[0.04076]","[-1]","[11]","[1]","[2358.4]","[-1578.9]","[0.0157214]","[2.0172]",11184.3,-2.81116,1,"[229344]","[-0.257252]","[3.11181]","[237282]","[1]","[4]","[0]","[-0.12881]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[276603]","[-1.17041]","[-0.0562859]","[488798]","[10069.6]","[0]","[5.15872]","[0.251172]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4215.37]",6847.15,"[8902.49]","[]","[4644.84]","[]"
20,284500,40179959,361103,8434.95,8579.63,2.45303e+11,1.08735,0.98697,1,1,1,1.00909,1.00582,1,1,0,0,1,"[1]","[1]","[232282]","[-0.432696]","[2.2929]","[254368]","[-0.0271156]","[-1]","[11]","[1]","[0]","[-1396.66]","[0.0115773]","[2.04647]",91604.2,2.85005,3,"[318458,21953.1,21284.9]","[0.193801,0.680727,-1.97088]","[-0.668625,3.01439,2.01412]","[326587,27655.2,78015.5]","[0.995835,0.979124,0.840209]","[0,4,0]","[0,0,0]","[-0.718472,-0.866211,-0.827724]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[323151]","[0.19675]","[-0.666026]","[331550]","[37468.3]","[0]","[1.52479]","[0.735421]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1617.08]",5839.7,"[5082.34,1470.83,1565.07]","[]","[20076.5]","[]"
23,284500,40179843,361103,8434.95,8579.63,2.45303e+11,1.08735,0.97996,1,1,1,0.998966,1.01265,1,1,0,0,1,"[1]","[1]","[166824]","[1.73555]","[-2.72343]","[487821]","[0.0200119]","[-1]","[11]","[1]","[2261.02]","[2426.37]","[-0.0272857]","[2.93841]",82876.6,-2.079,1,"[244725]","[1.85213]","[0.623447]","[799126]","[0.998959]","[0]","[0]","[-0.813841]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252522]","[1.87388]","[0.623492]","[841834]","[9010.74]","[0]","[4.55405]","[0.319663]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2176.44]",39518,"[5530.86]","[]","[23503.5]","[]"
27,284500,40677672,361103,8429,8579.63,2.45303e+11,1.08735,0.98697,1,1,1,0.985431,1.00582,1,1,0,0,1,"[1]","[1]","[197468]","[-0.108272]","[2.04315]","[198626]","[0.0293038]","[-1]","[11]","[1]","[0]","[1195.09]","[0.00482306]","[0.760244]",81337.5,1.43022,3,"[347814,84578.1,59077.9]","[-0.288435,-0.418833,0.295682]","[-1.31728,0.617254,2.68343]","[363280,92828.8,62054.3]","[0.988244,0.986194,0.997124]","[4,0,0]","[0,0,0]","[-0.358021,-0.857888,-0.881449]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[336564,251269]","[-0.289309,-0.0428344]","[-1.31571,2.13861]","[351100,257905]","[15705.4,57123.9]","[0,1]","[0.615801,0.363421]","[-1,0.414733]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2232.72]",1656.22,"[4782.91,6988.64,2032.35]","[]","[12668.4,0]","[]"
37,284500,40372448,361103,8432.78,8579.63,2.45303e+11,0.596562,0.95734,1,1,1,0.987737,0.96953,1,1,0,0,1,"[1]","[1]","[32529.1]","[0.810598]","[-3.05157]","[43814.2]","[0.0166401]","[-1]","[11]","[1]","[0]","[435.072]","[0.0343351]","[2.47119]",251243,-2.71388,1,"[279822]","[-0.565021]","[0.366054]","[325908]","[0.999721]","[4]","[0]","[-0.45469]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[274144]","[-0.566186]","[0.366314]","[319320]","[5605]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[47.0622]",19921.9,"[4615.53]","[]","[4059.78]","[]"
43,284500,40745021,361103,8437.93,8579.63,2.45303e+11,0.75088,0.96966,1,1,1,0.998408,0.99604,1,1,0,0,1,"[1]","[1]","[187426]","[-2.31866]","[-2.47313]","[961542]","[0.124193]","[-1]","[11]","[1]","[0]","[-1198.76]","[0.0408293]","[1.97591]",85191.5,-2.61671,2,"[260426,47345.7]","[-1.71407,1.83003]","[0.774438,-1.00549]","[746610,151569]","[0.996396,0.96201]","[0,0]","[0,0]","[-0.769267,-0.725075]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272315]","[-1.70774]","[0.776209]","[775896]","[12741.5]","[0]","[2.18865]","[0.693158]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2632.13]",1848.64,"[5886.85,2516.39]","[]","[20684.2]","[]"
52,284500,40009564,361103,8433.9,8579.63,2.45303e+11,1.74563,1.01378,1,1,1,0.998154,1.00936,1,1,0,0,1,"[1]","[1]","[264394]","[0.0800556]","[0.592051]","[265241]","[0.088953]","[-1]","[11]","[1]","[0]","[617.18]","[-0.0153229]","[2.29089]",36685.8,0.118207,3,"[349183,170821,28123.2]","[-0.0919773,1.84196,0.327019]","[-3.02971,-0.787433,3.04898]","[352883,552527,30183.7]","[0.999946,0.99,0.974523]","[0,0,0]","[0,0,0]","[-0.945465,-0.944986,-0.301324]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[345835,277734]","[-0.0995216,0.0695493]","[-3.03957,0.599277]","[349606,278406]","[37861.5,0.00126859]","[0,0]","[1.0084,0]","[0.57078,-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1377.92]",10187.2,"[5445.99,19826.4,1899.64]","[]","[55.9062,7306.19]","[]"
66,284500,40912137,361103,8433.99,8579.63,2.45303e+11,1.74563,0.96323,1,1,1,0.987823,1.00493,1,1,0,0,1,"[1]","[1]","[214778]","[-1.17392]","[-1.84282]","[380565]","[-0.00779915]","[-1]","[11]","[1]","[0]","[-683.45]","[-0.00923133]","[0.880688]",21874.8,2.2338,2,"[287871,109455]","[0.688367,0.382417]","[0.934934,-2.7033]","[360859,118679]","[1,0.967212]","[4,0]","[0,0]","[0.766949,-0.882058]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[276636]","[0.680014]","[0.935034]","[345143]","[37494.8]","[0]","[1.45734]","[0.849094]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2500.07]",287.562,"[4887.06,2449.64]","[]","[15444.1]","[]"
