event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
23,284500,7240818,361104,8430.48,8579.63,2.64338e+11,0.402058,1,1.00211,1,1,0.997764,1.01118,1,0,1,0,1,"[1]","[1]","[189791]","[1.68171]","[0.764825]","[527696]","[0.014164]","[-1]","[13]","[1]","[0]","[1204.99]","[-0.00605846]","[1.08438]",89147.1,-0.0440255,3,"[259515,36139.2,22089.4]","[1.15872,2.04689,-0.839175]","[-2.56266,-2.63686,0.949016]","[454834,142425,30536.3]","[0.998763,0.978633,0.926964]","[0,0,0]","[0,0,0]","[-0.657227,-0.814797,-0.861368]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252655]","[1.1509]","[-2.5509]","[439683]","[18610.2]","[0]","[1.74996]","[0.722427]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3567.93]",1945.7,"[4341.98,2250.27,2377.41]","[]","[7710.75]","[]"
72,284500,7799395,361104,8433.99,8579.63,2.64338e+11,0.596562,1,0.999557,1,1,0.99894,0.993383,1,0,1,0,1,"[1]","[1]","[161231]","[-2.14282]","[2.3098]","[696576]","[-0.0948029]","[-1]","[13]","[1]","[0]","[-483.623]","[-0.0115962]","[2.11159]",66534.4,2.8249,3,"[227061,78680.9,27754.8]","[0.117755,2.34372,0.438108]","[-0.404757,-2.72317,-0.107073]","[232892,413932,30610.2]","[0.997876,0.997694,1]","[0,0,0]","[0,0,0]","[-0.839619,-0.729249,-0.467463]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[259079]","[0.103767]","[-0.382878]","[267817]","[62277.8]","[0]","[1.36868]","[0.69637]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5561.82]",4134.36,"[3250,11332.6,2508.3]","[]","[10228.3]","[]"
89,284500,7202102,361104,8429.04,8579.63,2.64338e+11,0.738662,1,0.998223,1,1,0.999409,0.992139,1,0,1,0,1,"[1]","[1]","[190551]","[-2.30763]","[1.48193]","[967057]","[0.199913]","[-1]","[13]","[1]","[0]","[-386.256]","[0.000463685]","[0.0591224]",125729,1.60899,3,"[303520,102269,87854.4]","[-0.549213,-1.92597,1.66879]","[-1.64128,0.115929,-2.92588]","[351020,358484,241580]","[0.99614,0.986298,0.990037]","[0,0,0]","[0,0,0]","[-0.762094,-0.918153,-0.920622]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[302377]","[-0.543711]","[-1.64076]","[348502]","[14896.3]","[0]","[4.23241]","[0.378003]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3420.72]",11506.9,"[11817,7627.03,4898.21]","[]","[18414.7]","[]"
97,284500,8341968,361104,8441.6,8579.63,2.64338e+11,1.08735,1,1.00078,1,1,0.997097,1.01222,1,0,1,0,1,"[1]","[1]","[35111]","[1.53707]","[1.51196]","[85424.7]","[-0.0719376]","[-1]","[13]","[1]","[0]","[-284.378]","[0.00246611]","[0.25434]",287546,0.771529,4,"[255621,27046.2,26022.5,25562.2]","[0.557807,-0.0559102,0.562823,-1.30147]","[-2.40565,-2.36256,-1.68842,-1.5247]","[297198,27518.7,30726.4,50663.6]","[0.99383,0.982693,0.91313,0.988584]","[0,0,0,0]","[0,0,0,0]","[-0.448826,-0.442183,-0.861405,-0.821451]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255576]","[0.563173]","[-2.40395]","[298264]","[25309.4]","[0]","[2.07781]","[0.814417]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[196.224]",29214.3,"[5658.14,5432.17,4685.92,1714.87]","[]","[2095.02]","[]"
109,284500,8609044,361104,8438.53,8579.63,2.64338e+11,1.55465,1,0.996439,1,1,0.999453,0.954216,1,0,1,0,1,"[1]","[1]","[178209]","[0.449755]","[-1.80839]","[196539]","[0.00372314]","[-1]","[13]","[1]","[1247.89]","[-426.288]","[0.00894898]","[1.30529]",81673.8,-1.56784,1,"[261934]","[0.735681]","[1.43202]","[336092]","[0.930271]","[0]","[0]","[-0.408622]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279770]","[0.713466]","[1.43197]","[354082]","[4894.75]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[6223.13]",2668.3,"[4186.87]","[]","[10183]","[]"
129,284500,8948845,361104,8432.19,8579.63,2.64338e+11,1.55465,1,0.998712,1,1,0.998721,0.836587,1,0,1,0,1,"[1]","[1]","[99040.8]","[0.955268]","[0.216086]","[147773]","[0.00811768]","[-1]","[13]","[1]","[0]","[-727.897]","[0.00802715]","[1.45483]",223532,0.554183,2,"[281014,21050]","[1.23833,-0.711801]","[-2.73481,2.66686]","[526491,26814.2]","[1,0.994503]","[0,0]","[0,0]","[-0.931651,-0.829251]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262773]","[1.27043]","[-2.74144]","[505671]","[27301.3]","[0]","[1.92636]","[0.715428]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[574.2]",21607.2,"[4413.69,1614.35]","[]","[3155.88]","[]"
136,284500,8768100,361104,8428.85,8579.63,2.64338e+11,0.738662,1,0.998124,1,1,0.996704,0.99415,1,0,1,0,1,"[1]","[1]","[190715]","[1.3812]","[-0.637864]","[403454]","[-0.0226021]","[-1]","[13]","[1]","[2734.48]","[-384.703]","[-0.00480681]","[0.904779]",24774.3,2.96959,7,"[291061,155045,92794.8,62783,49017.3,32339.3,21580.2]","[0.694281,0.810246,0.832809,-1.60322,0.307463,-1.70667,0.420951]","[1.87519,3.12279,-0.694164,-2.2132,-0.236238,-1.57192,-1.07674]","[364851,209861,127863,162782,52406.5,92164,23792.4]","[0.994051,0.99323,0.999635,0.9969,0.991412,0.989432,0.999076]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.816033,-0.920079,-0.958301,-0.906861,-0.585122,-0.678506,-0.74286]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[291332]","[0.660766]","[1.91112]","[359667]","[41367.2]","[0]","[2.07073]","[0.696401]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[13563.9]",5757.91,"[4654.5,2201.82,5101.68,2353.73,3647.12,2909.7,2216.8]","[]","[16426.9]","[]"
138,284500,8997855,361104,8438.68,8579.63,2.64338e+11,0.934886,1,0.991972,1,1,0.997598,0.859979,1,0,1,0,1,"[1]","[1]","[39029.1]","[0.227327]","[-2.64989]","[40042.1]","[0.0244217]","[-1]","[13]","[1]","[1573.07]","[-361.177]","[-0.00439704]","[0.698945]",222748,-2.14552,3,"[428642,172358,30621.4]","[0.416726,0.144672,-1.19185]","[0.92498,-2.02292,2.62607]","[466522,174989,55205.2]","[0.999161,0.996562,0.980195]","[0,0,0]","[0,0,0]","[-0.697625,-0.936171,-0.760013]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[419416]","[0.456582]","[0.924061]","[464097]","[13564]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[107.832]",17717.8,"[15007.8,4346.79,2443]","[]","[9909.88]","[]"
145,284500,7432244,361104,8438.49,8579.63,2.64338e+11,1.74563,1,0.98926,1,1,0.999202,0.999379,1,0,1,0,1,"[1]","[1]","[219213]","[-1.70307]","[-1.44246]","[621789]","[0.0378194]","[-1]","[13]","[1]","[0]","[-142.348]","[0.026473]","[5.14838]",132005,-1.30895,3,"[256189,112068,63873.1]","[-1.03182,1.54295,-1.52896]","[1.70522,2.48764,0.169201]","[405266,274376,154511]","[0.98598,0.98312,0.998522]","[0,0,0]","[0,0,0]","[-0.858346,-0.94223,-0.900506]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[265719]","[-1.03133]","[1.70477]","[420059]","[6336.14]","[0]","[3.97845]","[0.33157]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[11657.4]",10184.6,"[6011.5,7607.01,5454.82]","[]","[12365.8]","[]"
159,284500,9099387,361104,8430.14,8579.63,2.64338e+11,0.596562,1,0.995121,1,1,0.997603,0.992957,1,0,1,0,1,"[1]","[1]","[71354.1]","[0.638713]","[-0.823643]","[86410.3]","[-0.0168533]","[-1]","[13]","[1]","[0]","[-423.248]","[-0.0255002]","[4.67385]",261079,-1.23531,2,"[306615,21223.9]","[-0.369467,-1.93603]","[2.00113,1.20899]","[327859,75205.1]","[0.238982,1]","[0,0]","[0,0]","[-0.920442,-0.849466]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[313618]","[-0.328634]","[2.00259]","[330706]","[-0.00436732]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[677.632]",10954.2,"[9433.12,3263.59]","[]","[26518.4]","[]"
