event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,18717378,361105,8433.74,8579.63,1.65196e+11,0.738662,0.95175,1,1,1,0.999466,0.9244,1,1,0,0,1,"[0]","[1]","[46302.1]","[1.19752]","[1.91323]","[83663.7]","[-0.0707436]","[-1]","[11]","[1]","[0]","[-1726.11]","[-0.0184004]","[1.56723]",289063,2.01883,1,"[283285]","[-0.537565]","[-1.16819]","[325630]","[0.992025]","[0]","[0]","[-0.335234]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[286247]","[-0.567155]","[-1.16672]","[333632]","[8162.65]","[0]","[3.2109]","[0.0382629]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[177.659]",1036.44,"[6312.4]","[]","[240.406]","[]"
4,284500,19131789,361105,8436.95,8579.63,1.65196e+11,1.74563,0.97921,1,1,1,0.995857,1.00192,1,1,0,0,1,"[0]","[1]","[72197.1]","[-0.317936]","[-2.56787]","[75876.9]","[0.00883001]","[-1]","[11]","[1]","[1296.14]","[142.945]","[-0.0370337]","[5.49692]",231428,-2.55473,6,"[286992,38705.5,35128.2,26241.3,25951.4,23143.3]","[-0.66977,-1.58701,1.13742,-0.724503,-1.58163,-1.09825]","[0.546322,-0.120521,1.25079,3.09718,-2.70157,-0.409083]","[355697,98801.9,60691.6,34113.8,65912.5,38745.1]","[1,1,0.995252,0.99268,0.994963,0.969412]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.725931,-0.831352,-0.834591,-0.867358,-0.857731,-0.848212]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[341506]","[-0.621702]","[0.50996]","[415142]","[67257.9]","[0]","[1.42977]","[0.642921]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[325.167]",56765.2,"[5376.51,21592.2,3612.54,5714.75,3973.9,2987.29]","[]","[31107.8]","[]"
16,284500,16611722,361105,8441.08,8579.63,1.65196e+11,0.402058,1,0.97553,1,1,0.996187,0.852763,1,0,1,0,1,"[0]","[1]","[57389.8]","[0.471025]","[-0.338667]","[63874.8]","[0.0124893]","[-1]","[13]","[1]","[0]","[-98.8522]","[-0.0612441]","[11.9153]",318316,-0.188344,4,"[345272,91493.5,24909.9,21141.1]","[-0.481746,-1.89715,-2.31246,-2.32731]","[2.62029,-1.90925,-2.31783,2.52098]","[386265,311938,127115,109459]","[0.993287,0.986168,0.88,0.99]","[0,0,0,0]","[0,0,0,0]","[-0.876376,-0.235239,-0.536511,-0.684738]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[338841]","[-0.522983]","[2.62505]","[386384]","[10347.6]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[363.998]",3033.88,"[8271.38,2533.51,2439.59,3851.64]","[]","[29908.8]","[]"
17,284500,15652787,361105,8433.15,8579.63,1.65196e+11,1.74563,1,0.998077,1,1,0.987074,0.91657,1,0,1,0,1,"[0]","[1]","[107426]","[-0.936846]","[-2.18749]","[158119]","[0.0667772]","[-1]","[13]","[1]","[0]","[740.842]","[-0.0310986]","[5.48005]",153211,-2.46407,1,"[258845]","[0.338124]","[0.780816]","[275282]","[0.997011]","[4]","[0]","[0.656705]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279285]","[0.334326]","[0.779378]","[296868]","[32896.1]","[0]","[1.57545]","[0.811053]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4249.77]",2393.72,"[3476.83]","[]","[3635.94]","[]"
20,284500,19334517,361105,8431.9,8579.63,1.65196e+11,1.08735,1,0.996476,1,1,0.997794,0.99664,1,0,1,0,1,"[0]","[1]","[136436]","[-1.24001]","[0.925403]","[255479]","[-0.0216179]","[-1]","[13]","[1]","[0]","[264.724]","[-0.0416505]","[7.75934]",227195,1.09528,3,"[267999,47395.8,26262.1]","[1.14039,0.95737,1.47407]","[-1.81625,-2.45503,-2.60785]","[462929,71452.6,60454.1]","[0.997719,0.990792,0.994074]","[0,0,0]","[0,0,0]","[-0.876359,-0.760017,-0.789756]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279089]","[1.14874]","[-1.8775]","[490450]","[76844.2]","[0]","[2.09335]","[0.789324]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5426.9]",5035.12,"[6431.33,2199.3,2588.35]","[]","[683.344]","[]"
22,284500,19402364,361105,8438.26,8579.63,1.65196e+11,0.596562,0.98413,1,1,1,0.997141,0.99866,1,1,0,0,1,"[0]","[1]","[129205]","[-0.856527]","[-3.06081]","[179570]","[-0.0404205]","[-1]","[11]","[1]","[0]","[893.232]","[0.02512]","[3.82319]",496480,-2.89369,4,"[282903,234409,120391,30727]","[-1.12792,1.66133,-1.59981,1.27371]","[0.0541689,0.658276,-0.376706,0.396589]","[484316,641363,310311,59343.6]","[0.997681,0.98934,0.972968,0.974944]","[0,0,0,0]","[0,0,0,0]","[-0.862152,-0.805691,-0.85578,-0.655126]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[378764,268218]","[-1.34507,1.60615]","[-0.0895343,0.627552]","[784425,698538]","[112780,67609.9]","[0,0]","[0.960514,1.3348]","[0.580424,0.851622]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[986.248]",22366.1,"[6172.36,19019.3,4113.04,2437.55]","[]","[6849.19,14486.2]","[]"
24,284500,19458401,361105,8434.99,8579.63,1.65196e+11,1.08735,1,0.994187,1,1,0.999353,1.027,1,0,1,0,1,"[0]","[1]","[191474]","[0.345175]","[-0.955348]","[202994]","[0.193237]","[-1]","[13]","[1]","[0]","[-373.844]","[-0.0512407]","[7.92933]",127282,-1.13502,1,"[312958]","[0.810782]","[2.09216]","[421582]","[0.996932]","[0]","[0]","[-0.270688]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[299918]","[0.85042]","[2.09239]","[415066]","[-0.00390625]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12402.1]",5852.77,"[6820.25]","[]","[10906.2]","[]"
25,284500,19463558,361105,8439.79,8579.63,1.65196e+11,0.596562,0.97435,1,1,1,0.998935,0.98425,1,1,0,0,1,"[0]","[1]","[45419.4]","[0.203159]","[-1.56021]","[46360]","[0.112908]","[-1]","[11]","[1]","[0]","[-358.216]","[-0.0241549]","[1.66996]",240348,-1.77115,2,"[250941,21753.1]","[0.0763873,-0.517929]","[1.41375,1.56726]","[252376,24972.4]","[0.993931,0.977785]","[0,0]","[0,0]","[-0.924189,-0.852611]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[271471]","[0.0306664]","[1.42221]","[274567]","[40263.4]","[0]","[2.26541]","[0.673133]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[572.818]",5878.08,"[7237.74,1741.67]","[]","[5121.66]","[]"
30,284500,19591112,361105,8441.2,8579.63,1.65196e+11,1.08735,0.98916,1,1,1,1.00964,0.99765,1,1,0,0,1,"[0]","[1]","[110350]","[0.562216]","[-2.59758]","[128255]","[0.0221939]","[-1]","[11]","[1]","[0]","[-253.766]","[-0.0475569]","[6.19041]",152438,-2.46856,2,"[269695,22981.4]","[1.61055,0.194085]","[0.725861,-1.26968]","[702051,23478.5]","[1,0.995375]","[0,4]","[0,0]","[-0.941276,-0.833825]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[279441]","[1.62454]","[0.725182]","[736839]","[10984.4]","[0]","[0.731798]","[0.167683]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[845.656]",5534.34,"[7815.48,2538.85]","[]","[10593.7]","[]"
38,284500,19895565,361105,8447.74,8579.63,1.65196e+11,0.187531,0.97332,1,1,1,0.998833,0.98683,1,1,0,0,1,"[0]","[1]","[69988.5]","[-1.0377]","[0.930218]","[111176]","[0.0180664]","[-1]","[11]","[1]","[1618.45]","[-260.248]","[0.0492136]","[4.64053]",157427,1.25718,4,"[233648,65165,36691.5,26376.1]","[0.303942,0.0344233,-0.288482,0.481005]","[-1.9949,0.827989,-1.49444,3.13172]","[245384,66628.7,39029.3,30081.6]","[0.996044,0.00880803,0.985315,0.766433]","[0,0,0,0]","[0,0,0,0]","[-0.942845,-0.779922,-0.908456,-0.892701]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267577]","[0.381048]","[-1.94028]","[299411]","[84502.8]","[0]","[3.10205]","[0.0955398]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[560.05]",3325.95,"[2939.39,1892.39,2822.88,2075.25]","[]","[5218.09]","[]"
