event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
501,284500,35625,364169,1,1.198,4.06802e+06,0.553627,1,0.997331,1,1,0.993259,0.760669,1,0,1,0,1,"[1]","[1]","[706688]","[0.928563]","[-1.61372]","[1.03388e+06]","[-0.0200653]","[-1]","[13]","[1]","[0]","[1587.61]","[-0.00460827]","[1.06592]",252854,-1.85285,4,"[793841,44714.7,40858.8,36996]","[-0.755991,-2.07916,-1.15641,-0.303836]","[1.377,1.44652,1.85898,1.41094]","[1.03347e+06,181824,71810.7,39258.2]","[1,0.993607,0.786185,0.96866]","[0,0,0,0]","[0,0,0,0]","[-0.342177,-0.864626,-0.840848,-0.971895]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[792033]","[-0.722732]","[1.37226]","[1.00924e+06]","[48865.9]","[0]","[1.9356]","[0.534362]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[37587.2]",2027.59,"[14410.2,2282.91,2491.55,5925.62]","[]","[72157]","[]"
1709,284500,40103,364169,1,1.198,4.06802e+06,1.08735,1,0.99582,1,1,0.996151,0.855128,1,0,1,0,1,"[1]","[1]","[200164]","[-1.11258]","[0.540847]","[337368]","[-0.00525093]","[1]","[13]","[1]","[0]","[-287.5]","[-0.00674262]","[1.45784]",102698,0.436664,3,"[468919,74761.6,21730.1]","[-1.95996,2.00564,1.42538]","[2.19775,-1.34517,-0.750283]","[1.69763e+06,282922,47983.3]","[0.991091,0.990039,0.981242]","[0,0,0]","[0,0,0]","[-0.910211,-0.825416,-0.74761]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[484224,447727]","[-1.96758,0.314658]","[2.19626,-1.58954]","[1.76582e+06,472103]","[15976.7,43705.2]","[0,0]","[2.87535,1.32353]","[0.652712,0.402525]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[17212.3]",1294.02,"[18480.1,4712.82,1589.92]","[]","[8105.69,5023.88]","[]"
9254,284500,50488,364169,-1,1.198,4.06802e+06,0.696077,1,0.99737,1,1,0.98998,0.962223,1,0,1,0,1,"[1]","[1]","[30492.2]","[-1.13255]","[3.1145]","[52229.8]","[-0.0107498]","[1]","[13]","[1]","[0]","[-1350.89]","[-0.00569142]","[0.669071]",104723,-1.46205,3,"[708680,680847,21151.3]","[-1.47665,-0.549467,-0.813167]","[2.49222,-0.57067,1.49777]","[1.63401e+06,786865,28798.1]","[1,0.998597,0.99]","[0,0,0]","[0,0,0]","[-0.854352,-0.756679,-0.926806]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[695882,674028]","[-0.562716,-1.49008]","[-0.573072,2.49592]","[809094,1.57185e+06]","[12609.2,36066.8]","[0,0]","[0,2.59766]","[-1,0.827417]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[211.05]",27506.5,"[33021,14492.6,3612.5]","[]","[16594.9,14057.8]","[]"
10268,284500,62231,364169,1.19493,1.198,4.06802e+06,1.74563,1,0.989329,1,1,0.992336,0.890931,1,0,1,0,1,"[1]","[1]","[295650]","[-0.287344]","[1.15617]","[307939]","[0.110413]","[-1]","[13]","[1]","[0]","[448.94]","[0.0016194]","[0.311425]",159610,0.861743,5,"[677059,248282,160643,21661.1,20595]","[0.599304,-0.767997,-0.323932,-0.817196,-0.441925]","[-1.42976,2.45791,2.41043,0.612953,2.99181]","[803078,327249,171476,29664.7,22974.1]","[0.995785,0.992688,0.984332,0.879179,0.600306]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.968754,-0.708107,-0.932547,-0.317136,-0.92139]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[689506,380290]","[0.560468,-0.655296]","[-1.43121,2.42621]","[801344,475975]","[32958.3,102060]","[0,0]","[2.90096,1.12975]","[0.514675,0.624749]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[29098.6]",7122.05,"[19893.5,10950.9,2632.47,1632.78,186.729]","[]","[54716,18344.2]","[]"
11262,284500,59602,364169,1,1.198,4.06802e+06,1.21412,1,1.00188,1,1,1.42594,1.00704,1,0,1,0,1,"[1]","[1]","[89844.6]","[-1.42409]","[3.08896]","[197424]","[0.00336456]","[1]","[13]","[1]","[1062.65]","[-522.823]","[-0.0088378]","[1.59023]",98649.7,-1.67296,7,"[1.03241e+06,818830,174223,114270,45060.9,25829.8,24696]","[1.48028,-0.610966,-0.260616,1.5168,1.4124,0.268772,0.723933]","[-0.276493,2.68674,-1.62811,2.01966,2.79832,2.01425,2.66854]","[2.38743e+06,976932,180483,273285,98215.3,27026.5,31884.4]","[1,0.82714,0.995949,0.998196,0.98,1,0.934492]","[0,0,4,0,0,4,0]","[0,0,0,0,0,0,0]","[-0.827368,-0.691464,0.954016,-0.904461,-0.926381,0.498003,-0.405468]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[1.0255e+06,825378]","[1.4945,-0.587282]","[-0.278137,2.68772]","[2.4014e+06,972267]","[68267.5,28380.3]","[0,0]","[1.88188,6.33258]","[0.744514,0.503154]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3966.2]",5204.04,"[20799.6,11096.2,4859.92,3085.48,4910.85,1283.95,3482.73]","[]","[28666.4,12930.8]","[]"
21816,284500,302098,364169,1,1.198,4.06802e+06,1.25133,1,1.00106,1,1,0.949788,1.00043,1,0,1,0,1,"[1]","[1]","[103775]","[1.2855]","[-1.49105]","[201998]","[0.0322914]","[-1]","[13]","[1]","[0]","[-446.329]","[0.00684781]","[1.12959]",18061.9,3.03692,3,"[532514,455436,25526.9]","[1.51711,1.23403,2.26912]","[-2.77755,0.595804,1.3669]","[1.27382e+06,849745,124853]","[1,0.985848,0.98621]","[0,4,0]","[0,0,0]","[0.14573,0.00541842,-0.912389]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[552184,498071]","[1.51986,1.24025]","[-2.77331,0.59845]","[1.32389e+06,933722]","[58901.7,40616.6]","[0,0]","[1.70626,1.56798]","[0.597511,0.832597]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3657.48]",59085,"[24420.9,22835.2,4296.39]","[]","[27050.4,20875]","[]"
22404,284500,301159,364169,1,1.198,4.06802e+06,0.923924,1,0.998463,1,1,0.962049,0.804098,1,0,1,0,1,"[1]","[1]","[32284.3]","[-0.77678]","[1.00698]","[42524]","[0.00317764]","[1]","[13]","[1]","[0]","[-743.025]","[-0.00242488]","[0.354458]",25113.9,-0.627393,6,"[405196,376455,156028,72336.8,54470.8,28016.6]","[-2.00004,-0.426337,-1.95905,0.059461,0.849936,1.44286]","[-0.650828,2.73928,3.00457,0.34807,0.490949,0.486848]","[1.52508e+06,413771,564376,73184.5,75835.1,62817.1]","[0.991648,0.999984,1,1,0.989005,1]","[0,0,5,0,0,0]","[0,0,0,0,0,0]","[-0.565131,-0.960652,-0.8821,-0.847841,-0.947553,-0.799362]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[379958]","[-0.449757]","[2.73078]","[423016]","[57868]","[0]","[1.7026]","[0.701419]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[107.871]",3453.15,"[9860.95,5635.16,3356.97,4713.46,3948.07,3087.77]","[]","[12982]","[]"
27216,284500,308546,364169,1,1.198,4.06802e+06,1.1961,1,0.995771,1,1,0.996975,0.950631,1,0,1,0,1,"[1]","[1]","[30063.4]","[0.665582]","[3.07364]","[36972.1]","[0.0294952]","[-1]","[13]","[1]","[0]","[-328.129]","[0.00938295]","[1.04191]",29499.8,-1.23669,2,"[524906,84171.5]","[-0.359018,-1.93026]","[0.82384,-2.19027]","[561733,296638]","[0.999932,0.99]","[0,0]","[0,0]","[-0.865822,-0.904189]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[518808,423938]","[-0.375662,-0.380536]","[0.822217,-2.36294]","[557961,455352]","[48509.7,17784]","[0,0]","[2.86408,3.6179]","[0.632185,0.113751]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[56.6984]",1242.05,"[6437.73,6094.21]","[]","[17276,6511.44]","[]"
30737,284500,852942,364169,1,1.198,4.06802e+06,0.923924,1,1.00061,1,1,0.962252,0.994245,1,0,1,0,1,"[1]","[1]","[44602.4]","[1.2365]","[1.18698]","[83271.3]","[-0.00750732]","[1]","[13]","[1]","[0]","[-15.9188]","[0.00903425]","[1.00431]",11124.1,0.628504,7,"[541019,381851,135612,44611.6,43536.3,25425.3,22102.6]","[1.48632,-0.556733,-1.64376,-1.4315,-0.664541,-0.144161,-1.19103]","[2.11241,-1.17273,-0.878749,1.89759,-1.83839,-0.883243,-0.373013]","[1.25734e+06,443741,364266,98903.9,54056.3,26076.8,39875.4]","[0.996795,1,0.994566,0.990268,0.995276,0.973856,0.980312]","[0,0,4,0,0,0,0]","[0,0,0,0,0,0,0]","[-0.911102,-0.651419,-0.14232,-0.928149,-0.782527,-0.941484,-0.851297]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[542412,412687]","[1.48064,-0.571018]","[2.11116,-1.20642]","[1.25401e+06,487190]","[19593.2,72159.5]","[0,0]","[2.22753,2.53835]","[0.519452,0.574812]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[326.679]",1623.1,"[7415.61,4003.13,5602.63,3957.96,3504.36,1831.86,2969.45]","[]","[8278.62,17402.6]","[]"
44663,284500,271255,364169,1,1.198,4.06802e+06,0.75088,1,0.997604,1,1,0.992291,0.998578,1,0,1,0,1,"[1]","[1]","[151227]","[1.34441]","[0.973549]","[309758]","[0.0292778]","[-1]","[13]","[1]","[0]","[-1002.6]","[0.00336357]","[0.715883]",70894.5,0.948277,6,"[604245,323787,253462,41962.5,38935.9,29244.6]","[0.810744,0.596008,0.539388,0.821927,-1.92914,1.50482]","[-1.72911,2.15881,0.708541,1.13468,-1.08158,2.95986]","[817952,384027,292010,57585.2,137002,69173.2]","[0.991541,1,0.992893,0.999942,0.99942,0.985045]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[-0.695871,-0.540403,-0.948663,-0.607528,-0.902191,-0.74862]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",3,"[560617,325256,250834]","[0.825988,0.614439,0.586157]","[-1.71584,2.15431,0.733877]","[766247,389556,298476]","[70659.3,27131.3,44289.5]","[0,0,0]","[1.0872,3.179,2.68561]","[0.503511,0.668241,0.569127]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[8170.82]",12225.5,"[15904.9,9063.33,8646.54,2672.75,2286.99,3640.27]","[]","[11015.4,33491.9,2713.5]","[]"
