event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
272,284500,691547,364162,1,198.636,6.1555e+06,0.553627,1,0.996506,1,1,0.999657,1.04487,1,0,1,0,1,"[1]","[1]","[174651]","[-0.924693]","[0.37448]","[254793]","[0.0464096]","[1]","[13]","[1]","[0]","[416.274]","[-0.00932821]","[1.81795]",110997,0.73483,1,"[285426]","[-1.15898]","[-2.6104]","[499815]","[0.991985]","[0]","[0]","[-0.636864]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[283725]","[-1.17862]","[-2.6128]","[504797]","[10557.7]","[0]","[0.445882]","[0.013241]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[980.242]",6712.94,"[8111.34]","[]","[5133.69]","[]"
394,284500,881187,364162,-1,198.636,6.1555e+06,1.32095,1,0.997069,1,1,0.996822,0.751312,1,0,1,0,1,"[1]","[1]","[107734]","[0.783567]","[2.39807]","[142534]","[-0.0295372]","[-1]","[13]","[1]","[2726.73]","[-965.545]","[0.014155]","[2.40126]",148323,2.43006,3,"[243893,24491.6,23063.2]","[1.07756,-0.424476,2.22074]","[-0.654206,-0.824599,3.12355]","[400541,27172.8,107540]","[0.997599,0.978894,0.999118]","[0,0,0]","[0,0,0]","[-0.940066,-0.724288,-0.665279]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267423]","[1.06229]","[-0.67993]","[434824]","[39280.4]","[0]","[2.43687]","[0.729159]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2519.73]",5552.34,"[4044.88,2227.19,2851.38]","[]","[40.0312]","[]"
429,284500,356059,364162,1,198.636,6.1555e+06,1.22586,1,0.997951,1,1,0.997138,0.976117,1,0,1,0,1,"[1]","[1]","[89151.1]","[-0.175865]","[-0.219456]","[90533.4]","[0.00351477]","[1]","[13]","[1]","[0]","[1938.73]","[0.0081109]","[1.32415]",57346.3,0.516698,3,"[263872,169117,21471.9]","[1.70334,-0.747682,-0.058195]","[2.59434,-0.91092,-0.704459]","[748853,219772,21890.6]","[0.999704,1,0.989626]","[0,0,0]","[0,0,0]","[-0.39662,-0.903779,-0.236348]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266444]","[1.70925]","[2.59499]","[760302]","[15743.9]","[0]","[3.39826]","[0.706163]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1704.89]",6501.66,"[9365.15,5436.31,1630.4]","[]","[11249.6]","[]"
587,284500,1589548,364162,1,198.636,6.1555e+06,1.22586,1,0.993397,1,1,0.99749,0.968219,1,0,1,0,1,"[1]","[1]","[106053]","[-0.225702]","[-2.52845]","[108766]","[0.00795746]","[-1]","[13]","[1]","[0]","[-322.658]","[-0.00483858]","[0.84087]",153706,-1.93036,4,"[257336,30002.7,27076.1,20303.5]","[0.17085,0.215427,0.359212,0.546004]","[1.00576,-1.32479,1.44137,2.05641]","[261929,31469.1,29325.1,23730.5]","[0.996393,0.900766,0.961897,0.956405]","[0,0,0,0]","[0,0,0,0]","[-0.889237,-0.880395,-0.650621,-0.314621]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[251701]","[0.128843]","[1.01504]","[254157]","[13607]","[0]","[2.57813]","[0.650184]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5634.63]",8276.33,"[8300.58,1957.36,2024.07,1251.88]","[]","[127.344]","[]"
715,284500,405696,364162,1,198.636,6.1555e+06,0,1,0.991763,1,1,0.99583,0.895519,1,0,1,0,1,"[1]","[1]","[129728]","[0.794848]","[1.11397]","[172912]","[-0.0236754]","[1]","[13]","[1]","[0]","[-105.159]","[0.0366522]","[4.64835]",186393,1.16383,3,"[277296,21942,20480.4]","[-0.759955,-2.36031,2.46524]","[-2.14736,0.034868,-1.07826]","[362350,117392,121415]","[1,0.785371,0.991141]","[0,0,0]","[0,0,0]","[-0.684756,-0.167364,0.0526774]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[264228]","[-0.767227]","[-2.14943]","[345994]","[8703.89]","[0]","[1.45228]","[0.426142]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2453.58]",17352,"[7722.73,2011.09,1348.2]","[]","[21914.6]","[]"
788,284500,1042959,364162,-1,198.636,6.1555e+06,1.26459,1,0.998153,1,1,0.998919,0.82428,1,0,1,0,1,"[1]","[1]","[134717]","[0.658529]","[0.292429]","[164998]","[-0.00891876]","[-1]","[13]","[1]","[0]","[1872.74]","[0.0211522]","[3.98745]",135068,-0.0870941,2,"[269857,38515.8]","[1.47796,-0.111252]","[3.06649,-1.51689]","[623707,38909.2]","[0.99894,0.992769]","[0,0]","[0,0]","[-0.874567,-0.874626]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[268862]","[1.49123]","[3.06652]","[628902]","[42360.2]","[0]","[1.74397]","[0.693502]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1640.52]",29038.2,"[23794.8,3310.41]","[]","[9379.05]","[]"
1147,284500,878313,364162,1,198.636,6.1555e+06,0.351687,1,0.993018,1,1,0.9997,0.820029,1,0,1,0,1,"[1]","[1]","[81144]","[0.121306]","[2.11448]","[81741.8]","[0.0499268]","[1]","[13]","[1]","[0]","[2861.83]","[-0.00632258]","[0.897648]",190279,1.51595,1,"[263663]","[-0.14969]","[-1.43804]","[267090]","[0.993252]","[0]","[0]","[-0.831951]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[255551]","[-0.19443]","[-1.44144]","[260547]","[8838.08]","[0]","[3.11593]","[0.320277]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[572.846]",5762.84,"[6511.8]","[]","[3687.69]","[]"
1193,284500,2750358,364162,1,198.636,6.1555e+06,1.32095,1,0.998569,1,1,0.999688,0.732615,1,0,1,0,1,"[1]","[1]","[66293.5]","[0.716303]","[2.3362]","[84040.5]","[-0.0061779]","[1]","[13]","[1]","[0]","[172.38]","[0.000638039]","[0.126319]",245860,1.62237,1,"[296142]","[0.67646]","[-1.3891]","[366903]","[0.992545]","[0]","[0]","[-0.841221]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[290310]","[0.694548]","[-1.38495]","[363279]","[7900.49]","[0]","[0]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[474.45]",4811.14,"[5829.55]","[]","[18971.2]","[]"
1444,284500,3931772,364162,1,198.636,6.1555e+06,1.21412,1,0.995807,1,1,0.998369,0.937307,1,0,1,0,1,"[1]","[1]","[184113]","[0.0975334]","[2.86131]","[184989]","[-0.011631]","[-1]","[13]","[1]","[3999.23]","[945.316]","[0.0142853]","[3.19032]",128976,2.30855,3,"[270949,88395.5,29219.6]","[0.901739,0.508768,-0.295184]","[-0.740453,0.180283,2.76762]","[390369,101088,30866.4]","[0.989796,0.997552,0.997032]","[0,0,0]","[0,0,0]","[-0.927285,-0.817993,0.0656762]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[285047]","[0.889978]","[-0.534695]","[433163]","[152087]","[0]","[1.0562]","[0.813381]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[937.69]",4778.8,"[6257.34,3264.16,2747.04]","[]","[12651.9]","[]"
1646,284500,727024,364162,-1,198.636,6.1555e+06,1.26459,1,0.995501,1,1,0.99778,1.01288,1,0,1,0,1,"[1]","[1]","[134048]","[-1.15252]","[-0.636983]","[233378]","[0.0720215]","[1]","[13]","[1]","[1930.07]","[-612.245]","[-0.0119328]","[1.81652]",182071,-0.204956,3,"[255872,41222.3,20652.3]","[-0.625181,1.76658,-0.960826]","[2.77231,2.28961,-2.97014]","[308511,124292,31182.4]","[0.99955,0.965573,0.992789]","[0,0,0]","[0,0,0]","[-0.804887,-0.916506,-0.300514]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258042]","[-0.612122]","[2.77616]","[309132]","[27414.9]","[0]","[2.42775]","[0.526017]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1936.26]",4268.94,"[6018.18,4790.51,2806.75]","[]","[0]","[]"
