event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
1303,284500,1120344,364166,-1,22.3956,2.78397e+06,0.351687,1,0.995905,1,1,0.925815,0.976547,1,0,1,0,1,"[1]","[1]","[109361]","[1.40721]","[-0.522998]","[236731]","[0.0205717]","[-1]","[13]","[1]","[1263.66]","[-906.695]","[-0.0221672]","[3.70782]",66672,-1.00266,2,"[293947,130969]","[1.36886,1.70463]","[2.70849,-0.166595]","[615429,372195]","[0.271476,0.989702]","[4,4]","[0,0]","[-0.0833753,-0.745933]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[289271]","[1.37487]","[2.70322]","[608702]","[13877.1]","[0]","[2.96194]","[0.629655]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2271.78]",11033.1,"[14854.1,2707.38]","[]","[18094.4]","[]"
1442,284500,1586067,364166,1,22.3956,2.78397e+06,1.26205,1,0.989206,1,1,0.997195,0.975961,1,0,1,0,1,"[1]","[1]","[96313.3]","[1.60454]","[-2.04248]","[249286]","[-0.0245266]","[1]","[13]","[1]","[0]","[-304.275]","[-0.0108037]","[1.31542]",177328,-1.7764,3,"[170528,68787.3,42295.4]","[1.99852,2.06788,1.52568]","[1.36373,0.907351,1.66925]","[641301,276445,101933]","[0.981771,0.997572,0.996279]","[0,0,0]","[0,0,0]","[-0.970192,-0.417333,-0.772285]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[252951]","[1.99238]","[1.31397]","[949597]","[96420.5]","[0]","[1.46978]","[0.540776]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4383.44]",12537.4,"[3558.38,10501.4,2835.14]","[]","[0]","[]"
1567,284500,1460906,364166,1.31758,22.3956,2.78397e+06,0,1,1.00003,1,1,0.998932,1.02371,1,0,1,0,1,"[1]","[1]","[29242.9]","[1.59558]","[0.238357]","[75066.3]","[0.072403]","[1]","[13]","[1]","[0]","[660.139]","[-0.00701993]","[0.571432]",138481,1.32065,3,"[257613,47508.6,42876.3]","[0.857996,0.909803,-0.593226]","[-1.79006,-0.545872,1.29042]","[359693,69263.3,50999.7]","[0.999952,0.999616,0.99504]","[0,0,0]","[0,0,0]","[-0.185593,-0.865814,-0.922705]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[258283]","[0.884597]","[-1.79207]","[366976]","[25308.5]","[0]","[1.55674]","[0.73448]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[266.073]",9289.07,"[8423.22,2952.58,8806.87]","[]","[0]","[]"
2317,284500,1359818,364166,1,22.3956,2.78397e+06,0.75088,1,0.998301,1,1,0.960647,0.994377,1,0,1,0,1,"[1]","[1]","[168874]","[2.09804]","[-1.67739]","[698539]","[-0.0189476]","[1]","[13]","[1]","[0]","[691.913]","[-0.00208325]","[0.441256]",182956,-1.71369,4,"[305206,80180.5,71081.5,43997.8]","[0.746901,-1.80599,1.35342,1.68914]","[1.60935,2.61426,-0.218313,1.62526]","[394863,250733,146952,123538]","[0.992811,0.939518,0.997229,0.99]","[0,0,4,0]","[0,0,0,0]","[-0.863651,-0.734026,0.026476,-0.870247]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[325457]","[0.832181]","[1.60605]","[450831]","[73461.4]","[0]","[2.39597]","[0.632534]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[12828.3]",16015.7,"[11955.5,6739.21,5291.09,5187.49]","[]","[4506.75]","[]"
2950,284500,1651762,364166,1,22.3956,2.78397e+06,1.22586,1,0.994556,1,1,0.997923,0.964984,1,0,1,0,1,"[1]","[1]","[231844]","[-0.287027]","[-0.459882]","[241460]","[-0.0019989]","[-1]","[13]","[1]","[0]","[1417.13]","[-0.0309165]","[7.23819]",91577.3,-0.822152,2,"[199471,116848]","[0.699047,0.685239]","[2.41551,2.88895]","[250938,145716]","[0.985921,0.998015]","[0,0]","[0,0]","[-0.911894,-0.929962]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[301670]","[0.745407]","[2.59293]","[398381]","[83969.7]","[0]","[0.943751]","[0.559666]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[15039.1]",15862.2,"[6653.49,12159.2]","[]","[10005.9]","[]"
3585,284500,1572123,364166,1.13951,22.3956,2.78397e+06,0.351687,1,0.999528,1,1,0.970668,0.939339,1,0,1,0,1,"[1]","[1]","[63032.2]","[1.49776]","[2.14349]","[147977]","[0.0535393]","[-1]","[13]","[1]","[0]","[1406.19]","[-0.0149338]","[1.6547]",216648,2.75008,4,"[221219,48570.2,34557.2,23078.2]","[-0.487338,-1.00489,1.42107,-0.66647]","[-0.412436,-0.440796,-2.74731,-0.885309]","[252034,75494.7,75944,28742.4]","[0.994764,0.953561,0.960054,0.808751]","[0,0,4,0]","[0,0,0,0]","[-0.0106541,-0.90324,-0.539234,-0.783194]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[266664]","[-0.592152]","[-0.445265]","[321415]","[64882.1]","[0]","[1.29416]","[0.583074]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[704.24]",10527.6,"[6794.35,7624.19,2888.41,2285.44]","[]","[8524.75]","[]"
5979,284500,96464,364166,-1,22.3956,2.78397e+06,1.22586,1,0.994467,1,1,0.958935,0.891463,1,0,1,0,1,"[1]","[1]","[98119.8]","[0.564288]","[-0.335415]","[114160]","[-0.0191574]","[1]","[13]","[1]","[0]","[1035.59]","[0.0511533]","[10.1303]",122803,0.283988,3,"[244933,68015.5,23857.2]","[-0.282032,-0.181197,-0.959023]","[-3.07175,0.051711,-3.12712]","[255773,69774.3,36015.7]","[0.996711,1,0.949533]","[0,4,0]","[0,0,0]","[-0.964936,-0.638463,0.167563]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256222]","[-0.234538]","[-3.06412]","[264238]","[22235.8]","[0]","[1.42141]","[0.490875]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2066.7]",163.508,"[2665.88,6407.15,3754.78]","[]","[6260]","[]"
7094,284500,1585467,364166,1,22.3956,2.78397e+06,0.75088,1,0.994069,1,1,0.997626,0.823717,1,0,1,0,1,"[1]","[1]","[116476]","[-0.363514]","[-2.36146]","[124257]","[-0.0297747]","[1]","[13]","[1]","[0]","[-1053.29]","[-0.00323412]","[0.612703]",210088,-2.03007,3,"[298180,78405.4,32730.2]","[0.546517,0.963952,-1.97479]","[0.695622,2.57635,1.1879]","[344682,118413,120295]","[0.991238,0.99,0.99781]","[0,0,0]","[0,0,0]","[-0.75443,-0.887833,-0.327771]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[316026]","[0.542001]","[0.697446]","[364467]","[25236.8]","[0]","[2.49634]","[0.74414]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[7378.27]",3520.56,"[8041.85,4552.05,3336.09]","[]","[7026.56]","[]"
8391,284500,1646244,364166,1,22.3956,2.78397e+06,0.738662,1,0.998505,1,1,0.917358,1.00481,1,0,1,0,1,"[1]","[1]","[323824]","[-1.53722]","[1.50423]","[787967]","[0.0837631]","[-1]","[13]","[1]","[0]","[-483.987]","[-0.0140225]","[2.99425]",40157.3,2.10396,3,"[248988,97111.1,33164]","[0.166612,0.272102,0.619857]","[-1.33503,-1.90404,-2.34606]","[252848,101054,40009.6]","[0.993672,1,0.965013]","[4,4,0]","[0,0,0]","[0.510073,-0.689986,-0.863218]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[357793]","[0.219853]","[-1.55668]","[388289]","[128315]","[0]","[1.08981]","[0.321539]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[52636.2]",189.871,"[2459.14,1634.92,1995.63]","[]","[9979.31]","[]"
8689,284500,1814100,364166,-1,22.3956,2.78397e+06,1.32095,1,0.995827,1,1,0.999498,0.940906,1,0,1,0,1,"[1]","[1]","[66702.4]","[2.06486]","[2.315]","[267179]","[0.205437]","[1]","[13]","[0]","[1909.54]","[2872.55]","[0.000675638]","[0.0886675]",333172,2.07207,1,"[372463]","[1.36987]","[-0.886894]","[780345]","[0.99]","[0]","[0]","[-0.902795]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[390593]","[1.33825]","[-0.888276]","[795962]","[17634.7]","[0]","[3.05903]","[0.62221]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2034.4]",23663.7,"[8522.12]","[]","[23702.2]","[]"
