event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
8191,284500,727142,364168,1.02265,14.5588,5.9417e+06,1.21412,1,0.998779,1,1,0.880316,0.99077,1,0,1,0,1,"[1]","[1]","[90522]","[2.03842]","[0.155672]","[353428]","[0.0412292]","[1]","[13]","[1]","[2480.84]","[56.9856]","[-0.00837121]","[1.32734]",48945.9,-2.2127,5,"[373253,197555,121138,44080.6,29768.3]","[-0.466732,-1.97812,-1.26445,1.0087,-0.978514]","[-2.26438,1.20554,0.875857,1.33867,-2.1699]","[415608,727860,231864,68760.5,45518.1]","[1,0.993888,0.992613,0.995933,1]","[4,4,4,0,0]","[0,0,0,0,0]","[-0.772901,0.164202,-0.618282,-0.515267,-0.909264]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[381033,327039]","[-0.444075,-1.75109]","[-2.26167,1.08115]","[420081,979970]","[26811.5,136635]","[0,0]","[1.04426,0.649094]","[0.479304,0.815753]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4583.35]",4468.87,"[6621.58,3667.99,8412.49,3378.17,2340.47]","[]","[13497.2,9396.06]","[]"
8555,284500,727051,364168,1,14.5588,5.9417e+06,1.25133,1,0.991248,1,1,0.998945,0.839039,1,0,1,0,1,"[1]","[1]","[96025.9]","[-0.525889]","[-1.16489]","[109613]","[0.0256462]","[1]","[13]","[1]","[0]","[-454.781]","[0.0226808]","[3.85312]",53748.3,2.57984,2,"[285803,235642]","[-0.0828824,-1.61409]","[1.52956,-1.73102]","[288049,615476]","[0.995463,0.940111]","[0,0]","[0,0]","[0.651308,-0.952006]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[281791]","[-0.0614384]","[1.53799]","[283027]","[19949.9]","[0]","[1.9997]","[0.650801]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[5562.15]",17507.8,"[6830.2,3764.04]","[]","[8912.81]","[]"
20263,284500,935445,364168,1.22917,14.5588,5.9417e+06,1.1961,1,0.995148,1,1,0.99639,0.875311,1,0,1,0,1,"[1]","[1]","[98868.6]","[-0.444718]","[3.01875]","[108808]","[0.0721989]","[-1]","[13]","[1]","[0]","[3797.73]","[0.000784807]","[0.105938]",39324,1.46371,3,"[324418,46407.3,26998.5]","[-0.168421,2.168,2.24304]","[-0.176906,-2.49218,3.12996]","[331750,205773,128705]","[1,0.96641,0.987546]","[0,0,0]","[0,0,0]","[-0.872595,-0.341342,-0.518657]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[323066]","[-0.178501]","[-0.173481]","[331270]","[44802.9]","[0]","[0.971271]","[0.580547]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[826.307]",2520.32,"[5112.71,2266.93,1939.98]","[]","[11361.7]","[]"
32310,284500,1151791,364168,1,14.5588,5.9417e+06,1.1961,1,0.999544,1,1,0.998692,0.984797,1,0,1,0,1,"[1]","[1]","[101682]","[2.10308]","[-2.8273]","[422662]","[-0.00505257]","[-1]","[13]","[1]","[0]","[735.14]","[-0.00277217]","[0.376773]",158154,-2.67117,2,"[351996,23779.9]","[-1.65664,-1.18217]","[0.431256,-1.68073]","[956400,42724.6]","[0.997092,0.991901]","[0,0]","[0,0]","[-0.842203,-0.737744]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[341212]","[-1.66035]","[0.435994]","[930103]","[13241]","[0]","[2.2993]","[0.580266]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[10081.7]",16006.4,"[5478.14,1905.38]","[]","[6413.84]","[]"
52141,284500,92633,364168,1,14.5588,5.9417e+06,1.74563,1,0.980129,1,1,0.974299,0.994761,1,0,1,0,1,"[1]","[1]","[47897.7]","[1.17391]","[1.80256]","[84869.5]","[-0.0449333]","[1]","[13]","[1]","[0]","[529.457]","[0.0255396]","[3.75799]",28743,0.109045,3,"[306949,293151,24342.6]","[0.385799,0.268184,-0.379573]","[-1.72283,1.44022,-1.86499]","[332421,305737,26687.4]","[0.995151,0.992958,0.937685]","[0,5,0]","[0,0,0]","[-0.748749,0.998499,-0.830416]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[311664,289602]","[0.249165,0.370859]","[1.44115,-1.71025]","[323706,312436]","[38663,40906]","[0,0]","[1.89392,1.73097]","[0.730264,0.65894]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[449.95]",1848.94,"[3278.59,7787.19,2136.24]","[]","[5153.41,2901.22]","[]"
60053,284500,29642,364168,1.40432,14.5588,5.9417e+06,0.696077,1,0.98422,1,1,0.996492,1.01483,1,0,1,0,1,"[1]","[1]","[155757]","[1.66939]","[-0.31555]","[428121]","[0.011467]","[-1]","[13]","[1]","[0]","[598.62]","[0.0148617]","[2.48979]",99899.6,-0.158161,3,"[320943,192202,25690.8]","[1.48034,-1.13771,1.69376]","[2.18536,-1.9854,-1.30109]","[742217,330999,72367.7]","[0.994817,0.997168,0.997504]","[0,0,0]","[0,0,0]","[-0.92919,-0.94666,-0.00993945]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272634]","[1.49262]","[2.19265]","[637130]","[7995.49]","[0]","[3.2328]","[0.638462]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[30646.7]",5834.59,"[5014.47,10725.2,3949.25]","[]","[6620.62]","[]"
64508,284500,107934,364168,1,14.5588,5.9417e+06,0.738662,1,0.985082,1,1,0.997619,0.939087,1,0,1,0,1,"[1]","[1]","[89927.9]","[1.90187]","[1.61377]","[307899]","[-0.0920477]","[1]","[13]","[1]","[0]","[-120.907]","[0.0218906]","[2.91858]",40352.3,-0.435234,3,"[268084,138101,80366.2]","[-1.29853,0.605191,0.954544]","[-1.40775,1.60376,2.63084]","[528298,164703,120542]","[1,0.999253,1]","[0,0,0]","[0,0,0]","[-0.767482,-0.850785,-0.371192]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[269122]","[-1.29379]","[-1.40062]","[527876]","[17410.3]","[0]","[1.88954]","[0.655038]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1349.52]",1230.2,"[3909.45,4896.07,3797.19]","[]","[11671.1]","[]"
71649,284500,238245,364168,1.07325,14.5588,5.9417e+06,1.26459,1,0.994796,1,1,0.92986,0.799462,1,0,1,0,1,"[1]","[1]","[211292]","[0.626951]","[0.287714]","[254197]","[0.0459824]","[1]","[13]","[1]","[0]","[-247.37]","[-0.0281281]","[4.84779]",232701,0.600248,3,"[450642,116441,29933]","[-1.55238,0.107592,-1.11612]","[-2.42912,1.80524,-2.80876]","[1.11445e+06,117424,51107.8]","[0.985721,0.993627,0.918618]","[5,4,4]","[0,0,0]","[0.907082,-0.0501856,-0.382341]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[407858]","[-1.57485]","[-2.41989]","[1.02963e+06]","[70595.1]","[0]","[1.38839]","[0.793355]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4320.58]",12101.5,"[14784.5,2360.69,1419.31]","[]","[15572.4]","[]"
84176,284500,359670,364168,1,14.5588,5.9417e+06,0.738662,1,0.999738,1,1,0.956288,0.994688,1,0,1,0,1,"[1]","[1]","[583742]","[-1.37338]","[-1.57467]","[1.22641e+06]","[-0.024189]","[1]","[13]","[1]","[0]","[-1383.28]","[0.00858658]","[1.31007]",96950.2,0.134964,4,"[351190,71397.8,30813.3,24869.1]","[-1.24095,-0.852452,-1.46182,-1.4886]","[0.963909,1.21135,1.50618,-2.80334]","[664499,99900.4,70306,58336.9]","[0.997454,1,0.993753,0.972983]","[0,4,0,0]","[0,0,0,0]","[-0.895998,-0.726828,-0.898178,-0.392865]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[450361]","[-1.21265]","[1.00228]","[835948]","[140167]","[0]","[1.32335]","[0.597905]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[94415.5]",12701,"[4627.49,2366.13,11928.7,5501.39]","[]","[21235.4]","[]"
85276,284500,357326,364168,1,14.5588,5.9417e+06,1.25133,1,0.984531,1,1,0.957289,1.01483,1,0,1,0,1,"[1]","[1]","[73428.4]","[1.87076]","[-0.653182]","[244047]","[-0.0798368]","[1]","[13]","[1]","[0]","[39.2135]","[0.00258882]","[0.35106]",147705,0.245935,4,"[318679,188309,87020.6,61307.7]","[1.14549,0.161223,0.07245,0.672355]","[2.48982,-1.55059,-2.23704,2.66788]","[555722,191293,88516.8,76231.5]","[0.990008,0.995769,0.999204,0.989382]","[4,0,0,0]","[0,0,0,0]","[-0.929745,-0.890265,-0.915252,-0.852444]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[383683]","[1.08439]","[2.51168]","[640369]","[101565]","[0]","[1.32952]","[0.824748]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[531.567]",14055.9,"[5564.12,3489.25,4500.2,11425.2]","[]","[6821.44]","[]"
