event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
0,284500,6028148,364161,1,76.2132,7.99008e+06,1.22586,1,0.988201,1,1,0.969286,0.987726,1,0,1,0,1,"[1]","[1]","[64729]","[-2.01221]","[-2.27796]","[246407]","[2.14448]","[1]","[13]","[1]","[0]","[-410.625]","[0.0128849]","[1.52146]",23794.9,0.273945,5,"[291153,283225,41880.9,41273.9,40486.3]","[1.43586,0.879088,-0.21115,1.41891,-1.17183]","[0.221705,-2.75063,0.962201,2.41984,1.53241]","[646936,401891,43870.2,90596.4,71755.7]","[0.994573,1,0.959996,0.99531,0.957451]","[0,0,0,0,4]","[0,0,0,0,0]","[-0.468932,-0.893978,-0.753775,-0.768365,0.742428]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[279830,261387]","[0.894366,1.43001]","[-2.75731,0.214314]","[401210,577547]","[37981.6,12714.2]","[0,0]","[1.50074,2.96805]","[0.457022,0.440444]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4772.86]",12019.6,"[9045.78,8485.25,1959.64,2196.59,6768.58]","[]","[14182.1,5979.72]","[]"
1,284500,4166202,364161,1,76.2132,7.99008e+06,0.553627,1,0.985198,1,1,0.995199,1.00617,1,0,1,0,1,"[1]","[1]","[92655]","[-1.69048]","[0.694446]","[259736]","[0.08459]","[-1]","[13]","[1]","[0]","[-111.633]","[0.00598673]","[0.804749]",40153.3,1.95275,5,"[179471,97725.9,41828.7,39630.2,23379.5]","[-0.600219,-0.454551,-1.28063,-1.66866,-0.4661]","[-2.01274,0.490711,-2.63452,-2.01433,-3.10285]","[213774,109728,81331,109011,26504]","[0,0.202552,1,0.991634,0.996247]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.797405,-0.980882,-0.508024,0.0269284,-0.907175]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[272174]","[-0.914683]","[-2.08864]","[412861]","[122741]","[0]","[1.38837]","[0.486102]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[849.615]",10200.9,"[3224.62,4751.28,2435.62,2392.65,9009.18]","[]","[29077.2]","[]"
2,284500,5582103,364161,1,76.2132,7.99008e+06,1.74563,1,0.998569,1,1,1.49758,0.353167,1,0,1,0,1,"[1]","[1]","[37233.6]","[0.940471]","[2.46223]","[54950]","[-0.00469398]","[1]","[13]","[0]","[0]","[944.233]","[-0.00424603]","[0.423249]",23321.1,-2.92291,3,"[260699,211557,39069]","[0.0234986,0.227389,-0.0506043]","[-0.958743,2.20036,1.02522]","[261831,217553,39514.1]","[0.994583,0.999273,0.992916]","[5,0,4]","[0,0,0]","[0.788964,-0.946113,0.939782]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[269605]","[0.0123268]","[-0.946172]","[270722]","[24334.4]","[0]","[2.96944]","[0.492074]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[64.5406]",3711.51,"[4115.8,2871.99,4346.29]","[]","[9208.23]","[]"
3,284500,3940243,364161,1.5443,76.2132,7.99008e+06,1.24168,1,1.0011,1,1,0.995908,0.994389,1,0,1,0,1,"[1]","[1]","[92234.8]","[1.35984]","[-1.26172]","[191491]","[-130.039]","[1]","[13]","[1]","[0]","[-500.291]","[-0.0151506]","[2.38523]",76304.2,-3.00345,4,"[276079,148690,84655,22707.3]","[1.46611,-0.828659,0.278793,-1.21809]","[1.5456,-1.78755,-0.403248,-1.09354]","[632409,203763,88808.9,41947.6]","[1,0.998258,0.986986,0.850356]","[0,0,0,0]","[0,0,0,0]","[-0.902677,-0.94798,-0.890547,-0.113706]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[280125]","[1.48512]","[1.53867]","[651335]","[39031.9]","[0]","[1.22676]","[0.730727]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3062.61]",3750.4,"[17446.2,3464.04,5660.08,1653.5]","[]","[3495.66]","[]"
4,284500,6048962,364161,1,76.2132,7.99008e+06,0.553627,1,0.988201,1,1,0.999175,0.987712,1,0,1,0,1,"[1]","[1]","[43935.5]","[-2.36924]","[-2.2515]","[236873]","[75.4763]","[-1]","[13]","[1]","[2705.23]","[-94.2429]","[-0.000242745]","[0.0274386]",65178.5,0.956818,2,"[247956,241592]","[0.212326,0.325251]","[1.96722,-1.21311]","[255836,255764]","[0.992057,0.993135]","[0,0]","[0,0]","[-0.920751,-0.892637]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[269137]","[0.192531]","[1.93106]","[276411]","[35359.9]","[0]","[1.86859]","[0.78797]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[297.322]",16135.7,"[4250.62,6618.54]","[]","[10615.9]","[]"
5,284500,2203801,364161,0.554602,76.2132,7.99008e+06,0.696077,1,0.984101,1,1,0.998292,0.98075,1,0,1,0,2,"[1,0]","[1,0]","[43809,12983.6]","[-1.74108,-1.42734]","[-2.14456,0.167189]","[128773,28613.2]","[-32.9872,-33.0052]","[1,1]","[13,13]","[1,1]","[1065.7,0]","[55.0985,-1555.88]","[0.018153,0.0436865]","[2.44001,3.44364]",75447.8,1.512,3,"[284889,270142,24164.4]","[-1.4632,1.11206,0.828602]","[-0.985939,2.18387,-1.46935]","[649150,457567,33484.9]","[0.988669,0.996491,0.873748]","[0,0,0]","[0,0,0]","[-0.9542,-0.948693,-0.571585]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[291193,297456]","[1.10152,-1.45355]","[2.18578,-0.983314]","[489451,671699]","[54094.5,29250.3]","[0,0]","[1.54371,1.95811]","[0.810023,0.788634]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[156.882,43.4648]",5448.7,"[8860.54,4330.82,1950.12]","[]","[15449.3,20583.8]","[]"
6,284500,2451734,364161,1,76.2132,7.99008e+06,0.738662,1,0.998203,1,1,0.996398,0.955122,1,0,1,0,1,"[0]","[1]","[50927.2]","[-0.904531]","[2.93387]","[73220.8]","[0.00808334]","[-1]","[13]","[1]","[4484.85]","[-1161.49]","[-0.0281295]","[3.7627]",70126.8,2.43221,4,"[259528,104139,73251.1,24072.2]","[-0.609868,0.45632,-0.851992,2.13015]","[-1.04656,1.5287,2.08344,0.0668823]","[309580,115605,101948,102850]","[0.995002,0.991389,0.995753,0.954715]","[0,0,0,0]","[0,0,0,0]","[-0.924444,-0.933812,-0.787633,-0.975195]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[280675]","[-0.590246]","[-1.04918]","[331185]","[10993.2]","[0]","[4.12002]","[0.409316]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[356.5]",24069.1,"[4003.94,5325.81,2853.33,4482.86]","[]","[12304.8]","[]"
10,284500,6804344,364161,1,76.2132,7.99008e+06,0.738662,1,1.00301,1,1,0.994459,0.955691,1,0,1,0,1,"[1]","[1]","[46610.3]","[-0.823447]","[-2.95855]","[63326.2]","[-30.5854]","[1]","[13]","[1]","[2816.16]","[-808.05]","[-0.00730325]","[0.768275]",37122.5,0.381188,5,"[298608,280341,26501.2,24326.2,22095.4]","[2.27926,0.120337,2.24632,0.379632,2.23436]","[2.49106,-0.84244,1.85184,-0.167018,0.925122]","[1.47415e+06,283545,126806,26501.1,104439]","[0.999974,1,0.78319,0.985848,0.83223]","[0,0,0,0,0]","[0,0,0,0,0]","[-0.365222,-0.948674,-0.560216,-0.818006,-0.163421]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[304173]","[0.128423]","[-0.825556]","[315991]","[76125.1]","[0]","[3.32873]","[0.521551]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[326.706]",15040.1,"[7830.52,2957.82,2117.88,1740.83,1625.89]","[]","[3582.12]","[]"
11,284500,6347903,364161,-1,76.2132,7.99008e+06,0.696077,1,0.998525,1,1,0.978744,0.945975,1,0,1,0,1,"[1]","[1]","[42958.4]","[-2.44708]","[-0.363584]","[250040]","[-0.0166168]","[1]","[13]","[1]","[0]","[1103]","[-0.00940325]","[0.921427]",222187,-2.48262,3,"[361984,168860,30284.9]","[0.0285902,-0.143206,-1.03102]","[0.874231,-2.35449,-0.195954]","[363348,171078,48306.1]","[0.9918,0.996913,0.992978]","[5,0,0]","[0,0,0]","[0.987449,-0.704628,-0.88323]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[361368]","[0.0059183]","[0.869459]","[362189]","[24273]","[0]","[2.50168]","[0.615766]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[332.289]",714.797,"[7695.46,5912.92,2056.9]","[]","[9390.16]","[]"
13,284500,3835911,364161,1,76.2132,7.99008e+06,1.21412,1,0.982698,1,1,0.97984,0.997524,1,0,1,0,1,"[1]","[1]","[72217.3]","[-1.66163]","[1.69091]","[197071]","[0.0367355]","[1]","[13]","[1]","[0]","[258.475]","[0.000190869]","[0.0263075]",59195.7,-2.51017,6,"[380030,318777,112378,70361.8,40512.8,31638.8]","[-0.251965,2.29934,1.21376,-1.57664,1.6663,-0.736178]","[-1.51341,1.31853,2.07448,-1.22534,2.90648,-0.0947107]","[392371,1.60477e+06,206054,177631,111262,41244.7]","[1,0.989366,0.993275,0.994394,0.968996,0.995692]","[0,5,4,0,0,0]","[0,0,0,0,0,0]","[-0.521512,0.772572,-0.741757,-0.888517,-0.675694,-0.882478]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[372788]","[-0.211749]","[-1.51271]","[381254]","[7677.3]","[0]","[2.45363]","[-1]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3421.09]",19236.4,"[8186.57,7721.31,6804.23,5263.33,5556.18,1963.76]","[]","[8710.44]","[]"
