event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
25,284500,2928527,361100,11449.7,11500.5,4.2822e+11,0.00133961,1.01378,1,1,1,0.999443,1.00936,1,1,0,0,1,"[1]","[1]","[233646]","[0.0463576]","[0.721667]","[233897]","[0.0694809]","[1]","[11]","[1]","[0]","[-239.302]","[0.00966603]","[1.53357]",77888.1,0.0232969,1,"[288763]","[-0.396769]","[-2.67949]","[313197]","[0.996987]","[0]","[0]","[-0.908911]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[289556]","[-0.419457]","[-2.6694]","[316728]","[28915.7]","[0]","[2.38618]","[0.467989]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1175.16]",1235.42,"[3471]","[]","[7937.53]","[]"
56,284500,2211063,361100,11459.7,11500.5,4.2822e+11,0.934886,1.00588,1,1,1,0.998254,1.00306,1,1,0,0,1,"[1]","[1]","[253540]","[0.856322]","[1.61095]","[352320]","[-0.105843]","[1]","[11]","[1]","[0]","[-103.329]","[0.031169]","[3.10075]",35026.7,2.33115,2,"[283410,41510.6]","[1.35057,1.94509]","[-1.59285,0.198663]","[584339,148317]","[0.999179,0.993711]","[0,0]","[0,0]","[-0.921443,-0.871095]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[272155,260366]","[0.910836,1.38029]","[1.61015,-1.58765]","[393072,551242]","[-0.00676582,31221]","[0,0]","[0,1.89164]","[-1,0.586461]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2449.19]",1068.67,"[5360.48,4338.05]","[]","[320.375,11974.2]","[]"
103,284500,3108556,361100,11449.6,11500.5,4.2822e+11,1.74563,0.98089,1,1,1,0.996444,0.99866,1,1,0,0,1,"[1]","[1]","[173046]","[-0.913602]","[3.04178]","[250428]","[0.0431671]","[1]","[11]","[1]","[3629.47]","[2800.42]","[-0.0391212]","[4.47964]",28318.9,-2.55811,4,"[248960,54207,26431.3,23336.3]","[-1.23866,-1.35313,-1.57266,1.09875]","[-0.443401,1.78686,3.04534,1.79094]","[465901,111971,66646.6,39110.4]","[0.998214,0.99561,0.648503,0.955512]","[4,0,4,0]","[0,0,0,0]","[0.216455,-0.943532,-0.649074,-0.825438]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253912]","[-1.25625]","[-0.446584]","[482250]","[14083.3]","[0]","[2.2584]","[0.496315]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1778.4]",7765.63,"[5856.23,3736.58,1820.9,2547.06]","[]","[2371]","[]"
160,284500,3570130,361100,11470.3,11500.5,4.2822e+11,0.00133961,0.99093,1,1,1,0.995694,1.00306,1,1,0,0,1,"[1]","[1]","[85025.8]","[0.948889]","[0.992866]","[126264]","[0.0198441]","[1]","[11]","[1]","[0]","[1280.88]","[0.00456368]","[0.534923]",385398,0.858542,4,"[423903,33639,24024.4,21387.7]","[0.343265,1.47411,2.45533,0.723093]","[-2.09996,-2.82361,3.12336,2.55259]","[451200,77538.1,141007,27301.2]","[0.990286,0.992287,0.971314,1]","[0,0,0,0]","[0,0,0,0]","[-0.96184,-0.777709,-0.702556,-0.734582]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[425354]","[0.321581]","[-2.09683]","[450730]","[53540]","[0]","[1.68967]","[0.649595]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[289.948]",7102.34,"[7694.39,2252.91,2278.24,1906.38]","[]","[8845.59]","[]"
192,284500,3894818,361100,11452.7,11500.5,4.2822e+11,1.74563,0.9724,1,1,1,0.998773,0.96574,1,1,0,0,1,"[1]","[1]","[55804.1]","[1.09159]","[1.04022]","[92486.3]","[-0.033432]","[1]","[11]","[1]","[0]","[1641.98]","[0.0258592]","[1.61708]",292843,0.357451,1,"[347684]","[1.83711]","[-2.67919]","[1.11954e+06]","[0.996454]","[0]","[0]","[-0.929703]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[328275]","[1.85062]","[-2.67641]","[1.07048e+06]","[18226.9]","[0]","[1.90386]","[0.673011]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[100.345]",5329,"[7626.68]","[]","[5019.81]","[]"
232,284500,2603007,361100,11461.1,11500.5,4.2822e+11,0.934886,0.97062,1,1,1,0.996464,0.98871,1,1,0,0,1,"[1]","[1]","[73283.9]","[-0.759835]","[-0.22743]","[95476.7]","[-0.139191]","[1]","[11]","[1]","[0]","[801.82]","[-0.00572178]","[0.558131]",815573,0.0239191,4,"[496434,284886,169281,154632]","[-0.711619,1.16591,2.09123,-0.716328]","[-2.95097,1.92247,2.88269,-1.86605]","[628612,502587,695914,196765]","[0.999551,1,0.999646,1]","[0,0,0,0]","[0,0,0,0]","[-0.868413,-0.870756,-0.0906292,-0.321656]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[668428,281562]","[-0.777326,1.14483]","[-2.70762,1.925]","[934664,488270]","[312859,33361.6]","[0,0]","[1.10247,1.66956]","[0.419195,0.762887]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[305.171]",6327,"[5939.65,13017.6,3519.46,2314.11]","[]","[12555.3,7814.5]","[]"
277,284500,3998763,361100,11455.9,11500.5,4.2822e+11,0.934886,0.96853,1,1,1,0.998885,0.98869,1,1,0,0,1,"[1]","[1]","[65078.2]","[-2.00054]","[0.140465]","[244964]","[0.0291922]","[1]","[11]","[1]","[1086.9]","[-254.672]","[-0.0198022]","[2.05859]",274920,0.561359,2,"[332181,29279.7]","[0.23768,0.0572135]","[-2.74246,-1.12185]","[342956,30004.1]","[0.991681,1]","[0,0]","[0,0]","[-0.960719,-0.832848]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[355828]","[0.239576]","[-2.7436]","[367246]","[29124.7]","[0]","[1.58227]","[0.739146]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[933.891]",901.562,"[3885.1,2249.63]","[]","[13152.8]","[]"
284,284500,3846565,361100,11458.2,11500.5,4.2822e+11,1.08735,0.97166,1,1,1,0.999412,1.0005,1,1,0,0,1,"[1]","[1]","[146190]","[2.3315]","[-0.0642512]","[759496]","[-0.0320053]","[1]","[11]","[1]","[0]","[108.272]","[0.013578]","[1.4971]",142871,-0.716565,1,"[245807]","[0.951092]","[2.86965]","[366472]","[1]","[0]","[0]","[-0.90731]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[267224]","[0.926399]","[2.87062]","[390865]","[20430.7]","[0]","[2.09694]","[0.581329]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1565.65]",10085.1,"[7896.07]","[]","[4241.94]","[]"
458,284500,3321047,361100,11456.4,11500.5,4.2822e+11,0.506784,0.99093,1,1,1,0.998935,1.00306,1,1,0,0,1,"[1]","[1]","[93214]","[0.91809]","[-2.04761]","[135337]","[0.0456824]","[1]","[11]","[1]","[0]","[-83.5931]","[-0.0175186]","[1.84686]",268674,-1.93409,1,"[359187]","[1.43497]","[1.21075]","[797239]","[0.987178]","[0]","[0]","[-0.670896]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[332347]","[1.43433]","[1.20647]","[737121]","[13595.4]","[0]","[2.85831]","[0.675652]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[455.822]",2158.81,"[5193.4]","[]","[696.531]","[]"
466,284500,3079373,361100,11452.8,11500.5,4.2822e+11,1.32095,0.94769,1,1,1,0.999403,0.95625,1,1,0,0,1,"[1]","[1]","[76312]","[-2.40276]","[-0.947175]","[425214]","[-0.206074]","[1]","[11]","[1]","[0]","[-208.714]","[-0.0509179]","[1.03526]",220917,-0.374006,1,"[289408]","[-0.947254]","[2.73506]","[430098]","[0.999339]","[0]","[0]","[-0.924401]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[275231]","[-0.925659]","[2.72959]","[402247]","[18751.7]","[0]","[1.94594]","[0.63078]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[958.905]",6145.98,"[7083.03]","[]","[14771.9]","[]"
