event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
13,284500,2671134,361101,11455.3,11500.5,4.51257e+11,0.596562,1,1.00078,1,1,0.998675,1.01222,1,0,1,0,1,"[1]","[1]","[241640]","[1.39409]","[1.53891]","[517031]","[-0.0140572]","[1]","[13]","[1]","[0]","[-393.085]","[-0.000362805]","[0.0626316]",202499,1.68267,4,"[247631,109510,98028.8,28551.9]","[0.105505,1.14107,2.28373,-0.0800008]","[-1.12375,-1.92594,-2.14568,-1.54743]","[250260,189346,486091,28956.5]","[0.998867,0.99,0.992598,0.966668]","[0,0,0,0]","[0,0,0,0]","[-0.976782,-0.523259,-0.843737,-0.866654]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[269150]","[0.107662]","[-1.14797]","[273374]","[38062.1]","[0]","[2.15172]","[0.712028]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[18524.4]",552.031,"[2888.78,6208.9,5665.79,2338.54]","[]","[4810.91]","[]"
24,284500,2863341,361101,11459.3,11500.5,4.51257e+11,0.596562,1,0.995731,1,1,0.999005,0.745543,1,0,1,0,1,"[1]","[1]","[291683]","[0.802938]","[0.413872]","[390870]","[-0.0166817]","[1]","[13]","[1]","[0]","[999.673]","[-0.0479472]","[11.2898]",105574,0.0926617,1,"[372000]","[-0.0704431]","[-2.84689]","[374519]","[0.992631]","[0]","[0]","[-0.753026]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[373439]","[-0.0402469]","[-2.8478]","[375679]","[38106.3]","[0]","[1.84366]","[0.693646]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[14751.7]",6712.66,"[6731.69]","[]","[2724.56]","[]"
26,284500,3232690,361101,11459,11500.5,4.51257e+11,0.696077,1,0.997331,1,1,0.999,0.760669,1,0,1,0,1,"[1]","[1]","[208767]","[0.938348]","[-1.37718]","[307622]","[-0.0263062]","[1]","[13]","[1]","[1099.35]","[-839.767]","[-0.012523]","[2.73982]",98876.8,-0.465143,2,"[276282,21042.6]","[0.683197,0.790022]","[1.87097,3.10395]","[343770,28437.6]","[0.993185,0.992194]","[0,0]","[0,0]","[-0.220812,-0.564077]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[270360]","[0.642813]","[1.86685]","[328323]","[10083.5]","[0]","[0.6421]","[0.472163]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[3326.88]",13961.1,"[4899.61,1250.14]","[]","[4488.28]","[]"
44,284500,3713989,361101,11442.7,11500.5,4.51257e+11,1.55465,1,0.995595,1,1,1.01528,0.941994,1,0,1,0,1,"[1]","[1]","[99142]","[0.653607]","[1.31941]","[121084]","[0.0429993]","[1]","[13]","[1]","[0]","[-483.059]","[-0.0144472]","[2.54743]",206623,1.33674,4,"[337399,26879.1,23900.7,23424.8]","[0.256582,-0.918797,-0.440687,-1.0942]","[-1.76018,2.81306,0.54896,2.13271]","[349480,39485.7,26606.3,39161.3]","[0.991131,0.971543,0.980847,0.998722]","[0,4,0,4]","[0,0,0,0]","[-0.943389,-0.686181,-0.797223,0.274259]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[337185]","[0.210365]","[-1.76327]","[344845]","[10882]","[0]","[6.165]","[0.237652]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4452.13]",25561.7,"[9540.43,1294.23,2191.19,1198.16]","[]","[11983.1]","[]"
61,284500,5953106,361101,-11453.7,11500.5,4.51257e+11,1.08735,1,0.989701,1,1,0.98855,0.994745,1,0,1,0,1,"[1]","[1]","[25281.4]","[-1.93353]","[2.36353]","[89224.1]","[-121.765]","[1]","[13]","[1]","[0]","[-257.143]","[-0.0285881]","[3.12464]",109430,-1.03475,3,"[2.02577e+06,1.9199e+06,23109.1]","[1.22115,0.296659,2.29033]","[2.13245,-1.01158,-0.39816]","[3.73549e+06,2.00513e+06,115357]","[0.99992,0.891096,1]","[0,0,0]","[0,0,0]","[-0.8611,-0.179592,-0.603059]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[1.84944e+06,1.86868e+06]","[0.331551,1.24451]","[-1.01195,2.13259]","[1.95202e+06,3.51258e+06]","[0.0292317,25909.9]","[0,0]","[0,2.05206]","[-1,0.189684]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[61.7836]",52020.8,"[38557,54110,2149.65]","[]","[48374.2,38691.1]","[]"
62,284500,5911596,361101,11453.3,11500.5,4.51257e+11,0.934886,1,0.996506,1,1,0.997711,1.03479,1,0,1,0,1,"[1]","[1]","[235849]","[-0.811063]","[0.549132]","[317770]","[0.0146713]","[1]","[13]","[1]","[0]","[-286.31]","[-0.00724618]","[1.80565]",93105.4,1.05692,2,"[310249,25463.1]","[-0.933978,-2.36379]","[-2.53335,-1.49363]","[457420,136608]","[0.992402,0.991074]","[0,0]","[0,0]","[-0.685055,-0.750019]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[293971]","[-0.914487]","[-2.53566]","[427209]","[35847.7]","[0]","[1.92412]","[0.719173]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4726.47]",3455.9,"[4896.55,2128.9]","[]","[11514.4]","[]"
63,284500,6172750,361101,11462.9,11500.5,4.51257e+11,1.74563,1,0.996951,1,1,0.992413,0.982461,1,0,1,0,1,"[1]","[1]","[47147.4]","[-1.53618]","[-2.98245]","[114616]","[-0.0556259]","[1]","[13]","[1]","[0]","[-182.034]","[0.0112086]","[1.34902]",205872,-2.28149,3,"[257252,25370.3,24656.4]","[0.0728636,0.196457,1.20255]","[0.854412,-0.499579,-1.92625]","[258222,26474.7,44996.2]","[0.986195,0.970424,0.609649]","[0,5,0]","[0,0,0]","[-0.869317,0.862808,-0.86589]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[260600]","[0.0581108]","[0.853279]","[261309]","[11840.9]","[0]","[3.41926]","[0.574898]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[645.72]",17071.1,"[12024.5,1856.9,1328.19]","[]","[3503.34]","[]"
71,284500,6540409,361101,11454.9,11500.5,4.51257e+11,1.55465,1,0.995319,1,1,0.99826,0.90551,1,0,1,0,1,"[1]","[1]","[135213]","[-0.423482]","[2.48878]","[147520]","[-0.0294304]","[1]","[13]","[1]","[0]","[-105.379]","[0.0164916]","[2.4869]",272734,2.33175,2,"[423429,27252.8]","[-1.08797,0.916297]","[-0.661364,3.14096]","[700008,39960.9]","[0.996091,0.999055]","[0,0]","[0,0]","[-0.916495,-0.682301]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[439334]","[-1.07339]","[-0.662449]","[717970]","[20422.8]","[0]","[3.82457]","[0.667722]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2839.57]",1519.03,"[5504.03,3179.21]","[]","[26081.2]","[]"
75,284500,6609528,361101,11459.8,11500.5,4.51257e+11,0.596562,1,0.998419,1,1,0.999304,0.868493,1,0,1,0,1,"[1]","[1]","[215844]","[-2.43326]","[-1.84304]","[1.23935e+06]","[-0.119022]","[1]","[13]","[1]","[0]","[-174.611]","[-0.0205254]","[3.91473]",90580.9,-2.64885,1,"[311524]","[-1.10325]","[1.10407]","[521984]","[0.986753]","[0]","[0]","[-0.917972]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[323144]","[-1.1026]","[1.10444]","[540868]","[24823.8]","[0]","[1.99326]","[0.676114]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4939.82]",14789,"[19451]","[]","[20501.8]","[]"
92,284500,4595811,361101,11458,11500.5,4.51257e+11,0.934886,1,1.00126,1,1,0.998706,1.01444,1,0,1,0,1,"[1]","[1]","[170752]","[-1.50713]","[2.93436]","[404282]","[-0.0191669]","[1]","[13]","[1]","[0]","[-183.894]","[0.0103443]","[1.9011]",10879.4,-1.69948,3,"[279574,229170,56368.8]","[0.906811,-2.40176,0.121822]","[-0.666092,2.12642,-0.50637]","[402862,1.27577e+06,57348.7]","[0.991421,0.993238,0.99]","[0,0,0]","[0,0,0]","[-0.802188,-0.68944,-0.902984]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[296090]","[0.797349]","[-0.631175]","[408661]","[103623]","[0]","[0.908798]","[0.626146]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[4390.93]",7774.48,"[18889.3,5106.06,4888.99]","[]","[22182.1]","[]"
