event,runNumber,eventNumber,channelNumber,mcWeight,XSection,SumWeights,scaleFactor_PILEUP,scaleFactor_ELE,scaleFactor_MUON,scaleFactor_PHOTON,scaleFactor_TAU,scaleFactor_BTAG,scaleFactor_LepTRIGGER,scaleFactor_PhotonTRIGGER,trigE,trigM,trigP,lep_n,lep_truthMatched,lep_trigMatched,lep_pt,lep_eta,lep_phi,lep_E,lep_z0,lep_charge,lep_type,lep_isTightID,lep_ptcone30,lep_etcone20,lep_trackd0pvunbiased,lep_tracksigd0pvunbiased,met_et,met_phi,jet_n,jet_pt,jet_eta,jet_phi,jet_E,jet_jvt,jet_trueflav,jet_truthMatched,jet_MV2c10,photon_n,photon_truthMatched,photon_trigMatched,photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_ptcone30,photon_etcone20,photon_convType,largeRjet_n,largeRjet_pt,largeRjet_eta,largeRjet_phi,largeRjet_E,largeRjet_m,largeRjet_truthMatched,largeRjet_D2,largeRjet_tau32,tau_n,tau_pt,tau_eta,tau_phi,tau_E,tau_charge,tau_isTightID,tau_truthMatched,tau_trigMatched,tau_nTracks,tau_BDTid,ditau_m,lep_pt_syst,met_et_syst,jet_pt_syst,photon_pt_syst,largeRjet_pt_syst,tau_pt_syst
20,284500,4716147,361102,11456.6,11500.5,3.38179e+11,0.596562,0.96304,1,1,1,0.998708,0.9991,1,1,0,0,1,"[0]","[1]","[45349.3]","[-1.66132]","[-0.085292]","[123716]","[-0.123905]","[1]","[11]","[1]","[0]","[1220.69]","[0.119098]","[4.79353]",328322,-0.0456798,1,"[384685]","[-1.47339]","[3.11988]","[883643]","[0.996771]","[0]","[0]","[-0.661325]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[407886]","[-1.46005]","[3.12006]","[925650]","[12116.4]","[0]","[4.68262]","[0.554667]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[308.374]",13256.1,"[14365.7]","[]","[17488.4]","[]"
29,284500,4954745,361102,11450.5,11500.5,3.38179e+11,0.402058,1,1,1,1,0.998657,1,1,1,0,0,1,"[0]","[1]","[241582]","[1.15387]","[2.08995]","[421060]","[-0.0702286]","[1]","[11]","[0]","[0]","[11722.2]","[-0.114551]","[6.97317]",127759,1.96523,3,"[352173,74991.1,30014.6]","[1.05963,-2.04892,1.01225]","[-0.806116,-2.15313,-2.74652]","[569714,295868,47152.4]","[1,1,0.9966]","[0,0,0]","[0,0,0]","[-0.951821,-0.778113,-0.883974]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",2,"[350362,285563]","[1.07529,1.17312]","[-0.802558,2.09022]","[573758,505684]","[25273.1,5365.58]","[0,1]","[1.97956,7.04896]","[0.828674,0.516843]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[2679.18]",19592.6,"[4487.36,2828.23,2529.84]","[]","[26784.9,24007.9]","[]"
30,284500,5531004,361102,11453.4,11500.5,3.38179e+11,1.55465,1,1.00015,1,1,0.999246,0.953101,1,0,1,0,1,"[0]","[1]","[35142.2]","[1.21541]","[-1.59072]","[64455.4]","[-0.00909758]","[1]","[13]","[1]","[0]","[62.3476]","[0.0119126]","[1.35189]",218979,-1.05523,1,"[240092]","[1.27469]","[2.04727]","[463384]","[1]","[0]","[0]","[-0.925435]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[256066]","[1.28009]","[2.05392]","[496401]","[16541.1]","[0]","[1.95074]","[0.687576]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[380.997]",8247.75,"[8963.07]","[]","[2160.2]","[]"
34,284500,5820206,361102,11457.5,11500.5,3.38179e+11,1.24168,0.98458,1,1,1,0.999375,1.00582,1,1,0,0,1,"[0]","[1]","[90297.7]","[-0.504307]","[-1.73312]","[102026]","[0.0760193]","[1]","[11]","[1]","[0]","[-227.596]","[0.00607091]","[0.846455]",213217,-1.38063,1,"[239343]","[-0.290751]","[2.09591]","[249869]","[0.999603]","[0]","[0]","[-0.946808]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253629]","[-0.264815]","[2.09601]","[262837]","[11731.6]","[0]","[3.88946]","[0.524102]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[304.716]",8464.47,"[5640.52]","[]","[10406.4]","[]"
45,284500,6070703,361102,11454.7,11500.5,3.38179e+11,0.402058,0.98178,1,1,1,0.997623,0.99604,1,1,0,0,1,"[0]","[1]","[108311]","[-2.22793]","[0.952286]","[508436]","[-0.0190268]","[1]","[11]","[1]","[2272.19]","[1192.59]","[0.000493081]","[0.0584651]",156295,1.25303,2,"[243260,23412.6]","[-1.38766,-2.23654]","[-1.99446,-2.13641]","[517722,110874]","[0.990949,0.960583]","[0,0]","[0,0]","[-0.892312,-0.421982]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[262912]","[-1.46125]","[-1.99938]","[599864]","[56008.4]","[0]","[3.11564]","[0.545599]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[1367.11]",2906.53,"[5496.14,2175.33]","[]","[6367.47]","[]"
65,284500,6436061,361102,11452.8,11500.5,3.38179e+11,1.08735,0.97921,1,1,1,0.998418,1.00192,1,1,0,0,1,"[0]","[1]","[72150.9]","[-0.362549]","[-1.60011]","[76944.9]","[0.0349369]","[1]","[11]","[1]","[0]","[-1477.87]","[-0.0448448]","[6.07442]",220201,-1.98554,2,"[300257,22036.5]","[-1.77956,-1.06672]","[1.32325,-0.862834]","[915592,35961.1]","[0.999055,0.9617]","[0,0]","[0,0]","[-0.755317,-0.948849]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[291937]","[-1.77852]","[1.33045]","[889556]","[33076.1]","[0]","[2.89876]","[0.623969]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[137.775]",16663.2,"[24311,1613.55]","[]","[16862.4]","[]"
67,284500,4661022,361102,11455.2,11500.5,3.38179e+11,0.934886,0.97199,1,1,1,0.999012,0.99121,1,1,0,0,1,"[0]","[1]","[43013.3]","[0.358336]","[-0.932242]","[45804.5]","[0.129431]","[1]","[11]","[1]","[0]","[-599.964]","[0.036286]","[3.20393]",146263,-0.736513,2,"[335201,133164]","[0.429746,-1.93335]","[2.90464,0.155002]","[367130,469946]","[0.998038,0.997089]","[0,0]","[0,0]","[-0.963109,-0.919908]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[335226]","[0.417547]","[2.90401]","[365118]","[13297.1]","[0]","[1.01451]","[0.02182]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[369.291]",5025.66,"[3531.37,5357.28]","[]","[24049.2]","[]"
78,284500,18612416,361102,11462,11500.5,3.38179e+11,0.402058,0.97166,1,1,1,0.987648,1.0005,1,1,0,0,1,"[0]","[1]","[80314.4]","[2.32067]","[-1.63455]","[412844]","[0.0406189]","[1]","[11]","[1]","[0]","[2834.08]","[-0.0340542]","[0.443564]",180112,-1.69573,1,"[256840]","[0.476705]","[1.45937]","[287865]","[0.997271]","[4]","[0]","[-0.775714]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[253850]","[0.444608]","[1.46155]","[280531]","[25649.7]","[0]","[1.64932]","[0.862676]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[643.387]",1862.05,"[3312.06]","[]","[0]","[]"
88,284500,12119405,361102,11458.7,11500.5,3.38179e+11,0.596562,0.96284,1,1,1,0.999086,0.99117,1,1,0,0,1,"[0]","[1]","[36276.5]","[-0.0736772]","[3.07419]","[36375]","[0.0336342]","[1]","[11]","[1]","[0]","[979.704]","[-0.0286426]","[3.92467]",262453,2.76829,1,"[292935]","[1.46709]","[-0.334159]","[669040]","[0.993363]","[0]","[0]","[-0.639595]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[289734]","[1.48004]","[-0.334765]","[669473]","[10130.3]","[0]","[2.41369]","[0.710742]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[38.5736]",10932.4,"[11710.8]","[]","[2721.41]","[]"
99,284500,18853150,361102,11455.1,11500.5,3.38179e+11,0.934886,0.96853,1,1,1,0.997888,0.98869,1,1,0,0,1,"[0]","[1]","[66745.6]","[-1.8239]","[-1.40512]","[212163]","[0.5005]","[-1]","[11]","[1]","[0]","[1966.05]","[-0.0159066]","[0.3058]",442593,-1.63199,2,"[508162,30085.8]","[0.925258,0.8789]","[1.61972,1.15514]","[742139,42667.4]","[0.98,0.99]","[0,0]","[0,0]","[-0.73144,0.663738]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",1,"[456469]","[0.916934]","[1.61522]","[662452]","[18662.1]","[0]","[4.44643]","[0.473687]",0,"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]",0,"[224.306]",22674,"[7568,2378.32]","[]","[9613.41]","[]"
